"inst_416" "inst_1009" "inst_1170" "inst_1229" "inst_1289" "inst_1654" "inst_2644" "inst_2689" "inst_4453" "inst_4670" "inst_5226" "inst_5265" "inst_5589" "inst_5630" "inst_6188" "inst_6947" "inst_6988"
"200596_s_at" 4885 16392 21332 3117 2631 16285 4685 19275 17994 18183 7180 5751 12397 16626 13450 19037 17289
"200597_at" 17790 6373 6682 2849 3839 15561 5091 18735 19963 20167 9838 8169 1351 20458 6004 2511 4866
"200598_s_at" 6595 5675 5328 4427 8473 19105 5246 8998 3712 2310 6449 7739 8389 11084 14641 6839 6857
"200599_s_at" 15552 19863 19856 17668 9181 1782 5348 18372 13045 4999 5521 9113 7868 18088 12610 7938 8161
"200600_at" 12536 13645 5866 14916 4860 11149 5379 12237 10998 6202 18268 15757 12437 4631 18673 12474 14030
"200601_at" 20978 21986 2567 20299 7121 15135 17438 4862 16884 19130 18491 5275 20086 20888 19796 5794 6087
"200602_at" 16653 19907 2712 20080 1557 20116 19162 8708 18628 19126 694 12287 3019 18091 21252 8502 17196
"200603_at" 18759 19208 3693 20447 7817 15492 17240 6857 10354 9655 6759 9398 9186 15815 15084 4445 18061
"200604_s_at" 5658 4591 6485 4385 21864 1605 14455 21780 20846 18898 7559 9867 3618 10394 266 4405 7345
"200605_s_at" 14663 16066 1432 3905 8211 3093 18834 5713 13479 19967 9780 11609 6083 3775 4718 5152 18603
"200606_at" 6876 16777 18341 5493 16727 15252 16290 951 16947 3788 4196 8071 2517 11657 18091 2791 7280
"200607_s_at" 20916 4615 4221 5357 5595 4524 2569 18311 3737 7128 8009 9445 5942 12412 3157 6937 7291
"200608_s_at" 17048 19149 18926 18860 6225 17248 14360 6203 3026 6426 8398 10484 6915 13458 15030 5649 16942
"200609_s_at" 17922 5567 21835 18908 4421 19070 13344 8346 15338 6421 7796 19916 8540 18278 19549 10043 17049
"200610_s_at" 17479 19414 2215 16325 5515 14411 17805 6621 10706 18747 9923 18719 7689 11123 12919 19261 3558
"200611_s_at" 4002 5625 2450 3110 9592 14514 16741 9583 17693 6676 8468 8050 12495 19210 14921 7149 17279
"200612_s_at" 14098 15409 4110 5734 297 646 1246 20877 17303 20163 1309 3148 8920 11296 15529 3785 19791
"200613_at" 3135 18817 6359 4478 9758 16863 17487 7980 13805 6545 6807 19169 19045 16302 15124 10417 18152
"200614_at" 6877 18335 7054 16262 7864 3092 4719 10218 11548 6334 8591 11332 19195 13549 13628 10280 18778
"200615_s_at" 17612 15375 7980 15976 9839 19343 3505 20661 14062 17911 9445 6375 9416 12854 5555 8587 16635
"200616_s_at" 2463 4895 8775 4656 971 19137 14668 19584 11306 5641 4541 2806 7693 11465 15439 7393 5211
"200617_at" 13780 17448 7924 2940 285 18183 18429 18196 13325 5453 8589 6170 11570 14899 3782 7069 7427
"200618_at" 4373 18192 20210 14649 4264 18992 13481 4700 12509 3685 6128 8338 9214 17447 19684 6040 19756
"200619_at" 1675 19464 1968 3599 3820 14745 17737 20271 20742 16867 3730 19661 9548 20706 15114 6807 4498
"200620_at" 3380 15443 6127 16929 5928 16300 16880 6691 19823 6539 8515 10647 8945 11712 15071 4481 6146
"200621_at" 14294 16142 3765 14964 4285 19631 12996 5589 14247 17552 6535 8793 9816 16975 19430 4781 18950
"200622_x_at" 16822 18456 8013 2552 22078 2066 13008 9693 19206 15665 3614 11360 12479 11851 4024 5343 20424
"200623_s_at" 6059 2491 22114 2829 5713 20488 12814 21496 2281 20533 4001 431 19633 19999 15826 20681 16792
