"inst_421" "inst_910" "inst_1004" "inst_1165" "inst_1224" "inst_1649" "inst_2389" "inst_2684" "inst_4448" "inst_5221" "inst_5442" "inst_5584" "inst_6183" "inst_6341" "inst_6984" "inst_7420"
"200619_at" 18281 15278 15667 20290 16661 19449 20813 9094 20048 5306 3874 8927 17350 17990 15962 17163
"200620_at" 712 3369 4480 5651 14453 14349 4035 7236 14571 15927 8018 8420 14598 14199 16605 2069
"200621_at" 8105 4600 16308 21640 1293 18781 13378 9636 15085 6996 13385 9936 18774 3163 3707 3189
"200622_x_at" 17670 16041 17489 8119 3459 3169 14974 20751 8376 16902 12734 11476 14060 3791 20267 16464
"200623_s_at" 18453 16483 21890 20763 13921 20511 15531 7430 17317 17841 5587 19548 2513 16787 19221 15278
"200624_s_at" 3869 16192 18908 5061 18441 14415 19387 7792 16495 14561 20585 5915 15369 16972 15132 6134
"200625_s_at" 5770 17322 18005 19010 16394 16631 18448 10676 15700 6217 13159 19720 17322 4268 18646 6047
"200626_s_at" 1515 19677 20961 6488 20808 20237 20596 9981 16831 17284 5692 8270 14004 18915 18373 2800
"200627_at" 6626 14755 13944 8214 15508 16393 15387 7334 17406 15958 15211 18423 12935 17549 14876 16980
"200628_s_at" 16768 1349 18854 1099 723 4092 19082 8832 4422 4471 16996 4276 11404 12853 2145 19170
"200629_at" 18567 4023 2202 885 4219 3043 17498 17684 2759 5514 4249 6679 16513 2995 1561 3251
"200630_x_at" 20428 16874 14473 7118 17672 13967 15724 17191 7836 7033 13542 10450 13321 4222 5008 15261
"200631_s_at" 18760 18344 17875 19323 16147 18368 18536 17222 8546 18151 17325 10506 16697 17012 14579 17804
"200632_s_at" 2991 47 28 20967 170 318 20672 18000 315 81 883 1293 16303 240 162 22
"200633_at" 8452 7889 13391 8123 5035 13388 15080 12694 11028 6262 7965 11211 12575 7307 15759 4460
"200634_at" 8128 15163 14599 19079 14547 18272 19114 10102 16688 14531 14174 12559 17312 18395 17176 4762
"200635_s_at" 1503 18738 16656 15741 17363 20804 148 11372 16100 5618 12221 5904 9495 13759 20358 3977
"200636_s_at" 16847 15913 16105 12215 13526 19837 6406 14943 15019 4430 14097 19749 6286 13588 5538 15586
"200637_s_at" 17629 20946 18725 12316 19263 21891 6735 13224 17408 20650 16099 19704 5815 20446 22179 1097
"200638_s_at" 5713 15896 15327 5721 4981 14670 17648 5297 7591 16960 14541 8655 11711 13606 4851 17448
"200639_s_at" 4669 16110 14731 7306 4741 4267 15612 4929 6510 16892 13462 4316 19000 14978 14643 5964
"200640_at" 7223 4511 14996 17917 4970 16813 18184 8310 7587 14953 13308 12124 14028 14095 16567 15173
