"inst_1706" "inst_1828" "inst_1869" "inst_2533" "inst_5457" "inst_6096" "inst_6358" "inst_6794" "inst_7146"
"200794_x_at" 7150 19900 6723 6882 5095 4974 2169 7421 16466
"200795_at" 16618 11008 16181 20963 10069 2605 14855 13918 11107
"200796_s_at" 1045 11428 18200 966 9506 20931 4155 19760 1072
"200797_s_at" 9466 14432 5261 6509 3836 9826 12060 9386 21155
"200798_x_at" 1678 20785 7280 1464 3497 16167 11332 3639 4498
"200799_at" 9979 808 14057 14391 5011 6561 10439 8970 3263
"200800_s_at" 8609 21313 20093 18969 4331 19038 7445 4510 18838
"200801_x_at" 20870 1289 18366 10544 19372 11387 20614 12337 3274
"200802_at" 5663 12164 19871 7529 19377 17804 5726 4247 5296
"200803_s_at" 4958 13929 3009 2068 9549 8494 8576 5234 17219
"200804_at" 9639 16903 18866 15719 6716 17445 20238 4748 17265
"200805_at" 20266 21824 3953 20725 9689 15670 10057 3377 18200
"200806_s_at" 6984 12206 5769 3881 8400 8023 6811 17789 16806
"200807_s_at" 11200 1193 6790 8629 10911 11397 11750 10088 14699
"200808_s_at" 11117 18094 19991 20373 9988 18163 3587 1135 3333
"200809_x_at" 20884 11956 6913 10558 19107 11403 12336 18928 15155
"200810_s_at" 3661 12862 5642 6165 2820 8141 8225 5244 16758
"200811_at" 9448 20635 599 4516 9158 5728 5344 9265 20968
"200812_at" 7027 17668 6635 16400 8835 8545 6020 8125 5586
"200813_s_at" 19958 17002 2240 16951 7272 19661 1682 18542 21495
"200814_at" 5975 11740 6589 7402 10990 9494 10045 4774 3579
"200815_s_at" 4830 12646 19856 6411 8918 18992 3289 8658 4491
"200816_s_at" 7941 15320 21286 17392 5110 6942 11686 8806 18853
"200817_x_at" 20802 1604 18068 10555 12965 11400 15016 12355 4857
"200818_at" 9680 11753 8083 5945 9168 18432 11540 7970 16592
"200819_s_at" 10866 11793 8250 10643 17966 11511 11103 8380 15814
"200820_at" 9293 16377 18372 6263 9727 8983 7951 8207 2859
"200821_at" 7834 15549 19665 17457 1196 8274 2118 2986 4808
"200822_x_at" 10352 1032 20354 16368 4283 6383 11316 18351 15165
"200823_x_at" 20039 17297 18259 4565 18068 7047 21009 17502 2627
"200824_at" 2333 17682 8842 5610 20597 3095 7036 21009 3978
"200825_s_at" 5770 15148 3766 15695 7795 4511 11787 3298 5342
"200826_at" 10486 13389 6754 17208 10992 8063 8236 8670 17949
"200827_at" 21161 19843 21898 21902 5300 9530 8417 17999 3949
"200828_s_at" 7807 17196 5770 2645 8882 17823 9325 6323 15038
"200829_x_at" 4906 13433 4722 8616 5451 16376 8118 3466 15248
"200830_at" 8114 13495 2190 5970 7556 9650 11716 9656 14412
"200831_s_at" 20061 14944 18306 5749 6718 6532 21672 18084 22016
"200832_s_at" 9137 18679 4672 6778 18447 6856 9505 9010 15897
"200833_s_at" 20555 12100 8395 18468 2414 8606 10427 5797 19533
"200834_s_at" 11090 12147 18160 10589 13006 11446 20834 12419 4948
"200835_s_at" 8050 14187 349 21610 2136 6186 10858 21440 20429
"200836_s_at" 5589 19095 2817 614 4683 177 20432 1488 17397
"200837_at" 9109 16516 7376 8931 19858 19472 9402 1837 18888
"200838_at" 6830 17436 7975 5479 1754 8420 6795 8539 17039
"200839_s_at" 5748 16030 18797 6122 5222 7368 9734 17281 15208
"200840_at" 9657 2178 8335 6808 9006 9003 9269 7326 16305
"200841_s_at" 2323 18016 3587 2251 18601 16309 2736 21598 16889
"200842_s_at" 3385 11661 2742 7384 9798 6662 5477 5198 14516
"200843_s_at" 5058 15606 18397 15611 6659 6985 9693 17984 16050
"200844_s_at" 9299 2080 18661 5527 10455 16027 19686 9951 16551
"200845_s_at" 8086 11770 7789 8264 5121 7710 11862 9440 15450
"200846_s_at" 7267 18591 4071 6825 5608 7137 11697 6061 14583
"200847_s_at" 3302 19064 8361 4994 4284 6392 20848 8423 18055
"200848_at" 420 14886 7760 3482 20021 18145 1680 3197 16772
"200849_s_at" 10438 17768 7608 7720 2299 7863 10157 1526 16849
