"inst_2571" "inst_3433" "inst_3816" "inst_3899" "inst_4373" "inst_4551"
"200662_s_at" 7350 13302 15970 2848 18257 9204
"200663_at" 9657 13930 4238 20202 18371 1619
"200664_s_at" 10663 2974 3805 6736 18853 4338
"200665_s_at" 15695 6766 8612 16862 9682 18231
"200666_s_at" 8029 15830 19277 10508 5598 5669
"200667_at" 8313 19004 8015 19407 15907 17599
"200668_s_at" 8474 12949 14180 8668 16657 8454
"200669_s_at" 12146 12619 4366 5067 8881 7298
"200670_at" 6034 13681 16439 8658 7149 2392
"200671_s_at" 16874 12699 4314 22167 15015 19711
"200672_x_at" 10480 22027 2314 17639 21564 20918
"200673_at" 5032 14353 7912 9693 7777 3786
"200674_s_at" 14174 2199 10161 13451 10778 18736
"200675_at" 4664 20297 14120 7763 7806 4322
"200676_s_at" 5252 1760 5351 2906 18448 16928
"200677_at" 4729 15165 13512 19306 9046 6457
"200678_x_at" 18716 17703 18048 9856 7448 16083
"200679_x_at" 12010 13926 4218 19881 8504 5793
"200680_x_at" 12091 11737 10204 13504 10840 5800
"200681_at" 8821 12782 15664 10335 5814 6421
"200682_s_at" 9856 12179 5349 17780 14675 17124
"200683_s_at" 8465 17088 4124 6133 19058 9103
"200684_s_at" 6217 13437 8351 9190 7814 6217
"200685_at" 1060 13717 8483 729 21011 8830
"200686_s_at" 765 13693 14023 9591 5348 8541
"200687_s_at" 11143 17488 17930 18234 14360 6189
"200688_at" 1622 18254 19725 20907 7274 19561
"200689_x_at" 11572 2941 15710 18312 10832 8416
"200690_at" 1530 13806 17022 6913 16886 17475
"200691_s_at" 8470 15720 6544 10155 17293 9424
"200692_s_at" 18568 13789 4981 7315 16967 6944
"200693_at" 7268 13311 5652 19660 14900 4207
"200694_s_at" 7943 16389 16526 10819 5622 2610
"200695_at" 20389 15459 7481 7264 16770 21227
"200696_s_at" 1298 19261 21527 8507 2621 18259
"200697_at" 8801 18449 18199 10971 18145 5998
"200698_at" 8366 20073 4191 19011 7878 8257
"200699_at" 12020 17914 5072 5935 7971 9081
"200700_s_at" 10709 16937 6317 17713 8653 18612
"200701_at" 9776 1703 14301 3849 6464 7682
"200702_s_at" 19651 20664 4631 8311 7530 4624
"200703_at" 11599 2871 7428 18966 7152 5656
"200704_at" 1512 18531 20334 20181 4539 1748
"200705_s_at" 18894 12125 14942 10056 17868 17167
"200706_s_at" 1289 21726 5651 8205 7559 21664
"200707_at" 10287 19829 19391 8765 15188 20761
"200708_at" 6699 16059 15860 8060 8678 5907
"200709_at" 9589 18790 15778 4054 14602 16109
"200710_at" 7002 17854 7016 4713 4863 8589
"200711_s_at" 8846 13991 15987 4892 19260 4754
"200712_s_at" 4236 14574 3769 8616 18080 5890
"200713_s_at" 4857 14241 4730 5980 17172 1528
"200714_x_at" 4728 17650 6005 4519 6208 8115
"200715_x_at" 18709 2127 14370 11395 8082 17442
"200716_x_at" 14217 1715 10193 13490 10824 16652
"200717_x_at" 14112 3344 10077 13375 10689 11598
"200718_s_at" 6521 13484 7616 10045 10642 6887
"200719_at" 7888 20889 8166 9176 6183 3323
"200720_s_at" 9546 2456 5573 4795 17436 8866
"200721_s_at" 9062 18905 7219 11240 3667 3976
"200722_s_at" 1595 19191 8335 20070 6764 19528
"200723_s_at" 9358 12938 6765 9228 8972 19176
"200724_at" 14322 914 16116 386 20813 19294
"200725_x_at" 11840 2185 18445 19771 10648 16795
"200726_at" 10610 15990 14448 5351 15796 7942
"200727_s_at" 19637 20618 2499 19035 8970 1407
