"inst_838" "inst_955"
"201040_at" 14619 18898
"201041_s_at" 4820 16743
"201042_at" 7068 13394
"201043_s_at" 2629 3529
"201044_x_at" 6779 9345
"201045_s_at" 8623 6994
"201046_s_at" 1092 15581
"201047_x_at" 16828 14785
"201048_x_at" 267 2828
"201049_s_at" 7944 3530
"201050_at" 2555 2181
"201051_at" 20211 17240
"201052_s_at" 15485 17590
"201053_s_at" 15225 20087
"201054_at" 2235 13775
"201055_s_at" 4585 16057
"201056_at" 14727 3609
"201057_s_at" 16606 17134
"201058_s_at" 12082 10287
"201059_at" 14199 19386
"201060_x_at" 18298 21607
"201061_s_at" 4056 16364
"201062_at" 9053 9979
"201063_at" 482 8606
"201064_s_at" 16310 15570
"201065_s_at" 17579 15840
"201066_at" 14131 20892
"201067_at" 2678 3063
"201068_s_at" 14690 14518
"201069_at" 6554 9859
"201070_x_at" 4099 20647
"201071_x_at" 3955 14795
"201072_s_at" 21957 21999
"201073_s_at" 20505 19958
"201074_at" 17268 17655
"201075_s_at" 15224 16753
"201076_at" 2305 21056
"201077_s_at" 17017 17680
"201078_at" 18266 18371
"201079_at" 19204 18653
"201080_at" 3834 22029
"201081_s_at" 15418 20816
"201082_s_at" 4407 2838
"201083_s_at" 18174 21522
"201084_s_at" 16167 18140
"201085_s_at" 2138 21761
"201086_x_at" 16539 13737
"201087_at" 4564 2928
"201088_at" 17678 17417
"201089_at" 15902 13809
"201090_x_at" 15661 14008
"201091_s_at" 16620 15269
"201092_at" 16791 18238
"201093_x_at" 3547 2648
"201094_at" 4148 3332
"201095_at" 20605 21254
"201096_s_at" 16386 14544
"201097_s_at" 18200 16742
"201098_at" 3573 15808
"201099_at" 19134 15817
"201100_s_at" 15375 14621
"201101_s_at" 18042 16908
"201102_s_at" 1479 1231
"201103_x_at" 17910 3365
"201104_x_at" 2786 1748
"201105_at" 18484 17115
"201106_at" 3812 3949
"201107_s_at" 6142 8104
"201108_s_at" 21779 21972
"201109_s_at" 21397 22011
"201110_s_at" 22128 21940
"201111_at" 15297 16476
"201112_s_at" 16774 17082
"201113_at" 14688 17957
"201114_x_at" 14910 15347
"201115_at" 18319 19761
"201116_s_at" 19437 21813
"201117_s_at" 3890 18116
"201118_at" 16069 15881
"201119_s_at" 15553 16636
"201120_s_at" 17380 19696
"201121_s_at" 15649 18516
"201122_x_at" 16513 19192
"201123_s_at" 19390 20824
"201124_at" 1326 16987
"201125_s_at" 15044 14669
"201126_s_at" 20229 1807
"201127_s_at" 1822 14708
"201128_s_at" 2578 15060
"201129_at" 18687 2245
"201130_s_at" 2218 18401
"201131_s_at" 18432 15975
"201132_at" 15484 20142
"201133_s_at" 19687 18356
"201134_x_at" 4496 3771
"201135_at" 4507 13878
"201136_at" 17520 19397
"201137_s_at" 7081 6395
"201138_s_at" 1964 16088
"201139_s_at" 4098 14974
"201140_s_at" 15828 20775
"201141_at" 898 8447
"201142_at" 4740 20029
"201143_s_at" 2865 20692
"201144_s_at" 14806 15445
"201145_at" 3987 3441
"201146_at" 20754 18375
"201147_s_at" 8281 6694
"201148_s_at" 9221 12853
"201149_s_at" 9124 10594
"201150_s_at" 12336 5529
"201151_s_at" 21469 21500
"201152_s_at" 17263 14875
"201153_s_at" 16970 18866
"201154_x_at" 3210 3366
"201155_s_at" 18574 18566
"201156_s_at" 15718 20953
"201157_s_at" 18168 19241
"201158_at" 17708 2440
"201159_s_at" 19142 2642
"201160_s_at" 17190 19904
"201161_s_at" 14195 14547
"201162_at" 11729 6276
"201163_s_at" 12402 8490
"201164_s_at" 17674 13572
"201165_s_at" 16614 14631
"201166_s_at" 15947 16980
"201167_x_at" 271 1579
"201168_x_at" 15433 13990
"201169_s_at" 8359 19463
"201170_s_at" 779 1710
"201171_at" 15530 774
"201172_x_at" 17467 16602
"201173_x_at" 14953 15459
"201174_s_at" 15723 18737
"201175_at" 17352 18124
"201176_s_at" 2573 3605
"201177_s_at" 19007 20781
"201178_at" 16275 15003
"201179_s_at" 15411 3977
"201180_s_at" 14799 14642
"201181_at" 4018 20690
"201182_s_at" 2567 20023
"201183_s_at" 18063 20019
