"inst_870" "inst_978" "inst_2957" "inst_3518" "inst_5439" "inst_6339"
"200698_at" 18528 19695 18712 16745 17721 15172
"200699_at" 5151 19353 17771 16165 18914 12661
"200700_s_at" 17973 17466 15453 14242 4760 17593
"200701_at" 17725 14898 13081 5481 3053 14931
"200702_s_at" 20449 21870 15732 19181 20176 18424
"200703_at" 18596 20639 20877 14654 13986 15609
"200704_at" 4372 17796 1923 5119 5635 21695
"200705_s_at" 17397 15601 1853 5569 12952 16298
"200706_s_at" 16305 3507 14771 5452 4689 19218
"200707_at" 18160 19141 12441 14182 15780 20839
"200708_at" 6307 4951 19359 14674 6537 17934
"200709_at" 4199 18085 19543 5174 13593 15122
"200710_at" 20085 2436 14608 18120 6349 17163
"200711_s_at" 17613 19516 18260 5893 14238 17358
"200712_s_at" 18483 20178 20750 5752 15223 14393
"200713_s_at" 5487 17397 17968 5650 15797 17094
"200714_x_at" 4033 5287 14941 2813 6120 13511
"200715_x_at" 6565 3405 11660 5680 4486 3612
"200716_x_at" 17132 3357 5734 14966 8718 12648
"200717_x_at" 12064 14971 5464 8648 8615 7637
"200718_s_at" 5314 15562 13484 5382 5253 4247
"200719_at" 19969 20353 20401 16351 13009 3532
"200720_s_at" 16389 14505 17536 16476 15876 17241
"200721_s_at" 16442 14693 17327 17154 17232 13939
"200722_s_at" 18464 20436 19388 21829 20408 20469
"200723_s_at" 7281 20567 16488 17076 15907 18458
"200724_at" 9900 10624 6606 16591 5664 4164
"200725_x_at" 6765 5413 11060 5855 4798 3200
"200726_at" 18477 17711 17375 5124 17330 15850
"200727_s_at" 5840 21997 21174 18022 18014 4124
"200728_at" 7828 19470 15062 4824 6137 13663
"200729_s_at" 7210 17769 15279 14212 13385 17081
"200730_s_at" 2502 3727 881 117 329 2822
"200731_s_at" 1224 15289 1009 148 568 2886
"200732_s_at" 16765 4172 15467 3187 3034 16449
"200733_s_at" 4858 16072 472 264 1718 15454
"200734_s_at" 16593 4910 20202 15387 16465 16661
"200735_x_at" 12279 5294 5626 6520 8674 15424
"200736_s_at" 8069 9117 13598 9902 11133 14141
"200737_at" 3173 16829 21250 3906 5314 19256
"200738_s_at" 17496 4934 17072 14946 4814 13841
