"inst_338" "inst_1528" "inst_1945" "inst_2028" "inst_4667" "inst_5262" "inst_5627"
"200744_s_at" 9846 14545 5592 5178 6128 18385 17362
"200745_s_at" 13581 14025 18357 4621 15730 14881 4055
"200746_s_at" 11282 13464 7056 18825 3656 4605 15115
"200747_s_at" 14827 2140 20130 22269 2222 4635 4854
"200748_s_at" 8581 13129 1885 3416 6716 5326 5747
"200749_at" 15905 18466 3972 20739 16971 7935 17489
"200750_s_at" 11747 5852 4767 19158 8662 16255 12052
"200751_s_at" 14761 18560 3146 16373 3127 15180 16307
"200752_s_at" 10496 16100 18368 3393 4935 19022 18007
"200753_x_at" 13941 19029 2966 1571 5560 6975 13358
"200754_x_at" 13455 4118 5515 1176 15300 15432 13803
"200755_s_at" 810 17951 18136 1180 8220 2703 15940
"200756_x_at" 3280 3827 20876 20406 3375 20371 5029
"200757_s_at" 10040 17757 4367 15945 9165 18978 12972
"200758_s_at" 3040 14292 6506 15990 5141 17753 4201
"200759_x_at" 17568 19396 3755 5270 5436 5746 19230
"200760_s_at" 2624 19056 18251 4587 17872 7197 14592
"200761_s_at" 9998 17266 4699 21748 7410 1879 12607
"200762_at" 18742 2183 4165 21711 18650 3132 20233
"200763_s_at" 3508 13886 5198 18189 9304 14779 7559
"200764_s_at" 3555 5418 17274 7472 13494 5129 13617
"200765_x_at" 11009 17059 16267 11129 11024 7015 13331
"200766_at" 3062 14793 3695 20112 16111 4370 17239
"200767_s_at" 2274 5404 22031 2750 4618 18314 2649
"200768_s_at" 20531 17541 7087 17346 15625 19835 14989
"200769_s_at" 17499 18735 631 4816 8664 19899 11527
"200770_s_at" 879 1735 1418 4633 2012 17963 12263
"200771_at" 11667 3591 7337 18140 15919 16713 4768
"200772_x_at" 15767 4264 6686 4692 15405 16925 7502
"200773_x_at" 9351 5375 4823 18319 17419 14708 4939
"200774_at" 14902 15130 6368 16336 16426 14673 5464
"200775_s_at" 14569 14771 20562 18305 7419 15306 4793
"200776_s_at" 3330 17208 4476 20027 3880 16904 4549
"200777_s_at" 15438 16109 19465 5017 5394 15991 14964
"200778_s_at" 11761 19791 19436 2600 3947 16558 14478
"200779_at" 1100 2874 20174 2808 6509 3424 3448
"200780_x_at" 9082 3832 3489 3947 16464 14600 11866
"200781_s_at" 8808 4949 19624 15754 16429 15466 7453
"200782_at" 12225 14014 18965 16907 7477 3376 18411
"200783_s_at" 22243 13326 4548 3474 16948 17883 3249
"200784_s_at" 5692 11434 9393 11566 21264 9462 7089
"200785_s_at" 20678 6161 9296 3187 825 12652 8701
"200786_at" 9184 15523 4821 16205 6215 18268 4548
"200787_s_at" 11487 18214 18801 2795 935 18679 5018
"200788_s_at" 11310 21344 3783 17110 18902 15186 19953
"200789_at" 1741 18662 19546 2496 7828 3850 15344
"200790_at" 11000 15161 18038 15896 9068 4275 5244
"200791_s_at" 1126 15375 18444 17439 15782 16226 5246
"200792_at" 3247 4358 21410 16308 5834 17324 5283
"200793_s_at" 18231 891 19430 4883 3824 19471 15788
"200794_x_at" 8792 15346 1042 5046 8193 15821 15029
"200795_at" 18916 8831 9580 13653 1275 180 999
"200796_s_at" 2578 21962 15089 3838 4541 20694 21193
"200797_s_at" 14306 14087 21228 3163 3247 6233 5569
"200798_x_at" 16258 17740 2166 18055 1401 14477 14680
"200799_at" 1219 15519 1452 10309 16446 7384 5030
"200800_s_at" 2032 5791 2407 19961 1558 15076 3938
"200801_x_at" 3056 8404 6364 1959 11038 10134 7338
"200802_at" 2569 3719 7191 4326 7174 14641 12527
"200803_s_at" 10062 14240 4433 17012 5468 15955 16077
"200804_at" 9042 5984 21284 4273 4617 7971 12953
"200805_at" 16704 20649 2354 16884 15628 6713 16889
"200806_s_at" 1837 19491 3703 16819 5470 15115 11569
"200807_s_at" 9290 13365 18310 15741 16442 10150 7354
"200808_s_at" 339 17593 3253 19324 9353 20786 11809
"200809_x_at" 3243 13557 20621 5174 16689 16636 4858
"200810_s_at" 1272 3870 20240 20766 9296 3088 14219
"200811_at" 9401 5764 18535 4538 8135 1139 13185
"200812_at" 3305 5466 4944 16921 7097 17403 15039
"200813_s_at" 13991 17466 21387 377 3545 20148 5026
"200814_at" 9430 5231 20107 4207 8037 5298 14752
"200815_s_at" 769 1377 1048 5490 16107 6583 16013
"200816_s_at" 18498 20117 5582 3955 18905 19233 18965
"200817_x_at" 8976 8376 988 16534 11053 10153 7356
"200818_at" 14064 4682 2832 17428 6189 5709 12705
"200819_s_at" 2621 4990 7151 2449 15307 5507 7482
"200820_at" 8603 4600 5222 2352 5877 7474 3140
"200821_at" 20889 16515 413 18028 3253 7429 16617
"200822_x_at" 9976 16550 18746 16388 8042 7557 4380
"200823_x_at" 1291 5427 1769 3483 6611 15028 12474
"200824_at" 16115 9745 20320 5155 3587 21999 21431
"200825_s_at" 966 4263 20547 359 6073 4449 12438
"200826_at" 3109 14324 7376 4254 5343 8104 12546
"200827_at" 14297 15377 5172 18872 5268 17697 5794
"200828_s_at" 8518 16348 6312 17766 7268 18082 12111
"200829_x_at" 12679 19814 2941 21558 15857 7398 18079
"200830_at" 3500 14189 18338 17878 17993 8059 12169
"200831_s_at" 2773 16611 794 1836 17446 17361 3113
"200832_s_at" 11211 15793 5150 15881 17667 15811 16367
"200833_s_at" 12162 18826 63 20607 7876 15475 17595
"200834_s_at" 9539 14619 18453 15900 11099 10228 7413
"200835_s_at" 7023 21887 781 2651 6623 2220 4716
"200836_s_at" 2534 17609 4701 17163 1403 1379 1066
"200837_at" 3193 14671 4867 5031 9333 4537 5630
"200838_at" 12513 19185 2240 16603 19004 7903 17715
"200839_s_at" 8958 15255 20489 16193 16969 3642 13256
"200840_at" 11330 13642 6418 16474 16232 15708 15120
"200841_s_at" 12282 15194 5199 16581 7285 5377 2902
"200842_s_at" 15810 2460 3017 17212 9091 7970 5075
"200843_s_at" 9190 14774 19370 5058 15853 15986 5079
"200844_s_at" 1628 15765 18970 19809 6067 6292 11780
"200845_s_at" 13643 5615 5600 18114 9150 15066 14996
"200846_s_at" 10811 5241 5329 5212 8254 16752 14432
