"inst_342" "inst_435" "inst_437" "inst_499" "inst_576" "inst_632" "inst_2990" "inst_4392" "inst_4569"
"200060_s_at" 6467 15058 4738 8949 20186 18630 7392 17437 4477
"200061_s_at" 15930 14610 17328 16125 12877 17645 10917 9738 10358
"200062_s_at" 3803 6912 6901 17625 5444 4913 10839 9601 10252
"200063_s_at" 20876 6743 16484 18836 12408 5614 15370 9809 10413
"200064_at" 5566 15805 19618 15947 12422 18225 9046 14407 16934
"200065_s_at" 7195 7126 7119 5740 17299 5569 4851 6157 6108
"200066_at" 18784 18721 6384 15590 13299 5704 2663 7267 20086
"200067_x_at" 6909 15390 3221 5875 13466 18320 6153 6634 4508
"200068_s_at" 16724 4700 17648 9342 4175 3454 8592 4974 6283
"200069_at" 1817 20429 6874 22041 17617 17130 7761 2684 4001
"200070_at" 19864 17562 7924 20581 20539 21788 6104 16733 2889
"200071_at" 17841 8613 18100 5261 21536 21193 7994 16440 15567
"200072_s_at" 8288 16480 5478 18471 17435 19165 8458 16128 17077
"200073_s_at" 7771 19926 5359 19047 20689 19910 5351 2839 7206
"200074_s_at" 4161 15214 6056 8078 16777 17244 7213 15846 6127
"200075_s_at" 20970 19729 6561 8326 20677 4558 4336 5548 6843
"200076_s_at" 7142 17829 19017 17538 12787 5100 5766 17364 15721
"200077_s_at" 17484 17446 6800 9324 12742 6151 16262 7847 6558
"200078_s_at" 18932 15706 8210 15773 15514 20299 8604 5335 5673
"200079_s_at" 8088 14668 6444 19661 16519 6129 4998 4026 19381
"200080_s_at" 20218 5148 5787 20035 19234 16873 8842 9802 17501
"200081_s_at" 17262 17520 7276 6550 15023 17896 8919 15861 15578
"200082_s_at" 1257 7083 5212 17800 17669 16750 7766 9796 16116
"200083_at" 21317 15083 8694 19652 16026 5598 5103 2937 3213
"200084_at" 7502 16595 5066 8563 17487 3887 5156 15578 17089
"200085_s_at" 19137 15340 8248 17654 17120 5699 15559 17141 5054
"200086_s_at" 16473 6968 5751 16919 15067 5952 16295 5065 3558
"200087_s_at" 18071 6776 5959 17575 15852 1975 18121 4230 6114
"200088_x_at" 16450 7706 8814 16014 12414 5293 10846 9614 15529
"200089_s_at" 16165 8668 5237 9052 17463 5720 8983 15695 7429
"200090_at" 18783 17252 7689 6600 16264 17382 15753 7606 7997
"200091_s_at" 15530 15088 5145 7164 14684 4064 6711 7306 3202
"200092_s_at" 17743 14876 7589 9245 16055 5035 8017 9819 17812
"200093_s_at" 19925 15040 3229 7333 17526 5929 19044 15877 7517
"200094_s_at" 2815 14117 6766 20375 16971 21778 15103 5748 15145
"200095_x_at" 18082 14920 19210 5937 5711 18436 11019 9899 10488
"200096_s_at" 18114 6570 3333 16277 19147 4714 18309 3891 2216
"200097_s_at" 17672 15322 6104 16655 19806 5875 15266 2395 5024
"200098_s_at" 21191 7078 7705 5409 13661 3459 15258 16797 7034
"200099_s_at" 5416 3777 7535 17975 15887 18358 10975 9824 6610
"200593_s_at" 18024 8169 8197 18550 5228 4725 20394 18946 16003
"200594_x_at" 18413 16060 6545 8914 17426 18082 8011 3965 16422
"200595_s_at" 19468 18534 5895 18956 19692 5803 7369 16357 5641
"200596_s_at" 4197 21953 8137 18213 16701 20355 8985 15716 15708
"200597_at" 4773 3480 20643 16063 14250 21208 4090 16333 19936
"200598_s_at" 15548 18466 17201 9162 12499 5341 7911 16282 7559
"200599_s_at" 16627 6713 3852 20546 18031 20412 5122 6787 16101
"200600_at" 17274 17125 13387 14923 9983 17788 18009 13029 17932
"200601_at" 19481 1321 19702 1564 16463 4226 18813 3879 2103
"200602_at" 20526 19809 19376 20879 19227 17981 14952 3010 4017
"200603_at" 8226 14687 7622 6570 20804 3224 8814 14568 4790
"200604_s_at" 9083 6761 16442 7490 5085 18405 4280 16602 17874
"200605_s_at" 7237 17484 3272 17613 21728 21498 17612 18859 16511
"200606_at" 19533 21597 17130 16718 19001 12562 18081 4323 4358
"200607_s_at" 5185 3568 1656 8627 12566 5889 8912 19122 17440
"200608_s_at" 4689 18591 5464 6062 21712 18733 17913 5327 5328
"200609_s_at" 19086 17157 19859 19993 20580 21977 3306 16747 1516
"200610_s_at" 18398 15850 8765 20223 16381 17055 8219 16740 5086
"200611_s_at" 7734 7060 16744 6551 18045 6139 15515 14337 16318
"200612_s_at" 21341 8245 18796 19464 14525 1405 21397 21636 21418
"200613_at" 7105 18257 20668 4011 21206 19423 4836 6274 3811
"200614_at" 17203 15713 18032 8414 12767 17621 3794 9629 15225
"200615_s_at" 7403 18697 16999 17478 5436 4168 5245 19368 17841
"200616_s_at" 7186 20364 2556 19142 16579 19421 7327 14743 17191
"200617_at" 18993 17812 18375 6511 4291 16872 18076 6854 15988
"200618_at" 6874 17357 7785 16222 17834 21897 15268 16136 3707
"200619_at" 17701 20082 20546 16682 19014 19458 15881 4892 3970
"200620_at" 6552 8091 4906 19090 16532 3664 7175 14633 8142
"200621_at" 19763 14190 18762 6650 12150 5007 16049 16657 4357
"200622_x_at" 6603 14703 4789 5634 5442 17407 16341 19113 6292
"200623_s_at" 6702 4423 17834 7934 16552 5096 8309 19926 20236
"200624_s_at" 18481 7480 9199 8558 19450 16945 8698 13759 8419
"200625_s_at" 6518 16511 3057 16794 18413 19378 6015 3352 6322
"200626_s_at" 16282 18008 19555 5991 20740 22052 2831 3305 14748
"200627_at" 7060 5676 17280 18864 16714 17292 7676 5234 15998
"200628_s_at" 6501 8339 16474 21079 4027 5560 19089 15273 18481
"200629_at" 20993 8430 21080 9330 13649 1032 6042 4744 15826
"200630_x_at" 1422 3650 16826 18634 92 5188 8497 5800 8014
"200631_s_at" 17124 14422 17020 19390 2143 19519 17445 15626 5139
"200632_s_at" 18456 17452 4977 17078 2282 2392 17757 18562 5234
"200633_at" 6925 4742 7621 17107 12809 17761 7170 9737 10357
"200634_at" 19438 20421 16265 16911 15931 2538 8532 14505 7583
"200635_s_at" 17140 1798 17077 21332 13527 3667 9877 3389 17791
"200636_s_at" 17455 20736 17139 4148 15755 267 11804 3756 19122
"200637_s_at" 6660 3163 21240 19435 13314 18115 10155 3712 19708
"200638_s_at" 17662 8434 16383 17198 19195 3953 15301 15541 16508
"200639_s_at" 18820 15731 8144 17315 20717 17201 17141 17946 15639
"200640_at" 5562 15130 16462 8839 15642 19400 16396 14551 7801
"200641_s_at" 4171 14169 17279 8607 16198 21014 8100 18717 20496
"200642_at" 16433 7380 4187 8521 15766 16858 6548 16101 8172
"200643_at" 20196 6192 8565 4643 14833 4619 6541 14133 1973
"200644_at" 16120 2349 17658 17758 16015 5332 19023 17433 15476
"200645_at" 16695 6444 6113 16881 15805 3708 6118 3342 6851
"200646_s_at" 759 18508 3088 8242 17436 18015 2940 14947 4367
"200647_x_at" 19666 15227 18904 18109 16037 19258 5429 18444 5417
"200648_s_at" 3148 18956 8363 7466 20215 1795 8358 18339 21681
"200649_at" 5900 14881 20351 19454 16403 19376 19235 2214 7155
"200650_s_at" 4679 8473 17557 15780 16797 17592 16727 9551 10204
"200651_at" 4322 17764 8508 7166 14457 3659 6673 9875 15809
"200652_at" 17272 5924 4267 15896 16250 4653 7383 17418 17321
"200653_s_at" 3528 4814 2371 3817 17733 17080 7143 3953 1990
"200654_at" 7650 14708 18739 8549 16291 2455 16165 7456 15259
"200655_s_at" 20314 7579 8960 8333 18926 18392 15038 16649 4384
"200656_s_at" 7840 14423 7326 7859 20303 3992 5807 3659 7919
"200657_at" 4753 14065 8720 17886 15540 19994 8207 13930 14963
"200658_s_at" 6543 6757 6634 19845 18731 6054 5911 4049 16081
"200659_s_at" 19593 15111 16345 8784 18771 21896 5083 15790 6865
"200660_at" 7491 6910 5778 4610 14114 20330 20105 17303 3923
"200661_at" 17452 14534 16746 18756 12292 18814 4141 15375 15491
"200662_s_at" 19398 15397 8538 17559 20427 18060 4679 5679 4854
"200663_at" 6626 16329 2672 4266 17600 17392 7162 3832 15105
"200664_s_at" 17227 7408 3809 18817 13305 2891 16087 7263 5493
"200665_s_at" 11471 2848 13228 12288 7929 19191 13824 1731 1295
"200666_s_at" 8300 15357 5858 17894 15562 1981 5964 6789 16750
"200667_at" 6762 18856 6844 7647 19700 20621 7647 16332 4458
"200668_s_at" 3974 19746 16917 4623 20332 17804 6854 5345 6834
"200669_s_at" 3208 16128 5245 19608 16880 1719 6073 15371 18757
"200670_at" 17179 7553 5916 16390 14751 111 5018 7639 18675
"200671_s_at" 2014 21915 17903 10446 8048 2100 1473 5342 21455
"200672_x_at" 15652 7782 4757 2974 17296 20612 21347 5061 3102
"200673_at" 18301 8550 4902 16607 16787 4499 15728 7129 4977
"200674_s_at" 8739 6085 17137 17225 4347 3586 15648 9831 17836
"200675_at" 6893 15859 7739 7179 21187 3729 7939 5786 4161
"200676_s_at" 15893 3903 2144 3628 13605 18706 21594 15430 19971
"200677_at" 16584 18779 16898 16829 15204 17385 18210 13943 4381
"200678_x_at" 19928 6674 20874 19170 14924 17507 15025 7170 5206
"200679_x_at" 2209 7899 4023 6824 19699 19710 8999 18311 5783
"200680_x_at" 16071 7348 16212 7446 18981 16806 15216 9904 17755
"200681_at" 15864 8214 8302 8513 16726 2775 6275 6625 7307
"200682_s_at" 6814 5036 7656 15821 18670 6163 8394 14388 8372
"200683_s_at" 20742 20379 20700 16032 2693 5912 6170 14295 7345
"200684_s_at" 16820 17736 7343 17063 18448 4192 2351 18432 17439
"200685_at" 14713 14303 13603 13473 10894 16194 8019 3779 5450
"200686_s_at" 7608 16114 2245 7304 20148 21468 18378 2511 2322
"200687_s_at" 6688 3594 20206 18843 18569 21313 5793 5107 6170
"200688_at" 5067 4881 7828 16999 14185 22158 8583 2526 7895
"200689_x_at" 4759 16750 16709 6176 16692 19537 8154 6929 6438
"200690_at" 2093 8242 6145 1329 15925 837 18612 7230 3826
"200691_s_at" 4248 15328 8955 8700 18034 17243 7197 17145 6928
"200692_s_at" 16228 8642 6896 8729 20859 4951 8671 14692 7169
"200693_at" 20528 6281 8136 18194 18264 17956 6113 4430 5446
"200694_s_at" 8733 7573 17343 5700 18266 20050 6625 4625 5499
"200695_at" 7032 16956 19127 17050 14856 4092 3297 18600 16485
"200696_s_at" 4211 15200 2479 19927 14596 5882 8014 19630 19601
"200697_at" 7510 14472 2368 19914 1769 3102 1511 14912 18545
"200698_at" 2844 20123 7125 18667 17558 4575 17746 15613 18747
"200699_at" 17230 4634 7700 19811 15172 3858 5256 14247 19175
"200700_s_at" 4037 6338 18567 6717 15479 16723 8764 7717 4746
"200701_at" 16618 6015 1081 7868 15096 18340 17673 17997 8281
"200702_s_at" 9081 7214 1459 19802 15997 19075 15424 14238 8426
"200703_at" 6139 14347 3950 8206 14144 5030 7301 7661 3815
"200704_at" 6209 6695 7456 18903 14105 18548 19888 2586 5068
"200705_s_at" 8955 5218 5686 17181 14080 1465 15346 16701 15331
"200706_s_at" 9037 6048 17210 6012 16908 19731 19249 16008 16025
"200707_at" 6106 17663 16622 9050 14957 18836 15785 14566 4466
"200708_at" 6105 6206 17256 3856 15295 5983 5661 7755 17214
"200709_at" 15891 20422 5928 16879 5063 1899 8112 2127 7909
"200710_at" 7481 3360 16738 9043 3466 1137 1774 4589 4670
"200711_s_at" 8247 5616 6881 1528 12158 3041 2274 14627 7026
"200712_s_at" 15909 17336 4964 8631 19246 5222 6640 19636 4946
"200713_s_at" 17572 6069 18894 16912 15424 20354 15724 5895 7439
"200714_x_at" 7141 6927 17734 19660 12285 1873 14811 4421 5899
"200715_x_at" 9005 15517 16575 19215 12377 3868 16457 13782 8359
"200716_x_at" 8679 15365 16688 4879 13103 16736 11015 9889 7121
"200717_x_at" 17125 8208 7626 19204 5329 3028 10912 9732 10354
"200718_s_at" 18962 5648 4310 3906 4425 1218 8896 9681 4882
"200719_at" 2719 6866 3826 17837 19965 19171 17212 14051 16902
"200720_s_at" 17910 7832 18650 6583 12249 18114 4060 17254 15428
"200721_s_at" 20888 16426 19010 18782 12637 4487 16273 3931 19308
"200722_s_at" 1331 5103 4786 20761 20281 17607 18669 20807 21025
"200723_s_at" 19652 16098 7595 20350 16922 19441 6820 16047 17279
"200724_at" 54 17901 16671 4417 368 4779 12523 18999 21920
"200725_x_at" 7629 16853 17236 16424 5277 4898 19380 14978 7937
"200726_at" 21110 21232 7859 17117 18517 3783 16015 6476 7148
"200727_s_at" 3501 15789 17824 8363 16448 18589 6562 17402 1534
"200728_at" 16417 16342 18068 6907 14360 5686 7601 7609 15597
"200729_s_at" 18039 19346 8738 17451 20020 18982 3989 6599 3219
"200730_s_at" 3766 20018 722 8844 20409 17036 16050 17288 5642
"200731_s_at" 6398 4016 3556 5411 2572 1155 15112 17255 18188
"200732_s_at" 8094 4226 4483 19191 17735 18926 18119 17360 19877
"200733_s_at" 4013 21386 2603 20270 21705 2371 4540 2804 4879
"200734_s_at" 3820 6548 16582 15914 5303 4166 2447 17539 6456
"200735_x_at" 15399 14837 5347 17552 16515 4847 10970 9817 15626
"200736_s_at" 10615 7862 10060 13578 9225 18280 7561 4660 6116
"200737_at" 19595 16818 2055 6999 14335 21566 14916 18931 5994
"200738_s_at" 18368 16612 4368 6973 17937 4323 16176 15338 14796
"200739_s_at" 15850 2928 3258 19225 5571 17209 2648 16439 16404
"200740_s_at" 15931 6793 5726 8979 18295 16907 6266 6251 5419
"200741_s_at" 8392 6646 4422 17500 13996 16889 10840 9602 10253
"200742_s_at" 8652 14262 6498 4583 5514 1439 8126 18262 4692
"200743_s_at" 3339 4120 16914 16944 2658 5787 14906 7619 5674
"200744_s_at" 7328 17547 4856 6266 16166 19989 5707 18987 16634
"200745_s_at" 4542 19782 8667 8522 20567 20673 17788 16444 2997
"200746_s_at" 19524 18978 5854 15888 17939 5848 7258 3197 7310
"200747_s_at" 998 15116 21451 16286 809 21099 18395 6585 17954
"200748_s_at" 5651 6421 2724 8542 17766 4720 20131 5489 16608
"200749_at" 16038 4686 3085 20151 13346 17345 3790 7677 6005
"200750_s_at" 18011 14414 7784 7411 16016 18222 15023 14737 8026
"200751_s_at" 4884 6978 6418 19109 17009 22048 16469 15562 18737
"200752_s_at" 7310 14954 21076 19630 5723 1780 4018 3035 4609
"200753_x_at" 4432 17260 8956 19104 19063 6256 4867 5602 6953
"200754_x_at" 7641 16602 16465 7994 20800 19810 6117 13984 17110
"200755_s_at" 3746 19014 16356 22237 3308 20765 4421 2967 14941
"200756_x_at" 18566 6170 2557 17051 12572 18149 15570 20841 21029
"200757_s_at" 7501 16964 17348 18375 5097 5820 15305 17707 15370
"200758_s_at" 17587 14861 8150 16963 15597 19543 16481 4450 7779
"200759_x_at" 1223 4056 16171 19127 12844 1508 17815 1409 16406
"200760_s_at" 17166 14232 4371 7020 13288 3924 16401 17487 15180
"200761_s_at" 5315 15470 6830 5269 14258 5029 7575 15336 3256
"200762_at" 7317 4070 7515 20394 5731 5810 19468 17872 17373
"200763_s_at" 6821 18410 18216 15956 16577 16991 10981 9837 10428
"200764_s_at" 5522 15788 7885 15731 16977 16765 8419 20755 11509
"200765_x_at" 5282 12494 16757 4464 18717 19137 4814 14882 10196
"200766_at" 4896 5323 19908 16758 20189 18047 22237 6649 5884
"200767_s_at" 8358 17580 6775 20198 13295 20338 19774 14734 20002
"200768_s_at" 6709 8553 1532 20878 14926 19379 5828 7649 5225
"200769_s_at" 1308 7585 3869 4808 5017 18498 3896 20459 21678
"200770_s_at" 16482 18786 19495 15957 17128 19443 19615 20917 8047
"200771_at" 5300 5981 18705 18104 17224 5428 15960 1984 15365
"200772_x_at" 16105 7545 3330 7374 15882 18817 9001 9771 15821
"200773_x_at" 7272 15841 5840 8584 15892 18764 7370 7135 15121
"200774_at" 4256 14085 16338 19515 16127 4734 15194 14013 7846
"200775_s_at" 17914 16034 4254 15818 19632 2276 6346 19260 19359
"200776_s_at" 2261 16108 6340 15640 21449 4027 15629 17846 19321
"200777_s_at" 16269 8176 4652 16194 16375 18559 6954 5054 5478
"200778_s_at" 1791 17335 7648 17275 18113 20764 8699 15894 16366
"200779_at" 2044 6181 4352 8137 3416 174 6630 14904 15819
"200780_x_at" 5286 14537 6823 7762 13672 6149 6404 7294 8165
"200781_s_at" 19188 5678 17312 8536 3966 17513 7138 9709 15070
"200782_at" 8852 8450 5229 5630 16088 2962 15757 4714 6649
"200783_s_at" 21639 17707 8870 20701 22283 21071 4315 5554 7140
"200784_s_at" 11976 11206 14543 11428 6796 14844 21139 11831 22220
"200785_s_at" 8844 22250 9681 3481 16273 19529 12246 13326 404
"200786_at" 16594 3790 6709 16748 17451 4541 7734 7555 6804
"200787_s_at" 15501 16377 7805 2776 12712 1015 3954 21722 20482
"200788_s_at" 16193 17978 8002 20243 13943 18718 6619 14415 7363
"200789_at" 16665 21077 2499 16244 15493 2554 17716 19838 18998
"200790_at" 18787 7236 17231 17266 18849 20421 4521 5198 7703
"200791_s_at" 1233 19780 19523 17196 19481 17682 17692 17635 15454
"200792_at" 2588 6684 7445 15922 15491 3822 5627 6292 6641
"200793_s_at" 16886 2872 4891 7537 18746 3798 14893 17525 19552
"200794_x_at" 19701 8018 18910 7659 16306 5246 5675 6580 7381
"200795_at" 8898 692 3587 2874 2592 13041 581 21264 450
"200796_s_at" 2613 5471 2438 16663 16410 21159 1096 22031 20587
"200797_s_at" 21143 14595 17112 20417 18629 4869 5123 15226 15879
"200798_x_at" 6444 19109 7162 19386 18616 19374 1246 5607 5562
"200799_at" 4409 14292 1087 20974 18719 6816 13867 15825 4540
"200800_s_at" 20171 4451 2003 16965 21095 30 7583 14116 6024
"200801_x_at" 4687 6642 16298 15916 5433 21375 15157 9560 10212
"200802_at" 19359 7018 9226 6579 2095 1991 6181 7632 8052
"200803_s_at" 9072 14564 8328 7270 13373 3622 4449 5970 14815
"200804_at" 9009 5620 4901 7207 14302 17532 8174 5731 2943
"200805_at" 16824 7080 2298 19344 16890 3207 3782 6093 15363
"200806_s_at" 16385 15521 16581 16376 14624 17097 7828 14226 14907
"200807_s_at" 18770 8433 8062 6249 14813 5842 7855 9574 7705
"200808_s_at" 19605 15625 21143 19855 18086 21506 15710 18871 5707
"200809_x_at" 19949 4558 8314 16238 4220 1490 8569 9579 17163
"200810_s_at" 7664 17837 5594 18616 14204 2193 5126 3825 4300
"200811_at" 4200 15133 2517 19961 18115 4022 17765 15085 1274
"200812_at" 19033 18941 8146 6517 15233 5608 15056 7176 18076
"200813_s_at" 16237 5660 5331 8938 16944 21582 2219 3573 17040
"200814_at" 2377 3643 17801 17751 12654 6064 15558 5850 7516
"200815_s_at" 18270 8353 19108 18994 16757 5119 5899 16515 18589
"200816_s_at" 19291 16805 17601 7275 19263 6079 18274 5051 3350
"200817_x_at" 1694 16508 5425 2792 16300 17999 10827 9577 10227
"200818_at" 8177 7934 5419 9316 16791 2584 6739 6238 8074
"200819_s_at" 17728 18040 18832 6673 4687 5289 10922 9744 14890
"200820_at" 17929 8256 6159 19919 19440 6311 6450 5740 5563
"200821_at" 20629 19708 145 16351 21858 18583 5755 4116 4461
"200822_x_at" 9082 16124 16336 4566 14294 17323 15283 14330 15408
"200823_x_at" 16081 16988 19130 5478 16036 18341 7595 6727 5546
"200824_at" 18263 16761 21129 926 1607 5790 17837 20487 7541
"200825_s_at" 8126 16650 21643 7599 14728 16896 19960 5050 15977
"200826_at" 18290 4955 8244 9244 13349 1828 14973 17703 16132
"200827_at" 19945 17344 17611 18287 14656 1905 20625 20813 19097
"200828_s_at" 19527 16669 8356 4679 12852 20211 3396 19232 19278
"200829_x_at" 8537 17907 8362 16528 14311 21454 15878 4524 6191
"200830_at" 16049 16709 7259 8101 16684 5221 15363 7219 2328
"200831_s_at" 5947 3573 1226 15756 3673 2683 8550 17818 3732
"200832_s_at" 15805 5420 8520 17985 14932 654 7543 4447 18731
"200833_s_at" 18056 17293 8204 4217 19265 19765 16953 18643 4111
"200834_s_at" 8643 15549 16451 16865 12338 4576 10862 9647 10288
"200835_s_at" 13188 22248 10482 13684 9128 3082 16365 19241 1680
"200836_s_at" 17887 16722 2523 5499 21460 3027 22165 4854 15221
"200837_at" 17555 16270 18689 19394 18962 16861 8369 5083 16577
"200838_at" 7219 5206 5913 21017 12693 17150 6466 13715 7095
"200839_s_at" 16093 8465 19505 4936 15628 17027 16761 7610 2942
"200840_at" 19018 16634 16395 16335 13870 6035 5602 9538 3462
"200841_s_at" 6347 14865 6398 20261 18128 19860 7424 20856 5405
"200842_s_at" 21007 19956 2002 8523 12763 2192 4823 5223 5190
"200843_s_at" 8829 4823 3517 16776 4062 3930 6777 6750 2566
"200844_s_at" 19927 7689 18694 6806 15104 18212 7702 14747 17183
"200845_s_at" 16285 17590 5900 15900 19153 20588 8905 13808 7367
"200846_s_at" 16859 19491 16258 9124 18791 21171 15249 7123 8004
"200847_s_at" 4513 1809 3896 8860 19082 17491 8805 3888 1851
"200848_at" 20926 20621 3284 1393 18762 2614 5064 14328 19398
"200849_s_at" 18338 20357 8770 20050 16568 2857 18209 2078 4558
"200850_s_at" 7247 14389 8424 9102 13768 17140 16420 14162 16005
"200851_s_at" 5117 17659 8087 16983 16188 19254 17880 16556 2780
"200852_x_at" 17165 7941 18417 8565 15142 3421 6928 3144 1985
"200853_at" 15441 15154 8400 7329 15496 5400 18212 17299 3031
"200854_at" 19124 6708 7865 3669 2266 3392 17292 16525 2129
"200855_at" 6759 4434 17153 1472 16790 2987 5010 21743 18800
"200856_x_at" 1090 1717 21921 8882 1876 5758 17022 15370 18483
"200857_s_at" 18863 8276 8848 3508 16007 18971 3295 5158 17037
"200858_s_at" 7233 18361 4800 7529 19791 16695 16511 14444 4506
"200859_x_at" 5593 15161 17650 17782 16412 475 18224 5544 4129
"200860_s_at" 17784 19138 17511 18408 13505 4357 7628 13906 16887
"200861_at" 19712 15286 5287 5752 4336 3266 7720 19004 5436
"200862_at" 18256 8304 16863 792 4387 1781 3697 15487 16703
"200863_s_at" 16719 17150 16146 17927 13869 17413 8333 15778 16761
"200864_s_at" 20705 14557 5509 3227 22036 2910 4628 15824 1363
"200865_at" 10508 8846 14144 10048 1445 9220 795 15458 11504
"200866_s_at" 7946 14779 6854 16116 15363 6110 2679 14050 6627
