"inst_1" "inst_2" "inst_3" "inst_4" "inst_61" "inst_1694" "inst_1816" "inst_1858" "inst_5068" "inst_5487"
"213293_s_at" 14140 11667 11861 15687 11666 10234 18252 8853 13011 3638
"213294_at" 16346 16902 7965 2129 14844 19773 6082 9903 9425 19791
"213295_at" 2236 1094 4730 396 4994 18302 20838 6508 2922 6633
"213296_at" 17949 3499 4052 4567 3409 1320 9227 2690 4459 20392
"213297_at" 15721 74 6798 18923 36 19471 2246 22199 21393 19098
"213298_at" 15568 16155 6439 6500 20650 21817 20205 6121 20943 19145
"213299_at" 13628 10817 3827 15045 8901 8772 16345 15095 20239 3566
"213300_at" 16072 15503 7120 20483 2071 1438 8605 9681 1863 18981
"213301_x_at" 19580 18368 6535 5516 16216 19837 7598 4560 5680 5874
"213302_at" 1232 15172 1718 597 6276 4082 4480 6408 6939 19497
"213303_x_at" 13049 4919 945 5578 10430 22104 19784 11768 20229 21478
"213304_at" 16004 20068 18172 3103 4865 20388 369 404 10367 17588
"213305_s_at" 18616 20436 8379 19468 15839 15644 19687 7397 19111 7705
"213306_at" 2235 10920 2466 16163 15634 3351 2411 18811 20811 5655
"213307_at" 1065 1500 1558 1102 19479 21282 2156 20109 10477 3842
"213308_at" 20436 19126 18182 9166 20583 20376 21304 14215 5482 6385
"213309_at" 10490 6382 9196 11619 8697 10032 8853 1957 4826 15017
"213310_at" 7951 3798 2732 5082 17609 16832 5990 4056 2166 7948
"213311_s_at" 16176 12465 2415 9439 17532 19425 21046 2377 1683 6598
"213312_at" 4706 18518 15430 19501 14203 4411 6628 4948 6964 6767
"213313_at" 16022 16429 8408 6246 19679 21102 3170 3674 2823 4834
"213314_at" 18378 2667 3038 7384 1530 22216 21765 2139 19970 17600
"213315_x_at" 5078 18616 16769 6188 14440 18107 7586 8224 8648 7628
"213316_at" 1868 10269 12785 14705 20974 13624 80 20258 3102 10578
"213317_at" 9168 5632 8812 10157 8930 10874 12208 17841 11968 10986
"213318_s_at" 6750 14661 4734 7353 14964 19218 6127 10303 955 19535
"213319_s_at" 14411 11260 12600 13929 7133 12066 16446 19738 16371 15212
"213320_at" 17607 19567 19600 2918 22183 4627 8138 3209 9448 4553
"213321_at" 4105 8042 12946 13909 12241 1013 21601 32 20867 18709
"213322_at" 7051 21420 6267 3388 2752 16346 695 6367 2328 7124
"213323_s_at" 18581 2856 6109 18179 2988 22144 21012 10408 833 7769
"213324_at" 13837 10897 13429 14979 8393 220 677 816 1981 2792
"213325_at" 3195 12403 3810 8396 18062 10980 7459 15892 18937 3971
"213326_at" 481 15154 8459 476 20625 20443 3451 10187 20897 3550
"213327_s_at" 4053 12733 5359 6151 15904 17995 20545 3921 6817 17547
"213328_at" 932 270 1076 1431 3228 45 22056 21905 18846 1542
"213329_at" 18230 14905 15939 19342 1595 19215 2537 10580 10042 807
"213330_s_at" 16507 21423 4089 8545 17969 3791 18679 4330 8564 3258
"213331_s_at" 3214 9085 9922 2630 7640 21957 6287 2153 7159 8501
"213332_at" 17552 3557 7712 5398 16026 11308 12572 18308 21000 19790
"213333_at" 7699 14808 7448 2782 17317 2302 20694 6350 4632 16996
"213334_x_at" 15418 12486 15313 9656 18525 18708 18696 7956 7624 8879
"213335_s_at" 9437 8618 12436 12288 9627 8708 13848 10133 21766 18211
"213336_at" 11735 8040 12085 12667 11621 22164 1797 773 9952 1165
"213337_s_at" 132 838 16210 5886 201 11026 16153 17197 12162 14491
"213338_at" 10058 5538 11733 13703 13723 11994 6337 2003 5938 3573
"213339_at" 10688 5915 13720 9910 10703 12143 10920 18480 3843 9900
"213340_s_at" 4047 14017 7172 20866 19364 7200 2181 16976 2077 10574
"213341_at" 1060 19092 4183 1416 4592 4622 21931 1034 1428 3071
"213342_at" 6600 19541 15740 2856 4571 19765 3496 19744 9316 20391
"213343_s_at" 11902 10632 11478 12920 10885 853 2659 7673 19102 13053
"213344_s_at" 16203 152 2595 1929 1048 19036 837 21700 21101 19294
"213345_at" 8949 5177 9307 7503 6858 10524 14023 19945 7063 16560
"213346_at" 21732 15502 19352 19264 20871 20455 5964 5954 18080 18999
"213347_x_at" 6664 16433 16533 16742 6097 16071 9221 21621 18152 7828
"213348_at" 21545 19469 1078 17862 22137 19868 9346 11165 18666 3893
"213349_at" 16434 3617 16043 6207 3964 4572 8382 5271 4810 9758
"213350_at" 18726 13 16111 21646 7 20168 3088 9292 3592 20642
"213351_s_at" 4206 1648 20352 1039 1781 5970 2303 3846 4923 2724
"213352_at" 582 14367 4307 2087 1389 20693 20711 3191 8482 2336
"213353_at" 19781 13423 19776 2393 10748 17336 8350 8703 21157 19218
"213354_s_at" 12886 9140 10433 13859 7815 9974 13200 12883 11047 15779
"213355_at" 11112 6322 10417 10267 10067 9467 21096 4942 1348 15014
"213356_x_at" 20772 15125 19348 9450 20980 16339 7394 21457 8019 17411
"213357_at" 16084 20845 20281 8130 18856 3310 2871 2074 20972 6174
"213358_at" 7857 18021 20399 8507 4567 20042 18651 12961 6008 7645
"213359_at" 17438 21188 2842 990 20793 18499 8801 6179 1525 1924
"213360_s_at" 16263 15123 21043 20868 14633 16966 3727 4117 6376 6231
"213361_at" 2995 13949 8187 2903 16637 15720 1293 4961 7265 5222
"213362_at" 15040 11679 4373 15072 12539 9028 9898 12373 15911 16603
"213363_at" 11340 9192 308 690 7213 173 373 163 7895 10783
"213364_s_at" 12647 7921 10068 9955 10427 15280 7945 1471 8155 4989
"213365_at" 20202 20378 19556 17434 20234 17292 3942 6109 3226 6040
"213366_x_at" 17506 12238 8599 7468 6094 5107 4770 8983 6812 8922
"213367_at" 17239 13068 18167 17460 1009 20317 6006 4400 22167 21262
"213368_x_at" 22230 2579 7277 21428 200 5832 21407 20000 3435 805
"213369_at" 10695 7326 9731 12923 12904 11056 12955 17348 14198 14754
"213370_s_at" 7548 16152 3754 9321 2501 4387 2696 6273 8293 3231
"213371_at" 19032 14797 18363 4101 12129 11451 10393 20229 16019 16077
"213372_at" 7929 8006 13297 13488 13142 20780 4798 103 4465 17891
"213373_s_at" 17719 17474 19220 5736 1073 16754 7487 3027 17661 9779
"213374_x_at" 7826 14851 4738 271 15290 16851 5882 1142 16875 6730
"213375_s_at" 9356 9734 14418 14444 8826 14146 18536 7132 14303 10222
"213376_at" 20048 19507 17636 18788 1977 4222 3813 2497 1589 2397
"213377_x_at" 7439 14395 7800 16956 14724 5540 9199 21346 10535 18077
"213378_s_at" 4689 13759 3328 7545 14122 5606 2376 7450 3330 1267
"213379_at" 6792 16016 15473 16881 18296 3785 3773 6885 18649 3953
"213380_x_at" 3750 5000 7752 8073 17222 172 16467 7177 816 21811
"213381_at" 12094 5205 11610 13154 9705 6389 16331 16656 15671 9932
"213382_at" 15216 9351 15011 15768 7993 7788 17965 19006 21688 17858
"213383_at" 2170 1665 788 19048 16492 2797 19027 4673 9560 19731
"213384_x_at" 7101 14173 2160 9538 1843 15073 1208 4568 2587 91
"213385_at" 13327 9641 1466 15225 13260 9891 755 11345 8023 14084
"213386_at" 18475 14792 3547 5037 17834 9308 15890 18463 14274 1996
"213387_at" 4247 21614 22078 4563 21036 18197 4664 5392 1711 3479
"213388_at" 10732 2353 634 1106 12167 18410 2814 17401 17189 8926
"213389_at" 18680 8444 4043 17377 20686 2745 57 10696 21579 402
"213390_at" 7963 17687 6423 7472 15153 16090 3667 5104 4929 5364
"213391_at" 3005 19280 4248 4153 13995 16941 816 1678 9102 7210
"213392_at" 7679 4150 2036 6082 16691 4006 4400 501 9330 17766
"213393_at" 2396 17146 666 2003 21806 18180 22037 10122 18076 7457
"213394_at" 10401 7450 12685 10733 10911 18994 6297 9174 10375 5289
"213395_at" 10833 5175 9895 11054 9154 14402 16296 10535 4028 14067
"213396_s_at" 19331 3448 16715 17254 2125 4208 9413 7221 10195 18476
"213397_x_at" 10328 9840 10211 11629 11207 13915 7016 13663 21323 12570
"213398_s_at" 19325 14153 21549 3264 1521 17927 3562 4848 7029 8811
"213399_x_at" 15854 14159 7011 9435 5676 5681 8689 9793 16711 5362
"213400_s_at" 15744 13670 5373 2708 80 15198 7050 2238 8227 18568
"213401_s_at" 3937 5977 9084 10317 11389 19731 20367 11277 17104 17831
"213402_at" 16891 12931 16370 1193 1751 21928 2397 498 1268 2153
"213403_at" 17367 13262 5698 18212 12142 3373 3175 11006 2720 22002
"213404_s_at" 20499 21763 21388 22101 19886 5195 8360 907 20948 18290
"213405_at" 3926 3229 5528 2377 21330 18101 4943 4327 4071 18539
"213406_at" 16437 13520 17070 18473 17991 11215 10639 9436 8318 6829
"213407_at" 18439 18762 6559 9163 14429 17042 20850 6603 20272 6847
"213408_s_at" 15842 16766 3270 6007 17307 15701 2485 9107 1664 17070
"213409_s_at" 6120 4375 2768 18601 9361 305 7806 10807 19677 3736
"213410_at" 3073 14143 4071 6614 19710 19130 2579 1756 17456 4100
"213411_at" 2188 6166 919 1323 18294 12873 15740 18621 14898 451
"213412_at" 22185 21801 17872 21614 12645 21155 15215 19318 14951 22274
"213413_at" 11639 9520 14452 1452 2728 17784 14956 13248 21546 10729
"213414_s_at" 17332 12018 6766 8013 17867 17546 3599 21438 18833 7881
"213415_at" 11298 8342 12347 13206 10275 119 10660 14567 363 18667
"213416_at" 12781 6796 12679 14254 11434 8719 18311 1455 1611 15165
"213417_at" 19852 14072 16571 19372 6214 3077 8600 15824 13420 7804
"213418_at" 9580 1393 9795 10637 16797 13810 19161 1913 9991 13860
"213419_at" 4964 15931 15188 3937 16313 2433 9115 20906 2556 19269
"213420_at" 413 2021 620 3809 708 15955 5499 10590 10191 18833
"213421_x_at" 18420 3147 3875 8395 21579 11420 20118 15578 16595 13766
"213422_s_at" 4755 20182 8263 4969 579 14962 21086 17881 1676 14211
"213423_x_at" 21213 2841 19284 6869 17729 19740 2726 19928 3932 6727
"213424_at" 13447 11142 6414 14085 12070 6063 8254 14248 7249 9670
"213425_at" 9008 8341 12438 10173 13600 9868 4431 14830 17842 14278
"213426_s_at" 16598 291 6035 5602 11505 14990 22132 17742 22213 10
"213427_at" 18576 17124 18405 8572 4823 5994 7758 1688 7790 5633
"213428_s_at" 16588 17197 15519 7084 20586 21545 19534 13784 4430 21191
"213429_at" 15251 10184 2564 16152 13525 11806 4189 19913 20333 15377
"213430_at" 9977 7537 13358 10734 11684 14785 3640 20343 1644 13862
"213431_x_at" 100 62 124 38 655 725 13688 6543 13831 17784
"213432_at" 11391 9776 10323 11270 9599 1410 12260 12953 21418 11575
"213433_at" 20386 17998 20506 20711 2091 751 10977 9223 21341 20072
"213434_at" 3250 21895 18835 7712 5517 21980 1550 10664 2400 22240
"213435_at" 4080 4415 1116 18477 3557 2033 134 949 6170 4677
"213436_at" 11637 11426 10878 12808 17758 13736 12330 20853 11934 12256
"213437_at" 13737 78 14142 15870 11150 2586 20757 17730 4639 18692
"213438_at" 8072 6208 13922 11469 8803 10091 13058 16292 15047 11089
"213439_x_at" 22244 13020 20089 22256 20115 14808 9990 21043 16446 23
"213440_at" 19218 21088 18858 19766 15994 4772 7437 755 9562 17359
"213441_x_at" 7242 12004 5540 18170 2904 2933 22035 10529 1540 8047
"213442_x_at" 3139 2290 1272 701 2580 8526 10365 18278 5223 16619
"213443_at" 11616 6266 9283 12048 20931 6378 13393 18096 13072 13694
"213444_at" 10358 7906 11483 12017 7147 12767 7722 8080 2042 1659
"213445_at" 17852 1715 2476 17212 18300 20580 996 6567 20868 16823
"213446_s_at" 6781 12104 2478 8714 18464 17189 3818 12019 21495 8431
"213447_at" 1334 1244 21883 1750 14297 16599 2566 3897 6006 19231
"213448_at" 1669 2167 4615 2774 1628 1459 21892 7366 3586 16803
"213449_at" 21154 15715 22243 4277 502 15305 2870 1825 4865 8555
"213450_s_at" 260 287 24 171 20612 14491 11130 4185 14535 11110
"213451_x_at" 9039 5206 9030 10308 13391 13211 17766 18784 10793 14567
"213452_at" 8243 6081 8986 11449 10369 17011 4116 1720 8683 20698
"213453_x_at" 7609 3305 15095 5231 3135 5410 8941 21873 9974 6139
"213454_at" 4226 21477 6303 18065 18143 5172 8793 6345 18763 5521
"213455_at" 7443 13421 16783 17555 20714 20552 8020 11938 17039 2424
"213456_at" 14964 11470 14427 15915 9937 12948 10572 13398 151 10751
"213457_at" 871 2107 6088 7249 2512 17844 14662 3962 8842 3920
"213458_at" 9181 10439 13820 15175 6664 14308 10674 12473 13832 6203
"213459_at" 19472 20143 18987 17697 3258 17604 4499 8308 4990 19089
"213460_x_at" 4383 4151 1177 1828 1663 18401 5975 11311 8882 4404
"213461_at" 7096 21485 16422 18161 5469 3276 7005 5528 21220 5108
"213462_at" 21097 16144 7995 17090 18877 7299 799 18262 1204 16019
"213463_s_at" 19016 18041 5390 21165 11965 18288 2813 820 2446 4137
"213464_at" 20440 16967 1168 18017 19348 6497 14165 20565 13636 16496
"213465_s_at" 18692 19858 21273 7305 5998 3605 3561 7025 16905 6754
"213466_at" 14081 9588 14053 14833 7168 13275 14578 18478 12251 15995
"213467_at" 2433 4933 7688 15876 2951 21498 17723 17737 11528 5876
"213468_at" 6082 13871 17450 18823 406 7624 21831 1287 7181 8691
"213469_at" 15534 12047 15252 16591 12628 22131 8169 21867 4580 447
"213470_s_at" 15712 15749 15955 7984 3904 5569 509 7715 21905 18625
"213471_at" 16815 20729 5950 6980 21620 4803 2450 9403 21795 18359
"213472_at" 13422 10329 14540 8684 1141 6820 16700 7296 3841 1416
"213473_at" 725 1029 6925 1077 9760 21379 5705 9721 9858 6564
"213474_at" 13364 9574 13364 10421 10571 18323 2257 2075 730 4758
"213475_s_at" 9876 7774 3775 14358 10601 14902 18446 9560 596 1976
"213476_x_at" 17057 13919 5068 6488 19012 15256 4514 11436 4288 3523
"213477_x_at" 7090 11965 15766 17556 4872 5948 18619 21625 12598 8496
"213478_at" 18807 19220 17698 16372 5003 17778 21597 15140 22014 2432
"213479_at" 13785 4204 14006 15964 13460 6701 2779 18746 15106 10618
"213480_at" 19382 21987 15542 22166 16434 4769 1047 4417 18117 6477
"213481_at" 20947 14953 15839 9668 181 289 12571 12115 1893 22212
"213482_at" 9431 8257 10409 11459 9201 9181 17763 15220 20449 15992
"213483_at" 19433 20736 7221 19616 1092 4845 8723 8149 4174 2951
"213484_at" 11897 9788 46 219 10672 7615 11162 18526 105 11931
"213485_s_at" 21406 20803 21654 19878 4519 15451 6849 2951 8831 18744
"213486_at" 8485 17706 16642 21237 6003 14421 17940 14770 16244 18739
"213487_at" 11724 9301 93 11878 8562 9655 13117 18054 12382 10555
"213488_at" 13253 7530 14453 1326 6932 7566 17747 18237 14716 15028
"213489_at" 15009 11698 14999 15836 9411 7886 10945 12204 876 19197
"213490_s_at" 18234 20225 17638 20690 18258 3730 5355 9278 4318 18027
"213491_x_at" 15953 15286 8127 5523 4055 4160 7027 9937 16643 6697
"213492_at" 15352 12551 20228 18378 4111 11598 16812 21178 3504 14274
"213493_at" 14387 10778 14233 15516 8261 7887 16222 20919 7904 15062
"213494_s_at" 8120 12615 7396 9264 720 942 20994 11233 2949 7061
"213495_s_at" 10521 2773 10276 11755 6878 17103 8948 17692 9110 17206
"213496_at" 9888 9447 10359 11011 10153 8186 14921 14259 20200 10103
"213497_at" 18944 3569 3263 4910 14797 4789 2033 18453 5428 19850
"213498_at" 20534 1006 22087 21543 3133 12441 13976 18163 14003 11663
"213499_at" 22191 4395 22130 22211 339 19387 20213 14817 4556 21636
"213500_at" 13155 9341 14485 15414 8635 18144 19387 6018 1535 21349
"213501_at" 18757 18751 20145 19360 3982 18311 21855 1615 4441 22000
"213502_x_at" 9422 202 9763 10591 12596 143 21928 5672 22075 5163
"213503_x_at" 15957 13745 7594 7912 14270 5270 18637 10442 12455 8758
"213504_at" 18821 15106 4835 17786 16098 15219 7644 687 7473 1894
"213505_s_at" 22045 21570 21824 21155 434 5713 7780 7744 20610 20868
"213506_at" 1384 12933 3017 1800 15720 20318 2900 19105 17546 1477
"213507_s_at" 17976 19106 3958 16924 15244 20784 8230 9130 4951 5880
"213508_at" 2991 16114 5987 1721 288 16567 5362 1041 5449 6454
"213509_x_at" 4155 1301 5882 3826 1565 18861 3197 7923 3282 3446
"213510_x_at" 18812 21676 18998 16694 20193 3580 3043 5444 3469 6067
"213511_s_at" 16214 14491 17375 18243 18099 16693 18862 10450 3873 4442
"213512_at" 5582 1906 5197 21979 176 2916 10404 15425 548 15410
"213513_x_at" 6403 14349 16500 5551 15304 6004 4582 7422 19117 9706
"213514_s_at" 20861 20943 7128 21603 518 4530 8854 7234 17916 3778
"213515_x_at" 5520 10280 14428 15906 8493 12865 15406 16671 12879 11689
"213516_at" 15212 11207 14250 16294 7735 9914 13116 15401 11000 13273
"213517_at" 7658 18635 18745 18797 16018 17020 18910 10790 8529 16711
"213518_at" 6107 21506 6433 8071 19384 19887 1438 1749 2807 2303
"213519_s_at" 19198 19229 17719 22024 5598 9497 9810 14351 14632 14832
"213520_at" 13115 7635 9903 10678 8286 22280 147 10563 8345 2399
"213521_at" 1342 4260 446 1280 19573 21902 20364 21611 3459 21374
"213522_s_at" 4831 133 13470 3888 4875 14955 360 7113 21 16590
"213523_at" 2726 14730 5445 538 19177 2936 1048 9663 6790 5697
"213524_s_at" 22014 21076 21919 21821 13458 10783 19831 14453 9335 16265
"213525_at" 13377 927 13282 15857 7983 11120 10818 17695 12846 21323
"213526_s_at" 19503 17531 18283 3717 11969 17845 1949 1593 3600 3635
"213527_s_at" 21193 15332 16529 21615 20106 15247 21681 21337 4340 5347
"213528_at" 17605 17891 7275 17429 17813 16526 7877 2833 17013 4751
"213529_at" 11689 11559 13724 15996 4575 207 18335 12995 21892 1961
"213530_at" 19520 16750 19554 20021 9563 15189 7256 1417 9697 19397
"213531_s_at" 4065 13567 5482 1799 14752 15406 8654 826 10025 9565
"213532_at" 16566 16356 7566 5734 15483 20510 19961 6675 18003 19371
"213533_at" 3286 1493 3605 11632 2812 11550 16997 18921 11758 10683
"213534_s_at" 5362 3139 4907 7331 21698 19141 12154 6407 483 21370
"213535_s_at" 15434 19977 8135 5966 17440 5348 4196 7324 5801 6091
"213536_s_at" 15262 4135 14624 15624 3496 2894 16078 17902 1476 18942
"213537_at" 9728 5378 9212 10401 12217 11483 19869 17969 20328 21998
"213538_at" 15511 3392 19156 17439 109 20533 4604 10616 1854 8182
"213539_at" 1744 11200 13450 1767 608 54 18262 6875 11927 891
"213540_at" 17781 12653 2069 18456 5910 21505 2338 14302 96 19510
"213541_s_at" 19925 16037 19337 20329 10380 10677 9725 15132 14420 12701
"213542_at" 20375 13077 7362 21542 2659 2300 4928 1795 1978 21454
"213543_at" 13002 6844 8834 9874 13124 6286 14513 13204 9197 8868
"213544_at" 536 3324 883 7075 7760 3557 14291 20697 20100 89
"213545_x_at" 15427 3133 16648 2580 16779 6006 19777 8549 17239 9229
"213546_at" 6208 20687 18266 2113 5211 21754 3688 5097 16907 8460
"213547_at" 19534 21461 8290 21147 5595 12932 19320 11890 1688 15867
"213548_s_at" 16476 19338 20494 20823 4940 700 5787 6248 19900 18376
"213549_at" 10354 11773 14619 11926 13484 4840 3871 4072 21279 8600
"213550_s_at" 19746 1841 22097 21549 41 311 7691 9311 18799 20338
"213551_x_at" 6117 2345 15453 8944 5738 21411 19401 151 3546 9420
"213552_at" 16612 12849 16252 17733 7074 862 6770 2588 1229 7821
"213553_x_at" 19095 16558 21916 21188 14848 21076 18715 11676 9328 6053
"213554_s_at" 4961 14967 15869 18245 5198 4270 7620 7062 20157 19169
"213555_at" 4871 13783 1886 703 9648 19263 4343 1902 5391 4283
"213556_at" 10603 6260 10682 15076 11001 14487 17854 12482 9719 15770
"213557_at" 3040 15935 16015 4175 5461 990 13748 9572 21496 19334
"213558_at" 19139 15727 19115 20160 21807 12633 6009 20052 2591 7865
"213559_s_at" 14150 7589 12563 12931 10540 14378 16253 20738 9374 16036
"213560_at" 616 4202 2339 1531 22005 3743 21552 22028 7509 20659
"213561_at" 18730 16785 16476 4944 1248 5550 7539 8103 8797 5425
"213562_s_at" 20730 17984 5308 6054 17917 435 20070 3823 20665 2158
"213563_s_at" 12185 10437 11471 15330 8865 6682 9985 16929 14259 11809
"213564_x_at" 9931 5796 9669 3980 11357 14900 20053 11571 18793 16321
"213565_s_at" 4158 6420 6405 13681 8278 13710 18425 12737 2798 1200
"213566_at" 9592 6659 9689 10791 10014 12335 13548 11691 12347 14267
"213567_at" 2209 4745 6092 18461 4935 19608 3569 2578 10387 6565
"213568_at" 19686 17766 20123 3218 3988 18962 172 20105 18896 3160
"213569_at" 13858 2261 2910 1946 9101 2701 13346 11274 1264 12094
"213570_at" 3610 12157 1395 1999 397 1169 8551 8617 4212 9110
"213571_s_at" 20794 15986 18763 9480 19198 15912 7737 6563 9772 18931
"213572_s_at" 21918 20679 21779 20013 7982 20902 2180 1078 2999 20709
"213573_at" 5183 18640 5505 4309 5063 2505 1978 4309 7736 20675
"213574_s_at" 4361 17817 6004 4982 19909 15098 6306 7091 19060 4889
"213575_at" 14004 7438 7439 2578 12414 8610 11006 1473 17304 14286
"213577_at" 7460 12364 6742 19252 14873 18117 22177 8705 4802 6625
"213578_at" 6264 21456 15723 2205 18717 21936 537 2030 3212 7987
"213579_s_at" 7411 17271 20650 21977 19267 3016 2890 4965 19605 5353
"213580_at" 14170 10279 12982 15031 12745 7376 10976 14643 15073 6644
"213581_at" 8341 17253 18672 7618 17486 5801 5020 5164 8005 6300
"213582_at" 10140 7767 11236 10867 13443 85 22054 21994 19708 19803
"213583_x_at" 8012 12511 18250 17540 4292 4284 19596 21551 17917 9527
"213584_s_at" 1398 15573 4488 20633 19884 21195 5934 3204 1286 17923
"213585_s_at" 1599 190 4024 5220 690 1488 12351 22252 21458 22153
"213586_at" 13654 7252 13377 13931 11307 7778 17630 17668 8422 14648
"213587_s_at" 18109 20925 17096 16619 2340 16836 7868 10796 2988 3447
"213588_x_at" 16522 3739 17557 8847 5301 15391 7284 21731 16767 8724
"213589_s_at" 10006 5863 9553 12895 7757 21816 1928 10938 18828 3807
"213590_at" 1247 13739 18599 1926 3561 8236 18403 19171 128 20714
"213591_at" 15066 10189 14900 15813 6466 11703 574 12970 5128 112
"213592_at" 12800 7598 13148 13462 8045 11914 14784 19344 15739 10125
"213593_s_at" 4777 19930 3685 2425 7867 22210 22152 9662 16951 21240
"213594_x_at" 5776 14077 15699 4833 19362 3615 8168 11452 17838 2699
"213595_s_at" 9065 9069 3347 8202 16501 5043 21824 15778 1440 1268
"213596_at" 1808 1030 891 16697 21421 10599 8433 22050 12301 16594
"213597_s_at" 15204 11506 10931 16207 6693 8150 12743 16194 13944 10231
"213598_at" 2103 15985 2902 17093 20660 3020 19143 1355 4498 1052
"213599_at" 17554 21920 18567 8995 2286 4458 1860 2216 9074 20814
"213600_at" 8525 18237 17276 21460 16384 16033 20921 21812 8803 19976
"213601_at" 7149 14177 5658 19639 19492 8868 12411 9304 15311 13038
"213602_s_at" 12846 11375 14724 15698 8023 6732 10323 19391 14562 14237
"213603_s_at" 6357 17048 1809 2352 2474 6633 2888 9940 17564 15983
"213604_at" 1675 14819 7283 18176 18334 20947 6622 2262 18366 4381
"213605_s_at" 5515 15462 16379 2245 21611 15550 391 7990 2378 4300
"213606_s_at" 18427 19711 7766 18419 19787 573 11684 5565 20396 130
"213607_x_at" 3237 4224 1512 5400 21926 1110 628 3789 5506 1505
"213608_s_at" 17798 4362 5233 8303 19981 20025 20685 6122 10250 5137
"213609_s_at" 3799 1241 693 186 7025 12199 13654 18174 12969 5530
"213610_s_at" 8680 5275 8666 10270 6864 21985 5500 3091 4877 19333
"213611_at" 9793 8421 9073 11968 7066 13120 9853 18187 13703 14580
"213612_x_at" 8566 14961 8367 3327 19784 6277 2806 9197 6264 3825
"213613_s_at" 8548 3105 18714 1876 18038 12289 16326 20224 1583 15675
"213614_x_at" 16845 14330 17775 9033 16436 5521 7408 21445 10530 6781
"213615_at" 2354 542 1758 965 19788 1543 19903 21375 1971 4268
"213616_at" 18083 13867 4481 18818 12992 21761 2136 7596 20991 19219
"213617_s_at" 16694 14012 16281 18424 4203 2759 7420 3070 17336 2415
"213618_at" 1019 6071 1722 1272 5597 20767 8453 11992 8630 2660
"213619_at" 16548 16689 17686 16410 4346 16352 4745 7476 17888 5370
"213620_s_at" 9994 6256 9239 14820 8672 8438 16688 3995 15819 11397
"213621_s_at" 18328 1787 4662 17149 4261 1915 20172 11729 5425 17681
"213622_at" 5953 13750 2384 19813 17432 21209 8742 6202 4508 17619
"213623_at" 16184 16717 20720 19680 3463 17262 4284 12937 2722 18200
"213624_at" 21276 20002 21007 8814 20882 1604 1972 4035 6420 1296
"213625_at" 21984 20539 21612 22049 5140 5976 1672 10736 3027 9872
"213626_at" 2781 17245 951 1570 3680 20420 1980 4029 5724 21231
"213627_at" 22223 3579 579 919 14697 18610 4973 21892 6876 3900
"213628_at" 18157 12144 16811 18754 707 3961 2731 8098 10553 4002
"213629_x_at" 1853 1725 5702 4414 16529 3618 18633 10499 5635 6544
"213630_at" 10000 5859 9802 11661 8927 10383 17957 12314 14566 11458
"213631_x_at" 17167 4337 5633 4967 20473 20529 2339 22232 1405 21044
"213632_at" 19626 16636 16212 17053 19104 281 788 66 2789 72
"213633_at" 624 6828 10775 4907 4760 13782 14775 10217 15205 11437
"213634_s_at" 7506 10016 14876 7636 6800 21917 2161 6380 9957 21298
"213635_s_at" 5305 9300 12794 9403 3717 15172 18483 19405 11127 18561
"213636_at" 129 1047 5785 317 15313 11515 13665 19622 11597 13971
"213637_at" 4545 13974 17549 17652 10927 3489 2705 604 19942 3588
"213638_at" 15169 10928 15013 16332 13505 12876 9648 475 15967 10244
"213639_s_at" 8223 15906 18110 1952 2355 4968 3261 21516 20684 5516
"213640_s_at" 6819 6318 9273 9835 12969 11769 12919 16558 10824 13178
"213641_at" 3417 16539 19866 19628 1255 3277 11663 11281 690 20789
"213642_at" 8395 383 8581 21521 132 3803 4344 785 20604 8523
"213643_s_at" 10694 6739 9809 11387 11250 946 20476 10334 19694 18552
"213644_at" 10429 3876 14776 11766 5388 10142 19024 13308 8219 10286
"213645_at" 19274 12062 6802 8937 14149 16223 1554 7511 4710 2714
"213646_x_at" 7563 2938 15289 8877 14154 15074 19619 21605 12483 20738
"213647_at" 5172 15542 899 291 1156 5168 6943 2959 18078 7306
"213648_at" 18473 14659 19034 8564 14898 6184 3200 7812 17543 6116
"213649_at" 19328 13934 16076 21075 15295 3123 21910 3650 18423 5308
"213650_at" 1920 3271 642 535 4740 933 22120 10943 2116 20000
"213651_at" 4291 3658 18943 20011 3926 19959 14060 14082 1196 1227
"213652_at" 12881 9142 12907 13849 9921 7980 14709 18061 12043 12735
"213653_at" 21962 21950 20039 21108 20773 4724 26 7774 22040 6930
"213654_at" 116 4242 4007 16396 16470 16253 381 12205 21911 20886
"213655_at" 6224 2861 15748 18908 993 17882 7248 4938 19654 9486
"213656_s_at" 17308 12001 19077 5990 20520 20879 3091 4881 851 7010
"213657_s_at" 18682 3442 17372 8989 15789 4529 19510 10034 21478 739
"213658_at" 7288 19750 20016 17756 15465 21164 18705 8045 12066 21367
"213659_at" 4001 17033 21130 21175 430 21465 505 21419 21555 21073
"213660_s_at" 11894 1857 11027 4701 3870 577 21677 1866 22224 3390
"213661_at" 10639 6294 10466 11499 8996 7952 15587 19072 13925 14252
"213662_at" 11952 5854 12244 12882 6536 12273 10411 13145 1500 215
"213663_s_at" 8931 8648 11975 10329 13166 10360 13678 14588 12169 19255
"213664_at" 2038 4437 2782 4218 10372 8800 2542 20531 20241 305
"213665_at" 2427 268 3149 13990 53 20743 13972 14291 19648 7466
"213666_at" 6613 1216 20755 18278 21844 6513 1971 3302 6906 15806
"213667_at" 623 274 8 11476 12325 8924 18070 12907 15137 11262
