"inst_1" "inst_2" "inst_3" "inst_4" "inst_61" "inst_1694" "inst_1816" "inst_1858" "inst_5068" "inst_5487"
"200665_s_at" 11388 7888 10171 10371 4010 9336 10056 12409 13012 13892
"200666_s_at" 5465 18508 15516 9669 14332 16674 7860 2061 9320 9503
"200667_at" 15668 18749 15112 4193 6183 17891 8261 11594 7794 16720
"200668_s_at" 5068 17363 15624 8497 3857 18775 6058 9980 9881 7617
"200669_s_at" 5576 15337 8050 6705 4869 6260 7258 9059 17887 17985
"200670_at" 8042 12255 18772 1850 13871 5388 7563 3425 9593 8639
"200671_s_at" 733 10799 628 11748 3785 2216 8542 15680 20649 20947
"200672_x_at" 20275 2758 18429 18323 2384 18504 3409 2580 17770 1528
"200673_at" 20652 17598 16845 8860 18975 17120 7022 3136 9859 3377
"200674_s_at" 12054 3313 16475 17022 5019 15353 19394 21945 9623 18219
"200675_at" 18929 18974 19346 6582 3583 18063 2039 1990 5728 3203
"200676_s_at" 15421 17050 2116 8050 18945 19270 22166 972 8073 3022
"200677_at" 19756 15878 17991 8335 2486 16611 5279 4377 18183 5938
"200678_x_at" 19184 18296 7098 18723 20166 3981 7872 10109 6094 1931
"200679_x_at" 17232 20080 18184 19403 15546 2479 4897 8421 20643 6958
"200680_x_at" 15530 13859 17518 5447 5544 5202 2359 11257 10110 8667
"200681_at" 16031 16566 15611 5830 17219 17738 7049 11428 8323 7040
"200682_s_at" 7207 19464 16173 7096 5463 6239 7268 9430 18855 18897
"200683_s_at" 5703 12204 4528 4860 13881 17659 3805 4221 17260 3357
"200684_s_at" 1237 13832 2540 1442 19781 775 3294 4133 19502 17702
"200685_at" 11144 8193 10887 11159 15937 4512 19272 3761 21299 18253
"200686_s_at" 16418 19614 17707 18480 15384 5008 8344 8590 20110 7537
"200687_s_at" 3248 18798 8097 4210 2212 6108 9540 2591 4684 2409
"200688_at" 3569 3722 2555 2585 3309 18164 1683 10081 7984 18385
"200689_x_at" 6774 15240 7690 16429 2456 15983 18826 21554 9982 7087
"200690_at" 18673 15193 3094 19604 2579 20219 6369 3542 9612 17109
"200691_s_at" 17515 17270 17141 17624 15592 17974 3894 5473 8853 18765
"200692_s_at" 17278 18246 16904 19703 17945 4967 3845 3139 4182 2923
"200693_at" 17185 20073 17536 7971 5906 15989 7026 4701 17224 9107
"200694_s_at" 7556 14230 8014 7983 5719 17487 5605 6610 8200 5464
"200695_at" 6249 5068 7522 9382 13952 5946 1330 9531 4524 2762
"200696_s_at" 2363 1595 3171 1486 3206 21529 663 4412 5981 20515
"200697_at" 4202 3521 2212 2924 17392 2112 20228 10691 6076 7530
"200698_at" 7855 20473 20049 17773 2998 15075 19437 4034 18097 5509
"200699_at" 19510 16244 7509 4987 4251 6043 8287 4455 6788 19059
"200700_s_at" 7190 16478 6959 18516 2744 18368 5092 9393 8471 18171
"200701_at" 6226 18232 16713 17971 15563 19330 4681 9666 16573 8093
"200702_s_at" 1666 2718 4516 18064 16641 2009 21837 10021 19359 21361
"200703_at" 21752 17574 20207 8371 5999 5927 5087 6266 17884 6838
"200704_at" 6202 17412 15391 17541 19794 18379 20006 4014 16753 8812
"200705_s_at" 15447 18497 16139 7986 16406 16837 21059 21411 20369 8767
"200706_s_at" 4776 20117 21068 5427 1629 18940 21116 5364 7592 8252
"200707_at" 8627 15203 4655 16518 5078 16633 4289 9168 3436 16789
"200708_at" 7854 12611 1876 3600 16680 4102 4854 6607 7808 4251
"200709_at" 21272 18620 15108 16866 16062 15607 7352 7566 9966 6375
"200710_at" 2524 13547 15218 6231 18368 4539 3555 2368 3328 835
"200711_s_at" 4285 16009 3574 4258 6049 15231 8507 9996 17874 4290
"200712_s_at" 17788 17227 19399 19841 16550 1782 3070 2873 20022 1815
"200713_s_at" 16281 17105 17559 20069 17368 18053 3997 5603 6072 18809
"200714_x_at" 4327 3330 4258 4268 14360 20291 4415 5305 8498 17898
"200715_x_at" 15471 3064 5430 16352 14592 2904 6931 11545 8653 5169
"200716_x_at" 7176 12717 5231 16836 4730 5486 19170 21979 10293 7295
"200717_x_at" 19702 13551 18626 16534 16214 15179 19446 21679 12520 16818
"200718_s_at" 17420 20298 5158 18454 17827 15076 8387 4722 10255 17484
"200719_at" 3477 18753 16008 4445 3171 4142 8530 8751 8987 17173
"200720_s_at" 4433 12919 8508 8525 19468 2893 5523 4153 7521 3712
"200721_s_at" 8624 4862 15977 16351 18531 18350 20480 5516 6868 19214
"200722_s_at" 1088 13576 1499 981 14164 542 407 951 20167 1497
"200723_s_at" 7404 14785 7588 17530 17732 4370 8541 8021 9669 8973
"200724_at" 21570 4797 7463 17874 371 19084 8914 15306 18773 22167
"200725_x_at" 7342 3911 6051 9456 6259 5519 20240 21895 8557 7910
"200726_at" 8191 12228 20218 4587 4289 15960 8525 6027 18216 8003
"200727_s_at" 6933 14226 6248 18007 14192 21479 515 9515 20950 3632
"200728_at" 15655 16268 19172 17108 4641 2121 9360 6507 8962 7197
"200729_s_at" 8554 18930 20586 6876 16721 16572 3247 3180 9861 3547
"200730_s_at" 2830 13773 18850 17603 17835 21424 2578 7286 17741 18328
