"inst_455" "inst_995" "inst_1053" "inst_1156" "inst_1215" "inst_1286" "inst_1640" "inst_2641" "inst_2675" "inst_4439" "inst_5010" "inst_5212" "inst_5575" "inst_6174" "inst_6664" "inst_6975"
"200088_x_at" 5089 9460 2096 4105 13540 20042 5294 9847 7960 11855 11372 15759 4629 6614 4526 3142
"200089_s_at" 5446 6038 2660 5517 4076 19192 16639 6168 8103 15626 16774 7566 9635 6780 11854 3621
"200090_at" 5970 16661 19512 2339 17037 5565 3352 2935 6146 5925 2359 2014 15185 4387 18288 15983
"200091_s_at" 16473 5568 15491 18062 13432 19184 16925 15503 5753 10200 6506 7460 2786 6656 3860 16086
"200092_s_at" 4909 9276 1174 4069 12789 19939 5619 3451 8083 16073 16792 7576 4821 6758 4604 3453
"200093_s_at" 14711 17429 2799 18516 4328 5540 3273 4093 13592 7998 5258 2812 11927 18873 11261 14838
"200094_s_at" 2222 16144 17142 5714 13404 9457 5101 4993 14105 6767 3275 3747 11204 12480 12304 3950
"200095_x_at" 5786 9286 2370 15912 3882 19808 16791 10060 8130 12027 11684 7410 4889 6805 7388 3614
"200096_s_at" 16752 16465 1064 20927 17742 1850 3942 5017 4500 5871 19142 16662 16388 19807 11905 17182
"200097_s_at" 1773 18774 20645 19177 20362 2964 5314 17154 15379 6223 8744 7795 12869 17005 18337 16402
"200098_s_at" 19922 15590 15555 19322 17582 4566 15499 18630 16537 16195 8540 17638 15727 17448 16582 17110
"200099_s_at" 15715 9507 14204 15194 3451 8917 15785 6301 8085 11983 11612 10859 4827 6761 5356 3343
"200593_s_at" 19762 5803 19478 15835 18283 20187 6097 6924 13353 18711 19174 19893 9933 16205 20182 19670
"200594_x_at" 13687 18327 16251 18533 20367 8084 16618 17830 14470 16339 4738 16481 15410 19822 17190 13599
"200595_s_at" 14266 3868 16978 20711 12830 7002 4754 5463 15182 16024 3870 4091 17113 18468 16098 16141
"200596_s_at" 4880 4417 14945 20184 3248 19105 4103 17657 13432 8611 6548 3801 12277 15044 16815 15105
"200597_at" 17623 2480 21270 20947 22255 4025 2308 17016 18875 7932 5372 18801 21753 20326 11264 20024
"200598_s_at" 3821 1359 15701 4464 784 3725 1999 2830 4003 4623 8126 2169 9318 4569 5243 3074
"200599_s_at" 16476 3379 1915 16370 677 2208 1253 18038 2500 4672 4842 2262 10275 4918 14963 1758
"200600_at" 13193 8947 12480 19130 18069 19663 7644 12661 14530 4771 11761 15111 1940 17518 4477 4935
"200601_at" 21619 22085 19399 21889 19668 1231 20988 16424 16504 6157 7507 18508 17931 17765 12197 18902
"200602_at" 21588 646 19945 21114 16503 9183 4185 20808 16246 8214 5791 7823 18921 21258 16924 15982
"200603_at" 4729 17249 18957 20503 17169 4513 16655 7589 2670 6844 6791 5324 14204 14712 12124 18020
"200604_s_at" 17434 16842 18400 17547 2486 25 2955 18925 3636 20064 20802 4395 11148 3635 19410 14763
"200605_s_at" 4050 15776 17934 2838 16587 321 3024 17954 1800 16289 19079 4421 11046 11560 16751 14953
"200606_at" 16682 16095 14793 11861 5016 10789 17304 15051 13866 2649 7772 2827 13273 519 5747 3139
"200607_s_at" 460 4426 18091 4339 15249 3972 2412 5475 16400 7792 20626 5220 10591 11653 12089 16236
"200608_s_at" 3066 17797 19451 19708 18574 6248 16222 16500 12822 9256 16691 6367 15199 16613 14025 17682
"200609_s_at" 2781 19932 17757 20841 20953 3810 20611 19258 18906 7638 19504 19854 21681 17728 18475 21482
"200610_s_at" 16660 17898 18197 20798 19365 7517 19221 17842 14474 16495 3607 7799 13375 16849 19171 13997
"200611_s_at" 18860 20562 18325 18339 15126 4854 18085 6364 14489 8097 17140 15820 17605 19729 16677 18943
"200612_s_at" 18013 3224 1687 21957 12750 6854 22069 2089 4809 4291 253 3057 21568 16747 21086 22124
"200613_at" 17331 19413 14078 3659 14307 7562 16111 6979 13172 17481 16153 15645 14083 15313 12360 15740
"200614_at" 15387 16227 15453 16111 15968 6917 4380 18234 4083 8354 8462 15791 10306 13425 12022 15013
"200615_s_at" 5272 2857 17141 18507 18690 5798 18706 5718 18127 8518 3608 1940 10837 13157 17428 2758
"200616_s_at" 2399 3740 17784 3545 4519 20800 4567 7108 13156 9171 5468 6875 11749 15041 14707 13629
"200617_at" 18157 15676 17282 21589 17167 8934 17407 6557 18289 15926 4573 7727 19460 13733 13181 16775
"200618_at" 15535 19117 2682 21559 20142 6863 20330 5369 6086 8678 3380 4864 20046 16325 12513 18231
"200619_at" 4930 16038 1013 18257 16513 5500 21130 2985 15753 4304 4616 6941 17515 12993 12689 14858
"200620_at" 600 3886 14620 15875 13423 3689 3676 18730 4919 9370 18974 5611 12208 12692 15372 13497
"200621_at" 14874 16395 2313 18814 3004 7544 15927 4878 15924 16743 5395 7388 14344 17877 15103 14663
"200622_x_at" 5306 4629 14572 16001 2857 1317 6133 3838 13950 6274 16845 16260 11460 13683 14675 17641
"200623_s_at" 16413 16765 17000 21666 19343 7743 18371 18688 18145 18599 2416 18153 17442 15115 20741 14083
"200624_s_at" 18121 19691 17978 18762 15445 1674 2766 4052 13211 20231 18384 5031 15778 15857 17920 16750
"200625_s_at" 16002 16955 15623 20305 3027 9430 15599 18517 14772 15549 4571 7413 16505 13513 15265 18773
"200626_s_at" 13732 19198 19911 19553 16620 1151 4825 20015 5612 18347 8917 15749 16419 15195 17021 15022
"200627_at" 14616 16653 16832 16580 13681 5678 16319 17659 3418 9879 18524 17617 9522 4789 14599 14499
"200628_s_at" 13946 15823 20442 859 299 2024 1088 2235 5252 5186 21322 3172 10959 14240 4356 2206
"200629_at" 18815 2906 1233 1659 1584 9324 3220 18152 13951 15720 4213 7755 11067 14726 19993 3853
"200630_x_at" 1194 15619 15454 15554 16991 8589 15701 6921 6468 16182 4978 17312 10234 13511 12612 3450
"200631_s_at" 19725 17596 16020 19200 18537 3617 16918 15149 13322 16644 8789 6365 16540 14817 18831 16495
"200632_s_at" 1117 111 177 21091 185 20787 1295 21846 17900 158 1628 24 1246 20587 1245 20103
"200633_at" 5653 5593 2084 5057 4512 8014 15603 6603 8029 11934 6847 6523 9360 12816 7303 12948
"200634_at" 20303 5551 15132 19459 14071 9036 17799 17114 16593 17848 8702 7826 11870 17432 3436 17849
"200635_s_at" 16190 20433 22254 8253 19794 10772 16309 7367 10456 6276 3308 6259 17470 2503 3451 4001
"200636_s_at" 4665 15256 17030 9116 19825 8295 19702 6029 11152 7556 3537 7488 21707 5850 11798 17408
"200637_s_at" 3630 3860 2028 9734 14810 13333 5721 17055 8500 5391 16418 18897 11911 6723 1151 20908
"200638_s_at" 17676 17565 2692 16027 3671 808 4565 15593 3449 8434 18529 16153 11300 11384 13059 14221
"200639_s_at" 1488 15263 18335 19634 14316 7127 18846 16802 4487 15816 7060 17943 16045 14163 4353 19921
"200640_at" 17502 15132 16134 16368 17387 6342 15729 16458 4872 8939 16213 16371 11637 13337 12885 16442
"200641_s_at" 16666 16991 19179 5262 3180 325 5422 15892 3090 16935 22112 6558 9808 11162 15437 14896
"200642_at" 6042 5357 2453 16102 16362 6049 16164 5184 13181 9382 16290 5782 10312 16049 5511 15272
"200643_at" 1561 3050 19396 18857 4171 20085 17236 2960 19998 8906 2963 2996 19762 2715 14197 21450
"200644_at" 1228 19868 18370 16230 14415 6273 16558 19455 3190 18302 4420 17519 17990 16051 14678 19974
"200645_at" 14506 3979 1918 3464 14646 7598 2703 17126 5784 9705 5560 2876 10718 15636 15940 3634
"200646_s_at" 14755 15465 18667 19608 14549 21140 21148 625 5090 3392 5768 1986 15531 1875 14423 1216
"200647_x_at" 18417 4027 1663 16361 18781 9088 2555 7594 15417 9659 7380 5708 15413 14969 17295 12815
"200648_s_at" 895 15113 19016 20519 1059 2016 18164 7041 14482 9098 19075 3081 2406 3185 19992 20430
"200649_at" 16741 5710 1881 3937 20428 8638 21341 1294 19776 2781 595 21908 9811 2607 3098 4032
"200650_s_at" 17458 17552 14338 17610 4760 8662 4854 17254 7921 11807 16333 17452 10233 6571 7209 15749
"200651_at" 14925 4931 2243 15546 3529 19602 16571 5843 8117 17319 18213 5516 2711 6791 11565 15290
"200652_at" 15351 4421 14150 15462 4776 4157 4592 5733 1958 9208 7670 872 9992 11805 17588 3068
"200653_s_at" 15047 14945 16172 21399 3631 5614 16374 7052 4790 8655 8576 6099 14469 15023 14813 19138
"200654_at" 16348 5135 1312 20064 2130 8460 4260 7613 13499 4930 3584 2725 10581 16307 11408 3905
"200655_s_at" 20487 17511 14138 18427 13795 19853 2924 4500 3990 15632 16006 17497 11619 12809 11394 17061
"200656_s_at" 1760 15563 16363 15347 3349 3104 16360 16127 6409 3520 18918 7353 13830 16083 5425 14058
"200657_at" 6116 16475 2014 15270 12797 6486 16517 18866 4467 8561 8609 15703 2909 14658 11890 3279
"200658_s_at" 18808 16701 14174 18223 13494 2693 5400 17451 14702 17318 21294 17645 13282 17976 18461 17492
"200659_s_at" 15912 19636 14139 17449 20777 3364 20624 18788 1729 18295 20684 19236 17664 22162 21670 16058
"200660_at" 14938 3182 2626 15935 2823 19068 3178 5458 12766 7571 2048 2613 10180 15047 4911 13103
"200661_at" 6197 2766 1440 4769 16170 9391 4530 2445 12778 5388 5005 3612 11998 14980 3940 17458
"200662_s_at" 20313 19918 18054 20362 16014 2032 3138 20794 15496 16480 18989 16175 17289 15987 4984 18012
"200663_at" 2378 4759 14123 3541 13142 7107 15890 7605 4524 8501 7770 4635 11533 15073 5048 3293
"200664_s_at" 13575 5384 16268 21092 18848 223 16467 17471 326 7548 21029 4144 15801 1888 16180 2237
"200665_s_at" 9955 9571 8141 6873 10323 15993 13993 9791 10615 21060 14282 10012 7572 981 5195 6550
"200666_s_at" 6400 5402 2219 17545 20282 8542 16619 3262 775 9807 19572 7661 18798 4950 15397 17275
"200667_at" 19516 19845 16464 4000 16286 8389 3715 3288 13519 18201 6977 16179 14343 4469 4434 17626
"200668_s_at" 3725 4296 18236 3853 14159 3533 4679 17273 3559 6701 8178 4603 12378 12094 12854 14498
"200669_s_at" 15537 3823 14027 4958 3733 1941 4804 14857 4461 6900 17234 4945 11985 11157 16999 15266
"200670_at" 18036 3917 1561 5505 453 4013 2544 5893 2314 2464 4535 1513 9109 17478 3986 13978
"200671_s_at" 16836 18535 16816 14731 981 10643 5839 12125 4143 21848 5371 7124 11060 1655 21047 5338
"200672_x_at" 382 18608 17242 843 15815 20016 15935 21381 15097 18644 21379 7492 21162 1863 11386 2789
"200673_at" 15838 15130 14436 3591 13820 1776 4458 6574 2249 8347 4188 3055 9967 4434 13482 14375
"200674_s_at" 2888 9427 2748 5430 4072 20202 16385 7089 8088 16210 7980 17885 2846 6766 3758 13091
"200675_at" 16106 18603 21267 22124 21070 5147 20392 19047 16327 8657 4576 5438 18108 21194 13612 20099
"200676_s_at" 14806 22135 21171 17126 18293 2839 18109 2697 13046 5133 7817 22214 12353 17280 19134 20792
"200677_at" 1544 16656 1443 3837 13067 3214 4078 5230 13035 9771 7408 3247 13021 12824 12143 3062
"200678_x_at" 2048 2746 1327 15045 15866 19596 2441 1975 16795 4880 1595 5991 2423 13124 12725 14198
"200679_x_at" 15481 5945 14863 18046 14019 6714 4476 3788 15898 9492 17320 16407 10184 17152 15564 14926
"200680_x_at" 3505 16849 15725 17980 4666 7616 6141 19056 15632 12031 16456 18848 4894 11263 14995 13710
"200681_at" 3338 16519 2222 17810 13240 6511 2209 18379 15254 17062 8726 15777 14793 14536 14702 13845
"200682_s_at" 14792 18208 18699 19002 4510 4094 3599 16380 14220 17183 18049 17056 12365 15961 16788 15806
"200683_s_at" 4049 17184 16915 17548 16053 2425 16059 20064 14715 18952 17888 20892 12499 19724 19862 19457
"200684_s_at" 15011 21062 22227 21820 14767 895 15788 19478 21116 17864 18936 21712 17393 18193 17574 21887
"200685_at" 7151 22052 21804 5765 16232 3096 21577 19600 17928 19826 7717 5588 11523 11285 17110 16344
"200686_s_at" 14746 5776 16833 15257 17593 340 6018 19020 4235 5659 17043 2356 20703 19108 14190 18807
"200687_s_at" 14091 5377 20288 17676 17533 5691 19804 5231 17509 15923 6328 18327 16815 16195 11864 19991
"200688_at" 2985 19793 19680 19576 15944 6380 21698 21718 18057 20316 16304 20116 20756 12474 16972 17752
"200689_x_at" 2678 4277 2510 3171 13498 7740 4388 16160 8127 9509 17794 15662 9345 6802 11451 2280
"200690_at" 14995 19336 19915 4381 18073 20878 18293 6635 5761 20350 17617 19777 17441 16139 18390 20989
"200691_s_at" 17782 16405 15721 3665 18222 5363 5949 17092 15733 16724 16866 7554 15032 18589 18877 16896
"200692_s_at" 20504 18062 18909 18357 2880 3731 15347 4117 17032 20554 20380 5165 14190 18768 17427 18466
"200693_at" 5845 18683 15193 5704 14398 1952 16375 7289 13800 9193 16553 5972 13260 18119 15087 16045
"200694_s_at" 15442 17538 18738 18561 19212 7643 18917 18498 15907 18696 3941 8121 18830 19165 17531 14558
"200695_at" 2819 20158 452 4664 17305 5803 21578 19443 5903 15723 21076 18578 11628 19625 19005 16938
"200696_s_at" 5700 1382 17231 5147 2125 9277 3074 14749 6462 8271 2788 2461 10135 4509 5614 2247
"200697_at" 20283 16660 19010 2042 16557 3112 15506 18278 2360 5557 16521 19063 19066 15119 17788 18906
"200698_at" 15624 5868 14519 3465 14665 3360 16532 15148 461 18462 3614 5489 13286 3634 15311 14155
"200699_at" 3829 16741 14246 1578 19833 3842 17853 15512 411 18824 3645 16309 14532 1289 12966 14342
"200700_s_at" 5422 3867 1795 16788 3954 4819 5650 17053 1095 19118 7230 2778 10749 4570 16231 13045
"200701_at" 3690 1515 358 2747 4669 2038 399 3104 2650 6020 6679 2449 1485 4183 13116 2722
"200702_s_at" 17780 4181 17259 3926 19478 21575 15895 3345 17271 17772 7762 19449 12497 20352 16785 16714
"200703_at" 5802 18414 18924 20505 17323 6626 15727 16381 13113 19002 16841 5643 16332 18590 14579 18673
"200704_at" 6249 2222 486 3619 16151 5766 4766 16035 15688 5169 2176 1156 10394 17417 5480 3429
"200705_s_at" 15050 15190 14780 5450 12918 19274 4778 5114 7965 8495 17927 8195 1878 6621 3774 13081
"200706_s_at" 280 3393 383 5039 1314 2177 425 17540 4319 8067 4412 745 2551 15027 11479 1703
"200707_at" 15802 4472 15194 15634 2143 21254 5306 19967 5954 4730 2973 4244 12564 17352 12307 2191
"200708_at" 18853 17089 15960 20149 17114 3414 5554 17991 21018 18862 8447 15851 16169 13555 12988 16419
"200709_at" 3946 14989 1588 17326 4071 4820 1212 4465 5022 7227 4011 17521 13981 14464 15405 15047
"200710_at" 16479 15697 183 20750 5005 20174 4688 16606 18526 6540 2295 2973 14909 17596 13093 19925
"200711_s_at" 17478 19638 19099 19028 15165 19157 17517 3102 19037 17003 8602 18792 17498 19052 13784 20378
"200712_s_at" 16458 18875 18887 17052 2965 2854 3259 15296 13954 17231 21451 6585 14988 18807 18714 17757
"200713_s_at" 15475 18430 16964 15761 16124 3993 15841 17544 13477 10057 5571 17424 13399 17088 16061 16126
"200714_x_at" 2724 4860 2533 19292 4356 4122 5713 7731 15613 4540 2192 5852 12171 15836 12186 13256
"200715_x_at" 17833 5764 1531 4509 15448 6796 3332 4290 13141 8867 4325 3550 1648 12198 5014 13139
"200716_x_at" 890 4837 14700 3958 2633 19850 4936 15853 8123 12024 8299 7168 11179 6798 5060 3064
"200717_x_at" 6379 9430 2430 15706 4764 19104 5977 9933 8027 11932 11501 10721 4747 6703 7302 12851
"200718_s_at" 4315 17899 14044 16425 16017 5588 3795 5628 6072 8100 7866 4808 10315 16517 5502 3861
