"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200028_s_at" 6329 8297 14121 885 4075 7911 15996 16954 14793 18665 17880 15410 16617 8744 6811 15229 5770 12605 6494 19597 17220 16141
"200029_at" 4560 7415 6955 18193 6811 9097 2714 3551 4649 5858 6504 4427 2184 16082 7394 16022 19567 5980 14890 4961 3414 3980
"200030_s_at" 16804 17638 8124 5093 8893 5213 2340 4548 4217 6223 6129 14164 14184 8731 8066 13079 8310 14062 9867 14072 3059 14478
"200031_s_at" 7096 18366 14126 4819 9455 8729 6100 3186 8033 17581 16202 4911 14281 16105 9847 4971 11979 9162 14986 4995 13771 15241
"200032_s_at" 14557 5066 6746 2908 8247 20162 6035 4098 7983 17823 18318 5061 15419 16124 14550 14465 16463 9222 9524 5018 13958 15994
"200033_at" 6116 17439 15172 18349 8464 20397 18892 20331 20588 21153 19551 20247 19946 11192 16389 18413 16439 18549 9953 16492 20644 20777
"200034_s_at" 2342 16626 6546 3735 7033 20508 12436 3836 14358 17914 5882 4303 16332 19795 13962 3494 18448 12021 9542 9624 14939 15721
"200035_at" 3030 20275 4592 21756 16228 19105 1385 19665 17930 2791 1164 20287 17931 9632 809 18236 9402 19400 6168 2691 17892 20986
"200036_s_at" 15319 16578 6041 15693 7401 20249 1770 2883 14957 3675 16622 14274 15141 14026 7938 17298 16390 13944 10469 10692 15978 14624
"200037_s_at" 684 5413 18299 18218 7996 7531 12835 15545 18906 2779 16273 16084 14454 8357 6376 13013 5919 14051 8433 13018 15283 15185
"200038_s_at" 6840 17637 9072 4896 17126 19199 5861 16047 14308 5780 17558 3637 4066 16183 16134 12537 16912 9444 10277 5085 13639 15259
"200039_s_at" 4867 16374 6419 12916 16431 6814 14181 4266 13757 3606 17006 1828 15348 7475 18543 12584 7600 14164 5626 12377 13130 17076
