"inst_1559" "inst_5777"
"200803_s_at" 15509 6202
"200804_at" 15268 15596
"200805_at" 18999 5622
"200806_s_at" 18863 7214
"200807_s_at" 18479 13379
"200808_s_at" 20036 16558
"200809_x_at" 15563 7445
"200810_s_at" 18205 3375
"200811_at" 20963 13748
"200812_at" 18640 16260
"200813_s_at" 499 19010
"200814_at" 1728 6096
"200815_s_at" 1636 4368
"200816_s_at" 15214 20393
"200817_x_at" 2449 8999
"200818_at" 3786 14568
"200819_s_at" 15952 15103
"200820_at" 3765 14080
"200821_at" 21321 18692
"200822_x_at" 17194 15437
"200823_x_at" 2155 17451
"200824_at" 19649 17445
"200825_s_at" 17579 51
"200826_at" 4625 16625
"200827_at" 19943 13345
"200828_s_at" 17750 5628
"200829_x_at" 15902 7315
"200830_at" 17547 15030
"200831_s_at" 1107 1891
"200832_s_at" 17485 5013
"200833_s_at" 15467 5118
"200834_s_at" 1590 7212
"200835_s_at" 5183 2886
"200836_s_at" 10312 3047
"200837_at" 17241 7343
"200838_at" 1614 19378
"200839_s_at" 17671 17257
"200840_at" 20704 13156
"200841_s_at" 4242 2786
"200842_s_at" 1874 1858
"200843_s_at" 18232 3135
"200844_s_at" 17997 7047
"200845_s_at" 20079 15249
"200846_s_at" 17078 14761
"200847_s_at" 19736 2414
"200848_at" 16365 13724
"200849_s_at" 20372 6590
"200850_s_at" 3216 14731
"200851_s_at" 4183 18444
"200852_x_at" 2791 5253
"200853_at" 22216 15847
"200854_at" 20851 14209
"200855_at" 18822 18546
"200856_x_at" 1358 17425
"200857_s_at" 2673 2188
"200858_s_at" 18022 15311
"200859_x_at" 15932 18750
"200860_s_at" 15392 5521
"200861_at" 21981 6312
"200862_at" 19800 16186
"200863_s_at" 3843 13888
"200864_s_at" 20778 20376
"200865_at" 5015 12873
"200866_s_at" 15604 5422
"200867_at" 19645 17802
"200868_s_at" 15256 4927
"200869_at" 17765 6930
"200870_at" 18643 13329
"200871_s_at" 2524 15279
"200872_at" 725 4874
"200873_s_at" 4116 7258
"200874_s_at" 19160 19380
"200875_s_at" 19719 18009
"200876_s_at" 20786 14528
"200877_at" 16655 15037
"200878_at" 1054 14643
"200879_s_at" 6244 989
"200880_at" 21831 21019
"200881_s_at" 4233 20545
"200882_s_at" 15615 15861
"200883_at" 3931 13833
"200884_at" 18947 13940
"200885_at" 3859 14985
"200886_s_at" 3886 13587
"200887_s_at" 3541 7469
"200888_s_at" 16869 16723
"200889_s_at" 18752 1784
"200890_s_at" 20509 1324
"200891_s_at" 22137 6355
"200892_s_at" 20838 3950
"200893_at" 19371 4564
"200894_s_at" 21656 16024
"200895_s_at" 20459 19252
"200896_x_at" 3773 15202
"200897_s_at" 9378 1724
"200898_s_at" 21584 2197
"200899_s_at" 4592 20080
"200900_s_at" 743 20957
"200901_s_at" 16963 18825
"200902_at" 17461 7404
"200903_s_at" 15463 14431
"200904_at" 21223 20346
"200905_x_at" 4535 3918
"200906_s_at" 14617 1576
"200907_s_at" 13359 3024
"200908_s_at" 589 7167
"200909_s_at" 18269 14343
"200910_at" 19093 16684
"200911_s_at" 2158 18639
"200912_s_at" 20167 7321
"200913_at" 4342 3399
"200914_x_at" 19349 14266
"200915_x_at" 1396 5528
"200916_at" 1648 16089
"200917_s_at" 17866 1262
"200918_s_at" 15249 2269
"200919_at" 2419 17392
"200920_s_at" 2003 1050
"200921_s_at" 2798 1315
"200922_at" 21985 7598
"200923_at" 1204 21469
"200924_s_at" 2780 130
"200925_at" 17276 13178
"200926_at" 3651 9055
"200927_s_at" 20748 15649
"200928_s_at" 11338 12933
"200929_at" 1130 4201
"200930_s_at" 12732 13482
"200931_s_at" 3392 7046
"200932_s_at" 637 5228
"200933_x_at" 19333 6996
"200934_at" 19483 16212
"200935_at" 18315 840
"200936_at" 3921 9042
"200937_s_at" 16454 6620
"200938_s_at" 10169 1091
"200939_s_at" 9917 1595
"200940_s_at" 17300 13903
"200941_at" 15477 20434
"200942_s_at" 20925 14705
"200943_at" 17771 15701
"200944_s_at" 3561 6944
"200945_s_at" 3980 874
"200946_x_at" 16121 5922
"200947_s_at" 16829 2682
"200948_at" 19003 17092
"200949_x_at" 2882 6876
"200950_at" 18864 17143
"200951_s_at" 1019 10067
"200952_s_at" 13688 482
"200953_s_at" 16286 17233
"200954_at" 20344 19565
"200955_at" 18561 6325
"200956_s_at" 18034 13434
"200957_s_at" 18962 7325
"200958_s_at" 16802 6615
"200959_at" 19835 17503
"200960_x_at" 16201 6242
"200961_at" 16077 7473
"200962_at" 15733 21807
"200963_x_at" 4595 14637
"200964_at" 21276 6166
"200965_s_at" 3832 17920
"200966_x_at" 15513 16018
"200967_at" 16568 3116
"200968_s_at" 4101 2064
"200969_at" 18215 454
"200970_s_at" 16971 334
"200971_s_at" 4455 974
"200972_at" 17281 13176
"200973_s_at" 18737 2813
"200974_at" 16002 13650
"200975_at" 3682 19339
"200976_s_at" 18190 4247
"200977_s_at" 19261 3365
"200978_at" 4044 14556
"200979_at" 19744 14814
"200980_s_at" 15532 17156
"200981_x_at" 3188 15345
"200982_s_at" 535 1734
"200983_x_at" 9371 22204
"200984_s_at" 1587 22131
"200985_s_at" 5116 22242
"200986_at" 6239 9816
"200987_x_at" 15384 5547
"200988_s_at" 16436 4786
"200989_at" 17338 5601
"200990_at" 20199 18174
"200991_s_at" 20910 16255
"200992_at" 17572 7508
"200993_at" 21114 6236
"200994_at" 20389 16430
"200995_at" 18731 15875
"200996_at" 18170 4293
"200997_at" 15917 5796
"200998_s_at" 4267 1329
"200999_s_at" 17166 949
"201000_at" 19174 169
"201001_s_at" 19048 16237
"201002_s_at" 2860 17561
"201003_x_at" 21115 18671
"201004_at" 3858 5497
"201005_at" 11727 13725
"201006_at" 2132 5043
"201007_at" 16816 17513
"201008_s_at" 413 18037
"201009_s_at" 16113 16367
"201010_s_at" 2219 18358
"201011_at" 16709 3045
"201012_at" 4537 3067
"201013_s_at" 15364 17279
"201014_s_at" 4582 7004
"201015_s_at" 7745 2960
"201016_at" 18168 15668
"201017_at" 21992 13929
"201018_at" 17236 19480
"201019_s_at" 18541 13596
"201020_at" 1262 17833
"201021_s_at" 2076 6316
"201022_s_at" 1566 7356
"201023_at" 19845 7009
"201024_x_at" 16693 6875
"201025_at" 21554 18290
"201026_at" 3088 18386
"201027_s_at" 21958 20412
"201028_s_at" 1247 13514
"201029_s_at" 18871 6780
"201030_x_at" 3388 14393
"201031_s_at" 21586 16321
"201032_at" 15705 16708
"201033_x_at" 4279 6462
"201034_at" 19226 19312
"201035_s_at" 3029 21575
"201036_s_at" 21254 19920
"201037_at" 17592 14693
"201038_s_at" 21405 20849
"201039_s_at" 20867 20970
"201040_at" 1886 7324
"201041_s_at" 719 15
"201042_at" 13939 20729
"201043_s_at" 19129 20948
"201044_x_at" 8356 315
"201045_s_at" 9477 351
"201046_s_at" 1679 20013
"201047_x_at" 15517 4274
"201048_x_at" 7317 1193
"201049_s_at" 2228 13771
"201050_at" 10380 21834
"201051_at" 20411 20920
"201052_s_at" 16818 15063
"201053_s_at" 21763 7357
"201054_at" 19096 18544
"201055_s_at" 4518 14929
"201056_at" 21902 5790
"201057_s_at" 2049 915
"201058_s_at" 8586 17914
"201059_at" 17717 17113
"201060_x_at" 21297 16103
"201061_s_at" 18295 5132
"201062_at" 10784 12091
"201063_at" 10541 2815
"201064_s_at" 19056 18852
"201065_s_at" 19429 19766
"201066_at" 1767 14837
"201067_at" 16393 17161
"201068_s_at" 19183 6987
"201069_at" 18465 2544
"201070_x_at" 17354 7439
"201071_x_at" 17854 5269
"201072_s_at" 2610 13936
"201073_s_at" 21889 19274
"201074_at" 19363 17213
"201075_s_at" 20222 19414
"201076_at" 20105 16564
"201077_s_at" 19569 6686
"201078_at" 15718 6597
"201079_at" 16973 15753
"201080_at" 17810 22232
"201081_s_at" 20290 6248
"201082_s_at" 6752 13319
"201083_s_at" 16013 15559
"201084_s_at" 18928 6466
"201085_s_at" 4479 17278
"201086_x_at" 18348 18476
"201087_at" 3235 20037
"201088_at" 21202 18369
"201089_at" 17530 18971
"201090_x_at" 15343 16063
"201091_s_at" 20812 13376
"201092_at" 16203 14869
"201093_x_at" 18017 17780
"201094_at" 4045 6351
"201095_at" 2232 18114
"201096_s_at" 18857 925
"201097_s_at" 20983 2872
"201098_at" 3875 3978
"201099_at" 16712 5821
"201100_s_at" 15586 14587
"201101_s_at" 18940 13429
"201102_s_at" 18956 4859
"201103_x_at" 4167 14992
"201104_x_at" 3512 5359
"201105_at" 3497 13236
"201106_at" 19411 3560
"201107_s_at" 8685 19888
"201108_s_at" 9691 17977
"201109_s_at" 13685 18896
"201110_s_at" 6000 21247
"201111_at" 21012 17453
"201112_s_at" 21087 14641
"201113_at" 19902 14722
"201114_x_at" 16499 14534
"201115_at" 3495 16655
"201116_s_at" 6128 17718
"201117_s_at" 12784 14119
"201118_at" 16570 13331
"201119_s_at" 695 13895
"201120_s_at" 18028 19000
"201121_s_at" 1575 17790
"201122_x_at" 19219 15839
"201123_s_at" 17495 14279
"201124_at" 5637 17572
"201125_s_at" 6104 17222
"201126_s_at" 376 4930
"201127_s_at" 15890 15735
"201128_s_at" 508 14348
"201129_at" 17001 16054
"201130_s_at" 9641 4329
"201131_s_at" 8437 4557
"201132_at" 21908 17078
"201133_s_at" 4098 134
"201134_x_at" 2283 13314
"201135_at" 17185 13954
"201136_at" 3164 18434
"201137_s_at" 13706 2868
"201138_s_at" 21172 14248
"201139_s_at" 20775 17032
"201140_s_at" 16939 9639
"201141_at" 662 10398
"201142_at" 3448 14678
"201143_s_at" 21563 14967
"201144_s_at" 16746 5606
"201145_at" 16961 5104
"201146_at" 15854 1659
"201147_s_at" 10170 10608
"201148_s_at" 11078 11535
"201149_s_at" 16549 11379
"201150_s_at" 13377 7924
"201151_s_at" 17172 16592
"201152_s_at" 1616 15097
"201153_s_at" 19813 7421
"201154_x_at" 4561 5078
"201155_s_at" 3974 6245
"201156_s_at" 2802 11923
"201157_s_at" 3890 3684
"201158_at" 2448 19670
"201159_s_at" 2811 13285
"201160_s_at" 20903 2640
"201161_s_at" 3871 2258
"201162_at" 20154 2373
"201163_s_at" 4040 15346
"201164_s_at" 19270 14457
"201165_s_at" 21384 4095
"201166_s_at" 3984 4973
"201167_x_at" 21080 15501
"201168_x_at" 21236 18591
"201169_s_at" 670 137
"201170_s_at" 1038 166
"201171_at" 19563 15704
"201172_x_at" 17940 18663
"201173_x_at" 18693 15328
"201174_s_at" 15685 6217
"201175_at" 19384 4075
"201176_s_at" 3510 2088
"201177_s_at" 21225 7450
"201178_at" 3568 7151
"201179_s_at" 19937 7364
"201180_s_at" 19186 5213
"201181_at" 19795 16698
"201182_s_at" 4350 13947
"201183_s_at" 4307 5381
"201184_s_at" 2099 17484
"201185_at" 11579 20857
"201186_at" 18709 19175
"201187_s_at" 6453 9860
"201188_s_at" 14099 4804
"201189_s_at" 8848 17034
"201190_s_at" 18639 6326
"201191_at" 8177 16317
"201192_s_at" 924 5588
"201193_at" 962 13847
"201194_at" 2217 18344
"201195_s_at" 20186 218
"201196_s_at" 18069 6593
"201197_at" 21631 15527
"201198_s_at" 18500 17316
"201199_s_at" 19717 16376
"201200_at" 21203 16419
"201201_at" 16860 7524
"201202_at" 18809 18471
"201203_s_at" 8717 2136
"201204_s_at" 19243 2430
"201205_at" 16248 1357
"201206_s_at" 19728 1014
"201207_at" 17437 13657
"201208_s_at" 13631 22092
"201209_at" 4254 19115
"201210_at" 17192 15131
"201211_s_at" 9870 14613
"201212_at" 7151 18068
"201213_at" 21109 13536
"201214_s_at" 757 18467
"201215_at" 11142 7075
"201216_at" 16440 5756
"201217_x_at" 1233 6885
"201218_at" 2504 590
"201219_at" 530 1363
"201220_x_at" 2753 814
"201221_s_at" 17415 17603
"201222_s_at" 22132 2992
"201223_s_at" 15735 14032
"201224_s_at" 1066 13983
"201225_s_at" 15324 16291
"201226_at" 19237 6434
"201227_s_at" 20663 14106
"201228_s_at" 10411 19583
"201229_s_at" 22233 5174
"201230_s_at" 20039 15907
"201231_s_at" 3677 14816
"201232_s_at" 18645 16283
"201233_at" 19191 15075
"201234_at" 1185 7560
"201235_s_at" 15632 12794
"201236_s_at" 3654 14340
"201237_at" 21782 15365
"201238_s_at" 20894 5996
"201239_s_at" 17179 2173
"201240_s_at" 16090 3186
"201241_at" 4224 6935
"201242_s_at" 12275 17227
"201243_s_at" 1488 13965
"201244_s_at" 18087 15104
"201245_s_at" 18630 6069
"201246_s_at" 14346 3653
"201247_at" 20853 787
"201248_s_at" 3780 2611
"201249_at" 11975 2827
"201250_s_at" 21499 4687
"201251_at" 17601 16248
"201252_at" 3536 13597
"201253_s_at" 4508 14511
"201254_x_at" 15519 13097
"201255_x_at" 20482 6337
"201256_at" 17162 5314
"201257_x_at" 17937 13079
"201258_at" 18490 14729
"201259_s_at" 2739 6862
"201260_s_at" 21867 15231
"201261_x_at" 19489 17658
"201262_s_at" 13165 7850
"201263_at" 2250 1563
"201264_at" 3639 7014
"201265_at" 7227 776
"201266_at" 17481 863
"201267_s_at" 18818 16736
"201268_at" 4174 7169
"201269_s_at" 12251 19202
"201270_x_at" 3121 17244
"201271_s_at" 2258 6899
"201272_at" 21650 1210
"201273_s_at" 19952 14760
"201274_at" 20194 3199
"201275_at" 17294 6357
"201276_at" 2287 1693
"201277_s_at" 19804 6663
"201278_at" 10400 20358
"201279_s_at" 7398 19914
"201280_s_at" 12100 20482
"201281_at" 16111 7078
"201282_at" 22195 14776
"201283_s_at" 13231 6173
"201284_s_at" 15761 16850
"201285_at" 20352 7230
"201286_at" 6637 17091
"201287_s_at" 18896 5358
"201288_at" 19233 21184
"201289_at" 13515 1417
"201290_at" 3014 6037
"201291_s_at" 18796 21595
"201292_at" 21516 21673
"201293_x_at" 16463 9045
"201294_s_at" 2118 21317
"201295_s_at" 932 10265
"201296_s_at" 2833 3774
"201297_s_at" 20577 19224
"201298_s_at" 4081 4971
"201299_s_at" 15698 16627
"201300_s_at" 19202 4823
"201301_s_at" 1674 16170
"201302_at" 18352 6553
"201303_at" 20774 16001
"201304_at" 17681 7537
"201305_x_at" 20211 13946
"201306_s_at" 15938 16033
"201307_at" 21142 18007
"201308_s_at" 14678 5694
"201309_x_at" 3114 22041
"201310_s_at" 16046 22136
"201311_s_at" 19445 16630
"201312_s_at" 15335 20420
"201313_at" 228 18377
"201314_at" 18027 21652
"201315_x_at" 20869 17323
"201316_at" 4332 21621
"201317_s_at" 16922 14842
"201318_s_at" 15815 4706
"201319_at" 15878 17452
"201320_at" 16739 21323
"201321_s_at" 19847 17593
"201322_at" 18403 7040
"201323_at" 20657 6097
"201324_at" 38 3353
"201325_s_at" 2889 3911
"201326_at" 17210 18053
"201327_s_at" 19585 15087
"201328_at" 913 164
"201329_s_at" 2298 150
"201330_at" 2548 20723
"201331_s_at" 16577 18226
"201332_s_at" 8050 18130
"201333_s_at" 1930 18769
"201334_s_at" 18404 14532
"201335_s_at" 12717 20525
"201336_at" 1395 17299
"201337_s_at" 419 15924
"201338_x_at" 3425 7208
"201339_s_at" 18015 17335
"201340_s_at" 21530 5828
"201341_at" 19295 19973
"201342_at" 2921 17778
"201343_at" 18678 4578
"201344_at" 10196 16378
"201345_s_at" 17615 7480
"201346_at" 19398 4160
"201347_x_at" 2992 14486
"201348_at" 9566 4785
"201349_at" 1838 20262
"201350_at" 18782 21138
"201351_s_at" 18276 3739
"201352_at" 1953 3701
"201353_s_at" 20243 13274
"201354_s_at" 2010 4703
"201355_s_at" 1754 4326
"201356_at" 1981 15295
"201357_s_at" 596 17341
"201358_s_at" 17349 3531
"201359_at" 17744 2693
"201360_at" 22222 15109
"201361_at" 3039 19370
"201362_at" 16329 18811
"201363_s_at" 15163 18069
"201364_s_at" 16691 17137
"201365_at" 3309 4079
"201366_at" 16652 6892
"201367_s_at" 8017 11900
"201368_at" 18696 3727
"201369_s_at" 17624 6496
"201370_s_at" 3572 15237
"201371_s_at" 16772 14064
"201372_s_at" 14118 14445
"201373_at" 12383 2016
"201374_x_at" 9062 7515
"201375_s_at" 20432 3829
"201376_s_at" 19533 6971
"201377_at" 17424 20092
"201378_s_at" 18016 15567
"201379_s_at" 18116 3738
"201380_at" 18884 16578
"201381_x_at" 19572 18321
"201382_at" 18784 19765
"201383_s_at" 341 4699
"201384_s_at" 20126 4682
"201385_at" 19927 14188
"201386_s_at" 3245 15920
"201387_s_at" 10074 8367
"201388_at" 20131 18515
"201389_at" 3194 19156
"201390_s_at" 3021 13341
"201391_at" 16807 13876
"201392_s_at" 2012 20422
"201393_s_at" 19613 20884
"201394_s_at" 15251 16586
"201395_at" 3933 7263
"201396_s_at" 1539 4548
"201397_at" 17099 1227
"201398_s_at" 4552 3632
"201399_s_at" 17585 1435
"201400_at" 18330 7440
"201401_s_at" 21071 2393
"201402_at" 7977 984
"201403_s_at" 3215 7128
"201404_x_at" 21358 4960
"201405_s_at" 21175 13358
"201406_at" 16672 14592
"201407_s_at" 21489 13651
"201408_at" 19301 17631
"201409_s_at" 4351 14245
"201410_at" 17476 15504
"201411_s_at" 19127 19305
"201412_at" 2403 15676
"201413_at" 2528 15247
"201414_s_at" 2038 15832
"201415_at" 954 17060
"201416_at" 21512 22106
"201417_at" 19885 20954
"201418_s_at" 13438 21331
"201419_at" 17969 21235
"201420_s_at" 20906 7105
"201421_s_at" 21274 18234
"201422_at" 4103 21093
"201423_s_at" 21600 13848
"201424_s_at" 17819 14688
"201425_at" 2209 22064
"201426_s_at" 1272 13451
"201427_s_at" 8483 20949
"201428_at" 12869 19797
"201429_s_at" 15390 9017
"201430_s_at" 5719 13860
"201431_s_at" 2638 20247
"201432_at" 18842 15442
"201433_s_at" 17123 16285
"201434_at" 16040 15699
"201435_s_at" 1032 13496
"201436_at" 16848 20585
"201437_s_at" 21550 18751
"201438_at" 14967 21341
"201439_at" 20961 14427
"201440_at" 2691 17424
"201441_at" 15195 18725
"201442_s_at" 8139 2239
"201443_s_at" 21214 7632
"201444_s_at" 20982 7107
"201445_at" 7604 6919
"201446_s_at" 19019 5114
"201447_at" 18549 17448
"201448_at" 16915 19562
"201449_at" 19906 20027
"201450_s_at" 18813 5414
"201451_x_at" 5202 3461
"201452_at" 12378 3064
"201453_x_at" 17269 5671
"201454_s_at" 19843 13973
"201455_s_at" 4056 16912
"201456_s_at" 3791 17565
"201457_x_at" 17125 14798
