"inst_389" "inst_404" "inst_506" "inst_869" "inst_911" "inst_977" "inst_1023" "inst_1081" "inst_1184" "inst_1243" "inst_1668" "inst_2703" "inst_4467" "inst_5240" "inst_5603" "inst_6202" "inst_6959" "inst_7002"
"200041_s_at" 16273 18120 19306 6378 5984 14713 7005 18014 6669 16483 8835 17249 17010 10355 7315 16806 6904 19926
"200042_at" 19780 1910 6403 7330 18428 17944 16948 20938 19771 17055 8881 8182 18202 18556 11679 6908 6534 7383
"200043_at" 14623 20842 20450 9862 8097 15784 20002 18767 19551 16857 21152 18276 6622 2560 19072 16620 7648 8061
"200044_at" 15797 12818 4004 8849 6688 15170 6723 3469 8796 18114 8739 18190 16564 7472 11172 18462 7901 5389
"200045_at" 20777 15732 15171 20057 20519 17822 19189 18073 20733 21890 20173 8025 18650 19368 10078 15557 17982 20179
"200046_at" 5825 13791 14675 20339 7238 15480 15818 17949 18812 7603 9798 10386 18628 8639 8971 18724 7292 10354
"200047_s_at" 1700 20991 16690 20159 8039 16355 3433 3734 3684 22075 6991 6086 19764 9439 6619 17607 6430 19079
"200048_s_at" 3178 4816 5599 9253 7166 3423 18232 18212 17837 16350 9296 8422 17557 10946 10722 17025 7272 10759
"200049_at" 16370 4729 18753 2330 8264 4535 4270 517 8763 1992 9613 3464 7268 6974 5147 14979 8339 5453
"200050_at" 16927 13734 18560 8252 20692 19378 21734 20491 20095 19543 19525 10334 18188 7195 6808 15047 7893 7033
"200051_at" 19752 20422 18844 20118 20612 14932 4973 21494 20432 20120 6017 8877 16857 4595 10848 16194 8290 19746
"200052_s_at" 6369 12294 16519 9685 6170 19676 18637 18665 8520 16420 20511 17012 17453 10204 11937 17345 17899 10266
"200053_at" 6407 4503 13604 1951 804 4830 6134 6013 6372 5322 3891 5166 4246 11272 5024 6478 22176 22009
"200054_at" 4485 19041 18717 8582 21830 20612 21428 21622 19727 19398 20972 18198 17675 19961 20719 18997 20783 7607
"200055_at" 5704 13636 14567 6895 7042 4922 3112 4210 8081 4415 8085 10876 17161 7327 10124 15109 6541 5129
"200056_s_at" 15570 19567 19716 9916 5569 20691 17415 3211 8585 6087 3532 16843 7593 2966 7153 7309 8625 5703
"200057_s_at" 3944 4740 6460 9718 18481 17686 15787 3983 7048 16913 8036 8914 10760 9732 6569 13525 7886 9990
"200058_s_at" 16155 13786 20273 5181 6733 4146 4078 4723 8451 6883 5273 6366 8297 7960 5975 15375 5928 7299
"200059_s_at" 2600 14404 19023 9179 5953 4322 18164 18167 7920 16029 19190 8481 8732 5898 10678 14226 5845 8881
"200060_s_at" 3909 19030 19449 21403 19620 18435 19806 18195 19023 18902 20099 6203 10456 19467 19332 17091 8926 20415
"200061_s_at" 15193 5114 15829 13439 12255 14769 10600 5499 8656 11075 10233 12682 12442 20041 14578 9077 18479 20180
"200062_s_at" 15629 3736 13680 14022 12371 8381 10463 5495 17956 7235 19358 12606 12358 13992 14467 8969 18027 20215
"200063_s_at" 5400 14949 20180 13611 11774 16645 10669 19097 7765 16261 20899 12729 12479 18788 14633 9120 19100 19563
"200064_at" 6379 16754 4747 9977 18652 15167 19451 18211 8568 19039 20831 6232 16458 19841 18951 6534 18700 19731
"200065_s_at" 15321 16019 18081 9643 7812 16781 16104 4451 8732 15650 10237 19430 16213 19216 12463 16497 6919 9157
"200066_at" 6479 18550 15023 3936 1816 1765 3807 18509 6491 7858 2026 21510 4975 3282 2561 5319 618 5410
"200067_x_at" 1654 13685 15361 7518 18078 16934 5613 5431 18689 17868 20269 9750 16171 10429 9770 17286 6685 9467
"200068_s_at" 5981 14157 16903 7757 18063 5136 16734 2842 8071 7660 20579 9805 10715 10231 19010 14769 4937 9322
"200069_at" 6373 12644 21741 8254 21024 19782 16899 19012 20933 17893 6463 4481 18927 11049 11831 17088 4166 21679
"200070_at" 18802 21604 22031 3116 4704 2031 2057 1652 20007 2200 4879 4265 9578 9988 3965 5141 994 4072
"200071_at" 6525 15258 20188 7848 7501 19053 18776 18147 6654 18800 8477 4442 17884 7866 8753 14638 18332 7931
"200072_s_at" 15624 17129 14551 7022 3872 16872 18230 6327 18163 18420 6264 8776 10618 9069 10635 16530 5692 7248
"200073_s_at" 15144 21013 19549 20385 18477 16563 19299 6309 19633 20226 9960 8269 7598 8542 19093 16142 20461 8797
"200074_s_at" 6075 5694 5091 8257 5161 4308 17535 17742 7840 6459 9956 8205 9544 8606 11981 13685 8457 9466
"200075_s_at" 14809 18211 20369 8710 4816 5008 6619 4209 19338 6647 7981 18400 10596 6094 5038 17024 5190 7129
"200076_s_at" 18868 14296 6564 5515 19420 16215 16953 17845 8528 7176 9965 7014 16610 5790 9547 19214 4869 9747
"200077_s_at" 4722 6572 15334 20536 8591 4325 16904 6124 19762 15751 10532 8804 10172 18790 11255 7161 7898 10057
"200078_s_at" 14622 13170 6526 10444 19020 19567 20731 21067 18532 17807 20276 10652 18365 7193 10966 14757 7071 19960
"200079_s_at" 16776 5850 18320 8455 8154 15801 17678 18395 18328 16627 19571 9365 18718 20297 12265 18087 17382 19399
"200080_s_at" 14155 20307 20927 7628 7487 2725 16813 2307 18292 6667 7726 7453 9178 7059 18410 6876 7869 10271
"200081_s_at" 16339 12426 6433 9270 5545 3167 17271 19246 6791 4022 19502 8092 8290 10853 11729 15517 17644 10292
"200082_s_at" 18710 13561 4380 20257 12187 4389 16252 17339 18114 16300 20188 12718 16654 10637 12273 9110 7766 20035
"200083_at" 3436 13452 18202 2740 18208 14751 15701 2878 20077 7564 4627 9587 8317 5442 11357 13790 4736 20543
"200084_at" 4456 19296 16204 8120 18099 17927 6808 6230 6442 17174 7658 10008 8951 6733 9839 16731 5983 10014
"200085_s_at" 6523 6301 3754 5499 5375 4402 6481 17238 8567 4753 8903 9388 10391 9859 10900 17119 7341 9204
"200086_s_at" 4474 14064 3390 8554 5744 4824 16217 17002 6187 7407 8896 6725 10550 11248 9765 17019 7018 8477
"200087_s_at" 15203 15061 16965 20286 19867 17117 17071 5045 7137 7854 8725 17833 7074 7659 12207 15674 18660 20120
"200088_x_at" 15111 6556 6073 13465 12068 8396 10741 5259 8274 7068 10511 12613 12368 19836 14478 8979 8286 9060
"200089_s_at" 4029 15436 15983 7597 6875 5046 5359 17074 8587 6863 19234 12751 9591 9009 10804 9150 21577 8707
"200090_at" 2488 15514 14274 3064 19940 1350 1867 19750 4253 6653 3510 3737 16116 4985 5181 6598 3930 5534
"200091_s_at" 15505 18244 14521 9425 6668 3986 17287 19745 18982 7288 19325 4963 7465 6443 9758 9022 18973 10495
"200092_s_at" 6440 13125 6141 19610 18332 4935 10610 19689 9099 7323 10352 12735 10465 10014 18828 9127 8917 10681
"200093_s_at" 5921 13311 19089 6505 4284 5060 6550 17953 8058 4184 8803 5563 5427 5194 6393 17308 5989 7580
"200094_s_at" 6707 16597 16341 8662 4135 4404 3192 3304 18008 4635 6934 7387 7149 9408 9403 13955 6230 5373
"200095_x_at" 6272 12384 15919 13924 12181 4035 10697 18021 18617 7640 19562 12775 12529 10493 14703 9174 8903 19667
"200096_s_at" 18699 19435 6479 7426 1887 2939 18070 2552 6459 18509 7895 6113 17700 6914 3362 17696 17406 7388
"200097_s_at" 6184 17123 20479 21162 19036 19653 18843 3403 6800 17690 8800 10781 9695 8073 8272 17449 17447 20388
"200098_s_at" 15732 13073 18240 9474 7888 19530 19063 19337 8610 7737 20245 8255 18210 18532 11093 17603 17389 8728
"200099_s_at" 14318 12193 4922 13822 11968 15540 10720 17234 18537 6543 20064 12736 12486 14310 14645 9129 8842 8720
"200593_s_at" 17053 19288 19380 19665 8494 14967 18870 19571 20943 16443 20660 16821 19761 10091 10303 16658 20183 20281
"200594_x_at" 6285 17116 18473 9617 20227 15972 17786 3473 18907 20015 10114 17614 17786 11058 12006 14363 18743 19711
"200595_s_at" 14309 14626 16904 6087 18309 17080 18899 17684 18650 19161 7468 6950 9054 7622 11453 19686 4812 6523
"200596_s_at" 19669 4004 16261 6982 7131 4260 18835 21141 21451 8132 7285 9304 16395 5392 11425 19717 5905 6791
"200597_at" 18595 16837 19561 8703 19217 15952 6579 4919 19159 18055 4076 16828 18189 18560 21648 15253 5368 1936
"200598_s_at" 16196 6030 20121 5238 1742 5019 19711 20697 19946 16858 6618 17391 8434 7848 11822 16652 17934 6990
"200599_s_at" 3633 16453 18737 19407 17801 4016 18064 17485 19088 6359 5107 5763 7554 8178 11905 18472 6135 10534
"200600_at" 16454 9112 14620 17201 10149 13353 9322 7848 18556 18903 8965 9983 7116 5870 14240 18007 10887 11979
"200601_at" 19099 13627 20659 21727 20584 20652 20168 18831 20738 19530 19841 17771 21480 8497 11497 3396 19632 19985
"200602_at" 224 4380 19694 3923 7237 17902 1344 20137 5784 7635 7250 10257 7187 3186 6720 4494 5155 4429
"200603_at" 3016 19911 18975 8543 18315 16951 16851 3057 7448 4316 6606 3696 6210 6637 9631 15659 4453 6026
"200604_s_at" 17241 5981 15991 5475 1814 2268 17536 4438 2210 3740 4670 9290 6155 5986 8765 14987 3729 8840
"200605_s_at" 464 20670 16117 8241 4839 17726 6778 3471 4875 3177 8430 3854 8768 8030 18782 17768 17981 10329
"200606_at" 20712 17691 4915 6007 4830 3486 3098 2338 10660 5403 3172 4291 8648 6256 4483 271 4283 5945
"200607_s_at" 1115 3891 18731 3689 558 1796 5172 5371 5512 2843 2150 16986 6391 6933 6997 14147 4942 3863
"200608_s_at" 4017 21006 21497 7795 4690 3687 6485 2813 18502 5948 3243 5438 6147 4071 5232 16337 1713 4462
"200609_s_at" 4160 13782 13717 20179 20782 3624 17490 20808 21647 4976 20697 8127 19033 20407 20160 17385 7920 9807
"200610_s_at" 15223 18564 20817 9690 17890 17132 20683 18339 6732 17240 20218 6136 16717 19657 19450 16748 17999 10326
"200611_s_at" 17019 12968 14845 7789 5934 4410 16472 18860 5010 15935 7252 9611 9832 9969 8807 13504 6431 7604
"200612_s_at" 15043 16857 4024 5114 6195 17939 16723 1013 8467 2416 9793 17259 6350 21909 20858 21449 19243 21774
"200613_at" 6386 3724 6215 6343 5641 4036 5483 4263 4635 7451 7920 5172 9152 19255 9921 15315 8637 9175
"200614_at" 15686 12837 17061 20944 7482 4622 17261 17635 20648 16560 9874 8461 10673 10782 18417 15363 19304 19768
"200615_s_at" 2650 18227 14153 1375 1941 2257 2420 5093 7863 1599 4336 17691 7850 6079 10701 16722 6085 2430
"200616_s_at" 15875 5812 17310 8899 17949 18294 16182 19603 18667 19715 9321 19827 17452 20197 8912 16312 18494 19712
"200617_at" 21426 20988 4646 10345 17919 19564 15902 5293 21782 7745 19379 17764 18267 18941 20743 16295 19242 7054
"200618_at" 14103 18741 17012 8553 18629 16327 17191 18716 20785 2775 8127 4356 10820 11254 9503 5080 5873 19591
"200619_at" 1058 20687 15223 6372 19718 16668 5413 5417 6904 16183 21316 7983 9719 8455 5300 5925 8067 2326
"200620_at" 3376 15625 19208 3477 3264 1704 2377 3227 7501 6299 1653 20838 7641 4293 2306 3521 1345 4851
"200621_at" 20624 12972 16115 7769 19776 14918 18449 3168 6651 19648 20569 7160 16833 19438 11525 15319 4345 5036
"200622_x_at" 19370 4542 4133 3558 5139 14940 6898 18844 19594 1749 4832 20532 5987 2292 6061 6727 2989 5570
"200623_s_at" 15997 19356 2892 6973 4311 18758 6710 2808 22053 21875 7281 20951 9917 18920 19438 20689 2530 8782
"200624_s_at" 2312 16900 20520 3516 3163 2339 17453 17098 6870 7313 3217 18613 19431 2901 3943 16449 3501 5069
"200625_s_at" 16563 16525 15063 7483 7308 15716 18737 5664 20527 6202 7796 18316 10566 9636 12215 17336 6882 7307
"200626_s_at" 14746 16484 16718 6932 18313 15258 20452 2419 8469 19088 5504 4984 10682 6641 10106 6029 5230 8035
"200627_at" 4140 16134 17172 20475 18890 16296 16520 19927 19279 19935 20270 16857 8799 9770 19107 15953 19026 20460
"200628_s_at" 15613 18761 5296 7601 5416 15742 21712 22154 9018 3228 21661 21420 6515 6432 12022 20980 19547 19932
"200629_at" 18588 4687 16859 6561 19742 16479 6973 3819 9071 15757 7342 21753 10055 21139 8721 19812 7428 9810
"200630_x_at" 16794 12615 3544 19719 21021 16288 5104 5265 8487 15870 19344 6649 16050 18939 12285 16372 18408 19342
"200631_s_at" 17396 17948 15064 8416 20039 16739 17559 18736 19275 15631 19999 8281 18300 8931 18871 14639 21262 9398
"200632_s_at" 3186 3860 4735 83 646 66 11 70 6270 4233 16 4908 5700 2031 1839 4150 1219 325
"200633_at" 5922 4549 5768 14006 12340 4075 15923 2933 18218 7475 10221 12681 12441 18885 11077 7217 8088 10167
"200634_at" 3632 1929 5700 8055 7873 15474 5502 17677 19675 5299 8782 19042 16936 9559 8995 16351 19171 19329
"200635_s_at" 17692 17291 1401 665 1592 2173 3864 1727 17591 22156 1110 12392 5768 3113 3351 1528 7426 6383
"200636_s_at" 12732 20351 5098 3499 6022 16329 4965 2476 12890 16520 2876 13154 8496 1713 10665 7487 1301 7662
"200637_s_at" 7607 15609 20875 1345 4443 2808 1924 555 12757 1772 1169 11628 3163 8414 8404 9097 7144 7087
"200638_s_at" 3336 19053 19910 19674 8317 15837 17825 17638 5712 18324 21373 7049 10801 10968 12479 6933 20445 9481
"200639_s_at" 2505 19738 20688 9720 19381 5073 17205 4709 7976 7399 8453 4290 9688 20412 10534 16577 18694 8141
"200640_at" 5998 12836 18421 9987 19143 4843 18472 5224 6174 16121 10477 8821 8250 11336 18542 13632 17901 10578
"200641_s_at" 5362 4844 5857 9520 2244 3444 20471 20376 4086 7531 21636 6786 6941 8972 12532 5512 21369 19802
"200642_at" 6691 6028 18531 7548 6234 4194 16609 5297 19826 6832 9496 17794 9836 10010 8561 16493 5627 8384
"200643_at" 17498 19006 21351 4190 19834 18359 3316 1272 5953 5757 7570 21832 7687 6305 20929 5636 20351 5501
"200644_at" 3854 17032 14309 20101 19581 20060 18387 19791 3758 3443 19830 10470 16482 18691 11833 3573 19232 9825
"200645_at" 4539 18637 15074 5314 5460 2810 2980 3146 3251 6040 4702 10254 16105 4770 6414 6696 4303 4205
"200646_s_at" 4202 5793 5547 4988 19063 16656 2528 17529 1075 7526 363 3141 3986 9688 4804 2675 679 1928
"200647_x_at" 4623 18644 17504 6411 7517 4063 5407 19203 18390 6523 5456 19969 8303 10924 10944 14389 17421 5710
"200648_s_at" 15779 19988 5183 884 623 613 1819 4237 1002 2920 1268 19312 2534 2111 2249 6836 2707 4128
"200649_at" 17232 12222 4350 3210 7542 2265 2146 3391 879 2754 5748 7361 3613 5685 3067 2641 1816 3708
"200650_s_at" 17348 18074 15046 21073 19248 3388 16831 17571 19689 17779 9947 12574 12325 19228 18933 8934 18871 19288
"200651_at" 6092 3346 6119 19507 12206 2494 16512 5685 8617 6669 19743 12764 6934 9248 11621 9158 8818 8348
"200652_at" 18395 6242 17463 6314 7848 14835 19290 19280 18012 16659 19351 18503 18469 5775 9529 16131 5172 8991
"200653_s_at" 16858 4389 5413 20836 8114 18913 19623 21642 8053 16741 20793 8881 7435 9727 10197 16035 8666 19630
"200654_at" 16587 4599 4907 6844 18092 2694 4709 3355 19236 2777 7667 9813 8318 10705 3370 14986 4671 8769
"200655_s_at" 6419 12975 14744 10178 6932 17738 5690 18686 8297 15642 20176 7762 7706 8404 12403 15434 6646 8360
"200656_s_at" 14747 18230 17887 6212 4967 16663 6976 17103 20494 6674 8364 7603 5681 8382 7491 14413 5921 7343
"200657_at" 4857 13336 14975 9917 18155 4733 16152 5036 7454 7258 8974 8621 9752 19097 18821 15602 8978 19933
"200658_s_at" 16449 12927 2346 9143 6799 4975 18328 5357 18253 18141 19887 10571 10448 10768 8486 19244 7700 7833
"200659_s_at" 17157 17676 17690 19248 7269 20763 17142 18828 21933 19903 21872 3984 20405 20410 8919 19921 6275 8163
"200660_at" 18488 3526 20128 7855 5543 4018 4942 21042 6250 4628 8374 18929 8849 7729 8562 16933 4624 7458
"200661_at" 6131 4686 6270 4093 2521 2053 1735 4101 19679 2593 1387 7496 7431 3961 4021 6569 2179 4696
"200662_s_at" 4416 18647 15852 6931 3982 2546 20159 18187 19748 16351 5141 7880 20144 8726 10528 17291 4435 8093
"200663_at" 10014 15403 13592 20126 7079 15340 16119 17575 7737 6485 19953 10497 17711 6231 19700 15403 18542 20701
"200664_s_at" 15112 15874 18763 20119 20566 19837 22162 22195 22217 20330 22036 20307 17850 20561 20074 19724 22231 20794
"200665_s_at" 9670 6793 16962 18607 16087 12995 10425 10595 15902 10486 18158 14424 20399 13209 13340 8691 9077 13408
"200666_s_at" 18263 15692 15750 21950 21942 20719 21582 21915 22095 22159 22060 20002 20608 18679 21253 14306 21284 20475
"200667_at" 2324 14643 14509 10441 19159 18828 17974 19089 9080 18845 6784 9838 20392 10502 10286 16568 18449 6743
"200668_s_at" 4504 18844 13709 10075 18873 16552 18786 5767 7366 18417 9583 6066 10370 9792 10910 15128 7558 9520
"200669_s_at" 14464 16042 2898 19216 6717 17959 16942 3387 8264 15904 9479 10199 8868 8198 8407 14678 5133 10045
"200670_at" 18221 18396 20750 6755 3365 2396 7069 5964 21583 19597 6717 19402 16859 2992 3568 21058 5374 4742
"200671_s_at" 10557 14253 21322 5090 275 18295 1240 18056 16841 4204 15288 17208 19792 22146 5303 10530 11095 12487
"200672_x_at" 6431 4727 16814 6794 3185 1916 19836 581 2789 18781 5531 10799 19137 3289 5428 2597 1112 21479
"200673_at" 1625 15919 19106 5092 6049 4046 5260 3370 2431 6274 4358 4884 6542 4675 5667 5349 4058 3917
"200674_s_at" 14494 2940 4379 19247 18112 4120 10620 17252 18594 6871 8704 12739 16767 21032 19396 9133 7813 19488
"200675_at" 470 19172 15543 19261 8103 19523 17252 2712 20275 8146 4572 18824 8739 4357 7543 17611 5499 5039
"200676_s_at" 15381 683 5240 7834 20656 21617 17740 21902 21844 20017 9698 19099 9708 21907 10536 7005 21106 21959
"200677_at" 14719 17172 16753 5282 5341 3095 2312 4620 3471 4931 6003 6000 10240 9804 8156 6369 4307 5704
"200678_x_at" 4483 19823 15559 1041 1475 484 460 305 2414 3512 586 8361 3533 1307 1965 3697 714 710
"200679_x_at" 19595 12529 18124 19933 5228 15290 6791 19100 19641 15761 10452 18154 9346 9475 12309 14480 8696 9999
"200680_x_at" 3223 14079 19682 20921 12369 14993 18480 5585 20024 20086 19729 19794 16245 20508 14710 9182 19631 20517
"200681_at" 5353 14305 14555 6887 7723 15783 4011 2033 20143 17326 6380 18756 16945 8554 10784 17922 8035 7909
"200682_s_at" 6720 13679 16991 20376 5451 18407 17297 20884 19305 16835 19461 17901 16701 10781 9361 17691 9012 10157
"200683_s_at" 20966 13410 14049 19348 8266 19263 17163 19857 20295 17801 8558 20261 8267 19542 6789 18571 17813 4666
"200684_s_at" 16169 19318 18294 19809 7506 20196 20661 20185 18661 20109 9545 19521 18130 20331 18305 18927 7055 7507
"200685_at" 9935 13713 8387 19787 811 15860 19141 4996 3403 19965 19406 9010 17406 20910 1763 14262 17391 10094
"200686_s_at" 16368 17540 19874 9503 18326 20897 3074 5675 7285 21774 5386 5069 10736 5195 5986 21034 5554 8446
"200687_s_at" 14202 14304 19500 7375 7971 18701 3685 17299 19601 4752 7497 8039 5535 11321 10420 18206 5492 9089
"200688_at" 14898 15056 2351 3391 4580 2800 3135 211 21853 5688 7467 1239 10592 8638 5750 1915 1364 6205
"200689_x_at" 6121 13897 15506 9602 8592 15460 4555 4198 17843 7963 9590 12772 16325 11400 18482 9170 6355 9465
"200690_at" 20599 434 4443 9595 6585 20026 18195 20555 6588 7192 8233 20449 19694 20040 20117 20929 8494 7040
"200691_s_at" 1528 18143 16277 8591 7569 17685 17125 5051 18666 20470 19410 18656 16596 10381 18413 18926 17958 10410
"200692_s_at" 20060 6374 14703 10306 4021 4720 20812 19975 19680 16296 20266 18642 8054 6638 10658 18549 18242 10370
"200693_at" 5949 14086 18269 9374 8195 17064 16780 4764 6413 5110 9600 10009 7880 7994 10631 16152 7365 7743
"200694_s_at" 15610 5142 6110 21288 20775 20588 19727 19760 20100 19849 20368 10538 18547 18962 18469 17974 18984 19448
