"inst_1000" "inst_1058" "inst_1161" "inst_1220" "inst_1645" "inst_2680" "inst_4444" "inst_5217" "inst_5580" "inst_6179" "inst_6939" "inst_6980"
"200087_s_at" 4877 3998 2429 16398 3499 2597 5220 5464 4912 3985 4055 4824
"200088_x_at" 9425 5204 7362 4562 5257 10992 11704 7687 8847 9620 15310 6600
"200089_s_at" 5811 4832 7329 4729 15851 11137 15857 15223 15221 14099 16039 14922
"200090_at" 17293 20902 18497 21608 18605 16999 16733 18398 17908 18355 21625 18996
"200091_s_at" 16240 4260 7213 4678 15769 8024 16037 8111 13046 15007 16033 15228
"200092_s_at" 9437 4894 16803 5218 14920 11116 16388 7091 9020 9747 16131 15239
"200093_s_at" 17286 5547 18161 16424 17869 7561 15960 15211 16848 18290 17308 17120
"200094_s_at" 15680 4015 6526 5238 15973 8133 6350 16194 7108 6411 17724 15946
"200095_x_at" 9463 16400 7536 4253 5747 11162 11865 7761 9079 9793 15406 6449
"200096_s_at" 18293 2939 5559 15318 5105 5192 6495 4703 13873 7023 16051 5180
"200097_s_at" 17472 18810 20440 17927 18525 16856 16196 17208 16797 19311 17689 18526
"200098_s_at" 15626 16709 6486 17060 16315 8163 16221 16054 16419 14896 17778 17285
"200099_s_at" 9202 17065 16698 5106 5593 11119 11829 10914 9026 9749 16468 16539
"200593_s_at" 19031 18475 21186 18520 20315 21641 19884 20245 18854 21430 20436 20256
"200594_x_at" 17365 20164 20231 17415 18978 19871 17411 18227 18058 19314 17310 19876
"200595_s_at" 20651 21063 19870 16360 20375 16251 19575 19831 20173 18740 19827 19938
"200596_s_at" 19813 20847 20245 12991 20028 17424 20291 21030 20493 20564 21006 20598
"200597_at" 20441 21699 21234 19557 21316 19055 20108 17283 21426 20493 20321 18473
"200598_s_at" 2147 791 3714 1176 3135 3482 2933 3426 1757 5417 5236 2777
"200599_s_at" 4032 4583 4127 798 1649 3353 4124 3460 3844 4948 1955 1908
"200600_at" 11855 15052 18107 17149 6917 16655 8634 6167 12015 15998 7680 12586
"200601_at" 17409 17187 4084 17621 17873 5682 16894 6125 16448 3306 6743 4905
"200602_at" 6170 17705 7143 17965 18046 8870 7156 6201 15910 17037 4720 16650
"200603_at" 17342 18999 7499 16637 17396 6273 9867 15412 16350 8004 17050 16984
"200604_s_at" 18844 18590 5605 15984 16494 4622 17597 17471 15783 5730 18698 16805
"200605_s_at" 15563 17948 4365 17617 18723 5035 16258 18422 17064 6775 16494 17151
"200606_at" 17883 17004 1452 4970 19071 95 6337 17481 16600 209 17865 18101
"200607_s_at" 20738 19120 20919 20853 19908 19559 20221 20459 19490 20457 21425 20666
"200608_s_at" 19676 20451 20521 21112 19427 17324 19757 19680 19929 20241 20902 20599
"200609_s_at" 18801 19481 20799 4452 18001 19375 4785 16548 15846 17440 17386 18037
"200610_s_at" 19174 19453 19570 17361 19486 17612 18055 19188 19049 16757 17655 16878
"200611_s_at" 16105 18556 18912 14737 17155 16317 8363 17102 17427 18265 17245 17476
"200612_s_at" 5734 18112 5810 13295 15018 7858 18314 19276 13876 7333 18739 17013
"200613_at" 16131 4812 3768 14650 15207 4525 9616 6962 15192 6140 15661 15765
"200614_at" 16834 17300 6775 4638 15762 6066 9671 14916 13847 7966 16695 16310
"200615_s_at" 6021 3281 18408 17563 14795 8970 15995 20294 17675 19236 15300 5860
"200616_s_at" 1992 2500 1854 2134 2838 3041 2157 3495 2340 2926 2228 2132
"200617_at" 2083 1912 3578 2116 2782 2091 4109 2624 3969 3185 2336 2645
"200618_at" 4924 4419 18962 3923 16725 18550 7103 6277 13481 18174 4437 17605
"200619_at" 16215 20105 3591 19455 18646 15300 17461 18705 20342 15962 18600 19476
"200620_at" 5018 3870 18336 14617 4519 9331 8310 7874 6645 16693 4425 3993
"200621_at" 1308 1022 2663 1501 906 4238 825 1609 1488 4630 812 532
"200622_x_at" 15375 2623 4663 2986 4359 5552 8050 4320 13488 5515 16023 16417
"200623_s_at" 18094 5585 5403 17106 16804 4500 16953 6344 15554 1789 4816 6209
"200624_s_at" 19863 20188 19928 16550 19109 18256 16644 18802 19923 18389 21239 19714
"200625_s_at" 4249 3741 6998 2287 4122 3595 6361 6690 13852 7746 4019 4799
"200626_s_at" 20354 21326 19508 17207 19755 16571 17681 17161 18070 18413 17555 19302
"200627_at" 16909 17377 19761 13705 17543 17210 15283 17905 15471 18760 17159 17831
"200628_s_at" 15457 5426 5052 15540 5395 17218 7115 7038 14514 16533 18148 4284
"200629_at" 4418 16472 5604 15361 3851 17345 8779 5735 6772 7752 4753 15441
"200630_x_at" 16166 17938 18216 16543 17532 18857 16986 15351 13843 16889 16473 16976
"200631_s_at" 18537 19839 19957 17316 19586 17765 18012 18469 18938 18598 18003 20134
"200632_s_at" 132 317 19588 270 178 18740 859 385 645 18485 953 863
"200633_at" 5600 3354 5409 4874 2551 11059 11782 5246 6316 7091 4187 4443
"200634_at" 16347 17431 18212 15683 16581 15551 16966 16444 13510 18175 6258 16155
"200635_s_at" 19952 20351 7451 16470 21437 9854 6320 15760 15271 6317 19835 19284
"200636_s_at" 17356 18319 7289 15852 20129 12365 17623 18034 20398 6324 18546 19778
"200637_s_at" 17771 17279 11255 14061 16000 10590 3407 17356 15669 8141 19535 20040
"200638_s_at" 16217 17697 17372 13323 16300 15236 9579 15442 13813 15777 16370 15820
"200639_s_at" 16389 17298 18237 3385 16419 8082 10197 16447 14359 19066 15372 17538
"200640_at" 15095 18430 18538 14700 16718 15748 10225 16202 14510 15375 6593 17258
"200641_s_at" 16797 17237 18734 12973 5803 15328 7441 16808 13513 16900 17531 15752
"200642_at" 4641 4422 6298 13844 5123 7755 9004 7270 7030 14002 5132 4725
"200643_at" 5539 3705 17641 14251 14675 15769 16400 15821 16054 19382 16540 5891
"200644_at" 15079 17305 201 4986 16404 785 7868 7890 14633 1672 6394 6486
"200645_at" 15181 5109 5465 15295 5028 3903 7339 6452 6647 14893 5075 5003
"200646_s_at" 15757 2129 2737 14436 3552 7745 7732 3135 5700 6104 2574 3299
"200647_x_at" 5694 17226 5771 4473 4913 15994 9961 15054 17150 16692 16520 15848
"200648_s_at" 15354 3948 3613 1335 15614 2849 4313 6655 6602 15424 20074 16226
"200649_at" 2512 4249 7363 13486 15868 3508 5095 6237 14183 4142 4592 5193
"200650_s_at" 16243 16867 17759 4705 15428 10954 11663 7952 7056 9582 6433 6613
"200651_at" 15710 4876 16570 13384 5165 11152 10020 7309 6769 9781 16986 6671
"200652_at" 17518 16621 6879 16551 14942 6428 6608 6835 14682 6253 6714 6526
"200653_s_at" 2466 1810 2024 3304 4563 3310 6062 3344 4592 6900 2601 4723
"200654_at" 5570 16972 6915 1545 4130 8488 5782 4706 3127 14812 3261 3673
"200655_s_at" 3562 3348 2485 1211 4888 3612 8130 6647 6705 4808 4680 5458
"200656_s_at" 4807 3994 4602 3216 4740 7349 4139 4752 5279 14961 5274 3254
"200657_at" 15558 17036 16320 14850 15005 8491 15546 7216 13570 14188 16049 15135
"200658_s_at" 15130 5001 3432 15604 4289 5345 8316 4852 13025 6346 16612 4920
"200659_s_at" 3283 3972 2372 17064 4133 2558 9011 4280 13084 2714 5398 15340
"200660_at" 4171 2539 20659 16654 15058 20998 16397 6563 13419 21422 16412 14909
"200661_at" 2903 1999 3228 14686 3381 2947 8179 5278 6250 6301 4402 15249
"200662_s_at" 17423 17570 17950 13695 16569 7242 7533 6881 16613 14600 16726 17659
