"inst_2567" "inst_3429" "inst_3812" "inst_3895" "inst_4369" "inst_4547"
"200668_s_at" 7473 17159 14497 9083 10578 5555
"200669_s_at" 7446 3996 5896 4405 8176 3894
"200670_at" 1359 2822 8199 4025 2326 568
"200671_s_at" 14537 54 21971 2653 20771 18741
"200672_x_at" 19762 1938 3896 17744 1786 19892
"200673_at" 4314 4270 6789 4702 5052 5420
"200674_s_at" 13230 17218 10390 11719 12919 20084
"200675_at" 8302 20081 14871 18057 7661 8465
"200676_s_at" 19588 19596 20331 18589 21530 18507
"200677_at" 2895 2562 14123 5916 6742 6167
"200678_x_at" 9774 21678 4827 9204 17939 17574
"200679_x_at" 6421 18487 6643 17089 17245 9940
"200680_x_at" 11128 17619 10439 15873 12977 6333
"200681_at" 9362 4263 6441 7974 9358 8409
"200682_s_at" 4037 18816 7105 18688 18367 19282
"200683_s_at" 4701 20707 8198 18289 18925 19363
"200684_s_at" 3296 17491 18354 21488 19735 19684
"200685_at" 7705 19150 5260 20813 19052 18207
"200686_s_at" 1978 3314 1836 7236 6998 2432
"200687_s_at" 5961 18457 14425 9098 18933 20591
"200688_at" 1973 22251 1621 20343 19772 20866
"200689_x_at" 10431 17797 8674 8997 12969 10918
"200690_at" 1727 5743 15744 16070 18588 11020
"200691_s_at" 3232 6287 14661 7793 10957 5991
"200692_s_at" 1657 6346 3375 6165 9162 9259
"200693_at" 4492 5847 14218 9048 8260 6562
"200694_s_at" 5595 6324 4814 15706 9382 7040
"200695_at" 19981 5579 16452 4082 9208 21263
"200696_s_at" 6573 20881 7179 5066 3403 7045
"200697_at" 6440 2437 3581 9342 18123 6168
"200698_at" 1437 3073 7728 4043 6071 7108
"200699_at" 1111 7215 8101 8919 9990 7645
"200700_s_at" 2947 6274 17880 6228 3830 8601
"200701_at" 8242 17448 14106 9327 17469 6907
"200702_s_at" 6311 1104 16076 16211 17721 8212
"200703_at" 9196 19147 5936 15822 5530 7350
"200704_at" 2129 6087 6820 6204 3976 3781
"200705_s_at" 18110 17143 8799 18438 17738 18248
"200706_s_at" 3545 4324 15928 5973 8529 20061
"200707_at" 8818 8651 3455 7305 20066 20338
"200708_at" 8416 4815 7202 7196 8014 18013
"200709_at" 5627 4674 18784 6687 17504 7606
"200710_at" 9662 17300 14649 4137 8105 18551
"200711_s_at" 5209 4436 16255 7255 11109 8887
"200712_s_at" 652 5185 15338 3190 9184 5326
"200713_s_at" 2295 6121 8816 4511 5987 1840
"200714_x_at" 8379 7487 5576 6154 3890 19431
"200715_x_at" 10545 6527 5482 9154 9821 9488
"200716_x_at" 13270 18433 10429 11761 12961 18886
"200717_x_at" 13164 7864 10313 11643 12836 12933
"200718_s_at" 7909 7645 8702 16393 12785 9575
"200719_at" 8884 3432 16619 5586 4328 6505
"200720_s_at" 3750 8351 18218 18505 16547 18150
"200721_s_at" 18929 19304 16065 7310 6848 18442
"200722_s_at" 587 938 17985 20906 5644 6271
"200723_s_at" 7160 5007 15429 9792 18077 8128
"200724_at" 9374 1954 20999 8530 21093 20118
"200725_x_at" 10207 18928 4643 8372 12795 18649
"200726_at" 9178 17951 17677 5969 7364 9085
"200727_s_at" 4030 1636 5186 718 7082 7291
"200728_at" 9409 3955 14808 8748 17080 8342
"200729_s_at" 4325 19093 8016 7075 6750 4106
"200730_s_at" 1915 3580 17614 2004 5096 6510
"200731_s_at" 2119 7572 21263 6353 3736 4676
"200732_s_at" 4129 6882 8624 6318 10112 6087
"200733_s_at" 562 1487 16645 3186 2186 2889
"200734_s_at" 8718 2670 3924 17423 17417 17810
"200735_x_at" 13221 8367 10380 11710 12906 10924
"200736_s_at" 10166 11046 16594 13862 11636 9498
"200737_at" 10710 8439 8006 5600 6332 5613
"200738_s_at" 18144 6204 13883 7909 8731 10290
"200739_s_at" 10727 2580 18874 18558 18604 18393
"200740_s_at" 5568 6853 6690 16534 11076 7196
"200741_s_at" 13068 18385 10221 11559 12723 12846
