"inst_419" "inst_426" "inst_997" "inst_1055" "inst_1158" "inst_1217" "inst_1642" "inst_1700" "inst_1822" "inst_1864" "inst_2677" "inst_4441" "inst_5074" "inst_5214" "inst_5493" "inst_5577" "inst_6176" "inst_6936" "inst_6977"
"213888_s_at" 9114 14733 8202 8357 3943 11320 5183 6382 14351 5387 21605 10328 10758 8211 12524 9543 11289 13801 6867
"213889_at" 22194 6215 21645 1680 14113 17441 1522 20786 19365 7510 18595 20129 20726 2654 19302 21230 21672 19686 18612
"213890_x_at" 11552 7163 2292 1703 16931 4612 14244 17176 7774 20837 6706 13803 15351 12661 6796 3717 6299 16632 3697
"213891_s_at" 6750 13978 7312 3817 18657 13308 7845 13671 19250 8759 20732 14549 16356 7982 13474 2787 12162 15018 2381
"213892_s_at" 15258 3849 16685 14991 14613 16717 14187 16698 17999 20940 14333 14661 15233 18463 14889 12136 17124 16749 14036
"213893_x_at" 15155 18699 17211 18614 17790 16222 20277 2237 20513 2143 12346 13025 16944 3667 18244 17611 12946 5387 19184
"213894_at" 5994 9647 10869 5075 21686 10486 6058 12506 13820 17697 2324 11361 8464 9335 13167 4888 1861 11265 8501
"213895_at" 13334 8826 7120 9311 13206 52 5451 9964 14303 6293 8122 1787 4068 12196 11926 4723 22193 12531 11957
"213896_x_at" 9739 7773 19728 15182 294 2850 946 3115 3879 3825 11587 5735 4696 18296 5485 2104 3539 628 2790
"213897_s_at" 12877 20946 17517 14801 3207 2433 13936 18440 4713 9136 11846 12774 7972 3551 4956 15387 13424 5589 17442
"213898_at" 13883 13881 3900 4231 5740 15746 4428 14341 15153 18180 9753 430 13161 6521 19736 808 313 13077 5030
"213899_at" 21684 1073 1304 19791 14390 13464 13332 18191 18700 21548 21246 19448 4552 17935 20115 2951 12967 19864 19536
"213900_at" 18520 20227 1638 5320 4551 5799 13962 5024 14618 12948 317 3308 14137 12388 21262 21395 10349 20058 19280
"213901_x_at" 18264 21753 20751 1320 161 18354 20673 16275 2136 19694 2046 17784 14602 20645 3958 17488 20234 21452 13477
"213902_at" 12645 4492 14926 165 20288 3316 20844 1235 3173 10325 17562 17449 18671 12986 17997 11043 13316 16724 16522
"213903_s_at" 7989 13010 7782 13613 15830 2229 9390 10429 15460 13119 2604 950 3350 12951 19481 21047 1898 14187 14825
"213904_at" 8369 7750 4485 7057 8858 11520 9464 9885 7191 13734 113 1294 9931 6713 13717 8064 1193 12579 10126
"213905_x_at" 5976 5494 8981 12424 12525 6120 9793 8009 5790 13727 2284 13333 14793 2278 20775 11074 6393 14233 360
"213906_at" 110 3574 17491 15380 667 3994 14952 17922 5676 10756 20240 2241 6122 16397 20567 15924 2624 17818 17420
"213907_at" 13940 21954 13405 16604 4010 4627 1510 15667 19825 8644 16986 5348 18047 13379 6208 14473 10803 20402 1193
"213908_at" 9104 12636 6979 6252 2848 12980 10556 11099 1752 279 1374 21136 15372 21608 5332 21712 15018 3349 6245
"213909_at" 887 1246 8137 5397 6302 7010 5321 7140 46 13445 1980 20424 13631 17606 1125 21760 21443 14556 13185
"213910_at" 7231 11476 8286 11019 8308 7042 9854 13019 9460 16552 9856 15075 8675 8463 6993 9409 16116 11273 5453
"213911_s_at" 14615 1298 2407 1684 18108 2237 14421 5421 18325 11638 18703 17570 15374 4287 15861 3492 11467 6189 16355
"213912_at" 16101 20045 20993 21788 20542 2683 18021 15604 12600 10571 21469 2557 21753 14192 18483 12569 1664 17895 15192
"213913_s_at" 21481 15465 20635 1253 18162 21335 19415 2854 11367 21795 21313 1868 19737 18323 20639 21632 14280 1443 21177
"213914_s_at" 10257 10081 6495 4893 7133 6547 8714 6899 12080 19457 10006 3772 3333 6126 19496 10785 11520 7723 5334
"213915_at" 6198 8659 9183 9118 19963 5477 9172 12488 9136 10230 17514 11134 10674 11072 8382 4588 15104 8049 5376
"213916_at" 2332 14864 1103 21803 15129 3669 2163 18967 20413 6543 10026 17781 19702 15145 7380 15091 738 536 21090
"213917_at" 17521 2695 10308 9225 7296 11870 4745 11209 15904 14096 9487 11353 12724 9873 11961 9817 8461 14943 9154
"213918_s_at" 18790 5034 21663 14496 21258 15481 21490 20385 1935 802 20454 19784 1123 15349 5053 16597 3417 18565 1368
"213919_at" 1838 6659 4445 13693 12438 12896 6169 15027 13673 17065 16233 463 4107 13878 2284 17698 11879 13459 5584
"213920_at" 5078 12462 4047 8712 6082 9387 11706 12855 14662 20629 10281 406 11476 5634 8618 681 19916 13555 4916
"213921_at" 9046 20766 4457 8297 9957 8448 7473 10861 13788 13939 7838 9957 10673 7672 11869 9286 9684 10457 7718
"213922_at" 8161 11880 1831 6621 1083 17637 7929 832 6820 21574 11973 15563 2768 1846 19669 19760 17114 15849 8848
"213923_at" 18725 20293 18501 2218 16096 19814 15161 4657 3742 6845 18206 14028 6279 12921 6964 15064 15725 4387 14693
"213924_at" 20495 12469 7384 13673 6817 9335 9881 13954 10666 13304 17939 2210 5482 11470 11630 9816 125 13504 3306
"213925_at" 21827 16864 4414 3140 11466 15448 9436 8788 15690 18038 8486 19373 13580 6244 9588 8976 9402 13450 12012
"213926_s_at" 21919 19377 19663 16459 17608 479 15651 906 2833 4244 16906 21263 14971 2472 7801 2640 19766 6457 15072
"213927_at" 18174 16236 21299 1844 13601 20886 19544 1892 2132 20065 7486 13575 2139 21570 18366 20110 6681 3077 19349
"213928_s_at" 20992 14817 6369 9843 8802 99 9351 4188 13748 10060 10155 2992 4535 9056 20885 19011 3728 12726 1881
"213929_at" 3091 1267 1486 5524 2380 2463 17661 18750 7430 20703 12324 15992 2036 19884 4602 19670 19433 18778 19584
"213930_at" 1332 1917 21070 20570 2597 136 21388 4672 3195 21506 12697 13047 21027 22070 22129 12384 16862 21470 278
"213931_at" 14724 14750 1900 18722 17020 20243 2098 19815 3733 9731 12990 22104 21264 18283 22164 20546 4069 6241 1957
"213932_x_at" 12852 19859 1612 2377 21501 22190 15062 19232 18419 9817 3344 11869 6434 16139 1662 12788 18739 2873 1987
"213933_at" 7072 12466 4785 12492 3124 13108 10554 11798 9836 19375 8602 110 11564 934 959 5152 14162 14190 12417
"213934_s_at" 6044 3442 11894 20718 18311 2994 16521 15528 3510 7700 16745 4753 4775 18646 16372 17373 11673 19261 21975
"213935_at" 9602 19929 19051 19886 1304 19855 17758 21300 7305 803 3118 2789 3599 15567 20140 20601 14638 21367 965
"213936_x_at" 14579 2176 20 5090 21309 22269 211 3854 3587 4583 4232 19203 22118 20001 3004 18575 3624 658 680
"213937_s_at" 15391 18567 12830 2235 14854 4286 17646 18218 2690 7129 15518 11922 4084 20368 600 12407 4084 21485 14492
"213938_at" 10514 9868 5380 6728 5138 9873 4063 11106 9620 12758 5576 10047 10489 6165 13674 6252 6020 10648 7912
"213939_s_at" 8198 10105 11638 15929 2003 17323 21351 18832 20317 11391 11847 17585 3839 14729 18071 2514 12067 21366 1763
"213940_s_at" 22214 19454 16011 21404 14971 3863 13081 2472 6095 1545 12568 17803 1453 21248 1903 12324 19560 20395 3827
"213941_x_at" 15728 2862 11757 2483 4275 12974 13902 4016 7904 20908 11314 12279 6849 13669 15741 10507 6241 16070 15406
"213942_at" 15195 15316 4392 4847 10155 16233 8574 10657 5901 12506 4890 538 10853 9144 15212 495 8785 13922 11977
"213943_at" 8689 7888 6507 6179 18777 1722 8677 11364 18528 11224 18377 3887 15506 8242 13887 5332 15791 13815 8516
"213944_x_at" 12860 18765 14089 15120 12573 20473 20416 21869 5924 218 21176 5816 5079 13270 17370 13834 3443 2077 18332
"213945_s_at" 3692 907 22209 16221 20070 18437 1109 21575 18485 5698 3680 2449 16638 14393 21807 3125 14148 16464 19735
"213946_s_at" 3277 884 7750 8801 10191 12930 10936 14339 15430 15834 7391 14229 21430 5658 14251 15041 849 15734 13010
"213947_s_at" 16774 16774 17320 2774 21972 21398 22184 5917 7136 9663 15999 21705 2456 18846 15469 22262 20087 1726 18911
"213948_x_at" 16422 17308 7303 13434 5364 10590 8385 10152 12584 20447 50 7799 3754 17195 1764 20089 6684 15041 6634
"213949_s_at" 10141 7466 9380 4129 8517 5369 8238 12861 10664 20409 8357 10132 13340 6147 12338 6965 938 10785 10217
"213950_s_at" 4820 8205 10551 9719 8346 9072 12036 12533 8652 20318 8427 1341 11543 11968 13667 12359 11293 12952 9631
"213951_s_at" 2270 2026 19881 18648 16303 1667 16465 20311 20167 4103 12940 18858 15332 15531 5545 14054 17408 19033 14086
"213952_s_at" 485 1801 6627 12919 8167 8069 2969 6758 16425 17241 15185 968 4172 8765 10257 1718 18469 14692 6337
"213953_at" 3895 7623 7764 13691 13130 10516 7849 7046 9798 14656 2911 20023 554 8717 12947 9071 6436 15697 5049
"213954_at" 8123 10047 15287 10743 8429 20306 18509 19073 19782 20389 8248 19978 7817 13117 19343 2255 6050 17786 290
"213955_at" 9596 1053 9600 4813 11988 14342 6561 3681 11339 14349 21131 225 21922 13599 7817 1427 1251 6246 10200
"213956_at" 20206 2676 20724 21425 20376 2518 19987 17195 19899 10887 4633 21901 19523 2125 21197 19006 16480 2887 20400
"213957_s_at" 875 20827 12472 18971 16291 16673 21527 1268 1691 6696 3950 18839 21413 14879 15056 11258 15318 5517 16279
"213958_at" 251 9698 10819 7751 4677 11478 10916 13934 8246 12275 749 7903 8410 6037 10725 5611 5985 7912 6656
"213959_s_at" 5971 10620 493 13808 2622 8758 15331 11539 3523 14107 6281 21346 21457 2387 3183 20416 579 11956 14236
"213960_at" 11056 18298 9793 7645 8006 10294 8167 11618 14219 15379 7092 8846 13543 5328 6708 6620 4567 11616 6976
"213961_s_at" 8477 11921 7091 6774 8064 10758 5189 10148 13514 18080 7933 8874 11504 5851 12535 6495 7789 9722 7029
"213962_s_at" 19075 10659 4842 14042 13025 13292 12107 6402 8800 12393 8374 11904 10002 6335 10331 2946 21573 13040 8535
"213963_s_at" 16503 3654 21681 11483 17382 3826 21578 22103 1059 22188 17900 830 17001 17414 2470 20012 3470 906 13088
"213964_x_at" 8187 12396 5005 14178 10521 11067 11248 53 10433 12370 7921 10254 11447 18238 17779 1828 9993 8013 17177
"213965_s_at" 1169 10180 10307 6355 13308 8094 11794 11254 15199 20363 627 15765 18064 9154 7997 10230 11552 12311 12108
"213966_at" 8039 11865 311 8755 3239 2029 9162 8246 11020 13638 10232 37 13396 11096 6416 10101 5304 8224 8755
"213967_at" 7805 8876 6982 9374 10436 6324 4069 14366 1014 16835 10271 9694 4810 10362 1566 8918 6727 13219 6797
"213968_at" 16576 6055 9184 4365 13264 10129 4056 11399 16360 12110 8308 15875 19643 12020 1781 5112 10843 7652 12369
"213969_x_at" 12153 4742 2141 756 4310 14943 12894 4235 7730 21575 6569 7934 18339 4137 5640 5647 6118 15945 4314
"213970_at" 1348 1232 13084 21198 1049 20177 16966 2395 5944 21727 13492 20468 20679 5032 17887 3705 10510 5494 16269
"213971_s_at" 18968 19445 13637 16030 3476 19262 20834 17694 5574 4419 20298 17102 14678 12778 5743 19137 17738 1417 1183
"213972_at" 4270 10456 8901 9645 11330 12475 7910 9838 10018 11836 7964 7345 4615 262 12907 5535 2943 8863 9819
"213973_at" 15094 21938 4103 4486 6265 2709 6728 6742 1518 14315 8425 22037 2759 1804 9562 19599 11312 5901 10339
"213974_at" 3604 12290 6368 4506 10731 18521 5844 7684 7664 16459 6475 15706 14641 8814 20277 20808 8068 11611 12005
"213975_s_at" 7277 11347 10773 10415 17704 9347 4821 8428 11581 21132 12215 10145 9661 1003 13221 6352 10477 10284 5674
"213976_at" 316 11834 7252 12006 13291 12664 6385 10914 10341 17537 20350 19222 20987 10020 8977 16717 388 7943 9984
"213977_s_at" 11354 1537 18207 22172 14544 1558 20091 20293 19479 10644 3220 18942 2044 15449 2996 11425 21017 19999 16368
"213978_at" 9131 11458 238 11237 10759 348 5411 14724 9715 13556 19941 9370 754 214 18941 7131 17639 1737 19485
"213979_s_at" 18771 614 15990 742 15027 21082 17484 2574 20914 20742 13639 20088 18740 13396 19252 20229 14715 18063 16909
"213980_s_at" 18499 5741 15936 20009 17819 19080 14810 18890 20076 7977 17028 12787 6963 18129 17402 19817 11045 16585 4046
"213981_at" 8770 12264 1066 12910 10831 8766 45 10545 12407 20702 16768 21945 8537 3583 22183 21442 22267 16865 6549
"213982_s_at" 13036 12852 13812 17541 2677 931 20675 19495 2259 4878 18610 4411 19295 15406 3163 3023 13436 18266 19238
"213983_s_at" 3481 128 13417 16141 18877 17338 1670 4894 19856 6432 12040 18995 6328 19632 9892 11115 15585 6367 19411
"213984_at" 16764 18932 13018 1942 2785 1194 14644 17071 5570 6953 12677 18492 2224 14760 21877 3613 20480 3084 14158
"213985_s_at" 8658 5395 2878 12790 9776 11495 8526 11937 15491 19114 10890 10220 11406 9520 9338 4081 320 11105 8351
"213986_s_at" 1515 6230 17441 1893 22063 2488 1 20456 10733 6642 4327 14482 17931 16969 11831 10191 15064 17181 18082
"213987_s_at" 9414 14034 10841 9027 5468 7921 7510 12104 10552 15807 10429 10817 8351 5353 11619 7559 5586 12530 10894
"213988_s_at" 4356 7894 21177 9033 18889 15971 14186 17378 26 10161 17472 22221 3102 20443 4404 1855 21438 20550 21206
"213989_x_at" 19073 21354 14888 331 20503 21226 17378 19513 6811 10627 3408 4710 16403 21333 20612 16590 3178 2647 3487
"213990_s_at" 2464 9346 6439 10700 7952 7154 10288 10073 14291 4439 8891 9656 9401 10995 1392 7503 4592 11109 9935
"213991_s_at" 3903 12968 3840 11954 10295 11993 10068 9842 11238 16396 9951 8241 11652 8228 11773 4247 8253 11529 12477
"213992_at" 15797 20041 10937 10583 10499 2246 5915 12138 6782 12359 892 18594 17155 2210 3535 10497 10140 7109 5072
"213993_at" 8528 10589 3617 10538 5389 8315 11608 6970 13849 17168 11709 9981 342 812 3528 5454 8595 9922 9590
"213994_s_at" 7087 11009 10356 11556 11510 10923 7646 12708 15390 16803 10587 9708 13245 5701 13339 5416 3967 7365 9367
"213995_at" 14139 3415 18104 276 16519 17192 20443 5116 6553 1174 15089 16059 4140 19021 16580 13536 17148 19915 1843
"213996_at" 19196 14297 963 12978 13266 3293 8629 8533 4101 14019 21058 21927 16303 11051 500 354 5664 4610 9229
"213997_at" 8454 5500 3560 4717 12541 9727 9331 12805 12011 18131 8059 2185 11602 8227 9277 8477 9202 15571 5507
"213998_s_at" 17314 7067 13012 19246 19875 19914 18657 16938 17876 4379 13718 20885 21793 13038 19926 21284 4139 1738 14502
"213999_at" 11638 17267 576 14146 19847 14479 1961 17262 12882 8157 19450 2464 2547 21162 586 13741 14816 1794 10699
"214000_s_at" 13217 13059 128 13571 21261 192 2154 8223 17147 8496 13038 823 17777 15213 138 15713 10486 51 359
"214001_x_at" 17589 3894 1150 18137 20755 17115 14356 1757 2375 21797 18986 4264 3694 16337 19394 3108 3961 20979 941
"214002_at" 11309 19846 16634 8655 3836 18051 224 3232 2526 11623 4365 5478 2198 14203 3458 13728 20569 18640 485
"214003_x_at" 14184 1890 12652 17116 2500 3362 1573 4344 19270 11578 6669 8063 5252 7688 9882 5824 6263 16840 15409
"214004_s_at" 3659 3258 14246 16433 18398 2797 15184 4428 6392 21295 15077 3208 1848 15264 5559 3656 15295 18645 2416
"214005_at" 11455 6440 20156 20283 14343 19945 16758 19990 20963 2985 19725 17460 19283 16966 16281 19373 20604 17911 20062
"214006_s_at" 15035 19255 1503 22156 19513 19816 16774 20809 16820 22193 17022 12967 4634 14163 4755 16999 10551 17330 19225
"214007_s_at" 18088 21755 1619 1242 21577 3165 14159 2800 1618 22076 13736 12100 17556 13805 20133 16758 21300 18148 15080
"214008_at" 20329 14854 81 22270 15740 2854 17391 4246 6000 17275 7331 2448 17587 1013 16807 19542 3854 21952 15461
"214009_at" 10476 8027 1550 6289 16507 3097 113 15694 5702 21736 22169 1061 7819 660 1046 13036 1212 21080 16581
"214010_s_at" 8510 10045 7623 9226 7104 11996 12144 7157 6142 21510 2796 17568 14006 10184 13553 4264 21233 7203 10978
"214011_s_at" 12500 17819 16768 17507 18596 14745 14895 20258 21133 9956 14790 5689 17947 12886 20321 12934 15964 6406 16502
"214012_at" 5152 14744 6985 7698 20665 1087 7525 9526 372 2053 21667 13399 1154 9417 13393 4690 3784 10053 7346
"214013_s_at" 6304 12224 10770 5897 6879 12386 8658 6122 10878 20340 8677 7489 2435 9866 10243 8314 450 7772 5261
"214014_at" 8461 13307 14953 2459 9242 1300 595 22146 22227 14075 6803 16300 21314 20904 1388 943 6901 20703 20525
"214015_at" 5969 21860 9977 5816 12548 5385 10219 10463 15274 20000 8815 6893 9326 12055 104 7070 9285 5567 9956
"214016_s_at" 21314 19783 13616 1153 17728 15908 17217 1552 4585 9886 17103 16396 20405 20680 5712 19160 17222 3821 19475
"214017_s_at" 3455 21495 21602 15662 19732 19973 22257 19087 21330 4704 11983 639 17840 17246 6510 22108 18007 21262 20698
"214018_at" 7070 11618 10500 8058 7930 8559 7556 8778 11314 15970 5889 10644 10746 6321 12187 5438 5998 10469 7733
"214019_at" 2973 16053 6671 5825 10483 8541 5166 6807 16280 20980 11826 21873 6191 966 10314 19850 17089 2426 8857
"214020_x_at" 21140 16997 425 18576 8474 1673 1542 790 427 11522 20788 3739 2222 20525 3092 1385 11313 761 1022
"214021_x_at" 9892 8973 1585 4996 8716 4546 21861 1241 13264 13749 6304 1626 1668 509 19881 756 8440 21690 2308
"214022_s_at" 2525 21791 15557 9531 13085 20543 21784 3482 18117 859 2375 4387 19674 22183 17397 3455 20183 21428 1874
"214023_x_at" 9535 7420 2885 5413 5540 19246 12317 13158 7114 17420 10395 22197 4032 3874 12195 3458 101 20453 877
"214024_s_at" 9190 4281 9949 11083 13313 7376 6895 6841 9929 12263 9143 15391 13960 6971 496 9571 8586 7779 11404
"214025_at" 86 12777 10550 10192 11474 9855 9725 6112 15319 12531 613 9821 11733 5983 13879 4608 9657 9880 6137
"214026_s_at" 7364 11121 7367 13106 4859 12435 12452 14466 14358 13330 5882 18039 17921 1168 11750 7716 7390 7050 7369
"214027_x_at" 8160 10289 10656 13796 121 7269 516 18366 19029 20455 3908 18586 2330 2485 21131 17873 383 8486 15037
"214028_x_at" 7692 3858 22276 6528 22012 2319 22138 19527 3525 158 13076 22255 3247 14415 20046 22143 21469 19076 114
"214029_at" 9194 7818 3655 7425 4427 10547 9108 13073 14383 17825 363 6544 13833 5614 14966 6949 7272 7333 7436
"214030_at" 8659 13366 20021 5621 17587 16327 22096 20593 3769 4226 12010 13376 17524 14773 21889 20711 12056 1 9733
"214031_s_at" 7197 14174 5254 8361 6869 847 7073 10977 6357 12008 7900 19894 12445 5467 13981 4283 5601 9651 6555
"214032_at" 9772 8014 3254 8981 13033 10116 4825 8685 13735 14314 2771 10302 8698 8372 13572 4628 1479 8037 10420
"214033_at" 15975 1984 20548 630 1013 921 15515 17633 6377 21682 21542 16084 5368 18507 19816 3128 3791 16849 16314
"214034_at" 1862 8140 9621 13651 12100 6149 5752 13541 10571 12875 1166 11621 3022 6946 1085 6982 5309 13385 5828
"214035_x_at" 15220 20604 21272 20884 17203 4950 20921 20356 2371 5172 12496 12002 6064 17799 15485 12971 17122 4977 1946
"214036_at" 13965 4940 2045 381 12612 21138 18353 19157 18853 10710 9875 20278 15907 17524 20621 18003 20180 491 21923
"214037_s_at" 11006 15575 14047 17872 13920 776 16069 16155 18683 20670 4915 15745 19264 21672 331 17826 22156 19318 2440
"214038_at" 6315 12646 7749 6241 6382 5884 7731 7992 16409 18574 3836 9270 13908 8268 8768 12013 71 8265 4769
"214039_s_at" 13523 3885 13506 18253 17726 16191 2702 4467 17116 9745 16336 5174 15559 13664 5731 12483 12978 6677 3918
"214040_s_at" 9277 8572 8272 5493 13017 2199 9332 2893 10104 16558 2453 20701 11370 62 6299 20596 10682 11971 12501
"214041_x_at" 17134 177 417 19959 20967 3802 17214 2516 5295 21637 21337 3074 19281 21605 16154 2762 11195 18001 20886
"214042_s_at" 19744 2216 11998 15864 3392 3502 17288 2938 3470 11202 18400 12111 16414 15208 15120 10423 13859 4870 13753
"214043_at" 4258 15066 3237 13052 11292 9021 4540 9056 10023 15483 5113 2841 10310 10396 8914 4414 8281 11460 4941
"214044_at" 4439 8201 6892 9860 21831 13767 7586 406 2270 5391 20072 2379 329 1940 16064 82 2516 3400 8845
"214045_at" 11225 20413 13146 20554 21565 20977 17577 17993 22205 6923 14953 17448 19304 17328 7495 12009 18662 19986 17462
"214046_at" 18929 18821 17174 18491 11098 9562 20529 19019 13418 19208 5214 11259 12577 4279 20580 20135 4968 3099 20381
"214047_s_at" 16905 5779 20215 16651 16901 20175 17837 16849 7163 4520 17013 19921 6607 18940 17384 19234 19197 16188 16398
"214048_at" 14662 10420 19817 19002 20855 21197 16375 2983 4692 1593 20340 4596 15106 20706 21705 19583 16337 3286 13741
"214049_x_at" 7414 13229 10983 9132 11416 5511 11484 6242 8867 16979 4053 4000 700 3275 1596 1392 9731 9095 11976
"214050_at" 1883 21074 9377 3084 13306 9736 9569 8527 8274 12921 12221 21454 10861 8769 266 20906 1737 8269 8096
"214051_at" 19819 4499 20145 17248 5524 20011 3063 16541 18792 11682 8639 20118 16951 14643 17730 21426 4924 1274 2734
"214052_x_at" 3258 20476 20865 21619 18047 17493 15145 16989 20303 3113 19934 20431 19682 20973 18619 19823 17971 6566 18592
"214053_at" 11879 6010 886 3448 6334 7397 1637 12720 12998 14277 5178 7337 8502 11465 13103 9300 1047 9588 6910
"214054_at" 6738 5211 9917 9666 1016 9253 7843 15867 12563 3684 14746 7533 9709 15215 10584 5210 2183 14517 11100
"214055_x_at" 19619 4676 17463 20652 18003 4473 17436 20928 17804 3185 15619 17666 6234 18554 15495 12126 14538 16278 16775
"214056_at" 20718 4316 11697 14868 17399 978 19031 14995 1148 6111 12613 16221 2573 18708 3866 14206 17335 21751 2071
"214057_at" 21074 19376 11992 20929 4148 14815 19579 3514 823 5988 19849 2443 2162 15177 5810 3888 4113 3963 1419
"214058_at" 19461 1809 19008 13624 22178 18947 315 3249 404 22192 15804 1444 18667 22178 6524 14105 553 17022 3180
"214059_at" 5493 10547 1420 3432 9462 10452 10200 10177 15503 203 9046 1220 10747 5833 662 7632 10453 8122 8569
"214060_at" 683 22172 1235 14166 20569 16829 14329 494 273 633 21766 11908 21132 3038 20763 20077 20526 1204 5529
"214061_at" 850 19738 16610 15535 3683 21113 17043 4771 7037 4813 15222 12558 19559 21212 20200 17830 21467 4041 13515
"214062_x_at" 9443 13073 931 5109 144 2529 12626 10304 662 8478 21123 22110 21990 9503 10370 2768 21193 413 21851
"214063_s_at" 7494 15071 2687 8425 8775 7167 5102 11287 15010 17444 7482 8502 13413 7703 10389 4999 9704 10567 7818
"214064_at" 6905 3995 10091 13833 6023 5429 8846 14430 11013 14067 5334 8775 12864 9640 3132 769 9375 1144 6499
"214065_s_at" 14080 19174 4014 11098 9984 3300 5037 14618 16538 14017 7596 13460 15253 3410 13959 12780 2846 11106 4551
"214066_x_at" 2040 647 2177 6201 6584 408 12847 784 20793 14334 2065 13016 1493 21425 17227 17760 20304 20892 18055
"214067_at" 8037 10395 8592 7193 9596 7643 7528 9515 9818 15625 5378 8668 8253 9897 9797 5646 7260 13357 6924
"214068_at" 21419 5043 5027 11568 9830 12807 9958 11221 9932 12327 743 19352 9752 7996 1161 4329 2743 9724 7030
"214069_at" 16951 14379 8574 4708 10310 11310 10316 13357 10978 19837 841 11231 12679 6432 9123 9220 8241 12437 9349
"214070_s_at" 22134 16213 7574 12286 6200 10531 5542 8029 16689 15087 6068 532 6397 299 3217 8654 3605 9602 4574
"214071_at" 6598 11023 8839 10890 12036 10061 6562 7388 12653 15983 10096 9162 13640 6043 12681 6676 5064 7252 7706
"214072_x_at" 19679 22238 3914 12542 12082 2897 11744 10965 22015 20256 12438 20350 14574 886 2626 9430 17373 275 13350
"214073_at" 15805 4 13266 19547 5122 20467 18006 20498 1420 12788 9625 20488 15516 13381 5888 12572 9076 18184 16956
"214074_s_at" 19380 1075 21632 17625 10547 16165 15988 2616 676 16424 5174 16704 20302 15820 18301 21229 9358 21899 16924
"214075_at" 20769 2744 12822 14957 19136 16375 13215 963 17525 21083 20982 16528 16220 21945 5895 20191 21153 19398 17706
"214076_at" 21697 113 20034 16373 317 14369 21977 2236 2497 7773 17128 2303 6518 21978 21781 1619 22158 1065 14478
"214077_x_at" 18405 16873 12219 21862 10755 2115 18114 4607 4236 12874 5426 2194 4459 19170 7649 19538 7191 4883 1782
"214078_at" 6801 10954 10992 5866 7163 21575 7844 7132 6477 18746 73 3014 20079 8547 308 1217 4921 15289 12076
"214079_at" 18801 18080 21264 21021 12726 20656 1717 21942 21148 20502 5725 13630 17308 13734 2112 20031 543 19190 904
"214080_x_at" 12069 5808 15068 18461 1982 20622 20338 22224 4823 8556 13906 21118 16959 12678 20263 14074 15407 17974 21484
"214081_at" 12794 17425 3468 3903 7346 5627 4169 12677 9263 14809 1539 6594 12849 2778 6184 9872 3514 13297 10823
"214082_at" 9516 13459 7469 4587 11629 20315 12131 6828 1483 20324 11249 15047 21518 449 14574 8758 10458 15766 13115
"214083_at" 5866 8333 15711 295 18202 20663 103 5795 17126 10279 14533 13379 2621 1325 1762 2868 12008 898 21739
"214084_x_at" 9546 10539 7026 13174 21345 8376 8817 6259 14879 9424 14110 770 12778 6098 12131 5011 15345 14028 9830
"214085_x_at" 11261 3695 2104 17710 21084 4581 19648 18167 3474 8483 18873 13003 8009 2644 17154 17324 10894 18498 3120
"214086_s_at" 11661 4147 19816 16834 14860 15530 14047 19039 19038 7177 16623 15998 5865 14151 6198 18106 15433 19607 19838
"214087_s_at" 7477 20245 3180 3374 8846 12419 5351 14041 11053 15155 12385 7599 11908 11357 6185 4449 1809 10418 7676
"214088_s_at" 564 1605 4551 6009 5528 15159 5586 12137 5200 19952 2937 18269 3295 11677 1931 10558 2405 11762 9763
"214089_at" 8371 13027 9912 13464 7716 7067 11712 6983 13469 14294 10503 9970 8870 11780 13871 4785 7023 15352 9928
"214090_at" 13705 10173 16624 3531 11687 8895 8267 2276 15750 8990 8125 9452 1468 838 4491 12787 9453 10013 11863
"214091_s_at" 13924 18456 21288 17304 1279 12604 21248 1913 12517 19076 10223 9753 10389 19525 15683 21083 11041 5580 4111
"214092_x_at" 11926 2316 20689 19742 3513 19889 20345 16405 20908 6946 19252 17777 21328 16023 20528 16906 17518 1578 14510
"214093_s_at" 2811 21491 16890 2538 18084 18544 2380 2583 4436 4461 18702 13625 8066 1603 7699 11463 12649 16855 1284
"214094_at" 5278 13451 10811 9886 5333 7377 11178 6001 13505 944 19304 688 11849 6851 8569 6380 4679 11212 10889
"214095_at" 20552 3508 14885 21800 16516 13174 3542 17402 3630 8179 18323 19590 987 13833 2499 18150 16757 17850 3703
"214096_s_at" 2217 15839 18427 2473 2696 13656 15560 19510 5348 10222 12259 15220 1698 4897 3932 18264 15946 3534 16149
"214097_at" 15367 5939 17715 604 15694 4921 14380 15754 7659 21353 13232 14102 14980 18288 16328 16260 3262 4579 2434
"214098_at" 8495 11520 5110 9730 1856 20927 12738 539 1443 37 19234 3770 795 395 14124 3836 4388 8114 12470
"214099_s_at" 9192 9539 18703 10037 10394 14150 22024 21441 499 21057 6376 21636 822 17652 4364 2704 21769 1437 17699
"214100_x_at" 13086 16109 14313 19336 19682 3073 17483 16828 21617 7547 12645 21208 20856 21360 18112 18835 13111 18972 16753
"214101_s_at" 21232 16261 20273 18342 17627 13412 13678 360 1229 20907 17507 15091 14744 16599 19020 18372 16011 2385 16152
"214102_at" 16846 1185 1369 19135 14132 19949 18640 4343 19845 21748 21498 19017 21334 19406 3930 16801 15889 16699 13704
"214103_s_at" 8058 11821 7050 9115 9284 9080 9689 12948 11394 15102 7712 9897 11356 10594 11633 5159 7415 10666 7936
