"inst_419" "inst_426" "inst_997" "inst_1055" "inst_1158" "inst_1217" "inst_1642" "inst_1700" "inst_1822" "inst_1864" "inst_2677" "inst_4441" "inst_5074" "inst_5214" "inst_5493" "inst_5577" "inst_6176" "inst_6936" "inst_6977"
"200667_at" 12874 6070 18739 16468 18401 19570 3647 15106 19677 8325 12512 6293 6511 16850 18287 11240 14889 16903 17117
"200668_s_at" 12805 4890 12406 18316 14357 14120 13334 17842 6613 10088 16910 12758 6863 3121 5405 9989 12500 3829 4009
"200669_s_at" 16637 4596 12330 16740 4210 14320 15134 16253 2783 6910 4089 12404 15400 4683 18534 16125 4501 18610 15438
"200670_at" 19333 3433 11601 193 20344 638 20055 1329 128 831 20823 18359 797 17981 6167 11254 16896 18292 18609
"200671_s_at" 16654 14112 961 17542 9315 16907 4448 7264 7563 15038 11046 13970 3935 19212 15169 3498 241 486 5871
"200672_x_at" 20675 21153 1142 394 651 2435 21739 1559 19016 977 2963 21293 6369 20850 763 19986 11575 5 21613
"200673_at" 16391 7189 14835 15018 13827 16251 17304 3407 7308 2216 20277 13506 7601 3788 3901 12664 11432 18525 15117
"200674_s_at" 2230 5223 5392 14875 3286 13088 1552 14829 6856 21287 6728 8124 7411 3201 7844 3736 6324 16169 14709
"200675_at" 15657 4248 19062 20897 16455 21216 18337 19079 18812 11131 18572 18186 7267 5078 6870 14230 20902 2804 16626
"200676_s_at" 19190 15166 20140 21382 22133 22155 14294 16188 22194 10695 11827 18442 21277 17814 22061 19309 13058 3524 15964
"200677_at" 11423 15496 13340 14645 15447 16519 1793 3532 4463 1450 3803 12862 4305 3213 5966 14214 18344 17039 2096
"200678_x_at" 12728 20346 15674 2042 13800 18658 2516 18513 6679 10666 14062 13428 5616 13891 3859 16797 19475 17070 20613
"200679_x_at" 317 19375 12385 16041 14336 2275 12861 5067 17429 20632 19517 15327 7567 18629 6797 14327 12589 6354 14878
"200680_x_at" 3841 15370 12268 2722 16364 14595 13580 2138 18654 9462 14808 8165 5030 3913 14683 5974 10748 16670 14449
"200681_at" 2785 16128 11677 2095 14791 13599 15990 17752 3443 11453 4191 6064 16155 14428 16044 13795 12226 5148 14351
"200682_s_at" 16900 7090 11899 2761 16140 13945 3299 17516 16781 10560 15788 15361 17842 12965 17660 11962 13805 16157 13630
