"inst_2309" "inst_2347" "inst_3619" "inst_3722" "inst_4280" "inst_4744"
"200772_x_at" 14721 12841 7672 11365 12062 14259
"200773_x_at" 4579 11954 8371 9380 4271 5632
"200774_at" 15699 17732 15544 7448 15145 14521
"200775_s_at" 16285 12253 17145 18909 10973 16794
"200776_s_at" 12758 14296 19198 16496 1715 18511
"200777_s_at" 14773 18503 14662 17899 2875 13734
"200778_s_at" 16735 15556 5275 19089 4579 5456
"200779_at" 13075 13208 18696 3301 13755 14811
"200780_x_at" 3433 14039 7262 7131 11367 6246
"200781_s_at" 6841 3319 9914 16886 3657 13376
"200782_at" 13294 15022 5647 15758 11553 15107
"200783_s_at" 21660 15001 4247 6572 16287 6853
"200784_s_at" 7036 24 11083 8482 67 7311
"200785_s_at" 5400 4367 11317 3316 21790 8532
"200786_at" 12851 14953 7212 9535 13507 6726
"200787_s_at" 18432 14833 7090 3248 12719 14316
"200788_s_at" 18251 19150 3217 16482 10987 18419
"200789_at" 17207 14340 19122 17467 11834 5484
"200790_at" 14575 17115 7052 8971 11504 3779
"200791_s_at" 19108 19376 3917 15897 19825 3139
"200792_at" 11419 14224 5344 9169 4457 3789
"200793_s_at" 19324 13537 18025 5755 12192 20730
"200794_x_at" 13445 16614 6448 20562 17245 16834
"200795_at" 14613 9822 17821 2381 7545 20220
"200796_s_at" 20649 3190 21489 22096 772 3655
"200797_s_at" 11468 19489 6082 18764 5257 14571
"200798_x_at" 12425 21152 18065 6244 1569 6404
"200799_at" 13964 7379 6453 7331 13823 6076
"200800_s_at" 16354 11863 3858 6386 16630 3992
"200801_x_at" 6615 3361 9821 11231 6787 8815
"200802_at" 13254 14637 15077 6413 11785 6475
"200803_s_at" 4521 17260 17781 9423 4503 14051
"200804_at" 13364 15009 6017 17102 3968 6697
"200805_at" 4468 22107 5086 20274 15355 16773
"200806_s_at" 11327 15957 15378 9519 3413 4647
"200807_s_at" 11162 13145 9835 11239 11231 13971
"200808_s_at" 12859 16604 14902 8363 21376 5555
"200809_x_at" 6875 2988 9839 7592 12948 14040
"200810_s_at" 14429 14183 14025 8161 15300 13562
"200811_at" 14621 21755 5328 18733 3046 19788
"200812_at" 15991 16476 14498 9593 11509 17810
"200813_s_at" 13414 1936 2860 18380 11085 3117
"200814_at" 13361 18432 6578 4871 4135 16447
"200815_s_at" 17875 17602 6612 16146 11442 5677
"200816_s_at" 20959 13175 3151 8774 12801 2082
"200817_x_at" 6649 6151 9837 11241 6801 8836
"200818_at" 1855 14269 6679 7791 4198 6896
"200819_s_at" 11228 12206 9939 15340 13072 6950
"200820_at" 11059 16909 5827 3957 13380 14798
"200821_at" 21152 20186 7347 16918 12284 14070
"200822_x_at" 13342 13541 2780 8766 14472 3473
"200823_x_at" 4370 12120 16353 16451 11455 6369
"200824_at" 214 12379 2593 15583 16213 15658
"200825_s_at" 16783 15445 5617 7488 5199 5252
"200826_at" 13961 14199 5828 8649 11176 6188
"200827_at" 13399 191 20133 7826 15671 14398
"200828_s_at" 3441 16460 14670 17801 4159 14610
"200829_x_at" 14086 18002 4147 6280 16583 14084
"200830_at" 13963 18695 15547 4982 11109 13407
"200831_s_at" 11618 20160 16939 16872 2985 17611
"200832_s_at" 13222 18945 5443 15397 13263 15324
"200833_s_at" 16999 20356 15772 15734 14932 6251
"200834_s_at" 6742 12549 9876 11282 6861 8904
"200835_s_at" 2891 14180 1542 3235 17255 18455
"200836_s_at" 19471 17790 19188 20682 1842 19140
"200837_at" 11685 13550 17160 16673 5030 2438
"200838_at" 17985 13873 7461 16071 17860 14822
"200839_s_at" 15070 3300 5924 9270 17406 6617
"200840_at" 11549 14188 7766 7636 11355 5426
"200841_s_at" 13319 15978 20203 16136 15385 13901
"200842_s_at" 13678 13402 4851 7153 12695 5624
"200843_s_at" 17456 12105 8256 5438 12184 13527
"200844_s_at" 4779 15020 5767 18099 10921 14006
"200845_s_at" 17003 18478 6766 15269 10875 15761
"200846_s_at" 15995 14453 18421 17063 11404 14525
"200847_s_at" 4620 12666 7043 3781 17485 3862
"200848_at" 19335 2633 15543 4424 14800 14395
"200849_s_at" 16991 17459 15521 4970 18926 4157
"200850_s_at" 16826 18225 5263 8206 15373 6788
"200851_s_at" 16609 12733 5067 18507 20462 3776
"200852_x_at" 13668 18195 20566 18078 5109 4015
"200853_at" 13018 13484 15470 8040 12193 14215
"200854_at" 17385 20595 14870 16208 14151 4684
"200855_at" 12668 18200 21475 15772 17928 21362
"200856_x_at" 20920 21682 16878 17233 20234 19515
"200857_s_at" 16018 19153 3691 1461 20936 2684
"200858_s_at" 15812 12790 7235 6090 4658 5397
"200859_x_at" 16737 14219 18795 5248 11831 14986
"200860_s_at" 12616 16346 16106 15724 13365 16237
"200861_at" 20632 20135 5089 9541 16132 14324
"200862_at" 12947 11642 3581 16255 17182 2421
"200863_s_at" 4733 15045 7155 7566 11344 15557
"200864_s_at" 20319 18499 17916 17831 12504 18297
"200865_at" 18306 2777 13584 16989 5678 8524
"200866_s_at" 14405 15852 17318 19856 12974 18219
"200867_at" 17487 14555 17801 7854 18379 20616
"200868_s_at" 13559 19719 17379 5192 11644 16392
"200869_at" 6856 3378 9860 17275 3491 6451
"200870_at" 1802 13702 14630 18047 11713 5807
"200871_s_at" 11728 12169 4693 7027 15184 13681
"200872_at" 3521 12748 7608 16506 3129 4387
"200873_s_at" 14648 12883 8059 15849 3552 14770
"200874_s_at" 3837 3056 18636 3510 14731 19151
"200875_s_at" 15040 16316 6043 6732 18062 16516
"200876_s_at" 12642 13245 14194 7687 13911 5277
"200877_at" 4260 14619 14873 8981 11726 13636
"200878_at" 18923 9622 3074 3972 4196 2587
"200879_s_at" 5936 80 20139 10303 1459 304
"200880_at" 17298 17357 14984 4211 17871 15194
"200881_s_at" 13869 19588 17167 16252 12915 15327
"200882_s_at" 14981 16553 14478 3891 12310 14750
"200883_at" 14499 16968 19602 19534 12448 4509
"200884_at" 11862 2407 6218 3682 14914 13855
"200885_at" 17757 18939 5081 1777 18424 4331
"200886_s_at" 12622 13879 15209 5376 13221 15051
"200887_s_at" 17510 19195 1721 16157 18583 14741
"200888_s_at" 15418 12002 15244 6415 4711 3625
"200889_s_at" 18277 16212 19228 7693 4233 16176
"200890_s_at" 16278 18588 18193 18889 3391 20075
"200891_s_at" 18195 20577 1853 5406 21230 2916
"200892_s_at" 15567 20155 7955 15312 3774 15353
"200893_at" 16736 15392 14680 6825 11477 6882
"200894_s_at" 3324 20777 19276 19945 13116 16291
"200895_s_at" 18005 18518 4745 17335 19510 13461
"200896_x_at" 13221 12681 7517 6194 17572 4598
"200897_s_at" 4041 328 7853 5872 15508 13417
"200898_s_at" 21190 21625 19271 21984 3160 19387
"200899_s_at" 4737 19365 15243 16348 4791 16125
"200900_s_at" 13663 14724 15377 16176 17763 15738
"200901_s_at" 16581 16955 2263 8185 2498 19051
"200902_at" 18519 19568 16457 6998 14268 17501
"200903_s_at" 12156 13742 4940 8268 10934 16969
"200904_at" 12152 17125 6047 7978 18929 2169
"200905_x_at" 12766 13116 8292 8248 11337 14809
"200906_s_at" 11222 11721 18118 21243 20163 4971
"200907_s_at" 16859 7860 4889 15670 17632 15507
"200908_s_at" 21627 13956 1693 18305 22013 929
"200909_s_at" 12127 11868 16389 11295 4616 6121
"200910_at" 13064 14819 8200 6743 10888 4335
"200911_s_at" 11450 17915 3258 8535 3519 6593
"200912_s_at" 12233 14993 5464 7097 10832 3820
"200913_at" 21138 19951 2239 17648 2481 18320
"200914_x_at" 20327 14093 15966 5418 16063 17298
"200915_x_at" 15214 18909 8344 3530 14612 14380
"200916_at" 13498 15230 16190 7943 3269 13654
"200917_s_at" 11037 14244 22040 1136 21534 20648
"200918_s_at" 12148 14836 3703 6579 4604 18486
"200919_at" 15438 17685 20092 7115 17602 807
"200920_s_at" 14450 19360 14227 17158 17571 6730
"200921_s_at" 18775 19949 15491 18722 19909 5230
"200922_at" 20022 21301 21160 20591 4474 19285
"200923_at" 12979 10641 2966 16379 19226 18023
"200924_s_at" 18437 18463 7241 17592 14639 4495
"200925_at" 14284 13971 8149 15873 11859 14829
"200926_at" 6659 6038 10000 11399 7012 9115
"200927_s_at" 19546 20870 6590 21226 4758 18460
"200928_s_at" 2763 11874 19485 10941 981 2156
"200929_at" 14269 15039 14073 7863 14153 5912
"200930_s_at" 2746 11474 10329 17978 77 12933
"200931_s_at" 13943 15313 6255 9200 5248 17266
"200932_s_at" 4034 18457 14810 4927 4242 5290
"200933_x_at" 6735 11764 9970 11373 6971 9056
"200934_at" 15102 16401 3426 6737 3854 14589
"200935_at" 14791 3187 20414 16837 20509 20397
"200936_at" 6655 13999 9980 11378 6976 9071
"200937_s_at" 18155 12626 18537 15842 2923 13635
"200938_s_at" 11430 4770 12696 13687 9550 10915
"200939_s_at" 8051 10472 4929 21433 1408 4709
"200940_s_at" 16618 631 14859 18136 18000 14703
"200941_at" 14974 19054 7755 4751 16862 5358
"200942_s_at" 4347 15043 8127 5690 5192 4077
"200943_at" 17074 14462 7158 7624 16106 5344
"200944_s_at" 11676 14196 14250 7291 11200 13709
"200945_s_at" 17423 17493 4835 15684 17958 13806
"200946_x_at" 13758 16442 16754 20594 4634 5441
"200947_s_at" 19347 15279 7973 15464 11525 17652
"200948_at" 13315 14118 17072 9447 15565 15591
"200949_x_at" 3540 13112 14121 4378 11073 5588
"200950_at" 13859 18095 17449 18441 2364 19208
"200951_s_at" 8264 13651 9054 3978 9871 8906
"200952_s_at" 10143 19348 13485 13248 10379 10059
"200953_s_at" 9693 14726 1332 12486 9127 226
"200954_at" 12520 13539 20636 8375 20435 3830
"200955_at" 13744 20693 2159 2174 15852 17772
"200956_s_at" 11025 15316 15951 9546 14201 5458
"200957_s_at" 12281 18813 6389 16767 4786 5237
"200958_s_at" 17152 19187 16896 7333 11678 15772
"200959_at" 21071 21034 18075 4991 12714 15876
"200960_x_at" 13055 14149 6369 6890 4426 16203
"200961_at" 15807 16559 5637 5980 17277 3559
"200962_at" 21197 22003 15717 2334 20974 4488
"200963_x_at" 6628 6177 10004 11401 3534 9118
"200964_at" 16697 15717 7201 8028 17127 3315
"200965_s_at" 20939 9115 5210 19714 12825 13651
"200966_x_at" 3951 12710 15749 15576 12334 13674
"200967_at" 14786 16501 6687 7697 16626 14379
"200968_s_at" 12511 16521 8279 5637 21044 6327
"200969_at" 14755 17132 14618 1933 10958 3297
"200970_s_at" 13501 18553 7464 15262 13296 5488
"200971_s_at" 12909 15667 16211 5007 14107 4086
"200972_at" 17792 14032 4164 6955 15015 16944
"200973_s_at" 2091 16084 6406 16878 1947 1722
"200974_at" 1756 3372 19835 4042 21965 4490
"200975_at" 15603 17933 15450 6176 15166 14744
"200976_s_at" 4083 17377 5429 16111 5148 13539
"200977_s_at" 12734 14667 8210 7541 16757 5950
"200978_at" 13302 12192 6636 9019 5006 14245
"200979_at" 20656 12432 16311 9224 11950 4168
"200980_s_at" 11277 14017 5393 7103 15490 15131
"200981_x_at" 4057 12221 6159 6535 3805 6960
"200982_s_at" 15043 21084 17548 7274 15039 21034
"200983_x_at" 3721 3217 16775 7743 4448 3434
"200984_s_at" 3731 12555 7293 18544 2440 5985
"200985_s_at" 14685 13518 1065 16026 3207 4920
"200986_at" 5822 6919 8989 14297 9488 10662
"200987_x_at" 2885 20525 19215 6540 3881 17253
"200988_s_at" 13519 20023 5115 3566 19938 17989
"200989_at" 15432 20140 15752 7942 2497 15009
"200990_at" 16008 18304 5958 18315 17089 15274
"200991_s_at" 4566 14964 16450 17679 15569 14405
"200992_at" 16799 19486 17517 6157 4987 6298
"200993_at" 14614 17342 7395 16905 2988 16427
