"inst_1599" "inst_1957" "inst_2041" "inst_3214" "inst_5000" "inst_5419" "inst_6318" "inst_6654"
"200624_s_at" 6791 21479 4427 16206 15875 4026 7228 17144
"200625_s_at" 1408 17883 3714 15866 11875 5124 6821 4007
"200626_s_at" 6826 17198 3368 15964 14197 4573 6043 11115
"200627_at" 18889 16696 7856 17870 13075 17726 17169 14265
"200628_s_at" 6953 17127 20096 19309 14228 7487 1373 21410
"200629_at" 4018 4875 5754 17647 11927 5702 824 16002
"200630_x_at" 5400 15899 5217 13328 10944 4510 7826 3393
"200631_s_at" 19244 15878 6364 16148 13902 7438 5767 4479
"200632_s_at" 6786 18950 3719 20520 10515 221 269 1470
"200633_at" 7251 4571 6917 8569 3074 9842 10773 7082
"200634_at" 4589 4815 4373 5304 13320 5583 5010 13448
"200635_s_at" 18257 20539 9619 4662 13498 7267 18367 18264
"200636_s_at" 18116 15925 16987 2576 15814 15887 4276 2881
"200637_s_at" 8206 16996 15710 454 18660 14447 2796 5234
"200638_s_at" 4906 21857 1795 17236 13829 7101 7486 14258
"200639_s_at" 2194 21866 3205 15368 13830 16586 6233 15099
"200640_at" 6225 2017 3844 5551 14282 7161 5260 13167
"200641_s_at" 7047 696 20900 19478 14318 15661 1794 18259
"200642_at" 2494 20373 4740 14363 11603 5064 5222 11822
"200643_at" 22123 5229 6471 2757 20852 5883 1263 4093
"200644_at" 19448 21703 20750 15240 13725 16887 16282 16848
"200645_at" 7425 16796 3775 4052 11017 4972 5865 12267
"200646_s_at" 16194 11725 5084 2044 12802 16434 4445 19536
"200647_x_at" 19856 1123 6951 5987 2652 5904 19025 4842
"200648_s_at" 18797 15418 6359 18154 15763 3101 18032 16936
"200649_at" 21620 4115 2991 5618 12917 14814 2746 4961
"200650_s_at" 18704 4384 8186 15393 11707 7741 16364 6972
"200651_at" 19169 1215 6499 5274 13180 5389 3852 17874
"200652_at" 6169 1518 5472 14765 17451 5486 7491 18540
"200653_s_at" 19925 19633 529 4737 14712 3184 5417 14356
"200654_at" 6356 542 3839 4582 3011 3900 1607 12930
"200655_s_at" 7253 16720 7260 14043 12773 7561 16019 14798
"200656_s_at" 6311 16792 1714 14264 16876 5215 3713 17611
"200657_at" 2442 4605 6056 4706 2432 6744 7030 4326
"200658_s_at" 3521 318 2570 17508 17188 4966 4916 19297
"200659_s_at" 5962 2397 8313 17477 20333 17374 4087 18886
"200660_at" 19368 16225 4285 15916 11077 4723 16373 17015
"200661_at" 7087 942 8020 2822 11462 4133 8396 14720
"200662_s_at" 19232 16770 1347 4746 10522 3042 5228 5112
"200663_at" 7689 15601 6650 4173 11662 2028 7553 12437
"200664_s_at" 22105 20445 21887 20335 20896 20990 21380 21101
"200665_s_at" 16123 11623 13471 9302 3498 13024 11887 3907
"200666_s_at" 21619 3868 21619 21459 21718 21829 21262 19506
"200667_at" 5845 17424 6403 18494 15350 18246 16568 2363
"200668_s_at" 6550 18998 7027 17853 16267 17103 17259 11489
"200669_s_at" 7339 17639 2726 20168 19759 18240 8407 19683
