"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"200065_s_at" 5900 3244 5579 2392 3437 2930 3639 5811 2232 7457 7973 3556 3782 5338 2471
"200066_at" 8863 15846 7238 20230 14794 16224 17037 19015 19524 7166 16545 7121 13518 7568 2458
"200067_x_at" 2354 979 954 1061 843 607 1351 2172 343 2271 2207 900 1058 2157 1373
"200068_s_at" 2253 2777 2965 1711 2098 1477 3867 6367 3085 3906 2683 3557 3095 2832 1155
"200069_at" 5021 1480 1960 1172 13542 2195 16268 7045 1349 15876 5416 2440 4117 6935 12770
"200070_at" 17230 14220 18621 19378 17550 18402 14703 19221 21407 21233 19949 20167 21612 5818 20423
"200071_at" 2774 2173 3298 3769 3053 2592 17203 4402 1563 4950 3316 1252 3932 2656 18708
"200072_s_at" 4354 17557 6126 4984 14059 2469 17116 17911 13527 16543 17287 6942 15120 9541 15586
"200073_s_at" 19219 4942 18601 17928 15283 19108 18802 15774 17898 17981 8709 18110 17840 11829 17094
"200074_s_at" 18123 15322 6790 5756 13465 4047 4333 5273 15678 9183 16187 5292 15047 9732 14546
"200075_s_at" 8418 5017 4168 5550 15875 3337 20294 4260 16439 17899 8760 7102 13999 10323 12826
"200076_s_at" 19950 17991 9293 18663 14627 3979 15870 5991 16526 18842 18640 18755 17450 10603 14978
"200077_s_at" 7712 4610 19424 5323 3984 4123 15379 5587 14134 7748 9483 6660 4829 11861 12711
"200078_s_at" 19398 17264 19083 19650 18550 19408 19583 16593 21268 17550 18845 18923 16373 10617 17708
"200079_s_at" 8867 15218 19283 16956 16599 18101 19317 6953 16275 17921 9090 16948 14114 10089 17226
"200080_s_at" 4591 14580 20245 5313 14618 19412 17028 6718 15029 7081 8525 15700 14013 11907 15315
"200081_s_at" 19389 5645 18765 16082 13391 15952 3101 5160 14149 8070 8368 6724 12992 9890 2950
