"inst_5925" "inst_5930" "inst_5972" "inst_5977" "inst_6893" "inst_6898" "inst_7083" "inst_7088" "inst_7506" "inst_7523" "inst_7528"
"213554_s_at" 5983 2536 17912 4013 3608 9491 2080 824 6237 14906 1365
"213555_at" 18829 17076 8483 22101 15332 6916 2465 16290 19501 20626 21296
"213556_at" 21625 14500 15900 10176 19261 9945 6169 9611 13163 8910 7751
"213557_at" 1464 3959 8550 17591 18550 816 2255 1442 387 432 15589
"213558_at" 1788 21487 19470 21469 18505 556 3446 20161 6037 834 18777
"213559_s_at" 6245 11472 20282 8939 7155 13112 11083 12246 8240 11545 7456
"213560_at" 3313 18628 1670 22250 5687 6313 17258 16049 574 671 961
"213561_at" 7327 18572 1033 14403 20786 21969 14919 4253 18241 22170 20465
"213562_s_at" 5231 15177 1373 2158 781 4714 22136 929 20223 14761 20306
"213563_s_at" 9717 11037 16581 9516 9842 13552 8637 12791 11953 18801 10199
"213564_x_at" 17574 7814 12377 17424 3842 12288 9795 6120 12273 12446 5754
"213565_s_at" 544 3664 20689 21984 17379 10761 9838 9569 7487 19064 7257
"213566_at" 21984 9711 12584 6632 6139 12072 6104 16088 9039 13109 11989
"213567_at" 19293 4350 7039 5714 4677 18876 15819 2589 13916 1621 3932
"213568_at" 8151 449 18032 15177 3429 9291 19250 8460 21048 17361 15457
"213569_at" 20496 32 10062 21989 20100 19358 1074 6143 296 17111 4819
"213570_at" 16159 18448 7623 3452 13745 7328 1357 5865 3719 445 21457
"213571_s_at" 8725 14900 12010 7289 18022 8936 15109 6152 6851 15077 6024
"213572_s_at" 17296 19233 10647 21211 18092 7319 21503 20053 531 6309 18092
"213573_at" 17960 5193 5236 7607 18296 21350 17393 7892 3629 6904 14431
"213574_s_at" 6028 8069 5306 5962 16412 7657 16113 6497 18517 15887 4379
"213575_at" 6197 20365 397 140 20897 21872 4327 7886 754 1473 20943
"213577_at" 15286 3283 5665 2108 13200 8292 2880 2203 3293 3598 427
"213578_at" 14844 2262 7257 1543 3411 4289 2194 1917 15872 5757 19996
"213579_s_at" 7085 2264 10639 7553 17603 9400 21787 20073 3627 18471 15472
"213580_at" 923 13405 2298 11979 7674 9974 5066 13185 12672 10149 7405
"213581_at" 6131 14948 10036 5151 4250 5353 2197 6367 14005 17061 15417
"213582_at" 5662 1932 2373 8330 21037 1441 1248 21612 21908 21137 21847
"213583_x_at" 11924 11971 14946 11568 3492 19210 15401 8012 15903 14556 6200
"213584_s_at" 4257 21760 2692 14880 11443 4487 21959 21377 15555 945 2694
"213585_s_at" 7928 6104 22281 20347 9398 22216 103 10005 21871 1302 12507
"213586_at" 9007 12232 15478 10365 7595 13728 8878 9788 13523 7335 12232
"213587_s_at" 7498 18266 9292 18330 18529 3344 3292 7173 4831 5883 16162
"213588_x_at" 6912 7816 19193 8256 2872 18821 2554 19447 16019 13538 5511
"213589_s_at" 16768 3982 1968 13866 346 2925 17299 3428 19290 17869 17430
"213590_at" 1895 951 17665 3303 326 9723 5288 7275 985 12705 6262
"213591_at" 21666 21121 9290 509 15387 17962 11120 15274 21154 20342 7633
"213592_at" 9818 14820 15108 10490 5669 15457 10846 14978 13075 12872 11796
"213593_s_at" 3515 20196 10515 5307 16052 1368 15802 7145 18059 19030 14207
"213594_x_at" 17732 6032 8663 3060 10994 18686 19242 6225 18232 16046 15150
"213595_s_at" 1080 19729 21464 17144 19527 21097 890 20611 22102 516 20074
"213596_at" 14254 14235 15982 11968 21089 15809 11881 16574 13376 11868 2791
"213597_s_at" 12998 12900 16667 3792 13478 16473 9023 9438 10246 8996 8187
"213598_at" 8026 1675 5307 4733 11337 1180 18304 17709 16053 2110 2723
"213599_at" 17100 18538 2794 18003 13895 4504 14822 20056 18820 19183 17870
"213600_at" 21272 5967 20371 4135 1514 916 808 7148 3589 1100 19810
"213601_at" 21695 9240 12610 1678 11097 10768 13498 12534 11717 21709 8017
"213602_s_at" 12068 11071 13049 10367 6434 15244 10827 14960 11477 12344 11779
"213603_s_at" 2169 3420 20090 7630 13370 11491 17817 7895 7277 8503 15159
"213604_at" 6278 2679 7194 5394 12159 9672 16011 1208 3265 5124 3230
"213605_s_at" 7951 17910 3272 21477 17305 7253 4743 21837 6619 3844 20139
"213606_s_at" 9994 22139 19596 19550 18766 21898 11607 17123 21340 20956 16560
"213607_x_at" 15698 5357 19248 3043 3219 6547 2735 1866 17715 5379 17123
"213608_s_at" 4176 4292 9256 15521 11001 9894 18081 2306 14767 6676 2056
"213609_s_at" 464 21883 9634 7743 7355 11373 11472 10416 13694 8111 8249
"213610_s_at" 5013 8430 1065 16882 1761 254 20411 150 5193 205 2854
"213611_at" 11355 14106 12560 3908 8107 14514 5148 14058 12702 11809 8860
"213612_x_at" 16498 6959 5116 16637 14600 8228 16517 6243 17051 14947 15952
"213613_s_at" 10659 10246 13542 8941 8810 12871 6641 11942 7193 7830 16009
"213614_x_at" 11527 6511 14524 11243 3162 8027 16199 17604 6687 5913 16003
"213615_at" 5548 2523 19289 19967 14495 1697 20488 19384 3076 1468 15906
"213616_at" 4368 8644 21203 19132 18647 19127 17366 20095 4996 5345 5479
"213617_s_at" 7812 18818 2347 20074 15473 20014 21294 20674 17909 16980 19748
"213618_at" 15423 20605 6620 4710 15162 4134 1888 1104 20766 228 20254
"213619_at" 8796 16343 9751 4404 3222 3017 14486 6926 13870 5774 14157
"213620_s_at" 11025 9868 13127 9760 8418 14992 10464 9882 14167 11488 1289
"213621_s_at" 14949 21868 21046 21504 13427 14581 13063 11313 20535 20385 11148
"213622_at" 19537 397 3262 19481 698 383 567 9959 2612 6694 14577
"213623_at" 19050 15486 7781 19363 18406 21740 19326 21623 3522 5338 20118
"213624_at" 5639 21307 1174 19606 16631 1616 1628 18185 17587 2863 21477
"213625_at" 15632 18820 17798 4059 14961 6167 18231 7388 976 21018 17112
"213626_at" 15565 16074 18405 21065 3944 2291 20107 5072 4375 21084 6337
"213627_at" 18680 18898 18072 18982 14009 20241 3334 19564 17576 19450 6115
"213628_at" 17709 17858 4794 8683 12017 9275 2218 7936 1928 15213 18952
"213629_x_at" 6516 4557 8210 14167 19796 5389 919 21344 14723 2985 15251
"213630_at" 10222 12758 13343 12118 21458 13486 8541 16861 12033 9900 10125
"213631_x_at" 4911 8371 173 2461 3507 21902 555 4353 992 791 1469
"213632_at" 5054 17532 17903 6 13986 18683 19221 239 2605 3916 6076
"213633_at" 12690 14246 19435 9425 8821 19289 12951 16678 2026 18133 14140
"213634_s_at" 4278 15353 20028 14064 20569 19330 19482 404 1087 17824 5431
"213635_s_at" 1000 1210 21721 596 20375 17093 19985 15739 12288 10755 13365
"213636_at" 9142 12889 12864 12376 9309 12650 7509 11375 21500 8336 9312
"213637_at" 18067 3685 411 6985 19284 9411 1320 1592 20259 20358 18357
"213638_at" 12220 11307 20640 1437 10674 10187 7533 10085 9260 506 13284
"213639_s_at" 18762 4211 20375 3101 11799 18901 19335 20202 18639 6509 5624
"213640_s_at" 10775 12068 15025 11629 5342 11597 10401 11403 11197 10934 11474
"213641_at" 2628 16698 11464 291 17764 1379 1354 19542 21319 14998 1587
"213642_at" 7516 7553 7383 8378 1446 2587 457 1738 2828 915 937
"213643_s_at" 8433 19599 7839 7663 4420 21851 11096 8789 20542 2335 11822
"213644_at" 7130 1105 12449 8096 4119 19409 11338 12700 7787 8761 19898
"213645_at" 15913 19628 6876 18120 18335 9096 3708 19916 2273 5962 19836
"213646_x_at" 11655 11624 14661 11356 3275 20460 3904 8057 14545 16541 17421
"213647_at" 14849 8395 3888 16872 12386 4653 17934 912 19849 20680 14595
"213648_at" 18258 1746 18084 14116 13504 17821 16079 1183 18479 20588 1388
"213649_at" 14510 15418 2366 2182 3639 18292 19653 21140 18792 15654 16919
"213650_at" 3129 17390 22273 17478 12820 1065 21842 22071 153 444 20874
"213651_at" 21336 21309 757 2634 20434 21063 20120 15453 16279 2380 13783
"213652_at" 10740 11055 4474 9839 9944 14590 9960 8936 13380 10696 11161
"213653_at" 19037 154 6328 13857 3467 21571 2932 22108 20570 20172 1165
"213654_at" 18089 2157 10547 4235 1193 20705 18210 3261 20236 18108 20950
"213655_at" 15424 16676 9030 3193 13927 9603 17639 19994 15286 14365 19055
"213656_s_at" 3118 1394 18901 3304 19139 20428 14447 20416 15753 5263 14195
"213657_s_at" 18508 20099 4009 18217 22226 5957 356 18832 14240 370 21019
"213658_at" 19352 16016 11457 5165 6199 22157 14587 15795 863 6355 8464
"213659_at" 20592 17287 9396 4258 12670 21380 3791 20721 1653 2951 19404
"213660_s_at" 3200 5305 22159 15796 18663 7852 21679 19018 5358 22130 3138
"213661_at" 10188 13981 13581 9840 9946 14641 11157 9610 10940 10742 13603
"213662_at" 10395 22096 16926 11443 5352 17645 16906 16913 3768 1611 12962
"213663_s_at" 14415 9854 13410 12576 5958 13369 8393 16445 8004 3805 9157
"213664_at" 21774 2662 19113 5558 946 12216 13472 2424 13057 14067 16595
"213665_at" 547 6071 21167 14733 18220 455 17658 20521 18852 1128 525
"213666_at" 10381 18960 12444 16378 3965 13441 8482 19205 7425 7599 6759
"213667_at" 21663 12933 21832 18468 6271 16798 16024 13290 22009 8075 13966
"213668_s_at" 5279 18395 9940 16765 21658 8054 18661 21394 5966 17043 21415
"213669_at" 812 1685 9559 1000 19467 3975 4722 852 14500 2761 1484
"213670_x_at" 2706 16576 20073 3227 17687 8185 1927 38 19425 2020 3788
"213671_s_at" 7061 3240 18136 7021 15344 5973 2470 6888 2960 3155 15566
"213672_at" 8020 1729 170 21792 15172 580 232 2918 2529 18085 19041
"213673_x_at" 974 15717 20834 1907 21835 15853 6827 7190 8539 1786 20004
"213674_x_at" 6681 14728 12956 13142 6625 13833 5515 13164 13698 7641 13139
"213675_at" 21258 15554 420 8838 14784 22173 390 6369 5455 16958 18368
"213676_at" 11095 11852 17086 11495 5433 14280 12941 13757 12374 10454 7125
"213677_s_at" 18956 8264 4134 4393 12420 8820 17772 1472 14667 15242 16328
"213678_at" 10086 9643 13421 10481 10509 17517 6762 9725 1802 10623 7408
"213679_at" 19469 1653 19162 834 18705 8256 21566 10919 17400 22198 5945
"213680_at" 107 21130 391 3053 16023 13956 6079 2326 1352 1112 504
"213681_at" 4645 14993 5504 20120 20782 20773 14032 18523 529 1913 5481
"213682_at" 15954 4474 4571 14209 12326 8639 14609 3706 14704 18249 15075
"213683_at" 9909 12768 13435 9647 9843 13672 8791 12949 10089 10032 10321
"213684_s_at" 21736 3680 14913 7409 17309 21716 11322 6032 20554 19137 635
"213685_at" 4695 18501 4338 19805 19935 22111 22016 2460 266 19902 5152
"213686_at" 18693 457 19439 3004 4225 672 744 296 18056 2430 16250
"213687_s_at" 8823 5375 9428 15012 4644 6982 4269 7713 4889 13997 14226
"213688_at" 21619 6498 11210 19302 2355 3343 21251 15616 22108 22242 3895
"213689_x_at" 20052 7916 7683 19608 17876 5993 19134 18946 2385 3421 15006
"213690_s_at" 18825 20048 21576 1340 16396 15381 3478 13786 2974 17582 17105
"213691_at" 22101 21370 22242 5370 18548 8477 3543 15711 18301 4475 2878
"213692_s_at" 13597 9975 15833 9720 9006 11439 6438 15830 7005 11410 8599
"213693_s_at" 3637 2033 17579 18312 12154 6300 2430 22003 3173 14215 4524
"213694_at" 8170 8720 901 19480 16523 7824 14472 7946 5601 18875 14637
"213695_at" 15620 10005 13420 2361 7601 15810 8888 13040 10158 11551 14623
"213696_s_at" 6291 19913 11166 17353 18817 6045 15709 19338 19291 17639 1664
"213697_at" 12584 13692 17431 9205 5599 10985 15782 15631 7298 10721 12298
"213698_at" 18446 21133 1805 20040 15564 20907 21605 20255 19203 22008 21387
"213699_s_at" 7467 7472 17998 14305 3516 6728 3341 7998 14611 14026 15646
"213700_s_at" 5939 1623 6129 20486 15410 1868 388 7642 1294 970 16547
"213701_at" 8959 1073 18352 6802 2207 7397 2137 960 19689 20832 4329
"213702_x_at" 3729 15572 4272 18634 14723 2553 16397 6865 4637 15642 3335
"213703_at" 5911 22247 395 8891 613 2742 16963 12465 869 20353 17351
"213704_at" 18589 2328 4199 16039 4783 4822 13982 2659 21655 4406 14667
"213705_at" 19764 1013 19564 1453 47 36 564 3890 1599 18530 288
"213706_at" 10432 19185 21337 21517 6537 16617 12926 11764 21387 11511 9389
"213707_s_at" 13850 8893 15633 10832 8595 11660 10792 11251 3945 11165 6918
"213708_s_at" 8817 5197 5972 3672 12546 6691 16604 2355 14734 4780 4188
"213709_at" 16061 21288 1741 15883 14541 922 3473 20387 6193 6397 6823
"213710_s_at" 5271 18882 18957 16262 3760 273 18205 4714 22152 1367 20672
"213711_at" 6658 8123 19125 5266 4982 19615 14546 18277 6186 6251 5118
"213712_at" 4221 8382 964 8123 14410 8038 302 5959 1443 1470 15189
"213713_s_at" 2346 14709 18404 919 52 8049 2923 8664 22233 746 13607
"213714_at" 10612 12818 13923 11389 7591 13725 8871 13027 10144 10069 10381
"213715_s_at" 21015 19974 21067 2572 3811 11030 5961 15317 20070 14458 18503
"213716_s_at" 26 6290 19500 18529 15072 3738 10975 5563 18055 956 3751
"213717_at" 12842 11529 14592 11057 7275 13279 8291 12447 9750 9741 9930
"213718_at" 4085 4680 3124 1580 12294 1405 4038 3121 4272 19958 19771
"213719_s_at" 21652 13972 21482 19584 15486 17043 11728 10514 13003 22111 1835
"213720_s_at" 15407 4878 6171 14037 13718 7302 3605 2848 13968 17765 5906
"213721_at" 14704 14063 12268 20495 692 12448 12523 9526 1138 21814 11732
"213722_at" 5298 20568 3008 10479 7881 14188 9426 13611 10519 7548 5104
"213723_s_at" 10782 16022 16472 10468 7281 13288 12465 12456 9755 8983 9939
"213724_s_at" 99 15995 20203 20279 18802 11041 15856 22211 509 30 1550
"213725_x_at" 1409 17031 5225 20472 9148 22048 5464 9189 19797 11836 9702
"213726_x_at" 7010 6223 18479 7905 14275 6437 3273 5324 6408 4224 16414
"213727_x_at" 7307 19666 10510 16813 4455 9492 19751 6829 18508 2854 19125
"213728_at" 6041 21277 22268 4606 18472 44 931 18043 20324 17057 5480
"213729_at" 5918 3840 6995 6514 12948 6223 2228 4863 15978 14477 5311
"213730_x_at" 4351 18798 9107 8765 10725 4842 3042 5106 5851 6811 3133
"213731_s_at" 931 3998 611 11045 17761 9957 20077 14459 18516 8593 11395
"213732_at" 10841 17223 17166 9968 5999 8420 7100 9488 2619 7384 18153
"213733_at" 19297 17927 2450 21874 7302 15512 799 10227 22130 12122 21797
"213734_at" 15711 3474 10083 2223 10733 931 1657 932 14921 17787 6295
"213735_s_at" 3907 6856 18532 14710 14625 5797 14840 18697 4199 4543 5428
"213736_at" 7185 20983 19661 2874 941 5410 777 1329 400 1353 1358
"213737_x_at" 19127 1643 9633 8828 14538 18004 207 21783 884 16418 21645
"213738_s_at" 15705 15150 10381 14389 4756 18569 4658 6702 14115 15172 14759
"213739_at" 19584 1022 17639 8306 15234 6702 142 8077 20672 21625 1741
"213740_s_at" 13606 9069 14327 3790 9655 12981 13603 10092 12441 11778 9652
"213741_s_at" 17013 2080 3582 8494 12259 2285 4230 5002 4221 16967 15300
"213742_at" 4210 19009 9543 17642 14440 21670 2718 21662 4491 827 4339
"213743_at" 8009 3890 6933 4994 3841 2168 15432 3942 15320 5814 2241
"213744_at" 1205 13805 17415 9171 7145 16900 3251 12226 7248 11516 9152
"213745_at" 21245 18382 6953 15007 14521 18395 11570 9302 17972 13180 7603
"213746_s_at" 2039 6662 17671 6539 18685 8558 20174 4547 3650 3863 14239
"213747_at" 9780 21310 13286 7004 19125 4433 13269 19173 13634 20652 12833
"213748_at" 1367 7516 2522 8162 2656 18184 3929 3979 734 1683 19047
"213749_at" 11376 11595 12820 1353 7403 15567 8528 12683 9926 13296 7349
"213750_at" 8399 1677 671 7451 3788 2643 19775 381 6286 19017 4065
"213751_at" 11614 10442 13791 11846 7356 13387 12311 12588 13312 731 10041
"213752_at" 11086 9372 19979 9528 7559 16223 8809 12965 10099 8646 10336
"213753_x_at" 3449 2368 11265 21223 17558 20561 655 19979 16819 19321 14900
"213754_s_at" 5822 6310 7031 5338 2612 2696 1624 1301 3257 4853 4268
"213755_s_at" 12312 12588 16626 13000 6457 11547 13210 11485 9137 9184 12217
"213756_s_at" 13392 12913 16338 20346 9041 10471 10696 11086 7223 7016 11674
"213757_at" 1766 8651 11514 559 18432 18886 2666 20316 3820 2395 15405
"213758_at" 18801 18218 9823 1946 15718 2761 18625 21555 1725 18776 14566
"213759_at" 12341 11811 14821 10478 10526 14162 9383 13575 10493 10369 10769
"213760_s_at" 16876 2954 1081 19855 16303 19020 14819 22092 6267 5872 3535
"213761_at" 19323 3555 3103 16357 12485 2524 2582 19303 3064 3890 15841
"213762_x_at" 6883 18114 6653 16439 14791 5557 18493 4946 15911 15975 15994
"213763_at" 1360 20876 15942 18384 19355 4149 9553 19801 1745 18583 19741
"213764_s_at" 14151 9506 12761 12929 5688 13652 8769 15940 7972 12513 14368
"213765_at" 11815 11843 17273 9540 12887 14245 9531 13715 10578 10431 13437
"213766_x_at" 6545 4595 8289 3665 16867 4038 4296 756 4793 5047 5486
"213767_at" 13083 14302 14776 11019 7728 13949 12677 17305 12658 20690 14152
"213768_s_at" 13756 10953 15171 1462 10095 16104 4819 14463 11685 21959 12361
"213769_at" 19827 19129 21326 2847 452 10710 12393 16887 3078 8675 9409
"213770_at" 9749 12257 17009 12801 8411 17499 11958 14605 8457 12987 12084
"213771_at" 125 21076 19552 22125 21505 4227 579 15073 205 21740 19751
"213772_s_at" 8828 16749 1898 5922 207 1724 3985 20377 14365 20616 327
"213773_x_at" 4512 3897 20735 14642 14247 8318 4077 4594 3253 4775 5848
"213774_s_at" 22079 10412 15272 9890 8853 12247 9229 17114 10392 12241 7071
"213775_x_at" 7639 7513 6356 8578 12458 7515 1505 5056 3849 14569 6666
"213776_at" 21394 17857 19662 4583 6305 2046 15951 16255 622 52 330
"213777_s_at" 10529 14205 13160 21179 10004 6348 10722 16411 17780 20069 7951
"213778_x_at" 6368 21320 18636 17423 17906 638 1090 21263 21138 19316 17358
"213779_at" 20556 19818 10585 408 6531 9095 3250 16558 180 19863 2709
"213780_at" 17624 12783 17925 12447 9515 8627 17865 9695 20729 435 10562
"213781_at" 17753 20854 833 21256 20930 466 17094 16961 21244 15088 20446
"213782_s_at" 11082 11544 16200 12617 7301 13316 8335 12496 9782 9775 9967
"213783_at" 9015 14057 13847 10262 5320 16936 9162 15313 12767 8353 12711
"213784_at" 678 187 5318 16731 13678 2896 18183 8553 134 12829 17164
"213785_at" 1303 14929 7983 17394 19319 2195 20837 7336 4974 619 14604
"213786_at" 21374 17345 6210 3666 3587 7153 134 3387 1829 20896 15483
"213787_s_at" 6589 15299 5887 14475 19233 9079 20749 3953 5742 5104 19708
"213788_s_at" 2221 5077 11616 1883 20888 21418 912 21627 18977 17885 22031
"213789_at" 18935 6384 18924 1919 4303 19547 21643 7418 15790 314 21438
"213790_at" 10441 17860 14200 20589 21847 15323 10912 18262 11541 11494 20947
"213791_at" 7710 19547 3170 11775 14787 10664 5710 17449 2853 7395 9036
"213792_s_at" 4551 20820 11008 3208 2762 17792 3017 5715 3648 5958 254
"213793_s_at" 18781 2556 11904 2973 12187 2762 685 4656 18395 6899 4413
"213794_s_at" 15175 3725 3514 5002 2690 9669 797 5337 19432 16648 4474
"213795_s_at" 4753 3690 7077 5833 16355 19943 15599 18119 5323 1516 17727
"213796_at" 11827 13452 14852 10592 7955 14287 9585 13763 10600 10463 10890
"213797_at" 11829 11856 14853 9980 5292 14292 9589 13769 10606 10464 10893
"213798_s_at" 6520 16169 7885 15187 15952 7288 15607 8398 16346 15114 6444
"213799_s_at" 175 15637 21672 6323 12392 20642 4781 17545 19028 2621 4838
"213800_at" 12823 19359 14389 17462 5526 12395 7396 11233 12522 9220 16434
"213801_x_at" 11610 11563 14619 11321 2699 6725 1942 19557 5943 4857 14449
"213802_at" 9166 20139 15550 19266 9853 12579 7426 11569 9193 11535 9257
"213803_at" 5435 17603 436 17512 15842 3991 20701 2832 19706 16241 15644
"213804_at" 18689 19831 20742 5482 21964 22140 20942 4636 1096 5336 3298
"213805_at" 19279 3882 19443 4730 4116 2097 21585 618 5674 5470 14243
"213806_at" 4288 14889 14197 14579 7806 16167 13099 13462 20099 10299 7270
"213807_x_at" 10258 22130 10484 18633 18861 20774 13581 22203 12965 18715 22264
"213808_at" 13097 12566 13485 2578 8441 15020 11531 10787 11262 11834 17552
"213809_x_at" 11978 13457 15015 10777 8350 14894 10344 14502 11150 10904 11422
"213810_s_at" 8281 18620 2532 17346 15829 1460 16140 1620 19609 1689 18061
"213811_x_at" 8278 1969 10469 7724 12149 18490 2258 6723 2812 16744 16191
"213812_s_at" 18211 2600 8060 3958 17129 21407 792 3377 6508 16605 1235
"213813_x_at" 18799 5003 22183 1447 294 20805 148 2771 2116 14553 15936
"213814_s_at" 9006 9386 16880 11927 6650 16441 8672 16083 12366 9963 12329
"213815_x_at" 15057 20697 410 4296 11332 4173 2369 1096 3844 334 41
"213816_s_at" 21938 1914 11860 16635 21033 1334 20139 21802 21176 3357 21631
"213817_at" 9327 14494 12499 12250 8457 15042 10530 14672 11975 19660 11561
"213818_x_at" 12219 188 688 12127 22034 12466 12789 17515 11612 13346 11081
"213819_s_at" 4602 9866 21347 507 277 10680 18490 20712 13345 12761 7648
"213820_s_at" 2541 18901 3393 3517 28 22190 16311 18261 14813 20926 619
"213821_s_at" 12475 16278 15200 11924 9550 13018 13337 12134 13108 8182 7514
"213822_s_at" 15283 5333 2275 15402 16418 5417 3364 5500 14785 17862 16029
"213823_at" 20332 19881 20457 15681 13936 16169 5519 18691 5720 21426 19833
"213824_at" 14079 12113 15059 10781 8485 15077 10586 14729 7782 11042 11595
"213825_at" 2850 12486 19428 13137 5244 22006 13187 17271 7129 12523 12292
"213826_s_at" 19334 16914 8438 1403 13546 7409 20036 1519 21190 1056 15195
"213827_at" 15556 21789 9581 22259 21312 21019 1379 10059 4624 44 1715
"213828_x_at" 6990 8579 18460 7247 15211 9830 14932 17721 17229 15997 6335
"213829_x_at" 21507 2901 5705 15214 20286 22240 14774 8439 1834 113 4272
"213830_at" 14075 13954 19272 10792 5700 18208 8777 10243 5214 950 10301
"213831_at" 12520 16280 9920 2895 7262 13265 5452 9737 12411 6007 9915
"213832_at" 505 250 17870 12785 9870 2994 13476 9951 3343 11772 7243
"213833_x_at" 18600 22005 1972 6251 206 19763 2577 4990 21789 14840 12579
"213834_at" 13902 10034 16791 9332 6618 10906 9583 13762 10599 10461 8023
"213835_x_at" 21520 8346 526 3323 13365 7242 19548 991 1026 1900 1825
"213836_s_at" 8179 5158 11741 18269 19867 3497 17070 3208 20336 18463 2233
"213837_at" 5423 20207 12615 21649 19693 20516 5051 2243 19573 3508 15699
"213838_at" 7775 4528 12024 3373 10794 902 19170 2301 17249 20798 5685
"213839_at" 21820 5645 4907 21824 9649 20519 17323 5632 16884 721 1141
"213840_s_at" 1448 3410 1104 118 973 21724 1641 5142 18222 16465 5101
"213841_at" 13781 12192 10155 21108 6283 10153 16505 15010 11799 22075 17215
"213842_x_at" 14992 2924 10915 14382 17176 18140 2018 5622 19045 1140 19512
"213843_x_at" 6773 8030 20589 6397 17038 21163 763 8065 185 18282 6188
"213844_at" 8765 21024 3264 19032 20490 20120 3289 21235 15491 20464 21169
"213845_at" 13614 6501 1989 5511 5565 11581 9613 4348 13489 426 1287
"213846_at" 18913 5265 2678 19222 13682 7436 1904 19121 17524 6258 15246
"213847_at" 499 1337 4892 14569 21026 21460 3149 18077 21427 2043 2354
"213848_at" 19386 589 18334 6914 2789 18154 17142 4158 15100 20183 3462
"213849_s_at" 17116 19972 6 446 9967 16256 1415 9895 341 11383 21224
"213850_s_at" 5569 5522 6373 2662 3542 7587 14239 764 3736 14347 4529
"213851_at" 5188 1456 11676 19635 18059 1832 13819 18905 17793 18400 20695
"213852_at" 19253 3862 4355 14951 12651 947 2676 2723 4854 4505 6184
"213853_at" 4870 19731 20325 4030 21975 2751 17748 8343 147 1604 766
"213854_at" 14994 7112 976 20526 19504 21272 17250 17734 15153 14679 15753
"213855_s_at" 19590 14483 14784 12641 7746 13977 5649 9931 10341 10227 17015
"213856_at" 20889 761 1586 4602 3174 10968 19066 11899 9399 15617 9494
"213857_s_at" 8561 4870 5534 16166 12932 7744 4068 7218 18046 13496 15155
"213858_at" 16508 7073 9836 4637 4877 1465 15685 2797 19825 6867 20110
"213859_x_at" 18219 18963 1808 14901 13541 929 1475 3888 14113 6265 4659
"213860_x_at" 8380 15514 4034 18030 13554 5571 15142 5528 16487 16704 17562
"213861_s_at" 8321 18630 4209 6550 16918 6360 13988 2210 20227 19069 6434
"213862_at" 9593 6242 12752 11619 8368 11596 6613 10947 11168 7239 8051
"213863_s_at" 21406 21499 20486 2196 18898 15409 17824 14935 11462 7702 1144
"213864_s_at" 14646 6125 11912 16337 12475 4789 15260 3614 15859 13513 16826
"213865_at" 10246 21921 15936 20996 20193 21470 8610 21770 12448 18887 16880
"213866_at" 13971 12433 1826 13656 1028 17229 5045 13481 11879 16629 8114
"213867_x_at" 11494 11392 14483 11206 12015 19831 14405 18370 15754 3874 16148
"213868_s_at" 19027 22262 15222 17923 19373 10857 12918 21933 2957 11959 19105
"213869_x_at" 2017 10629 21006 11738 10896 10879 12757 9744 13604 11730 7903
"213870_at" 11823 3826 17126 12654 7948 10466 7065 13754 7777 21399 8947
"213871_s_at" 564 9282 15290 10198 3068 15350 5828 8684 20545 11267 7053
"213872_at" 4007 19887 1718 15351 11166 19179 22187 22027 17718 4644 21743
"213873_at" 5840 20910 12354 5785 18930 10527 8582 15135 13314 561 18271
"213874_at" 9833 10786 16340 9001 7771 16799 5167 13401 12699 12685 10641
"213875_x_at" 5504 18208 21320 18443 14823 8194 22252 20683 3806 2285 21585
"213876_x_at" 3794 19358 19800 7403 16175 4574 14606 21363 4872 2716 6681
"213877_x_at" 8221 18968 19370 7982 4646 6417 1577 2619 14119 14225 3936
"213878_at" 3712 3534 6893 4785 11796 4516 4098 4726 19776 16979 4134
"213879_at" 17121 16295 20226 7032 3638 9546 910 5047 1465 15743 1624
"213880_at" 21376 6315 3890 829 6127 16897 7764 11912 11901 9445 14859
"213881_x_at" 15333 8418 10024 14485 3909 6556 13827 6586 14084 14542 4870
"213882_at" 14620 5454 9900 1166 17937 277 4633 18264 1391 20633 21051
"213883_s_at" 6340 15940 2964 18112 1008 629 15767 6745 6369 17757 14635
"213884_s_at" 2005 18580 1526 6876 558 255 18579 4958 2343 5364 933
"213885_at" 16134 19465 3943 16362 22005 9435 4182 981 1388 3851 819
"213887_s_at" 690 19452 8279 16954 19848 21563 22175 8052 14017 5454 6764
"213888_s_at" 9845 8863 15892 12690 6824 12607 7457 11599 12789 12548 9276
"213889_at" 7800 20171 9323 18820 1560 2898 21259 8610 1732 15665 14969
"213890_x_at" 11865 15342 14881 14032 11643 19181 4692 17596 16627 6944 6330
"213891_s_at" 11047 18255 7530 18948 21506 12678 12096 19813 13097 8794 20580
"213892_s_at" 5167 6307 10628 18174 18818 18440 4565 18162 6834 6947 2897
"213893_x_at" 8520 7849 9959 15431 17744 3652 13744 19157 15131 13440 15484
"213894_at" 14070 9103 17403 9255 8460 17345 10537 14678 11283 8921 11565
"213895_at" 12709 48 13426 4937 15678 17134 7682 2096 8524 9391 49
"213896_x_at" 14574 17619 1316 5246 18439 21806 18941 18266 4238 15238 15565
"213897_s_at" 1960 15899 17817 16537 16827 19727 18074 7935 4203 15844 3470
"213898_at" 14347 12077 16979 10556 22068 12334 10429 15383 11218 7816 17384
"213899_at" 6170 2037 19652 1129 4412 4024 20843 20474 20160 20576 3005
"213900_at" 6657 12011 2597 584 8289 4946 21134 9748 16521 15045 12870
