"inst_5925" "inst_5930" "inst_5972" "inst_5977" "inst_6893" "inst_6898" "inst_7083" "inst_7088" "inst_7506" "inst_7523" "inst_7528"
"200617_at" 16674 6196 8576 8005 16563 8431 19337 2644 17392 5247 3798
"200618_at" 7782 7224 4834 15109 11670 751 14620 4538 14489 5798 4581
"200619_at" 3650 8592 10093 5074 19390 8729 16804 4588 14957 15758 3065
"200620_at" 6761 8013 9368 15090 12213 5455 15885 4635 17221 17066 19358
"200621_at" 17360 3423 6814 6296 14853 18438 18427 4928 17445 14423 2421
"200622_x_at" 14895 16980 7610 6572 15119 4496 3093 2242 18374 13701 5588
"200623_s_at" 18373 6567 8111 18525 13528 5448 1917 7028 14839 2260 4667
"200624_s_at" 17751 16556 3768 16940 2814 18162 21778 7229 16615 14582 21876
"200625_s_at" 14803 15335 7303 17246 5062 4199 14433 8638 5754 4974 16099
"200626_s_at" 16077 18377 920 19814 2603 5650 3574 8033 16499 14927 17658
"200627_at" 8715 16445 9747 16204 2255 6136 14036 17939 5407 13897 16816
"200628_s_at" 5465 20064 9059 8352 16186 7553 22140 19151 2838 1733 19302
"200629_at" 16865 19413 17841 4972 20535 17892 18939 18273 6826 19116 19638
"200630_x_at" 16451 7097 9481 18548 11424 18186 2766 4369 14321 5709 4473
"200631_s_at" 20266 15677 8348 15083 13184 19323 14555 5897 18969 15618 15567
"200632_s_at" 16407 20766 20125 17578 21063 7862 19358 20551 6149 22264 21098
"200633_at" 11754 11746 14768 11431 10732 9825 13713 19042 5970 14292 6733
"200634_at" 7031 8014 17627 16626 12429 9298 17501 3977 6748 6472 4983
"200635_s_at" 6050 17153 4563 15576 12572 7031 19784 18859 799 18284 16279
"200636_s_at" 17442 16575 8526 15325 13186 4233 14429 6084 6466 6557 2626
"200637_s_at" 16084 5568 4353 18563 21355 18714 22260 6398 17470 3033 21277
"200638_s_at" 17804 7703 5667 19014 2810 8345 19258 5556 18372 16894 17765
"200639_s_at" 6590 7465 10289 5754 11878 5746 18416 17893 17961 17273 3817
"200640_at" 16764 7930 6607 16106 3571 9545 16117 18541 16910 13525 15614
"200641_s_at" 7448 18351 3428 18653 11231 18110 22198 21295 15972 13562 20935
"200642_at" 15117 7761 18556 13722 4655 9262 4390 8341 15181 16012 5484
"200643_at" 18539 4720 19077 6179 16435 9582 16361 3410 4015 14005 4990
"200644_at" 17444 4340 8891 16082 15972 6535 18232 2111 14383 14974 6439
"200645_at" 8776 7760 9017 15279 17365 9028 17073 18789 14969 6189 18188
"200646_s_at" 15817 6329 6348 15764 19127 4103 22214 2961 17082 2107 4280
"200647_x_at" 8345 7363 11805 7180 19634 20107 15822 19202 17877 18231 6805
"200648_s_at" 7942 17914 19192 21591 15225 19381 4678 21624 2848 19842 20361
"200649_at" 1767 17715 20248 7279 18128 5646 14704 6057 17732 6696 17280
"200650_s_at" 14758 11344 10077 11177 3152 6673 2862 8425 5655 5991 6560
"200651_at" 7650 7129 17647 13894 4830 9125 16051 19081 6073 4667 14162
"200652_at" 5285 6333 7484 19053 17595 18970 16887 8338 5808 16215 16200
"200653_s_at" 6402 8584 8711 20115 11468 6558 13881 5816 3312 5534 16593
"200654_at" 6908 5281 6329 18213 15147 8809 17234 18790 15034 14406 14791
"200655_s_at" 16965 15948 17802 18975 13340 19462 14342 6684 4708 6574 18021
"200656_s_at" 1126 4675 11713 8496 17520 6882 21393 17603 6370 15154 3241
"200657_at" 15747 15732 11435 8874 3825 17842 3639 17870 14006 13383 14908
"200658_s_at" 3361 5173 11792 7496 15799 6643 18429 6062 14570 15320 6754
"200659_s_at" 7755 3726 11809 6994 16575 21303 17298 18719 16048 18279 3052
"200660_at" 3591 15782 17849 15939 14121 6070 13756 8486 6513 5260 6111
"200661_at" 3191 15495 10223 8651 19497 8637 15171 19720 6768 16162 17317
"200662_s_at" 17789 4741 3329 14819 1878 1505 14180 18025 5654 3876 18105
"200663_at" 17450 5054 9670 14750 4195 19579 3414 18921 6680 15325 3839
"200664_s_at" 2003 16540 5811 7426 20969 7184 20352 2754 1581 1653 20372
"200665_s_at" 11407 21508 12995 19634 10574 11635 7479 15679 7823 7563 9098
"200666_s_at" 4685 7078 5177 15024 11781 3934 18003 5128 17007 5919 14734
"200667_at" 4044 5598 18166 4389 3530 3127 954 18595 13896 4258 5790
"200668_s_at" 14652 7726 7952 15600 11565 7070 15421 7978 6125 13404 19120
"200669_s_at" 14632 17776 4595 6973 14109 18014 21197 19728 17509 14722 20083
"200670_at" 4989 2172 7405 2677 1684 7012 17987 2504 3822 3678 1673
"200671_s_at" 1175 22221 10034 20365 15083 1633 10596 7888 22278 20966 22223
"200672_x_at" 16145 4367 3500 21805 21557 21313 21337 22222 3733 399 21013
"200673_at" 8434 16258 9226 16779 4977 7059 3661 3040 15929 15403 15850
"200674_s_at" 11933 15771 14956 11574 3618 18564 3905 19117 13893 5522 6863
"200675_at" 7488 7344 3564 20052 15440 3722 19571 4770 5479 17443 6528
"200676_s_at" 8156 3064 1571 6031 21829 21320 3001 5218 21139 1418 2259
"200677_at" 4622 17132 4872 13782 13400 4242 16145 8562 14198 5783 15218
"200678_x_at" 3605 16683 18265 15462 19560 5105 17948 17791 19011 14973 17863
"200679_x_at" 6861 6206 11712 15253 13760 8932 17266 21293 5413 17158 6075
"200680_x_at" 12066 15563 15105 14024 2279 8842 14272 6704 6809 15932 5828
"200681_at" 16620 5847 4839 5881 11647 8765 18753 6716 13899 13669 18202
"200682_s_at" 5471 15990 7349 16815 15305 6777 19008 19245 16370 14233 16070
"200683_s_at" 7770 17616 5527 8186 18917 8774 15244 20800 15795 15022 18491
"200684_s_at" 14651 8257 6686 15169 18739 19182 17707 6239 6617 3703 18570
"200685_at" 7362 8489 1492 15453 14923 752 1060 1019 16640 4576 14206
"200686_s_at" 18841 2641 9020 7140 15904 6285 15792 700 17088 18104 15916
"200687_s_at" 14821 15263 9238 7068 18221 7567 15907 4472 14972 13531 5407
"200688_at" 15976 19511 6207 7593 16814 4298 2249 20765 5875 4495 5314
"200689_x_at" 7163 16117 15078 7399 12032 8744 4713 8158 5597 6388 15077
"200690_at" 16677 5860 17748 2772 11050 9793 18547 5478 17617 4629 5429
"200691_s_at" 15716 3706 8231 15434 12327 7912 19893 7516 17230 4918 17077
"200692_s_at" 4021 5605 9305 5414 4751 6247 14717 18606 4376 2946 3990
"200693_at" 6558 7148 3821 15872 4107 5711 18821 8152 18808 16942 17336
"200694_s_at" 5584 3705 8787 5683 11389 3355 1862 2523 6527 6702 4326
"200695_at" 5178 17485 9498 8745 19476 18553 21841 7899 16122 19124 21435
"200696_s_at" 19378 4664 17800 16470 19290 3124 3957 7523 17260 18599 20019
"200697_at" 5628 17607 8662 14909 16183 7291 17547 1345 6630 14647 15411
