"inst_595" "inst_622" "inst_662" "inst_841" "inst_958" "inst_1715" "inst_2865" "inst_5084" "inst_5509"
"200039_s_at" 5461 17818 15218 15928 17241 4749 11343 6037 5790
"200040_at" 17704 19910 17614 16029 16452 20203 16200 16534 18235
"200041_s_at" 6834 17813 2727 14956 15081 16110 12320 14306 14306
"200042_at" 15288 16238 3248 15023 17178 16536 12672 5316 5856
"200043_at" 7440 18598 3066 5683 15846 19221 14589 17950 2152
"200044_at" 15996 14693 3961 15458 15635 20642 12816 16563 16038
"200045_at" 20334 21436 20084 20374 18688 3703 14637 16760 16517
"200046_at" 16347 16375 4373 14921 14230 15884 11565 4513 14226
"200047_s_at" 4623 19582 13840 20007 17566 4455 18783 14191 18381
"200048_s_at" 16065 18344 3318 14726 3537 16449 12948 6458 14252
"200049_at" 15360 19759 21072 17821 16121 18547 16401 18166 4892
"200050_at" 15520 19391 18019 3663 15238 18238 13442 17564 16045
"200051_at" 17443 18788 20160 15050 3652 401 19154 18475 15465
"200052_s_at" 19150 22049 13575 17146 18403 5121 13484 18152 15165
"200053_at" 3055 1350 3367 4067 14910 16755 14857 15303 1898
"200054_at" 19466 18491 18508 5518 17526 2537 19328 16392 16474
"200055_at" 2064 14367 2606 2628 2584 4830 10111 5703 3481
"200056_s_at" 16458 19018 4322 15243 21077 21459 21031 18840 19608
"200057_s_at" 7261 17935 15620 14848 14746 20072 10501 5695 13312
"200058_s_at" 6020 18981 17244 3351 14094 18735 12987 6219 17360
"200059_s_at" 2789 14382 14091 2014 14470 18568 3015 6303 4857
"200060_s_at" 6246 21494 19208 18239 15537 19963 19167 16027 4805
"200061_s_at" 15676 1694 2997 8944 3001 5457 5143 9279 6301
"200062_s_at" 16180 2252 3572 9143 7379 5901 5029 9208 6319
"200063_s_at" 6484 18676 15041 8568 16891 5451 5207 5289 4651
"200064_at" 19009 17462 17572 15217 15678 15817 11813 5448 4922
"200065_s_at" 16459 14928 2709 5739 2913 1400 14670 15477 5891
"200066_at" 15625 16477 13689 15310 16109 18829 1108 14699 14439
"200067_x_at" 15128 1134 3049 16043 15641 3323 16151 6232 18760
"200068_s_at" 5739 2140 13469 4429 13577 1054 12966 15462 14828
"200069_at" 20690 15656 3460 22102 17661 5576 20697 14793 18881
"200070_at" 7339 18076 16924 16802 14579 20689 18373 17858 13703
"200071_at" 21144 22225 14566 21567 22151 21577 21243 21146 15118
"200072_s_at" 15935 15995 20491 16384 18010 17196 16033 18177 16870
"200073_s_at" 22014 20064 18857 16649 18655 21099 18489 17642 17817
"200074_s_at" 6844 13915 3488 16188 14755 18900 10149 5879 5121
"200075_s_at" 6036 15747 3524 14910 3812 3234 14154 4678 3246
"200076_s_at" 20922 18525 16518 19115 20279 5215 13615 2372 16854
"200077_s_at" 15857 15802 3672 5017 3391 5077 10031 5844 5999
"200078_s_at" 18106 18075 13593 15836 18571 4255 18365 17819 14984
"200079_s_at" 15338 17459 15685 15612 15717 17042 13053 14200 13361
"200080_s_at" 2989 21352 15636 14904 14728 16662 10356 6544 16203
"200081_s_at" 17804 1891 4452 5189 3424 4332 2017 4547 4307
"200082_s_at" 16373 14571 4314 5395 14120 19294 1943 3487 4541
"200083_at" 18711 20261 19237 19319 16048 3226 18223 17414 19529
"200084_at" 15478 15925 3470 15072 14624 17284 13846 16657 15487
"200085_s_at" 19221 2470 2538 4783 3006 17208 12835 7183 13182
"200086_s_at" 4778 17546 14587 2939 13762 5010 11422 15517 6229
"200087_s_at" 5290 16322 3997 5711 15936 1631 11907 16330 17283
"200088_x_at" 4440 1253 14331 9263 7580 3813 5038 14235 3025
"200089_s_at" 4683 14726 4569 3849 2999 5392 2494 15260 6276
"200090_at" 4943 18513 18366 14759 18671 21411 15565 6785 5506
"200091_s_at" 18181 17178 1074 3373 2813 20441 2870 5842 5435
"200092_s_at" 18017 14105 4632 5672 2776 4110 2332 14077 5553
"200093_s_at" 15464 13999 2955 3309 14136 20502 11174 15630 13528
"200094_s_at" 2669 17348 3480 5550 14161 17763 12150 5090 17033
"200095_x_at" 16037 1348 2470 9255 3098 4174 5274 15574 5821
"200096_s_at" 17610 19677 15488 2868 15647 18090 16212 1685 15216
"200097_s_at" 6043 19686 18052 21136 19763 18859 15873 6694 19291
"200098_s_at" 5007 14888 14852 14816 17303 16670 15433 5989 17082
"200099_s_at" 14904 14520 2396 8739 15272 5382 5219 3505 14809
"200593_s_at" 15446 18979 18632 19290 18396 17553 16748 15781 15641
"200594_x_at" 17298 18401 14312 16128 3972 20064 12871 14141 16570
"200595_s_at" 20792 21020 19582 18148 16005 19619 19084 21023 16648
"200596_s_at" 16418 18837 21614 5670 14154 3434 10695 17043 15963
"200597_at" 7535 15981 2024 20793 20010 22145 20788 14506 3767
"200598_s_at" 5531 17154 3025 1999 2202 1203 11199 4946 13500
"200599_s_at" 4371 20938 1398 15670 14628 4630 11500 14692 15085
"200600_at" 10365 4242 15362 14386 12082 19764 6813 6955 9332
"200601_at" 17066 17580 19109 15700 2838 2144 18193 18900 3893
"200602_at" 18774 21457 991 4920 19418 20684 15379 18613 4209
"200603_at" 573 16498 16232 15034 15053 1993 17479 17454 17869
"200604_s_at" 3811 16616 13962 16622 16981 5039 16304 16287 6070
"200605_s_at" 6864 21107 19808 16453 20248 5631 14584 3875 6006
"200606_at" 3290 15393 2874 3294 14476 8889 12823 3337 18196
"200607_s_at" 20495 19512 16427 17247 19052 18443 19589 19054 20914
"200608_s_at" 6017 19983 15297 18167 17917 21927 19398 18733 19674
"200609_s_at" 16349 19139 19277 15507 16253 19889 14678 2827 4502
"200610_s_at" 6010 19354 18544 18874 16625 21694 17198 14831 16035
"200611_s_at" 20436 17718 4394 15994 13597 3525 19218 13831 14255
"200612_s_at" 7164 17207 20403 5630 17692 5605 18980 18831 1385
"200613_at" 5086 2543 3315 4853 2351 21566 12482 6630 3483
"200614_at" 16346 16011 15637 4425 13402 2769 10455 14849 5287
"200615_s_at" 7225 2271 15732 3335 14128 4853 15161 18563 4621
"200616_s_at" 7017 16051 4435 17481 14400 760 10358 5514 15383
"200617_at" 16492 19338 16975 4460 15393 1797 13507 4984 19163
"200618_at" 15154 18601 20482 4654 19369 20966 14336 3736 14251
"200619_at" 20439 17547 15864 4501 14631 17156 14863 16874 15990
"200620_at" 2653 1149 2830 14720 13765 4826 10354 4171 3282
"200621_at" 7420 15148 4543 5332 14946 751 14301 15373 3995
"200622_x_at" 5537 16318 868 3513 14633 16229 17641 13871 15188
"200623_s_at" 17119 19952 16392 15126 18617 229 14194 18875 18568
"200624_s_at" 5318 18189 15769 18248 17040 17437 19737 16753 21250
"200625_s_at" 6448 18829 5398 5501 16313 18789 14354 7137 14098
"200626_s_at" 17544 14284 4506 15877 15349 21662 12651 15632 17222
"200627_at" 17114 18765 17677 15253 15242 18926 2864 15635 15741
"200628_s_at" 1746 767 3394 1277 13901 19756 12039 14419 1441
"200629_at" 3104 15400 151 16540 1188 19429 9941 14711 13614
"200630_x_at" 2149 18345 18536 18801 18533 4722 11694 16786 14885
"200631_s_at" 18341 18310 4132 5072 14623 18265 16508 5161 15141
"200632_s_at" 1928 1343 17804 19171 17963 20969 1180 17961 5485
"200633_at" 16072 2343 2656 9265 2788 5454 10021 7144 14204
"200634_at" 19914 16677 13552 4471 13877 19407 11556 6350 3879
"200635_s_at" 2506 17151 21387 15902 3626 10612 2807 16353 5058
"200636_s_at" 5854 16631 17962 4617 18289 11352 12499 2466 4318
"200637_s_at" 3916 17915 14605 3651 2396 9340 12413 14062 4982
"200638_s_at" 7305 18873 14753 16367 17667 3836 11234 6727 17228
"200639_s_at" 1170 16695 15660 4910 14695 19663 12604 5331 14583
"200640_at" 6136 17746 2959 15232 13760 20206 14809 15490 14329
"200641_s_at" 16211 15941 4417 14715 15938 17224 12809 15575 16303
"200642_at" 15194 14389 2305 4240 13521 17135 10464 3728 3937
"200643_at" 15333 662 145 3514 2397 2468 13040 4395 2390
"200644_at" 16086 20465 21193 17125 17479 19749 16657 5385 4222
"200645_at" 18272 20296 13952 16723 14937 20183 11621 14953 5783
"200646_s_at" 6772 1216 2425 692 2551 1354 10469 17022 692
"200647_x_at" 5405 15746 2070 14935 2952 5957 13535 18071 4585
"200648_s_at" 4416 1481 2083 5188 15311 21523 11664 881 2673
"200649_at" 16137 15275 3033 2987 1210 415 1404 14800 13628
"200650_s_at" 16916 16144 3737 15564 13309 19452 10580 15124 4253
"200651_at" 16487 1652 1557 5694 2280 18053 2291 15336 4811
"200652_at" 6695 16042 3989 5054 13801 3846 13013 7223 999
"200653_s_at" 4763 16421 4515 5432 17174 18344 1879 3836 3852
"200654_at" 15184 15253 5374 3660 1907 5767 11793 4441 2960
"200655_s_at" 16544 2354 4217 4696 13995 3391 10668 6049 3169
"200656_s_at" 2678 16057 14257 2422 3849 5217 14801 858 3026
"200657_at" 15111 2080 5484 5125 2159 15805 10043 7233 14278
"200658_s_at" 17231 15588 2969 15166 3338 18107 13751 14208 5936
"200659_s_at" 17124 18246 16164 20299 17422 1938 18478 15308 13739
"200660_at" 15170 1512 1679 5155 14189 18582 2816 4652 3375
"200661_at" 5673 16413 13717 3339 3210 4638 13332 15385 3512
"200662_s_at" 7014 16516 2400 15092 14535 21267 15589 6341 4029
"200663_at" 17137 14941 3808 15334 15962 20930 10197 5052 5026
"200664_s_at" 20556 1927 16730 20644 42 3023 20659 3744 18307
"200665_s_at" 11587 8724 17898 13984 11720 12043 3608 10161 9420
"200666_s_at" 18238 15308 15499 19909 1067 1833 14127 18618 15210
"200667_at" 19120 17391 16554 17240 18595 2036 17717 2370 16598
"200668_s_at" 15931 19551 14391 16436 16965 17944 15754 15386 17584
"200669_s_at" 17570 20714 5207 18904 19657 21011 18823 18881 19413
"200670_at" 3843 1869 15299 3847 1911 4406 11457 1843 2845
"200671_s_at" 22160 13801 3358 21883 2130 11385 19441 22003 17073
"200672_x_at" 17414 21079 1215 20218 15321 11674 1521 19678 4479
"200673_at" 2947 13924 4575 2905 13953 3516 11566 14628 4905
"200674_s_at" 18129 2241 4156 5373 2355 16716 2297 14090 4512
"200675_at" 5838 14959 13918 18047 17214 19380 14616 5597 17949
"200676_s_at" 16093 18974 17256 21017 20806 2729 18711 19431 918
"200677_at" 15229 15430 4260 17522 15583 4113 13907 4696 16073
"200678_x_at" 3767 1833 14560 1476 486 2216 2974 4607 3224
"200679_x_at" 18132 17403 2179 4489 14610 18444 11498 17426 6125
"200680_x_at" 17527 1817 16984 16129 3867 3529 1974 6356 15022
"200681_at" 6531 1580 3316 17372 3822 18291 12366 4958 15901
"200682_s_at" 19642 20758 16791 18497 16343 16745 14420 6455 16768
"200683_s_at" 17108 20443 14074 20646 20081 2928 18034 7072 15604
"200684_s_at" 21461 20527 20679 16110 19616 1886 19351 6425 6226
"200685_at" 12524 9457 6637 1749 22170 18085 11747 14055 20335
"200686_s_at" 18637 21719 20863 22082 21910 22163 22005 18541 18266
"200687_s_at" 15774 17987 18277 17532 20494 16476 17728 15773 18006
"200688_at" 15666 21200 13158 5655 14237 16135 13470 4691 20701
"200689_x_at" 15674 1249 14781 5434 13716 4194 2793 13774 16401
"200690_at" 20418 21288 17229 18625 19819 21634 21249 3584 16501
"200691_s_at" 17463 19065 5439 17112 17882 18838 14026 15265 15389
"200692_s_at" 19864 15000 14179 17537 15409 17058 15412 18761 4583
"200693_at" 7327 18193 13639 5486 18104 19845 14003 6938 15295
"200694_s_at" 18873 19676 18438 19855 16879 20444 15390 15035 17952
"200695_at" 15708 15715 4483 17320 15580 5607 20897 1188 3403
"200696_s_at" 1505 15610 3153 905 1011 19289 10884 6525 14906
"200697_at" 1215 19463 13356 5031 16815 18967 16780 17432 17219
"200698_at" 6470 18777 13999 18586 16477 19471 15690 6934 14528
"200699_at" 6382 20833 13817 4894 15341 2121 16233 15513 5587
"200700_s_at" 17903 14682 2199 15874 13501 2571 11008 14896 3731
"200701_at" 5328 2150 1898 4084 2825 5880 2476 5902 3192
"200702_s_at" 20368 18311 19663 16989 15695 1079 12887 16649 16917
"200703_at" 4779 20395 16946 17315 17362 289 13068 6816 13356
"200704_at" 18098 14724 2401 3164 13990 17104 11182 1631 5606
"200705_s_at" 4352 14365 15421 2792 3664 3088 2119 3330 5664
"200706_s_at" 4273 13886 929 19322 14989 3238 9978 214 13822
"200707_at" 17637 2186 14319 4285 2075 16329 13961 17529 17590
"200708_at" 6235 17409 13957 4693 14456 18708 10764 16965 13618
"200709_at" 2665 14201 18101 14743 14805 3092 16078 17535 16987
"200710_at" 5631 14638 2650 15267 1439 18996 11227 4032 2896
"200711_s_at" 20588 18975 3632 16279 15165 20399 17136 15872 6032
"200712_s_at" 15960 17424 2293 17895 20725 16382 20763 4576 19264
"200713_s_at" 20419 19119 17403 18024 19352 2274 17722 17300 19432
"200714_x_at" 2336 16893 4936 3168 2367 17406 12863 4243 13829
"200715_x_at" 7070 14175 400 5257 2479 18630 11080 5363 5518
"200716_x_at" 18053 503 3717 5182 3054 4289 2973 6304 5148
"200717_x_at" 4154 14983 16367 9242 7728 4693 5142 9277 6218
"200718_s_at" 6789 15431 1323 4529 14713 15835 10342 6961 13238
"200719_at" 6893 18219 15573 18575 18546 22052 14963 18681 16964
"200720_s_at" 17478 16230 19598 5529 1791 18762 14992 5731 818
"200721_s_at" 15641 17294 2996 19546 15746 1239 13738 14137 15150
"200722_s_at" 4722 19392 15302 19009 21005 20370 21573 17116 4562
"200723_s_at" 17310 20753 17469 19381 20425 18649 17521 14867 17421
"200724_at" 5282 9736 1370 11217 5626 1949 124 551 3795
"200725_x_at" 15889 1899 3984 5201 2724 4635 2161 18783 5208
"200726_at" 19623 20334 3156 19104 14227 21958 19480 17430 16573
"200727_s_at" 18908 17981 15347 18170 21987 17737 19757 20170 15412
"200728_at" 6891 15996 3918 5331 16766 19173 12731 14043 14133
"200729_s_at" 3032 19616 18293 17388 20056 20257 15091 13960 15892
"200730_s_at" 2730 17024 18386 4760 15873 17594 16951 20202 17621
"200731_s_at" 19544 22211 18338 14742 3672 19108 17405 19719 16208
"200732_s_at" 2353 16514 17909 2383 4020 2685 13969 15875 5504
"200733_s_at" 412 91 20252 17380 16305 16902 21385 17854 5061
"200734_s_at" 4987 2499 5066 4026 3631 5661 10408 2892 15655
"200735_x_at" 17019 15432 2532 8717 3455 18164 5214 15213 6302
"200736_s_at" 13977 8649 808 9327 7585 5117 4672 3975 10691
"200737_at" 5639 2215 15502 15098 14316 17797 18672 5375 3499
"200738_s_at" 16951 2696 13627 3604 2816 19590 13095 5531 6233
"200739_s_at" 5089 18840 4534 4018 14826 15842 15834 14876 4928
"200740_s_at" 19423 16494 13797 17561 15263 20938 11416 5585 13818
"200741_s_at" 6392 14951 15998 8596 2395 3906 2543 4527 8097
"200742_s_at" 1792 16437 4263 1708 2732 18122 18902 4257 1957
"200743_s_at" 3465 14507 16333 1218 2336 4282 1706 4954 3221
"200744_s_at" 17211 13907 3254 15534 13513 20512 18985 14694 13815
"200745_s_at" 18795 20342 3557 18796 17169 16325 14416 14690 20183
"200746_s_at" 19317 18037 3256 15134 16662 20653 15601 5319 16099
"200747_s_at" 15934 17587 15737 19709 17865 5699 17360 13883 16086
"200748_s_at" 6022 1775 1320 4932 2885 5769 1769 5672 2538
"200749_at" 3970 18531 3909 18288 20382 4016 18350 15085 15278
"200750_s_at" 18600 18539 4436 15414 15441 20555 11216 14560 14373
"200751_s_at" 3149 19382 5196 2746 16601 19861 15582 16269 15352
"200752_s_at" 15456 2208 15158 2314 2174 2756 13414 5647 3564
"200753_x_at" 21475 20592 18220 21215 21484 21280 19203 5390 16098
"200754_x_at" 22187 20165 19784 20747 20995 3146 15766 16977 16357
"200755_s_at" 1731 20107 2703 18135 18037 985 14214 16587 14065
"200756_x_at" 3697 18038 2296 17484 1838 2290 19024 20965 20267
"200757_s_at" 5403 16345 17399 15665 16342 1241 13105 7190 16268
"200758_s_at" 6016 2695 2284 1084 1255 16217 2969 6868 14833
"200759_x_at" 4876 2212 20627 998 3487 17120 2991 6008 16815
"200760_s_at" 15410 17335 14863 15093 14036 4063 16153 19322 18581
"200761_s_at" 4297 18288 17926 17109 17305 20174 16654 15231 17069
"200762_at" 1026 16819 13848 16796 19899 21417 21115 5089 16211
"200763_s_at" 17385 1625 2329 5233 2795 15958 2826 13856 5698
"200764_s_at" 5316 14063 6338 16947 18687 13753 13257 13202 13343
"200765_x_at" 14924 525 6651 15919 15080 4883 14754 7628 17287
"200766_at" 18207 17155 4044 3928 1670 20577 11204 19062 14821
"200767_s_at" 18083 15016 19371 15701 15113 16308 19447 4800 3894
"200768_s_at" 22178 21928 21144 21993 22090 20748 20563 20199 18357
"200769_s_at" 15988 21201 20886 20970 21990 21131 20643 21202 18028
"200770_s_at" 4358 793 13327 1548 984 703 1081 4602 5433
"200771_at" 4589 19502 16312 18482 17896 21461 10112 17761 16468
"200772_x_at" 18209 2062 13483 4519 2117 2039 2601 6473 14628
"200773_x_at" 3005 18097 4338 4911 3948 17592 10224 14890 16328
"200774_at" 4291 19843 16908 16250 16514 21319 13362 16080 15850
"200775_s_at" 16741 18492 18680 5569 17067 16604 11170 14553 6299
"200776_s_at" 17893 20052 19220 16914 17002 18235 15655 15789 5270
"200777_s_at" 15193 18940 15475 17072 19181 15797 12492 14157 16625
"200778_s_at" 6881 16710 13894 15778 14249 19330 17025 6487 14362
"200779_at" 6699 1303 58 2664 1013 20601 1370 13832 1023
"200780_x_at" 6039 1225 14284 4622 3048 17692 2236 6826 13463
"200781_s_at" 7585 14051 2003 5713 1983 16012 1947 6241 4779
"200782_at" 4510 14436 15175 14740 14940 4100 15781 14309 14859
"200783_s_at" 4087 397 16964 22031 20947 21313 19001 7198 17859
"200784_s_at" 13831 4859 10547 6007 9521 11860 5510 19 9322
"200785_s_at" 1282 4277 17373 14472 8047 7064 3773 135 9254
"200786_at" 5455 17020 14173 5640 17205 16330 12044 15282 3637
"200787_s_at" 16690 18022 17908 5243 14320 2593 13728 1295 1802
"200788_s_at" 18262 21886 4675 15413 17045 17992 10928 15704 1375
"200789_at" 1024 18285 4066 792 1236 19469 18447 2315 4292
"200790_at" 20352 17925 2899 18213 20200 4660 20913 15584 16293
"200791_s_at" 4328 17922 15688 5256 14835 21813 12732 4406 15108
"200792_at" 7387 17019 5422 4222 13851 21170 3036 6256 14858
"200793_s_at" 20347 19316 993 2202 2782 404 15307 16247 15241
"200794_x_at" 15762 20130 5110 16314 18466 16482 15171 20055 14551
"200795_at" 18800 6818 20193 2494 6895 13052 19110 15973 11976
"200796_s_at" 603 16058 16678 15729 1424 155 19979 3679 19620
"200797_s_at" 5721 18611 4154 17327 17668 392 14220 14334 16064
"200798_x_at" 1183 21324 19987 21204 15939 3796 17876 14455 15350
"200799_at" 22199 18494 15357 21649 14998 6644 16132 18359 15492
"200800_s_at" 21789 15023 21137 22058 15450 4978 17772 3690 16782
"200801_x_at" 7308 16885 16451 8766 7672 18169 4994 9181 15149
"200802_at" 1422 14824 2505 3208 2267 4071 3026 17375 2903
"200803_s_at" 4730 2089 2406 3949 3589 3179 12130 17423 6150
"200804_at" 4848 2325 14688 4700 13434 15910 10877 15315 15093
"200805_at" 1378 15701 1651 4629 15415 17862 13773 18035 2377
"200806_s_at" 15568 16517 14924 15350 13380 20981 12313 15643 14360
"200807_s_at" 15509 15104 15459 5735 3993 19899 3030 13921 13647
"200808_s_at" 5522 21384 17857 16715 21543 20697 17915 7257 5959
"200809_x_at" 4604 2610 5512 4841 2591 4468 2374 6700 5101
"200810_s_at" 518 578 315 1902 2155 2062 9943 3695 14369
"200811_at" 909 613 607 1956 3569 17254 882 1892 3220
"200812_at" 16554 15086 15246 4807 14601 4351 14836 13918 15119
"200813_s_at" 19854 19876 17679 21655 22028 20608 14024 18309 13464
"200814_at" 6264 14974 5542 2147 3741 20501 12288 14352 5083
"200815_s_at" 21636 21098 21687 19927 18827 4601 17352 19428 19524
"200816_s_at" 20322 21589 16913 22004 20061 5508 15708 14266 15493
"200817_x_at" 17714 779 14165 9115 7853 4688 5010 9193 8088
"200818_at" 17559 13835 3760 18069 16572 4860 2918 6535 14280
"200819_s_at" 16399 14421 14023 8876 3375 4246 2854 6281 4816
"200820_at" 18787 15123 1690 15750 3966 4001 12507 6489 5200
"200821_at" 19586 20700 282 19371 16592 22076 18052 5233 14122
"200822_x_at" 16765 985 1632 19525 18710 19793 2740 3094 13253
"200823_x_at" 16308 2083 4754 5095 13639 17639 2305 18449 14463
"200824_at" 5642 698 1267 11123 12070 16315 6612 6224 7843
"200825_s_at" 3784 17411 4998 3394 3460 3157 11215 3382 5081
"200826_at" 18264 13992 1513 3708 3517 3074 11095 15242 13334
"200827_at" 2612 21218 13570 18114 1093 2613 2380 6442 2045
"200828_s_at" 21129 21785 21304 20666 20910 17541 17200 18221 17993
"200829_x_at" 20403 21106 21509 20951 20491 20101 17923 18188 18422
"200830_at" 16618 14101 2191 17417 14358 5776 15383 18358 13250
"200831_s_at" 3076 1050 4487 2770 1662 19147 12303 2437 1676
"200832_s_at" 4022 14994 944 2038 1224 5744 10308 3114 4586
"200833_s_at" 7259 19805 14291 15153 17025 18567 14687 5635 17846
"200834_s_at" 6165 2081 4323 5393 3913 15912 5061 4285 13677
"200835_s_at" 13364 10618 30 1439 22082 1522 13664 20852 19566
"200836_s_at" 6986 20678 14593 16406 18759 5898 1267 2569 21482
"200837_at" 4574 17908 17873 16750 16508 3331 12102 3064 3643
"200838_at" 3691 14593 13129 4506 16551 19445 17748 13769 1921
"200839_s_at" 15067 15410 4168 16398 13939 6127 15363 14754 16173
"200840_at" 15984 15464 13548 16170 14332 17367 9962 5632 15859
"200841_s_at" 14953 16468 1116 16419 13908 4511 13709 19069 16025
"200842_s_at" 447 1071 13221 3468 16170 4922 11375 5953 2727
"200843_s_at" 5031 14792 3830 3540 13462 2821 10724 14770 13873
"200844_s_at" 16677 2312 1627 3916 13732 3440 10714 4604 5266
"200845_s_at" 16002 16455 3118 5372 3965 6043 12163 15062 13606
"200846_s_at" 17945 14747 1943 15187 3922 5778 13669 14026 2646
"200847_s_at" 3581 21292 467 4934 18111 20188 12580 7210 19003
"200848_at" 1775 20931 13725 4200 13811 18376 2588 16305 1594
"200849_s_at" 2448 15498 13916 3503 13312 3860 2753 6358 15798
"200850_s_at" 1091 15942 15366 2937 14482 16950 16505 3349 4431
"200851_s_at" 17139 17055 14262 15986 15442 21038 12025 14753 18634
"200852_x_at" 17526 17053 17449 18087 19025 16727 11052 4151 2844
"200853_at" 15094 15799 16216 17116 15653 19442 2381 18182 14043
"200854_at" 14945 21000 18730 18097 20099 22220 14400 4472 19419
"200855_at" 19082 14581 16982 1607 22155 16886 14305 16250 3722
"200856_x_at" 291 11518 3388 21861 21114 21668 10231 17993 15705
"200857_s_at" 19620 20676 5363 19813 20008 20655 20852 19737 19798
"200858_s_at" 16278 16389 1922 5633 13674 18039 11816 14268 5751
"200859_x_at" 3894 14493 5270 16024 2998 21289 14634 4325 19896
"200860_s_at" 15669 16199 17954 18540 19162 5943 14556 19975 13526
"200861_at" 17936 15208 16697 20193 20924 5998 19170 5622 20220
"200862_at" 699 20633 1953 19493 13800 21188 20518 5467 13570
"200863_s_at" 19428 15375 4196 5385 14059 16114 15481 17794 14120
"200864_s_at" 7371 16099 14155 19397 20001 4305 20373 15530 14630
"200865_at" 8757 9777 6907 7410 6239 8029 6344 17667 7436
"200866_s_at" 3302 15918 14098 1796 1896 1594 17920 5227 16254
"200867_at" 16540 18735 5121 16890 16600 3158 12502 6418 2186
"200868_s_at" 15502 2552 581 4099 1974 4806 11160 16383 16943
