"inst_6559" "inst_6585" "inst_6589" "inst_7044" "inst_7048" "inst_7101" "inst_7106"
"200652_at" 1700 13909 3795 2856 4078 3065 7338
"200653_s_at" 5714 19709 3652 1892 15653 600 20231
"200654_at" 4536 3134 16055 4320 13728 18019 17714
"200655_s_at" 16411 13492 6438 19022 13915 16757 6182
"200656_s_at" 18221 21916 20202 5914 20611 21404 3540
"200657_at" 4956 4781 16036 7785 2783 4250 16368
"200658_s_at" 3630 5007 15513 5297 18328 15687 5826
"200659_s_at" 3882 13296 17487 2386 714 17262 6982
"200660_at" 5135 20284 15282 5487 17181 16561 17655
"200661_at" 4231 14003 15971 3216 14479 17745 5472
"200662_s_at" 19706 18768 19463 880 15608 5099 20587
"200663_at" 5110 13414 4039 7921 3463 2852 17858
"200664_s_at" 20826 18769 21795 904 16957 4883 3323
"200665_s_at" 16437 7771 7357 11687 17665 8636 6703
"200666_s_at" 20732 17350 2817 6202 16758 19830 17637
"200667_at" 18123 17685 16063 5172 13576 4870 18024
"200668_s_at" 14264 14313 15043 5008 15397 3486 16119
"200669_s_at" 18949 16773 19519 7888 19092 20775 3707
"200670_at" 21238 20437 16802 7912 18442 19793 5200
"200671_s_at" 120 20261 10146 13988 15507 11771 12953
"200672_x_at" 21923 15402 21466 1131 16609 16016 17950
"200673_at" 15846 15838 7127 8440 3924 5380 21405
"200674_s_at" 4683 3814 6285 17848 3939 15942 3819
"200675_at" 5088 2315 15916 4678 4223 2302 20978
"200676_s_at" 18965 19521 21758 16708 18355 21059 4579
"200677_at" 13954 17226 20413 17619 15135 17111 16408
"200678_x_at" 4293 2966 19660 17049 14883 15843 5874
"200679_x_at" 940 14304 16577 7475 16404 3125 20285
"200680_x_at" 14537 13030 14952 6461 4655 4448 19220
"200681_at" 16979 15563 16406 17858 15071 20501 3674
"200682_s_at" 17092 15769 17396 4432 17809 5327 16495
"200683_s_at" 2041 16784 17729 2235 13615 4273 5917
"200684_s_at" 19576 4299 17490 1332 4335 21832 3962
"200685_at" 14904 4870 5111 6229 2087 2709 20848
"200686_s_at" 21746 17169 2410 18327 20029 19189 19038
"200687_s_at" 5709 2456 6874 7871 16831 15828 15139
"200688_at" 18013 15818 15096 5609 17722 20398 4567
"200689_x_at" 16425 13890 6823 18443 15335 16548 4469
"200690_at" 15772 15658 16178 4613 454 16601 17498
"200691_s_at" 4786 19779 16382 18809 13579 18466 6782
"200692_s_at" 2129 12976 17877 4417 16161 4882 19442
"200693_at" 19221 18699 19108 5030 17116 5778 20122
"200694_s_at" 4132 13485 6067 4005 3595 2725 17107
"200695_at" 5471 20924 17894 18465 15243 21777 3458
"200696_s_at" 5990 12769 16709 20649 4216 3961 18745
"200697_at" 13953 16600 18963 19688 13721 19325 1940
"200698_at" 18213 4451 5786 7718 16443 15645 20477
"200699_at" 5518 4168 6767 6369 2608 15451 6715
"200700_s_at" 13733 16235 16496 17168 14671 16342 15092
"200701_at" 2799 14351 15214 16670 4315 19899 18304
"200702_s_at" 673 3184 5109 5471 3158 1058 3657
"200703_at" 1403 13700 4035 4977 5330 1965 18188
"200704_at" 16548 16462 4811 19560 1802 5406 20493
"200705_s_at" 15035 15404 5831 9075 5116 15431 3903
"200706_s_at" 21367 3677 20233 2219 3686 18915 15003
"200707_at" 1107 3452 6743 9250 3712 20110 14686
"200708_at" 13860 5011 5439 7923 14648 16367 4525
"200709_at" 14877 15625 18376 854 14276 16905 21261
"200710_at" 5738 2284 19805 8454 3462 17781 18010
"200711_s_at" 15875 13173 17121 6192 15373 2915 16653
"200712_s_at" 17931 18590 19988 2961 20236 2707 15882
"200713_s_at" 16967 17147 19067 6878 3192 3413 15212
"200714_x_at" 15371 1969 16682 8837 1477 17038 7061
"200715_x_at" 15796 14389 5313 6861 13593 3496 7302
"200716_x_at" 2145 4142 15416 18965 4844 15862 3111
"200717_x_at" 9907 8919 11135 16653 4280 15196 6711
"200718_s_at" 13752 15554 14997 7663 5380 4684 18399
"200719_at" 15140 18832 18768 1514 17701 2261 15710
"200720_s_at" 14114 4640 20171 4736 19407 18076 16736
"200721_s_at" 16493 17303 7117 18243 16579 17349 15332
"200722_s_at" 19688 19914 22061 1605 20585 21498 17143
"200723_s_at" 19575 20873 21029 4953 19192 20799 6017
"200724_at" 21411 19625 424 21540 2252 1705 518
"200725_x_at" 5770 15845 15238 17081 3556 17294 4806
"200726_at" 16824 16594 7198 3439 13819 2871 20754
"200727_s_at" 18875 15949 21995 17272 21998 20038 19604
"200728_at" 17382 17329 21425 3997 16978 15978 17568
"200729_s_at" 18106 17098 17108 2319 16710 1663 21108
"200730_s_at" 21451 19964 20787 8215 21116 21426 21547
"200731_s_at" 19414 19027 5912 3103 960 3808 20233
"200732_s_at" 18051 18236 16130 7597 4087 5692 16259
"200733_s_at" 17761 20324 6083 5448 4618 15833 21077
"200734_s_at" 14254 16479 4982 7061 805 18286 1091
"200735_x_at" 14700 5091 6087 9145 13137 5086 6504
"200736_s_at" 16962 14308 8192 11764 4523 7259 18527
"200737_at" 19355 17945 16628 1966 17337 15387 21147
"200738_s_at" 15810 14092 14762 17086 5208 16118 16914
"200739_s_at" 3846 17162 21639 8004 19427 18336 17286
"200740_s_at" 14561 13694 18758 6164 13854 2973 19326
"200741_s_at" 5277 8539 10777 6476 4679 4805 16019
"200742_s_at" 15153 20293 20737 16952 18709 20270 1194
"200743_s_at" 18474 19825 5647 4950 4530 3934 3207
"200744_s_at" 16416 16019 5679 6699 16208 17594 19697
"200745_s_at" 15797 16175 18964 16914 17599 15343 20329
"200746_s_at" 14464 14052 17473 2043 13993 3666 21533
"200747_s_at" 5103 4757 17277 9166 3315 17384 6653
"200748_s_at" 1960 2976 6709 20308 4204 5845 4050
"200749_at" 17756 16404 4104 2627 15365 1770 16559
"200750_s_at" 14596 14579 15431 6556 4428 16316 16831
"200751_s_at" 21036 20948 21166 2565 21396 21534 15704
"200752_s_at" 17991 15302 20522 20536 21817 21418 1176
"200753_x_at" 19177 17676 17320 8669 19609 16939 16770
"200754_x_at" 5269 4783 17457 8645 2692 5459 6064
"200755_s_at" 20172 16745 18290 1743 19095 20460 6381
"200756_x_at" 17810 18382 20565 19241 21211 21597 15928
"200757_s_at" 15929 5066 18889 17877 17702 19642 17114
"200758_s_at" 4246 2093 4251 18735 16527 20911 18097
"200759_x_at" 16465 4461 19165 3894 18315 18739 15099
"200760_s_at" 2529 17819 17617 3747 19308 19343 16070
"200761_s_at" 15358 18954 6845 7662 13000 5524 18698
"200762_at" 17572 18483 19078 2672 3964 16309 17044
"200763_s_at" 4969 4982 6221 17959 3351 15701 6895
"200764_s_at" 13045 6321 14737 3669 10721 17406 12145
"200765_x_at" 6852 6785 4335 4306 11350 3265 10047
"200766_at" 21362 2830 20703 20643 2603 21787 21526
"200767_s_at" 14697 15212 19537 2328 17163 20609 15718
"200768_s_at" 1996 4465 4763 2114 4508 944 20109
"200769_s_at" 22260 12977 18438 1532 15415 3501 6910
"200770_s_at" 3823 9019 18271 3418 820 19756 20895
"200771_at" 5632 20797 5583 18534 14734 20575 18082
"200772_x_at" 907 2700 5124 6205 14972 3793 6852
"200773_x_at" 5507 4396 5435 8049 13983 15703 16243
"200774_at" 15210 17246 4543 5488 14054 2166 15234
"200775_s_at" 322 653 5134 8643 4076 4715 22125
"200776_s_at" 20972 17699 19190 16904 19864 18352 16718
"200777_s_at" 5536 13113 15890 17859 13450 2952 17141
"200778_s_at" 18057 20949 18932 9139 17852 3114 5474
"200779_at" 2754 3583 17321 3500 2221 5244 5838
"200780_x_at" 3178 12846 17040 19341 4352 18197 2251
"200781_s_at" 6021 4679 6230 18284 4871 15442 16414
"200782_at" 17393 18039 17735 7929 13283 2572 20549
"200783_s_at" 5855 14721 19297 2325 16727 4335 20920
"200784_s_at" 7419 3006 12658 11780 17271 8771 2269
"200785_s_at" 8369 13019 8949 13860 4095 11605 318
"200786_at" 4785 16014 16998 7791 17026 18198 6317
"200787_s_at" 1005 19090 6670 19205 20323 19576 20987
"200788_s_at" 4509 2938 4402 5964 4091 2253 16028
"200789_at" 1725 4481 15966 6473 19542 16491 3077
"200790_at" 6131 3323 16263 1507 3237 4912 17965
"200791_s_at" 18021 5162 17780 7749 12841 18615 7098
"200792_at" 6169 3988 16331 18062 3688 15283 4972
"200793_s_at" 4048 997 18991 8718 15191 17290 16496
"200794_x_at" 16497 20196 16587 4930 14314 4445 19263
"200795_at" 11579 10241 13112 21754 12599 8206 7814
"200796_s_at" 13576 9430 17661 10316 6616 13083 9437
"200797_s_at" 14612 13904 5408 2960 15099 2677 20762
"200798_x_at" 20711 19877 19241 8929 19908 3724 18364
"200799_at" 16255 16189 4379 6233 4672 5063 15211
"200800_s_at" 816 1584 1793 6432 5233 686 17229
"200801_x_at" 5108 3581 10663 18596 4393 15528 4287
"200802_at" 4187 17746 18295 8738 13430 17879 3827
"200803_s_at" 16832 16389 17991 5862 16657 16771 21358
"200804_at" 3880 17417 15250 17039 15726 16709 4661
"200805_at" 10483 21331 18137 4811 4066 16210 16444
"200806_s_at" 19521 18070 20214 3081 18991 20716 16122
"200807_s_at" 4563 5186 6390 6363 5197 4438 15895
"200808_s_at" 3930 15446 20856 3221 19675 3798 17514
"200809_x_at" 2968 14566 15736 18264 4677 16752 3849
"200810_s_at" 13967 13631 3986 16807 13227 4873 18237
"200811_at" 129 14581 18399 20179 16482 5763 3318
"200812_at" 14309 14816 16856 9029 3735 17451 6877
"200813_s_at" 19660 18995 2842 19536 21036 2838 21766
"200814_at" 14216 13281 18183 5387 2754 15333 6419
"200815_s_at" 5666 1383 16118 6100 1496 4288 6875
"200816_s_at" 15137 12608 16780 6173 17209 5581 14801
"200817_x_at" 9501 8469 10702 17106 13378 16562 3403
"200818_at" 5663 13910 5015 5243 14410 3359 6981
"200819_s_at" 4566 3745 6226 16645 4993 5918 5861
"200820_at" 20220 17175 16666 8953 14112 20544 4807
"200821_at" 21130 17820 2090 7375 17346 3136 21227
"200822_x_at" 14791 4653 15008 19006 13914 18577 2147
"200823_x_at" 17715 3501 15376 7884 18450 21073 3155
"200824_at" 19429 19222 7693 9417 18143 7490 5529
"200825_s_at" 3576 3850 15572 7018 4867 18535 2837
"200826_at" 14130 4967 17021 6554 14773 16518 14957
"200827_at" 6296 3562 16786 3904 2298 15683 15893
"200828_s_at" 19028 19287 20414 3452 18522 21020 4962
"200829_x_at" 16549 15816 15139 3590 14101 2731 18375
"200830_at" 5700 4382 6713 2431 15537 3760 16048
"200831_s_at" 726 2992 21260 8361 20340 18792 5522
"200832_s_at" 5463 12972 6174 4980 2446 1457 20349
"200833_s_at" 17588 13507 17908 5687 15840 1321 21124
"200834_s_at" 9681 8664 10894 7209 5344 3124 15339
"200835_s_at" 14691 15167 2414 4438 19431 403 6743
"200836_s_at" 3110 13783 5114 18817 21271 21992 4645
"200837_at" 3176 14981 17930 19916 5345 5429 5809
"200838_at" 14892 19645 17937 16930 15448 19582 14786
"200839_s_at" 3850 17058 6116 17624 4708 15337 18573
"200840_at" 14555 14938 3794 7467 4380 2798 20031
"200841_s_at" 16195 13820 17893 17702 21889 18442 20776
"200842_s_at" 1391 4215 15527 6349 2411 2628 19128
"200843_s_at" 6279 12682 7081 4857 2733 1600 19601
"200844_s_at" 14142 13356 15507 18003 13733 4286 15593
"200845_s_at" 16527 15543 6476 6298 14492 4938 18472
"200846_s_at" 1529 2796 18738 4803 14827 18534 17176
"200847_s_at" 16706 18115 15538 7444 3079 1993 17907
"200848_at" 21302 20223 18406 18054 18527 18234 4322
"200849_s_at" 13739 4774 4391 3068 14302 3067 20046
"200850_s_at" 17954 4549 14823 3016 16627 3532 16604
"200851_s_at" 18643 21252 5255 6674 18074 4111 18021
"200852_x_at" 5447 4405 21004 8569 17396 20864 6971
"200853_at" 15244 20311 16977 16685 17604 17510 17205
"200854_at" 18962 20305 17031 17895 18113 18540 16646
"200855_at" 2899 2561 21596 73 16624 21670 3954
"200856_x_at" 17352 15329 5462 20171 16608 5773 21516
"200857_s_at" 3050 4631 20980 18415 18856 17141 21456
"200858_s_at" 2427 4422 3842 5997 17437 2671 15792
"200859_x_at" 17599 22112 21156 19541 18375 18787 15205
"200860_s_at" 18745 16156 7141 6941 15828 20441 4717
"200861_at" 17461 5190 5938 8201 12949 5009 3872
"200862_at" 4605 2066 6491 7431 3606 19963 14833
"200863_s_at" 17820 13184 6538 18334 3946 17836 15664
"200864_s_at" 19880 13096 17378 17326 17137 18020 18132
"200865_at" 10274 3811 10042 14280 7613 14837 12124
"200866_s_at" 16811 16851 21768 3624 20471 21450 15393
"200867_at" 1334 16961 6541 5381 14711 2600 5670
"200868_s_at" 4793 2924 18297 3219 16480 18841 5610
"200869_at" 18512 19939 18474 6228 15568 20496 7177
"200870_at" 16262 14026 15604 4909 13710 2734 18002
"200871_s_at" 1126 14034 7258 8916 15068 15440 20086
"200872_at" 5557 13573 15904 19467 12895 15959 3642
"200873_s_at" 16369 15299 4966 7200 4318 2617 14738
"200874_s_at" 3746 2439 2307 4507 20819 5153 4066
"200875_s_at" 1219 2333 1603 3405 1951 950 4376
"200876_s_at" 13841 3555 14934 5963 16199 3699 18977
"200877_at" 4701 15731 6749 8310 14520 5447 6861
"200878_at" 16589 14155 5310 20349 3834 19485 5146
"200879_s_at" 7032 8864 12789 9776 12609 10145 11128
"200880_at" 14459 13406 5232 2800 15130 2812 21211
"200881_s_at" 5008 16539 15126 4381 16823 5279 18244
"200882_s_at" 1919 4873 5336 9227 2794 2099 16846
"200883_at" 15442 17597 19617 3636 18509 17901 7158
"200884_at" 4125 1853 4280 17764 16988 2398 5374
"200885_at" 18928 22023 21659 3553 18207 22096 20439
"200886_s_at" 17175 20119 6816 17061 4695 17991 6847
"200887_s_at" 17806 4648 16378 5456 15367 5412 17509
"200888_s_at" 4426 15647 15912 17409 3322 4997 14717
"200889_s_at" 15832 19740 7013 8773 16193 16146 15910
"200890_s_at" 17465 13597 5208 18202 19666 15761 3310
"200891_s_at" 16403 18174 5872 5616 17115 1119 21519
"200892_s_at" 17876 19079 16773 4746 17758 16598 19540
"200893_at" 17891 15723 6833 4523 14465 3749 20091
"200894_s_at" 15768 1141 19497 9245 18289 20835 5179
