"inst_224" "inst_384" "inst_390" "inst_447" "inst_849" "inst_966" "inst_991" "inst_1049" "inst_1152" "inst_1211" "inst_1548" "inst_1636" "inst_2671" "inst_3165" "inst_4435" "inst_5208" "inst_5571" "inst_5767" "inst_6170" "inst_6243" "inst_6931" "inst_6971"
"200007_at" 7903 9664 3575 12835 7953 14553 4683 15422 4526 19101 6817 3397 11448 7068 15721 4811 13502 11213 6004 14721 14640 13133
"200008_s_at" 13870 2958 1821 13362 7454 3343 5042 15546 15971 7311 5553 22170 13202 13782 18598 3934 12100 15152 6488 13777 20196 15986
"200009_at" 14716 3464 3652 15751 8399 3773 15492 14916 14940 6747 6816 16155 13083 7152 12181 14963 12384 12380 7634 14709 14306 15600
"200010_at" 5023 9885 19548 13308 19883 13370 14871 1561 14956 6341 6910 15518 6725 6184 4833 4702 3628 13508 16206 12106 13137 12274
"200011_s_at" 8016 13440 14601 19220 8583 16954 16177 16499 15391 6161 18657 13843 16722 16881 4063 17077 14777 17684 4636 17553 14193 18051
"200012_x_at" 8832 1761 4528 3653 20215 2336 8155 1829 15171 16550 17659 13804 6689 6065 4549 14451 3508 3814 19842 1690 2665 1931
"200013_at" 6165 2660 16337 14946 8808 14557 3321 1323 14955 7488 19775 4040 12294 14149 5703 13885 3792 12656 14373 13173 13285 12705
"200014_s_at" 5348 10252 15737 17704 6516 3421 3231 13624 5219 5716 4146 3922 13040 6507 3660 2527 3419 14558 7626 15674 2806 12227
"200015_s_at" 5847 13772 2652 1543 5824 14076 3866 18008 17657 4735 3941 1770 14876 16370 14580 14581 11810 15401 7408 18754 13302 14552
"200016_x_at" 3824 11116 5039 13675 20540 2992 4312 14236 14967 16289 4097 3892 6665 7071 13565 5622 4300 11097 16147 14913 12611 1832
"200017_at" 5786 1894 3040 4813 14088 13704 8715 2166 15723 6559 3471 3522 6814 8598 7875 9018 6427 12901 16291 12485 3488 12546
"200018_at" 7933 2293 4397 15449 20591 14503 14368 14278 15142 7083 3079 13801 6803 14026 7862 5732 6415 4836 16284 13583 13479 12327
"200019_s_at" 7319 10060 2984 17641 20101 2437 3533 1518 4429 5468 6017 3964 6774 13282 4602 4536 10839 2994 16263 13647 12737 2317
"200020_at" 20060 3157 15639 5763 8252 15195 19912 17697 19205 20204 21881 1606 15441 15612 15157 16073 12944 13387 10003 17198 15384 17129
"200021_at" 8721 13178 1349 12704 20743 13348 15963 601 15641 2896 2993 4164 6908 8633 7965 15218 6571 11094 16373 6625 3465 1576
"200022_at" 14446 3012 12549 12899 13526 2885 4435 14288 5456 5745 7121 15172 6739 6464 12857 6360 3594 11683 16219 12509 3490 2440
"200023_s_at" 17059 1632 4469 15564 6493 14160 4775 13713 15487 15844 4231 2995 4968 13661 15108 5421 13427 13233 8872 18977 15322 12886
"200024_at" 16894 642 1980 3617 9775 2698 15398 17146 14893 7139 6283 14254 6777 13607 13867 14525 3859 3217 16265 13254 3390 2358
"200025_s_at" 8934 10204 13171 14708 10388 3491 14403 1750 5314 6057 6054 3342 6801 6577 12692 5098 12767 5318 16283 13978 12604 11786
"200026_at" 4919 14548 13239 13078 20475 13319 3113 16212 15456 7331 4554 4021 6910 16468 7970 4730 6579 11180 16377 13940 12855 2292
"200027_at" 7447 13487 15425 16363 5852 3962 4016 15274 17702 6044 20171 3760 16685 5466 16669 5486 12752 14873 13178 18807 2988 15329
"200028_s_at" 17391 14784 16661 3710 10556 13567 15952 17729 17600 6697 18287 3441 16365 6959 17047 4419 14243 12609 11078 19626 15709 17284
"200029_at" 2908 1331 3748 14634 20342 2943 3718 872 5747 16994 5775 2773 6765 5600 13373 4716 3302 4586 16250 13926 13168 1964
"200030_s_at" 8157 3283 4247 13929 9654 3609 4213 14321 4535 7539 18678 14653 12030 6854 12616 2960 11065 12271 11166 12949 14219 12915
"200031_s_at" 8424 10173 3696 14661 14077 3398 8189 2068 15078 7082 17243 15044 6794 8594 7855 14780 6404 6898 16279 2367 1830 1722
"200032_s_at" 13848 3381 14789 13200 13887 13933 8217 13724 15147 4622 4671 3526 6817 8599 7879 6048 6429 11791 16295 3033 3269 2230
"200033_at" 7432 12497 3923 15026 19774 16062 16025 17874 16948 4576 19648 14974 11623 16174 13328 14070 11296 13163 11444 19139 15630 16384
"200034_s_at" 5043 13513 17683 4077 10749 3004 4040 16219 5047 5293 5169 14248 4430 14087 5009 4939 4297 14371 14176 2260 2839 13277
"200035_at" 6015 11038 12818 4489 1760 13891 20504 21585 17255 2590 19838 1514 19652 2967 2632 18651 11836 17025 12953 2317 3467 18518
"200036_s_at" 5454 2469 3634 16443 10377 2578 3629 1491 15544 7462 5423 15727 5208 13288 14857 5511 11668 4628 16198 14838 12947 2276
"200037_s_at" 7637 14156 15493 16249 20553 18032 17058 16928 19581 3398 18127 4323 15458 18745 14713 6392 12679 13621 11824 17632 18210 16605
"200038_s_at" 8127 12329 13085 17394 20307 14408 4140 1049 5406 6842 5566 13878 6891 7189 6239 5401 4410 11212 16355 12204 13245 11710
"200039_s_at" 6384 1992 12985 15534 7798 15872 3647 14704 5739 3361 18403 4508 5070 7255 13004 15346 13110 12575 7035 14109 13659 12464
"200040_at" 5959 11649 14471 17680 6223 16580 4046 17620 17227 6917 3688 16496 13677 14825 14582 15018 17474 18226 7475 19156 16652 19359
"200041_s_at" 15925 3355 16934 16485 8990 16423 15172 16710 5750 15662 19478 3677 15700 13130 5388 14666 14798 16522 8593 14529 15017 15587
"200042_at" 19326 19063 14094 20130 4486 17214 4914 17673 15737 5918 18890 3582 16614 16223 3957 17067 14310 12213 10824 16535 14529 13379
"200043_at" 7326 3014 14315 4036 10524 2530 14740 14377 18905 6920 6202 16012 15601 15432 15972 6231 11026 16247 12154 14480 13956 13792
"200044_at" 6565 15061 3713 13636 7783 14012 18050 17637 17695 16076 6038 16488 4037 16773 18537 15851 13919 15532 2978 17253 16216 15090
"200045_at" 3833 12108 19916 16764 2739 13478 4227 16141 17976 17040 20845 3982 19710 3958 13874 6309 11407 16370 13681 14723 13812 15024
"200046_at" 5823 2204 3249 14786 5406 18635 16088 14190 18109 17333 18379 17235 12422 13606 15247 6004 13106 17134 6766 16879 13687 13510
"200047_s_at" 7109 20281 17794 19516 19953 15396 18288 18438 15169 18538 18385 2612 5000 15196 17863 16528 14900 11601 10084 21410 18726 17981
"200048_s_at" 8148 10882 3320 12482 8368 14716 15089 14599 17558 6038 18192 4355 13375 13743 13801 5014 4002 15852 6610 17252 13633 12876
"200049_at" 8461 20131 15952 3997 4594 17603 16230 607 5042 20582 4760 16193 15955 4324 16856 17749 19851 15731 2222 12616 19781 20112
"200050_at" 4310 12535 15435 14133 1142 17732 19212 17252 20103 2428 19871 3614 14279 4458 5010 15675 4050 2601 12931 19243 17170 17344
"200051_at" 19378 17355 16694 18911 8699 18036 3140 18679 20152 4705 5513 2725 13728 16315 14427 17622 12793 15412 13395 12124 13122 18206
"200052_s_at" 8083 14927 15333 14531 7486 16196 15259 13754 17317 6273 20972 18985 14501 16711 4823 4258 14526 20076 10005 20002 17921 15439
"200053_at" 15928 11500 17871 12796 4641 21247 17053 14672 19082 2275 6343 20302 5195 14429 5447 5599 17653 13737 9189 12827 21621 2430
"200054_at" 2951 1961 17076 2253 758 16164 15452 16968 19334 6301 19094 3314 13483 14120 4919 17923 16447 12102 2608 3338 16862 18252
"200055_at" 16417 10591 3671 13950 6363 19810 17598 15642 3533 7657 3995 1697 4206 14355 16580 16524 11514 11829 6921 17101 15477 13986
"200056_s_at" 3335 20964 20865 15728 9693 2080 18635 21499 5266 5359 3032 18761 3827 16036 17194 5541 13282 12891 4680 20677 21201 20334
"200057_s_at" 15272 3347 14286 12856 9534 3657 14802 14481 3840 17359 3423 2990 12602 6378 6051 5290 11452 5375 10914 13532 13499 13299
"200058_s_at" 7170 14992 16195 17512 5587 14349 16927 14895 5489 19096 18018 3318 12683 5973 3738 6151 13559 18112 8274 12074 13791 16931
"200059_s_at" 1723 13016 14106 5354 19849 14322 4026 16589 4376 6604 6818 20129 4570 13374 16400 3354 11101 4147 12180 15932 15987 15218
"200060_s_at" 13939 19359 16809 18105 10236 18660 14616 17096 16864 19296 18294 4514 16831 17656 12487 17276 13581 18206 10304 17857 18008 18403
"200061_s_at" 14305 9658 4078 5217 14145 2732 8582 1553 15296 17178 19206 3588 6792 8593 7854 14685 6401 6897 16277 2113 3076 1872
"200062_s_at" 16172 10246 3654 12764 14039 13379 8249 1999 4914 15983 5563 3945 6709 8559 7763 8798 6279 6864 16194 6272 12525 1919
"200063_s_at" 5093 14375 14402 16717 14086 2677 8281 1517 15602 16228 3905 2032 6845 8611 7902 14405 6471 11481 16312 2496 13449 12091
"200064_at" 18442 2148 16613 5409 8963 3457 16872 14743 15144 6425 21925 16996 11901 6672 4800 15873 11727 14073 13808 13644 15159 13254
"200065_s_at" 16380 11767 4515 4222 8072 13627 15822 15109 15823 7258 18936 14025 14948 13573 5540 3702 14124 12416 9128 16882 13447 14514
"200066_at" 3236 10760 4345 17888 6860 15403 14541 14787 14867 19136 6063 18612 3534 16287 1496 3558 4524 15838 7265 12407 12800 12515
"200067_x_at" 5038 12586 3511 16700 8274 14462 3622 14882 5748 17941 5712 15582 11411 6745 14731 4865 12996 12377 6328 16994 14174 14857
"200068_s_at" 8594 10980 14782 16997 8688 3670 16576 14825 4895 18576 20255 3092 12884 5312 15927 14756 12069 17061 8430 13220 3283 13124
"200069_at" 5347 17096 16895 21882 4020 15461 1911 15094 17643 15875 19773 2819 13080 15232 6014 2055 16315 15751 3623 14534 1530 1259
"200070_at" 17210 11283 20039 19885 10521 21529 18105 15439 16893 16430 19816 16062 13961 19153 14423 21114 22068 19318 4410 18915 15670 15753
"200071_at" 14083 15168 19596 18944 4674 17726 16550 20461 19665 17657 4981 2636 12379 13141 14144 2196 12687 16807 4933 20390 2195 13654
"200072_s_at" 17056 13808 16162 15571 6606 15235 16314 13917 16672 16089 19977 14827 14492 6591 4762 4724 13097 12843 8944 13523 13036 14241
"200073_s_at" 5858 18828 17572 5669 10121 14570 14564 14872 18283 4456 17779 16798 14545 16106 5684 15169 13121 14653 11977 17834 15671 14686
"200074_s_at" 13891 2292 15212 4863 5958 2507 14268 14395 4554 4341 4307 15347 12082 13962 11812 4816 4546 13643 14156 13827 15487 12511
"200075_s_at" 15900 2483 4470 15263 2917 16742 14294 19419 17406 4009 5537 17001 15459 15048 5093 14932 15165 11999 8656 19455 16220 19470
"200076_s_at" 13882 11181 17285 13218 5001 16735 15787 17148 5250 4945 5684 14289 15607 14778 14026 14180 17384 17530 8614 15164 15167 15378
"200077_s_at" 8130 13094 3352 13670 20225 3663 5118 1868 15701 16334 6760 4071 4527 13855 12088 14179 11587 11565 14291 13367 13158 12259
"200078_s_at" 15783 13202 13054 16981 5646 19457 18584 16309 17592 4867 19228 15136 14198 4804 14891 14673 13722 4859 7113 16797 14236 17682
"200079_s_at" 7363 11046 14247 17650 7263 3487 3105 1734 18194 3566 17412 15453 16446 5952 5521 3918 3808 11778 8122 17282 3244 11914
"200080_s_at" 3239 10875 13447 20745 19855 16351 3432 16365 15589 4300 2233 15571 4658 15121 15270 3083 4505 13110 14075 2314 15524 14035
"200081_s_at" 6370 2381 4278 14454 9626 2432 3795 13671 4968 3812 7030 15544 3420 6540 11693 5591 4324 4336 12794 2784 12809 2734
"200082_s_at" 7712 2532 14145 14336 10474 3290 5161 1947 5015 6303 18765 16874 6836 7242 7893 4078 3933 3873 16303 12221 12630 2273
"200083_at" 14955 18992 13716 14283 9671 21005 20144 21046 16411 19212 5434 2411 12909 19953 13968 15656 18358 18343 5078 17031 15561 18163
"200084_at" 8451 13077 13102 20273 9807 16487 14646 16360 5156 15795 18046 19356 14063 13140 17084 4895 14116 12921 7402 18050 14191 15883
"200085_s_at" 15411 1756 2873 5302 7720 3225 14571 1752 5524 15986 19674 3418 4618 12710 5813 4406 15502 13172 9685 14114 3249 12439
"200086_s_at" 3726 3031 14340 5503 8816 3614 17337 14703 4528 6171 18235 4010 12362 14406 15608 6162 4593 16974 7778 17887 13097 13261
"200087_s_at" 5901 15569 13614 19456 10028 3437 14457 16507 19193 2568 18629 14221 16440 17451 11756 15487 13456 12790 9817 13714 14970 17869
"200088_x_at" 17041 2496 13494 3291 13807 7598 8691 2246 4509 7559 17250 4196 6719 8563 7773 16124 6292 3518 16202 3194 12762 1871
"200089_s_at" 4957 11240 3815 13988 9484 15111 4909 1538 5587 4756 3584 3403 6872 6538 13378 5329 4313 13802 16336 13966 12600 12019
"200090_at" 15868 12317 15289 5467 5789 14256 18307 14986 3889 16741 5748 4481 17284 17250 12671 3565 13368 4290 7664 20948 16223 18407
"200091_s_at" 4362 13837 4718 13152 9765 14783 2920 14847 16355 3363 2185 14701 3993 13213 14057 5803 12350 4982 20403 13685 13428 13005
"200092_s_at" 8480 14540 4632 4449 20141 1871 8561 524 3881 17556 5044 3809 6850 6878 12171 14718 6482 12633 16317 3418 12602 2499
"200093_s_at" 3850 3434 17899 14954 8760 14048 2724 15055 17025 4023 2518 2311 13272 7174 12081 15200 4544 13490 8010 15842 13835 14292
"200094_s_at" 20228 10967 12492 15170 10611 14816 1827 654 4995 6096 3568 3714 11477 13040 5524 15296 3424 11711 12584 13520 13928 12942
"200095_x_at" 15176 2018 5090 4267 19779 13887 8482 2004 15855 16648 5623 3957 6899 8630 7953 15167 6555 5265 16363 3414 3312 2453
"200096_s_at" 5531 11360 17833 16475 6022 1150 17671 15052 18372 15926 4035 19486 15278 7132 14192 13959 12983 20667 9880 15778 17223 15217
"200097_s_at" 6399 12898 14091 14847 20425 19716 16218 18571 17764 7160 19194 13979 13712 15607 17336 14277 4334 11285 9519 15871 12462 16513
"200098_s_at" 8269 12366 15660 19514 7967 18667 16022 17798 19033 6914 6297 14233 15553 13529 13690 15105 14737 15287 9524 17659 16244 15859
"200099_s_at" 8679 10187 12568 5868 13464 13553 8498 1542 5607 6343 3453 4598 6851 8614 7912 9130 6486 3766 16319 3294 12828 2113
"200593_s_at" 19814 16667 14803 16565 8176 18262 4013 18380 19252 16120 19859 17476 19961 19282 17417 19362 12409 4835 20667 12606 17868 16720
"200594_x_at" 6560 11929 18039 13102 10646 14666 14431 14205 19314 7371 19526 4648 16945 7206 12833 18216 14759 16905 11007 14561 15914 16017
"200595_s_at" 15439 14309 12488 17949 4206 15702 14634 17296 19373 6704 5391 3857 16725 15439 15259 16373 17718 15022 9027 16131 17706 17175
"200596_s_at" 18512 11877 17177 5715 8052 13776 16839 15661 19909 7424 20152 2444 16613 13207 4472 17588 11151 11533 14114 13627 15140 18037
"200597_at" 13975 18545 18181 13185 7587 21404 17771 21406 19579 19391 19663 4362 19655 17705 3979 21669 19833 20962 7842 3017 20946 15607
"200598_s_at" 20225 3130 3536 3092 9872 16038 4660 18422 18201 4029 17669 16880 14807 6288 16890 15127 12885 12177 11445 16435 15947 14798
"200599_s_at" 7359 3155 18563 16314 10301 16862 4560 13587 16930 1601 6490 4253 3539 4772 15070 17517 15883 4144 8680 14396 14168 15251
"200600_at" 11528 4534 14209 17853 12318 6020 13903 4503 4562 17473 6801 9109 11493 19849 14661 7515 9071 19356 8425 11794 11017 10195
"200601_at" 5793 20818 17281 19233 8215 20996 18847 18904 5802 705 3197 17909 13190 2387 20805 18023 11038 5134 1860 17222 15559 19040
"200602_at" 3849 13749 1241 20387 2226 17079 14900 606 17234 16448 4464 15771 13628 16780 14175 17114 20801 17536 12850 13894 14118 16836
"200603_at" 6289 17920 12994 20581 20551 17206 16584 16261 4937 2050 4552 16535 11882 18942 17526 4883 15581 15335 3941 19478 19238 19669
"200604_s_at" 17911 14274 622 12681 10570 14736 16801 16980 4510 3831 4968 20574 4552 18077 18274 14295 12625 12277 2242 15121 15642 18213
"200605_s_at" 14265 18257 12538 15413 9365 13342 15731 18195 1369 17257 6509 21320 2517 16258 19804 14762 13925 15837 2060 19845 17704 18691
"200606_at" 14869 16418 19577 18467 20988 19430 18218 20357 7663 18854 12537 20087 15142 18258 19240 19629 18877 20063 20893 20816 21406 20848
"200607_s_at" 17319 10758 14437 16627 6611 14869 1958 16202 3721 6946 18517 21024 15228 12937 6208 13827 2596 11111 11348 19250 17241 12926
"200608_s_at" 5262 15181 15823 19600 10482 14538 3667 14653 5650 5332 1223 16116 14755 15204 16292 13990 13724 17681 9147 16714 16967 17341
"200609_s_at" 3738 10539 3532 5397 20231 14278 16315 19110 17913 17313 19266 17185 14548 7166 12219 15108 18146 18401 4458 21211 16738 17691
"200610_s_at" 7968 13801 18933 17478 10128 14370 3675 13592 20739 3960 22102 2149 15287 5153 14641 15659 12472 15181 11801 13618 17065 12417
"200611_s_at" 7984 13104 3842 5162 6626 15588 16553 17444 4311 5616 6462 16784 14104 7110 5626 14936 13840 13219 5353 20098 14777 15885
"200612_s_at" 1018 15757 14399 2713 998 312 15921 17304 17031 16999 21534 18268 11288 19238 14650 21080 17164 22124 7502 675 2609 15321
"200613_at" 15123 3378 4665 13368 8081 14211 15026 13850 15320 3905 5703 16581 13563 14520 5815 14548 13025 11951 9208 15484 14087 12796
"200614_at" 16428 12009 13156 4319 20529 14282 15125 2064 3903 7209 17588 15252 11721 12884 12450 14470 15071 5262 6326 14375 13016 13477
"200615_s_at" 8093 15704 16882 3296 3134 14590 4070 16571 19351 18327 19730 15180 13074 12845 16543 3528 14660 19522 9491 13071 14616 13396
"200616_s_at" 19649 13511 18953 1920 2655 2642 3356 1793 18915 6610 21455 358 16898 5093 2919 5650 1384 14595 12863 15145 2440 11661
"200617_at" 20304 10831 15424 5860 922 928 1520 933 19361 18752 20494 439 20952 13181 15909 4374 2724 13839 20341 1317 1894 2572
"200618_at" 2220 2649 1153 16107 2436 896 1522 634 1016 18532 575 406 576 1444 4438 547 626 17789 791 898 802 2683
"200619_at" 17166 2592 1243 3407 4770 19730 17584 15838 1990 5291 18426 17208 17208 14846 11896 5975 17972 3738 9919 18451 18526 18230
"200620_at" 4648 1656 682 17324 7429 15812 18405 14103 4081 4273 2178 16536 4125 15223 12929 5879 4054 4485 6341 20310 2808 13548
"200621_at" 8778 12088 4745 15404 4748 14930 16612 14634 1824 4505 3540 17213 3569 6889 18162 17440 15035 11679 7840 15696 13904 12608
"200622_x_at" 15557 14766 16924 4106 3123 18628 2688 18288 4095 4832 3307 17870 16621 12737 4383 5033 12246 20295 9340 19792 13974 16429
"200623_s_at" 18912 15197 5146 3376 2594 18467 21462 15862 16639 17166 21210 1814 16861 18800 13947 18714 21333 17885 14000 14223 18208 13287
"200624_s_at" 5217 803 15038 13122 8951 15672 3787 1865 17783 5019 19318 21095 15974 13001 21127 2279 14570 3621 9719 19655 15158 16086
"200625_s_at" 6322 11749 14186 1229 4911 3814 17644 18029 17984 1343 4301 3259 13991 13551 17878 4158 17390 13567 10873 16173 13398 16013
"200626_s_at" 18634 3253 17624 17644 20681 17897 17473 15285 18621 3947 6430 16265 14635 17533 19513 2088 18114 3305 6382 17018 13487 14967
"200627_at" 7449 11621 2874 13796 19974 13642 5213 14860 16406 4800 17326 16557 12927 14061 13154 6295 11912 12460 14072 3395 14182 12559
"200628_s_at" 4781 969 1704 1195 6041 2520 3619 20672 1374 2935 4021 21490 2139 2796 4644 2330 11607 4377 5051 16826 17944 14520
"200629_at" 5357 9979 4897 16017 5854 13692 19594 14897 747 18275 3171 4484 4438 4229 16875 19612 3896 11914 1926 13833 13089 13373
"200630_x_at" 18613 10323 5180 20036 20262 3527 4426 15683 18900 7208 18970 1626 11584 6301 12021 14555 11645 13312 11954 14724 13221 12360
"200631_s_at" 15464 12214 16285 19334 8823 2137 16272 14260 18798 18514 20402 2727 15635 13977 13122 15486 13324 12589 9866 16447 2848 14011
"200632_s_at" 1499 17878 231 14745 440 19454 2166 797 189 18012 255 116 298 3051 5590 6189 13205 11495 200 13436 21980 1629
"200633_at" 16208 11787 3534 15679 14025 14298 4766 2248 4240 17640 5369 14519 6790 7191 7853 5729 4391 6896 13697 13430 3195 11788
"200634_at" 2630 10152 1661 5892 8965 13983 4099 14203 15684 3930 17807 3866 11759 12688 13268 14937 11877 12201 9886 12987 3185 14521
"200635_s_at" 17642 10754 15449 18586 927 20742 21595 14267 8449 20896 3044 14626 8239 13965 12371 18847 13232 13885 15883 20197 15251 20755
"200636_s_at" 7990 11648 2377 5611 6404 17809 16268 20530 9245 17278 10134 1634 884 18878 20699 19963 21303 15631 726 20666 17561 20566
"200637_s_at" 20266 9726 5630 14663 1527 16401 15634 20922 9078 20493 9638 21917 6499 13986 16330 15132 3178 15991 16294 16912 15371 21485
"200638_s_at" 5222 9641 3245 13927 19805 15950 4615 14421 4915 5662 4375 19856 4050 15376 12163 6179 14277 11551 5716 17453 14775 15770
"200639_s_at" 4071 11793 3518 3233 10569 3922 2910 1297 16387 7752 5372 15027 14325 15728 19306 15392 12965 18248 6779 16043 16001 20212
"200640_at" 7339 2624 12500 4188 10748 3837 16543 14369 5190 17709 5923 14955 11826 6197 14880 17263 13779 16638 6799 13021 12856 13741
"200641_s_at" 13909 2444 2869 4184 19727 14166 4715 17401 3600 6721 19660 22194 11537 14606 15465 4520 13539 3485 8903 18292 17167 12160
"200642_at" 7988 2269 15345 4926 7828 3598 14939 14098 17867 16421 19104 14370 16240 12768 5887 14014 13154 11255 12098 16106 13118 12863
"200643_at" 6164 9855 3135 5628 5509 3474 5024 18167 15999 18803 18304 2377 18179 18937 12783 20949 20592 14695 9219 12041 19371 20599
"200644_at" 7926 15455 66 16772 6906 15562 15403 17087 542 1469 1738 2392 496 17063 18068 6298 15928 19312 382 14873 15600 15244
"200645_at" 14959 11399 12490 15022 7823 14315 3739 15610 17260 16826 3270 14115 11954 14215 15749 2726 4315 15445 5081 15950 13006 12192
"200646_s_at" 15999 618 629 20489 1109 21807 2151 728 18722 21998 15763 21726 12564 19588 12506 858 16442 13943 19939 2883 1299 2003
"200647_x_at" 7120 1164 14974 12987 9080 3862 3817 944 15724 7703 19131 1259 15934 4861 12663 4273 12353 12650 11656 18774 12544 2624
"200648_s_at" 911 137 1447 18244 3880 1967 887 292 18578 18648 3133 18683 1675 16628 12209 795 1303 4460 13632 2176 12645 1310
"200649_at" 16383 10067 18888 3533 5344 17554 20549 19271 2246 21206 1411 209 17379 4669 3643 21264 11564 21060 9286 12785 2687 19084
"200650_s_at" 8775 10884 19078 5055 21090 15967 15083 14541 18382 16677 18147 15225 6681 15602 7727 14804 12281 6853 16163 16217 14366 12754
"200651_at" 14875 1664 3818 4721 20572 3490 14458 1970 5163 16287 6523 15553 6887 6987 11779 14141 4128 5235 16347 2741 13015 11878
"200652_at" 15547 13232 13344 19026 8829 16345 18794 18815 4257 4080 4575 18539 5091 16130 13359 2653 15467 16045 1963 18865 18213 14544
"200653_s_at" 4502 17204 17785 17284 9941 3911 15759 13977 21150 16262 19850 877 14956 13117 16704 5846 18795 18885 20599 15868 18676 16030
"200654_at" 8206 14046 12482 13052 8341 13457 15697 15249 18744 6714 19661 3915 14429 5738 5699 15139 15389 15778 11596 14565 13018 15342
"200655_s_at" 6770 11614 16127 13337 6733 2177 3551 1838 20200 16823 20422 3763 17838 13732 15402 14585 11684 16273 13954 3233 13525 11781
"200656_s_at" 3983 15538 12604 5723 4277 16748 5148 18528 16403 3371 20116 20628 15818 13064 11917 4555 12309 18681 9302 20276 13360 13378
"200657_at" 8854 2451 12530 12824 19870 2744 3959 2137 15107 6970 18716 13997 4840 5984 15261 3757 4400 3818 11568 12946 3346 12333
"200658_s_at" 8522 3083 18893 13658 4537 14141 3077 14580 19422 2139 21806 17694 16930 6802 12654 5319 12845 13157 12135 14206 14253 14021
