"inst_122" "inst_403" "inst_702" "inst_762" "inst_990" "inst_1048" "inst_1151" "inst_1210" "inst_1635" "inst_2670" "inst_4434" "inst_5207" "inst_5570" "inst_6169" "inst_6930" "inst_6970"
"200028_s_at" 20162 16285 2314 2277 12722 18080 19411 13783 3852 13758 13807 11928 15636 11915 4592 16388
"200029_at" 14937 13734 6261 13801 13624 606 3406 17889 16013 8786 14248 3235 11591 5148 14295 14046
"200030_s_at" 17135 13836 6632 14049 13030 15425 14935 4389 5629 5932 5636 3327 12149 10799 14147 12531
"200031_s_at" 4801 6992 5135 2629 6787 1752 4843 5235 15877 8810 7624 12711 6413 5184 14006 12580
"200032_s_at" 19694 13014 4429 14277 6433 1358 15774 4203 4266 8829 7645 3632 6439 5206 14666 1719
"200033_at" 15403 13362 3149 17127 13760 15209 4414 14124 4736 15384 5381 13052 12062 11235 15502 3160
"200034_s_at" 17056 14250 17026 16181 2581 911 4160 4954 3783 16340 4851 4129 3437 11120 16424 12330
"200035_at" 19788 19160 17775 17930 19278 16336 16194 2936 4983 14461 16837 4000 13714 20696 3433 17814
"200036_s_at" 2147 5634 6662 15870 13851 2645 14820 15363 15078 13542 14490 15138 12381 10640 4861 13242
"200037_s_at" 16320 15756 3818 20443 3098 14753 15457 3067 16509 16966 11689 2382 11771 10216 17033 14676
"200038_s_at" 17414 17304 7075 4655 2432 13929 4432 4711 5317 8896 13884 4086 4342 5284 15047 13964
"200039_s_at" 4683 6044 19469 16659 15754 14610 4897 3556 15107 4980 5165 16019 10881 12822 4729 2647
"200040_at" 18745 12839 17417 15931 19161 17634 17958 3974 2452 14202 5550 4201 14898 12857 15281 17611
"200041_s_at" 20167 15524 17044 15304 15863 19013 3745 4439 3757 14425 12351 13083 10702 11446 2979 3198
"200042_at" 17775 13944 969 15142 17126 15732 14898 16405 15988 14689 11813 18627 13926 19772 14791 17561
"200043_at" 17585 19947 5531 14830 14936 2104 18405 17348 18511 17701 4411 14214 16374 20421 17352 15007
"200044_at" 15292 17176 4177 14563 17636 19105 18773 18914 15844 18492 15518 16794 13984 14116 15795 3052
"200045_at" 4311 3165 6617 14172 16896 14877 17392 17502 15839 13453 5926 4140 13840 13192 4621 15204
"200046_at" 15303 16193 4411 17563 19453 18088 16145 18799 17318 17638 14875 14166 4485 13921 18610 16146
"200047_s_at" 3393 19290 1385 14933 17970 14106 1965 17536 2747 15290 18094 12573 15653 11430 18873 19253
"200048_s_at" 4624 13552 6169 16106 13965 15481 5317 15893 16437 16502 14486 15677 13173 10820 4658 14298
"200049_at" 14909 4412 7040 2679 21588 494 4775 4173 17962 19858 5155 19770 12082 16364 15563 19063
"200050_at" 17203 3367 18314 3936 320 1468 19761 15090 2662 20401 16898 14031 3278 3369 17725 14971
"200051_at" 1604 15314 17513 3628 1280 19853 19109 3083 20646 17817 4911 14607 12923 16675 13954 18565
"200052_s_at" 15165 13934 1729 15607 15658 2496 3582 15455 4130 14175 12023 13184 12556 18582 15819 16201
"200053_at" 4215 5995 897 14390 17351 2613 18560 1391 21108 6481 14968 12058 16890 19326 21271 1056
"200054_at" 17697 17262 19938 1872 16903 14093 4730 16659 412 18045 14966 12708 12974 15417 4789 2028
"200055_at" 4408 15705 5166 15243 17277 15900 4874 13956 16384 13759 15286 12874 13516 11914 14762 14856
"200056_s_at" 3951 21692 20063 2035 17262 15133 17010 18800 19804 16108 13711 16110 17472 16692 21343 17102
"200057_s_at" 16788 6728 17408 17310 13977 15829 3983 15174 15652 16276 5630 12293 12568 12529 15264 15401
"200058_s_at" 18437 16929 3732 15732 17554 17804 16045 14183 19214 5389 11601 17310 13479 14043 18047 17336
"200059_s_at" 16282 20209 3886 3222 17138 15191 14966 17129 17666 14082 13060 13771 12525 14671 15888 15053
"200060_s_at" 18362 14809 4452 3759 16978 17881 16870 20415 5213 17974 5677 15136 14510 13601 19926 3154
"200061_s_at" 4794 4878 17754 15255 6656 13924 4881 8284 5144 8808 7623 7111 6410 5182 13935 12592
"200062_s_at" 5334 6505 7118 15941 6765 1248 4750 13520 15939 8737 7532 6920 6282 5077 3995 2009
"200063_s_at" 18777 18542 17089 4220 6505 1874 4399 15276 4307 8857 7670 7209 6471 5231 17305 14108
"200064_at" 17511 4411 7176 2198 12565 2583 2449 16449 4197 14178 3581 15693 14744 15326 14083 3155
"200065_s_at" 16086 14159 4730 16094 14522 17975 3241 13724 3304 7083 11516 12267 11299 12321 4456 13163
"200066_at" 15319 17451 4594 2555 14228 17569 19159 20377 17531 3047 13353 20222 11159 13006 3672 15759
"200067_x_at" 4570 5899 18907 16773 16242 18774 3481 18214 4362 5603 13308 3967 14226 12994 16793 15822
"200068_s_at" 20360 16449 7169 13658 14414 16937 4903 15874 17835 13484 12449 13253 16090 13546 2743 12690
"200069_at" 21664 17186 18623 21503 1224 17188 4351 14145 18188 20453 13167 20038 18132 13669 4751 20626
"200070_at" 18925 21851 957 18686 21630 18638 19426 2808 18285 15998 16303 4261 11278 21778 4018 20742
"200071_at" 18835 17039 17357 16406 15506 17161 19703 18722 2799 16821 17670 13324 19865 16719 20032 14959
"200072_s_at" 18489 14962 5781 2930 15603 15754 16175 16922 17647 13111 13944 16096 17062 16627 3823 14231
"200073_s_at" 21230 19866 2027 3123 12921 1833 16205 15858 19852 19493 13976 17784 14001 12511 15762 18503
"200074_s_at" 5128 15107 5110 13975 13467 14691 2795 13460 5168 12937 15999 14071 4187 3476 16426 13865
"200075_s_at" 14610 6860 5711 4719 16894 19071 4593 3734 19882 18005 12604 15619 13208 19424 15452 16709
"200076_s_at" 4864 5354 6949 14131 15097 1544 20439 3566 4105 4471 14155 19063 17884 19882 4463 14280
"200077_s_at" 18844 12965 6754 14338 12909 18688 16747 14802 17680 16016 13392 15566 10783 9981 15638 14115
"200078_s_at" 3691 14054 19509 13870 17005 18271 15970 14336 3983 12932 15428 15290 11888 13844 3432 15370
"200079_s_at" 15680 4838 17093 18794 15594 1529 5234 5054 2755 4697 5056 3492 12166 13042 3260 13560
"200080_s_at" 18202 21139 4426 2797 14649 2229 5135 4842 15909 14844 13697 2363 13395 3120 18532 13358
"200081_s_at" 14646 6429 5901 3698 2755 14824 2511 3641 5187 4919 16518 17376 14826 10330 4654 2931
"200082_s_at" 14988 5345 5554 16021 12804 1458 3154 14656 3708 8847 7659 3325 3542 5219 3596 2509
"200083_at" 5421 17841 16977 16235 13721 17025 20357 13849 16704 20619 13499 2520 15873 11513 17438 15157
"200084_at" 14794 19757 3334 14251 14056 1975 5232 19265 5105 17162 14748 11988 15968 17041 14480 16649
"200085_s_at" 2214 13509 7115 14271 14517 2182 3167 17739 17763 14846 14522 13196 11699 13902 3212 15745
"200086_s_at" 16719 16050 5762 18358 13148 15751 4439 14886 15689 5024 14321 14191 12459 14776 15405 12801
"200087_s_at" 17423 17707 4825 13474 2887 2132 18091 13777 4009 19241 12208 15585 14017 12393 20487 14083
"200088_x_at" 4937 6125 3464 1513 6458 14282 3613 14287 16448 8746 7543 13123 6295 5085 4779 2396
"200089_s_at" 4681 14373 3468 13716 3070 2291 4166 3436 15018 14650 16101 11889 11210 5263 13944 13142
"200090_at" 15299 20396 5575 17893 18022 18594 4236 19240 21088 14897 5144 12272 16198 19681 18354 14560
"200091_s_at" 16773 18203 1387 1639 1646 1546 16465 2775 16303 16260 12484 12679 3564 5130 17838 14558
"200092_s_at" 4682 6920 4969 4151 6697 966 3654 13836 16397 8862 5629 3869 6482 5237 16142 12684
"200093_s_at" 15068 18600 3426 13597 14920 2476 17369 18288 19739 18989 13626 19904 13519 19985 17378 15297
"200094_s_at" 17949 12699 18094 20980 14635 15116 15528 16090 17281 16951 3144 13447 4379 10044 17496 15341
"200095_x_at" 3779 13557 18401 805 6286 974 15677 4490 15608 8904 7728 12551 6562 5294 4579 3159
"200096_s_at" 18608 16697 3283 3441 21567 1532 1723 17393 18276 15565 16211 13420 19595 17033 18923 13014
"200097_s_at" 19215 15434 4845 16290 12706 14407 19422 4723 3091 16330 11709 12989 12413 11869 19532 15712
"200098_s_at" 19284 18298 2509 16865 14505 16272 4957 17436 15418 17845 14061 14228 14184 16734 4603 16605
"200099_s_at" 16413 7064 4945 16207 6420 1445 15869 13954 4304 8864 7682 7234 6486 5241 16176 13787
"200593_s_at" 16994 18492 18149 2520 2284 2260 17006 1709 5473 20588 12167 15276 11352 18904 19897 15689
"200594_x_at" 17863 14838 18867 3089 14452 14789 5125 17170 5139 16718 11969 12655 14635 12113 4906 12559
"200595_s_at" 20210 14791 6155 2764 13724 14037 4727 15411 5607 17392 17491 19241 20580 15686 20485 17535
"200596_s_at" 21629 4189 3326 15146 3412 1854 20416 14406 4457 6813 12766 16470 10907 11175 17202 17848
"200597_at" 2522 5800 677 21978 17414 21718 21750 19046 1028 15448 2733 12432 3738 18451 15146 21377
"200598_s_at" 16244 2726 17515 2193 1160 15741 4569 13501 3042 17757 12044 15192 4407 12482 16592 2979
"200599_s_at" 19821 19312 5797 18715 16232 15702 21224 1772 2451 18645 11842 15647 16990 10864 16665 18497
"200600_at" 13424 11111 6660 14777 12180 12556 3590 13665 11919 15067 14828 8465 6894 11908 6481 7769
"200601_at" 21307 15877 20647 14414 21659 14719 1268 20168 4796 19686 20230 16730 15576 10520 1614 21247
"200602_at" 504 19463 4032 4462 13893 505 17801 17457 20359 18210 2709 18614 21485 14195 19449 21806
"200603_at" 20956 20013 2536 17008 16634 18434 18935 2157 4486 7022 15490 4175 16639 10435 19345 19088
"200604_s_at" 18869 5401 17158 3750 12955 15091 19687 2374 19753 5666 18228 16736 16167 20948 2814 13272
"200605_s_at" 21144 18339 17519 17552 16042 14520 1106 14921 5128 6107 17118 15329 13956 19019 16686 16085
"200606_at" 19846 20718 18438 13764 16415 17450 6743 4451 16618 2541 12730 3939 13874 1548 17507 14860
"200607_s_at" 17806 3784 17948 14195 12800 15521 2961 14887 20687 6569 11950 17893 13381 18501 17466 13517
"200608_s_at" 21833 21504 2988 16689 15196 16001 18651 13734 16193 20272 4543 15494 13911 10539 18786 17513
"200609_s_at" 1545 21134 4827 20561 15291 15068 21215 18886 4124 3989 4639 12049 16193 16147 2840 14127
"200610_s_at" 20292 18369 3424 4143 17190 1585 14834 14363 5003 13581 18430 15712 15729 16186 16237 17557
"200611_s_at" 16539 14318 5674 4209 16995 16355 14861 13972 20986 16534 16429 17425 16261 18851 4459 18367
"200612_s_at" 20491 21625 19324 17798 17997 22224 21713 16920 21414 18867 13848 578 3818 21590 20204 1280
"200613_at" 17460 14335 5918 14007 14078 15348 4900 16373 14939 6618 13990 16411 15540 16707 17126 13048
"200614_at" 15499 16220 6055 4258 12849 1541 3115 3572 4601 14144 4572 12409 4387 15568 14374 2747
"200615_s_at" 17674 15035 19159 14930 15676 20742 21309 18894 15728 6560 12799 3246 18052 13699 16024 15450
"200616_s_at" 20050 1395 4782 22065 14832 14622 19057 4583 4336 6005 12898 12623 1904 18525 3867 13052
"200617_at" 3729 14690 20233 14571 15405 16921 20337 15821 2052 18773 16434 12429 4384 12253 17938 15610
"200618_at" 16228 12740 4951 15664 16178 15901 17542 3928 15264 16745 3502 14874 13209 11045 16915 18265
"200619_at" 4448 18658 5948 17340 14592 1079 15055 2414 21076 16498 14704 20611 17892 21732 2699 19634
"200620_at" 2928 14030 2755 2580 17624 14320 15141 3330 17560 13796 14106 14251 11983 15261 2679 12237
"200621_at" 14359 15757 1688 2980 17673 18131 2018 19999 18587 17548 12085 13085 15364 19599 14487 14747
"200622_x_at" 16073 14097 717 18220 14373 17642 4713 837 3093 17633 13263 3936 4197 16411 14875 16164
"200623_s_at" 19283 16908 19248 16458 19593 21361 21512 14975 20276 5279 21269 14805 20546 21394 18397 21346
"200624_s_at" 16259 20586 2915 2868 14661 2070 18313 13748 3243 16003 16874 17457 18309 13529 15763 16603
"200625_s_at" 14768 13527 18074 16209 13062 14527 15974 2489 4688 13344 15757 15184 15923 11025 18948 14476
"200626_s_at" 14686 21586 3259 19818 1898 2569 19534 5358 16915 13808 11743 3008 11387 11669 17100 14008
"200627_at" 16627 14056 6381 16925 1583 2253 15991 4934 5224 14603 5123 12631 3861 11126 14888 13141
"200628_s_at" 3745 15426 4138 21387 2248 2324 2916 17662 15678 15538 5198 13557 18648 17425 15395 17001
"200629_at" 1315 17104 5944 484 14308 21119 19925 19943 15535 6451 19408 3228 19035 15708 16414 13367
"200630_x_at" 20649 3260 20273 17580 15254 1676 16597 16886 2266 6871 12422 3495 10709 9894 16834 13675
"200631_s_at" 16602 16879 4638 3333 18095 18531 17531 19094 2881 15787 11953 3256 14312 15019 14155 16422
"200632_s_at" 2613 19509 19249 4406 15727 977 16317 4293 1023 17815 13092 3341 1633 20527 21927 21221
"200633_at" 4289 4820 6658 2183 13159 14851 3610 15153 17304 14643 7622 14720 11347 11516 2696 12536
"200634_at" 2067 5662 18516 3947 13405 15393 4959 4497 15548 13842 12455 18522 16115 14932 15108 13487
"200635_s_at" 20045 21001 6545 21368 13513 17288 7217 13804 2937 264 13627 20616 13315 8596 3968 18250
"200636_s_at" 18345 20006 5916 19138 14400 17341 8814 5131 4002 12409 12445 18036 20551 3067 17350 19036
"200637_s_at" 20681 5143 19126 17420 21597 21539 9029 2092 2227 7938 2113 2691 10683 4823 21743 21916
"200638_s_at" 19928 18256 6249 1317 13230 2514 5295 4335 16306 7101 15783 14548 12248 13651 4405 13974
"200639_s_at" 17044 20343 17137 4273 2649 18815 4174 5010 17770 17269 14503 4518 11043 18283 18630 17490
"200640_at" 2949 15941 5452 19326 13817 15783 3912 15810 4357 6485 12065 14997 12505 17651 3528 13431
"200641_s_at" 20029 5016 5142 4791 2261 15917 3842 16188 16852 5424 12019 12265 12380 17905 16294 13424
"200642_at" 2328 13463 5184 16149 13155 14989 15062 16765 16364 14291 11886 16136 11815 14780 14127 14218
"200643_at" 4754 12856 19067 19375 13720 15332 1730 19586 4495 13292 15675 15266 19493 15913 20110 17917
"200644_at" 4351 5545 2780 21469 14902 15757 2475 19479 1665 5690 11824 12969 10956 17656 17240 14633
"200645_at" 17978 14082 4798 15541 15682 16352 18683 13530 5238 6686 5737 12324 15101 12100 13983 2972
"200646_s_at" 21384 1783 116 1588 2548 19055 570 21886 20391 3697 4734 2098 19221 2931 435 17527
"200647_x_at" 4713 15395 6304 19668 14778 2293 5068 17604 4763 5046 13230 13001 17115 16634 4731 19686
"200648_s_at" 439 19314 267 742 1079 297 18844 19071 5000 3710 5075 18515 14371 11174 17503 19685
"200649_at" 14551 12484 543 20900 19914 19036 18002 13944 18405 21129 3819 13847 11102 15737 17760 20104
"200650_s_at" 15818 18410 6005 16825 2723 2480 19268 16138 15252 8709 7501 3488 10810 5044 4633 14243
"200651_at" 17772 15521 5816 14079 2565 15512 4998 4181 18339 8891 13158 3301 3924 5279 3567 2363
"200652_at" 4833 5505 3480 3526 2852 19257 15586 13829 18124 6943 14276 16170 16055 17448 4748 14415
"200653_s_at" 15454 12926 6898 17093 12985 1846 16877 3106 484 13725 11704 898 1427 16976 14150 2249
"200654_at" 16985 5621 6770 4679 16275 18637 18945 13878 3837 15435 11779 15988 16390 13817 14922 16196
"200655_s_at" 16472 15846 17430 4103 13747 17381 5118 4108 869 5697 17731 14406 11884 12832 14611 16564
"200656_s_at" 17678 15750 3297 17807 3338 17705 17696 14879 4636 7048 5868 16913 4337 16641 15708 14816
"200657_at" 4919 15297 6321 17488 3375 2468 4517 14063 15517 14600 12319 3269 11851 10845 4337 12587
"200658_s_at" 15600 6434 17086 2626 3413 16038 3242 3451 5458 13728 12239 12770 12973 13488 15003 3200
"200659_s_at" 1008 6730 7051 4432 16983 16647 18163 18813 4599 16524 3738 2078 11177 14064 2256 3260
"200660_at" 4249 13396 1973 16236 16493 1782 5114 4648 5430 13868 3497 17016 10815 12211 15645 13748
"200661_at" 18963 13462 1754 1999 12753 15987 3160 13710 15590 14228 13796 18396 14823 16011 14250 20234
"200662_s_at" 17191 19439 3640 13830 13892 14849 20304 17184 18277 16376 13146 3363 11121 13979 4512 17170
"200663_at" 4556 3916 4767 16268 16101 15531 1947 13527 15657 16427 12937 13758 2394 12112 14444 1997
"200664_s_at" 16731 17845 17203 16459 21636 14302 19375 19978 19270 13838 11545 17445 16451 2514 13887 13009
"200665_s_at" 10409 9109 8189 7221 3704 7954 6111 10262 13490 8934 988 10466 5135 5030 7378 5585
"200666_s_at" 16595 4295 17416 15922 14893 14045 16519 14102 19001 20647 3292 17774 12438 15631 16864 3265
"200667_at" 20488 15976 3267 19580 14168 17225 17941 3883 1308 17846 5791 2289 16435 16556 2022 14735
"200668_s_at" 17843 15566 7042 16623 13116 14157 15350 4814 3387 14805 2290 13466 3975 12983 2895 13990
"200669_s_at" 17690 14230 17374 14661 16803 17200 3111 16239 5268 5854 13459 4026 15442 13300 17410 17066
"200670_at" 16434 16265 18716 14002 3059 299 20199 15486 16337 18365 20928 13169 11173 17006 18394 14666
"200671_s_at" 2097 14408 21785 14074 20031 17186 14375 1180 6662 13466 20556 17132 14144 1111 7193 118
"200672_x_at" 1347 4102 270 3180 17185 20518 21933 5305 21875 16588 21329 17886 14639 1767 1640 21151
"200673_at" 18639 16352 4674 17372 2879 14017 17721 15435 4628 17657 5614 13672 15041 18077 15528 15117
"200674_s_at" 15349 4786 6745 13753 6839 2488 3931 5226 4395 8867 7687 3275 4507 5248 14130 2027
"200675_at" 17215 19194 18100 17047 18878 14143 20159 20228 16331 20282 5690 15122 12322 19006 15689 16111
"200676_s_at" 14419 504 73 4117 19324 21457 2296 13925 1730 17841 15510 16175 1076 18778 2422 297
"200677_at" 18826 15787 4672 13625 14582 14308 2133 13616 2102 3887 12877 13096 11739 9685 17417 13548
"200678_x_at" 4127 20217 17700 16135 16112 21825 3465 19342 19028 16644 5450 13795 4199 16034 15678 21232
"200679_x_at" 19588 5480 6968 19143 13538 14695 4759 15441 17551 5569 19968 16464 4292 12318 15229 2990
"200680_x_at" 18056 5186 5133 1047 12612 15024 5228 15831 4209 17971 7731 3211 6572 5302 16372 2150
"200681_at" 17685 17326 6065 16315 16067 15502 17606 15368 3635 6536 4137 12608 14953 11868 14199 2839
"200682_s_at" 14621 6806 3288 17761 2039 14331 16765 13928 4376 12985 2752 17605 13135 11848 14521 13836
"200683_s_at" 3128 5123 2384 4353 13818 15616 17282 4553 15009 16628 3536 19688 12368 18845 15496 16061
"200684_s_at" 17117 17873 20117 17937 14741 17797 16216 19970 18104 15101 16541 19985 11666 15722 1458 15070
"200685_at" 12339 13879 11454 5857 1198 18920 16258 17758 21272 15985 16697 21027 2721 10307 14190 16687
"200686_s_at" 17912 15151 16980 19184 18834 17671 19060 21118 15968 17119 15250 15531 3952 16082 21576 14598
"200687_s_at" 20783 16092 20594 3459 14543 16840 17127 2440 4942 15410 3662 13798 11090 18207 18097 14941
"200688_at" 18153 17150 2427 19331 16442 2650 359 1517 17424 6163 20463 19127 15622 18397 3560 15777
"200689_x_at" 18446 3598 17306 4347 13930 14602 15488 5554 3850 8901 5516 3849 10710 5291 4473 2811
"200690_at" 22272 4656 399 21881 14284 19153 3886 3418 732 19654 4804 12583 16164 2878 2110 20798
"200691_s_at" 16534 16678 17509 17076 15963 14909 4287 18223 4963 14423 16842 3398 12304 15883 3384 16393
"200692_s_at" 17738 3519 20892 3684 1667 14890 2873 3448 15416 17039 15285 15866 4445 16144 16768 17691
"200693_at" 19499 15957 3907 16000 15897 14737 4413 16312 15030 15602 5678 2048 15325 18220 17051 15408
"200694_s_at" 18468 4469 20429 20178 13285 16007 17726 15694 2089 17081 5405 4193 11870 17494 15507 14726
"200695_at" 5006 14319 19893 16690 20316 14542 20956 19931 20672 5353 12688 19182 11054 19417 18018 16888
"200696_s_at" 4558 15182 21514 15697 881 19268 20694 215 15364 5191 20123 3243 13597 3240 2205 15168
"200697_at" 238 13676 6471 18078 16398 21244 16569 18040 4403 4411 3426 2453 16668 10184 18180 12484
"200698_at" 20607 17688 16982 17292 15289 17473 19104 17040 18740 7042 15552 14181 14493 18131 18587 13809
"200699_at" 3349 15320 2137 16537 14115 21045 14796 14230 4897 13198 20435 13517 16589 12528 3135 13557
"200700_s_at" 3634 18511 19476 16813 13623 2500 21098 3545 17819 18588 17532 14985 14700 17835 1964 17411
"200701_at" 4014 14969 4490 15486 13531 17372 17620 16692 17329 5995 13934 17833 19121 18441 15522 19611
"200702_s_at" 15970 19800 20748 17679 1490 2113 19161 3567 4792 14215 13717 4489 11379 20592 4863 2833
"200703_at" 3860 4912 5441 1255 13020 15109 15484 5456 5572 17588 13458 13176 11695 15186 17634 13271
"200704_at" 5238 14255 968 1463 19187 17981 14991 14971 4879 16909 19679 16292 13689 18250 15398 21256
"200705_s_at" 4559 6187 6635 3390 12771 1043 15543 2744 3058 8753 3268 12462 3878 5096 15179 12400
"200706_s_at" 14679 20688 15165 1322 18376 18779 18000 19914 16150 16295 5140 14680 16785 14529 15617 19928
"200707_at" 17681 12497 4741 18828 13354 20452 20250 4752 15890 6225 5143 16468 11378 14378 4538 15055
"200708_at" 19196 21655 6094 1121 14930 16467 3536 17970 3194 16704 13387 12445 15529 16043 2284 15788
"200709_at" 18140 4275 4537 2669 14519 2016 20631 19821 5407 20342 17124 20192 13826 16340 13930 20212
"200710_at" 19371 2134 18308 2804 18702 1065 2885 1901 20096 19356 16226 19671 19809 21178 18442 21498
"200711_s_at" 2647 17989 7142 14664 15395 16608 18534 16080 4369 4605 12611 14999 18216 13698 19017 14308
"200712_s_at" 14650 17911 20396 15500 13622 1604 2791 15608 17847 12857 17277 16718 14470 20250 20384 14674
"200713_s_at" 15740 6428 17766 17206 15737 18078 14686 14282 2516 4379 15897 1975 16331 14337 3568 14462
"200714_x_at" 1320 4154 20053 18740 18511 17985 18980 16794 3277 4996 11555 12170 16831 15233 18144 15524
"200715_x_at" 4123 6885 19142 13871 12772 19217 17300 15788 16796 13723 14390 3480 2723 12663 3205 13113
"200716_x_at" 4068 4927 5715 3800 2489 2267 16984 3152 3599 8897 7724 12209 4399 5285 4455 3188
"200717_x_at" 4222 14307 6763 2894 6450 2116 3443 15095 15322 8805 7619 7107 6408 5180 15711 14582
"200718_s_at" 18379 12648 1904 18994 3416 2381 15666 15828 17902 18098 3402 2574 4205 15385 17700 13255
