"inst_369" "inst_430" "inst_1013" "inst_1071" "inst_1174" "inst_1233" "inst_1658" "inst_2693" "inst_4457" "inst_5230" "inst_5593" "inst_6192" "inst_6950" "inst_6992"
"208485_x_at" 367 6287 20153 8199 18480 18573 580 17349 5683 1157 2172 15727 3093 2199
"208486_at" 21403 10043 5081 14599 9059 12883 13157 11539 7714 11586 9379 2390 14122 10128
"208487_at" 9008 14010 11389 12969 8366 12968 5676 14253 7135 13845 1001 5553 18080 7426
"208488_s_at" 1548 8005 4604 9450 1913 10063 6259 1963 8866 16201 8848 21351 4295 15167
"208489_at" 10501 15102 10965 11067 14743 16120 2016 21196 2878 18218 19951 4216 18489 12092
"208490_x_at" 890 2277 297 8384 7319 20871 17498 20609 20679 4671 20574 20841 3538 1711
"208491_s_at" 11878 369 3827 13632 11727 14233 8027 14085 9831 12302 9068 4847 15176 11085
"208492_at" 20468 13823 4397 12491 119 10972 10637 19994 1169 10100 21343 22175 1099 14155
"208493_at" 10510 13509 2716 14440 9268 21875 9235 11624 12979 14624 11599 6577 12202 8254
"208494_at" 9843 13666 3180 14722 13694 11794 8887 13523 10653 11194 7782 8346 14239 7453
"208495_at" 7969 15459 10581 19630 17163 16545 6816 940 11458 12875 18369 5413 17214 2179
"208496_x_at" 7296 20495 928 5310 21495 1833 16377 21508 684 21040 16368 21852 20837 20575
"208497_x_at" 3285 6854 8529 14522 10351 14437 12428 15641 10793 14863 8811 120 14533 9410
"208498_s_at" 7371 13892 10534 16683 3600 12662 10933 20618 6631 16496 10399 14731 18677 8082
"208499_s_at" 3426 1306 220 21824 6661 139 16733 1068 1100 17704 17110 11388 21212 3581
"208500_x_at" 11118 14282 4779 17510 12922 15949 10293 14790 7877 14739 7210 8001 18670 9933
"208501_at" 6250 20856 10497 18669 10481 11695 9588 16040 7094 15237 6211 8789 15327 11220
"208502_s_at" 11765 8837 12234 15222 13004 990 324 13541 6279 20943 2219 1595 20728 21951
"208503_s_at" 15440 6761 733 2953 1280 8957 2366 20274 20326 7929 14626 17283 2208 20957
"208504_x_at" 9401 16393 7656 14132 11992 12405 11649 14708 7295 10892 438 7485 16864 12457
"208505_s_at" 12954 21987 7476 10042 14349 10968 8103 16133 7709 10443 9837 6613 11430 13135
"208506_at" 7406 15113 3086 10410 16946 12555 6869 1230 19866 214 12626 3949 18828 14456
"208507_at" 11014 13156 5414 15009 9704 11726 7739 15348 9531 12567 8187 4478 14289 10292
"208508_s_at" 6585 12846 8938 10572 13055 12590 5837 12831 10884 14953 6180 7738 19049 11870
"208509_s_at" 8282 21926 6907 9563 14082 9258 8310 11590 11542 13981 7280 4226 11997 8672
"208510_s_at" 6781 22190 21030 11183 21208 22272 6511 489 22186 20828 21287 3283 12149 18988
"208511_at" 3077 987 16684 6524 3036 6852 21080 7666 859 297 20064 19527 3009 5740
"208512_s_at" 8818 14755 2417 10267 8326 15518 9959 9009 6894 13639 3406 4857 19250 13974
"208513_at" 8801 15717 7817 14572 12199 13759 11080 13413 10151 15532 10290 5387 12373 10784
"208514_at" 19101 4210 3649 10515 9492 15822 5657 17092 8379 12790 11100 6858 12006 7710
"208515_at" 6170 17911 5064 11978 15984 2368 10675 12288 2595 4425 21607 977 17831 425
"208516_at" 16190 14412 6629 11268 10248 14906 12713 13018 3364 12946 7673 5762 14745 11805
"208517_x_at" 5085 16865 2399 7233 7511 6886 2736 9674 6383 18202 15673 12031 19559 16916
"208518_s_at" 17322 17908 10348 12473 2782 12656 13491 20197 4180 1748 13348 2221 19256 12154
"208519_x_at" 612 2814 10829 17957 13986 10602 4634 16575 6999 10876 922 9148 17326 7902
"208520_at" 5035 18929 3223 19727 10034 15705 9514 15686 2115 14896 7753 6700 13414 14670
"208521_at" 8001 19137 7536 14707 13723 10263 4662 15037 10533 14227 6248 5547 15960 10683
"208522_s_at" 10633 16549 6897 14784 11843 11907 11403 13846 9094 13947 6642 5588 13645 9693
"208523_x_at" 21840 22161 22134 6062 5128 18581 4419 6084 16939 7131 17606 21556 8897 17520
"208524_at" 434 19530 11873 18376 17289 12658 4992 4752 4751 11459 1744 1172 13191 14985
"208525_s_at" 5577 10566 11038 14609 8990 9143 12919 11369 6375 10132 9861 8398 13844 12919
"208526_at" 18233 1814 9883 12950 3522 18098 14658 21210 21436 22097 20964 18796 2596 7934
"208527_x_at" 14367 5164 20038 774 20860 16877 3459 1436 16970 20897 21356 18868 9598 4439
"208528_x_at" 12343 12216 10983 16513 11498 10492 6583 14988 9636 9552 9848 7981 18656 8374
"208529_at" 9159 14181 7451 10741 9294 1696 5406 20217 14732 6 709 903 6 8515
"208530_s_at" 18460 14988 6086 14425 12067 11740 7437 14256 10066 14080 9013 7420 17323 9501
"208531_at" 11052 11967 5853 13354 13668 10220 11271 14578 7180 15265 7264 541 12436 10315
"208532_x_at" 10307 13326 9052 14286 9153 10436 7211 12279 9236 11822 8328 7286 13608 14743
"208533_at" 9198 15260 5346 10362 14469 11901 11177 11291 10457 9938 10173 7371 14145 7360
"208534_s_at" 10934 15137 2936 11076 90 21002 10227 7067 19615 16259 8282 3271 3106 13204
"208535_x_at" 7669 3420 3004 14089 10408 18647 9960 13965 20298 10861 11256 7239 14667 10634
"208536_s_at" 6061 14323 632 9064 6904 2029 1764 284 18183 2052 19675 3845 179 1244
"208537_at" 11666 13148 8286 14935 11836 13049 5648 11529 7357 12267 10091 6772 15084 11001
"208538_at" 13264 14004 10266 13134 15440 12929 12167 15064 11438 11162 11533 4523 15122 12149
"208539_x_at" 13339 11466 7110 19543 15663 1779 5974 2212 6377 939 17479 10367 860 3685
"208540_x_at" 16851 6111 20061 20201 21330 17744 20327 3291 18979 21493 16778 20929 175 4751
"208541_x_at" 16707 2312 13074 7124 2034 2058 394 8250 1585 17315 16569 16518 7270 1257
"208542_x_at" 6651 15668 8764 17711 9223 12512 10046 8348 7575 16570 11199 9456 9448 15111
"208543_at" 8004 11377 7614 10375 11320 14977 7493 11216 10174 12177 9950 2017 12132 10771
"208544_at" 8476 913 9302 18381 16786 16378 13136 14223 10269 10428 6588 10055 13953 12419
"208545_x_at" 12584 11761 9943 9933 13592 11959 9201 13692 10964 12942 8664 2304 13265 10658
"208546_x_at" 2655 19954 18898 1727 4522 18088 14465 22259 18756 9162 12492 14367 1536 3940
"208547_at" 9676 15497 9193 19123 11849 16616 11507 14277 8594 10157 9594 6275 17542 10516
"208548_at" 20540 18745 2693 15218 13002 11423 2710 1380 6712 13510 9569 9527 12345 11417
"208549_x_at" 4339 9449 12650 6610 2206 20462 14149 8684 1706 21303 20935 14547 8857 20357
"208550_x_at" 11009 13257 6999 12868 12524 12617 5314 14406 8661 12633 8553 7619 14538 10523
"208551_at" 20125 18825 10598 17892 10247 16407 12849 14503 10605 16360 11530 5757 14105 7586
"208552_at" 6098 16218 3469 9987 15197 9709 10077 11353 9660 9718 183 4449 18101 13984
"208553_at" 12567 15654 4459 20807 22266 21700 13385 10098 5245 626 376 21578 8670 939
"208554_at" 5378 13934 5941 13463 11748 12520 7965 11071 8965 13729 6976 7491 13759 9802
"208555_x_at" 2072 21517 11109 17394 12947 12632 7220 12185 12113 9897 10297 5186 17527 12651
"208556_at" 10276 14655 10083 13867 8811 10722 7766 14968 10616 15439 10062 7593 17887 14075
"208557_at" 5898 1022 4507 11852 9599 13814 10922 21598 12594 15040 1205 12593 19390 16657
"208558_at" 2277 7092 5320 18294 9399 16333 10999 818 2080 16331 6280 14064 16380 8321
"208559_at" 9673 11609 6059 14734 15022 12361 8881 16441 8491 13081 9128 7084 12715 11092
"208560_at" 8897 15483 9840 10964 16397 10682 6103 14373 10951 16154 9563 4573 15663 12013
"208561_at" 7412 2207 3346 13249 16029 7950 8717 10425 14386 14332 3244 21 14229 10229
"208562_s_at" 10664 11334 9085 17233 16419 9460 9744 12317 7406 9606 7251 4896 18127 8606
"208563_x_at" 9644 20279 5773 17200 12479 11792 8343 14144 8121 15130 6708 7609 11543 11841
"208564_at" 10894 15810 3854 17709 16570 16117 12003 13030 8963 15753 9483 9752 11914 14827
"208565_at" 11714 9537 4808 14306 16114 15296 5578 14485 10707 10120 4379 9479 15853 12982
"208566_at" 12352 13882 3493 18736 11145 9780 10464 15039 9717 13397 9866 4392 13642 11740
"208567_s_at" 9315 6753 3217 9711 9225 781 11360 14286 2130 13871 6704 5281 17394 14764
"208568_at" 2810 2120 3871 17588 16815 14627 6318 19744 72 972 19264 15846 17107 2056
"208569_at" 13067 20312 4542 18450 17310 9954 8571 19648 352 566 2506 11295 12342 13622
"208570_at" 9073 15733 4937 12657 12599 11268 10353 18781 9380 16682 6876 8000 12542 7939
"208571_at" 13331 15837 6492 18667 8097 5563 6879 880 11538 15212 7584 9859 13926 7747
"208572_at" 13268 16173 3621 9569 14727 10690 12628 8355 1991 11259 7383 10625 17953 10282
"208573_s_at" 1810 2380 7977 18576 13137 9959 11318 12175 13865 14146 21910 6301 17403 13084
"208574_at" 5877 14591 4120 10756 8500 12608 9567 18961 7117 13435 6129 7967 10446 10739
"208575_at" 12762 15922 10355 11140 9554 17987 8477 20998 21454 13129 1171 7213 19086 9246
"208576_s_at" 11608 15279 17737 12925 12621 21939 16906 20886 16315 22265 15008 7205 20828 413
"208577_at" 10790 15743 10568 12387 16690 20609 10408 6711 22012 16070 11302 4650 18270 7422
"208578_at" 21435 8506 4165 17352 20888 2982 9946 21965 12261 421 163 23 1705 12782
"208579_x_at" 318 8035 12919 4714 3246 17998 3370 4585 15290 18153 4589 15160 4032 5055
"208580_x_at" 6787 11805 21381 6192 7058 21977 19196 18002 18320 4705 19979 4101 21496 22143
"208581_x_at" 4234 21481 12349 5832 1899 20530 554 10387 20911 6468 14832 10735 7791 4124
"208582_s_at" 9359 15018 6353 14084 12014 11605 8554 15022 7125 12153 9535 9237 14744 12022
"208583_x_at" 2922 21945 1073 20967 20023 1228 19924 22084 15204 2889 1694 14410 291 22177
"208584_at" 11687 15121 9879 9896 14125 13627 10265 16331 7121 14814 6364 13946 18759 10812
"208585_at" 16467 4805 4102 17173 4294 14479 11638 2429 11319 15156 4381 8869 1702 8342
"208586_s_at" 7342 11316 4209 16246 10791 10043 9425 3276 11770 9882 6686 5000 18723 14617
"208587_s_at" 3548 4003 9158 14536 9417 9540 12951 14933 11855 14769 11097 6894 17855 7613
"208588_at" 21313 1219 7024 15384 995 13762 11218 7815 21132 21739 760 445 20808 678
"208589_at" 9471 14048 9899 9897 11930 14001 7562 17628 9043 14611 8113 8149 11562 10984
"208590_x_at" 12837 11933 7603 15806 11955 11655 7816 15881 10818 13757 7842 7587 7136 13434
"208591_s_at" 15600 9981 22061 21807 17451 7796 368 403 599 18041 19073 11181 11182 20161
"208592_s_at" 20071 11264 4823 16353 21482 2516 12969 13979 16639 19302 7764 3735 14002 8729
"208593_x_at" 5468 8275 4438 11022 13108 12945 13027 16888 6853 14758 5335 106 2841 5481
"208594_x_at" 21916 5154 11483 14206 13895 14615 10366 13806 11503 12469 10392 528 13385 7350
"208595_s_at" 4079 13697 20403 6232 6598 729 1065 6075 5352 8920 14323 3156 7829 2507
"208596_s_at" 15808 17853 19284 4208 14816 6630 3925 15465 19037 19240 3363 8130 21871 4308
"208597_at" 18678 7882 7333 9215 15352 14380 11658 16771 9168 11111 7580 5605 13139 14242
"208598_s_at" 15417 18799 16466 3454 19955 7372 3260 8967 15257 9465 3281 17514 5279 4403
"208599_at" 10736 12205 11585 19413 17021 7506 12667 6230 9268 15671 20723 9318 12482 14262
"208600_s_at" 6283 9526 4241 19786 16292 585 5917 11330 1414 16050 21286 5806 11759 14309
"208601_s_at" 7724 11338 3198 17779 8928 13334 12055 21377 1667 16638 12882 1204 16898 9372
"208602_x_at" 7158 15872 9931 17048 13861 12672 7840 14397 7273 14079 9416 7086 17607 14521
"208603_s_at" 9547 15431 7151 13091 12021 10617 11896 15397 9985 10130 6950 6492 15112 11030
"208604_s_at" 6327 11430 5971 14402 8788 16184 9752 16770 10775 15342 11676 1403 10899 8095
"208605_s_at" 9103 16129 4655 19430 1839 12893 12527 13590 13651 10804 11858 7439 11661 13677
"208606_s_at" 19095 12587 5924 15020 11867 14179 7744 15048 6989 11866 6232 5273 16452 9795
"208607_s_at" 12858 14017 11686 11453 13001 9339 12092 11250 5519 14313 7921 9921 11872 14200
"208608_s_at" 5434 121 6403 13646 20872 1017 8033 4909 66 13816 6488 10154 13250 13929
"208609_s_at" 11119 17609 5099 17603 11379 15478 12377 15549 255 17889 15973 4438 13000 8907
"208610_s_at" 19359 17426 20429 21757 4491 7199 16566 9577 3953 19265 12356 15390 6789 20012
"208611_s_at" 21567 20958 19786 1334 19066 20928 3251 10479 18595 18575 13932 12093 4121 2706
"208612_at" 4018 4824 12868 3302 5104 5970 3508 6676 3590 8692 5207 16456 4356 5518
"208613_s_at" 103 10332 19868 1118 179 5373 16406 7185 5354 19095 1768 17178 2402 18300
"208614_s_at" 15875 7439 18295 8862 4334 5089 2408 2169 3547 3438 19141 3755 10930 6096
"208615_s_at" 15445 5445 12908 6227 17462 2635 14837 7236 1201 4061 3060 16165 5690 16698
"208616_s_at" 16275 5583 13781 8402 18604 7418 17527 18207 4032 8911 15466 16714 4115 6800
"208617_s_at" 3579 22086 18925 2899 7078 4453 14704 5528 3098 19628 17384 13027 20426 19977
"208619_at" 13826 6039 13889 2595 4750 4794 1173 3331 17283 5684 20453 4158 20626 21307
"208620_at" 14908 17272 14390 6758 5823 18044 15741 5703 18460 5601 14855 16607 6695 17795
"208621_s_at" 2301 18040 13389 6773 6133 4021 14661 5498 6158 20513 4082 17676 8109 5638
"208622_s_at" 4669 7216 15651 5648 18862 5732 2474 8395 21345 4669 15802 16202 19753 6619
"208623_s_at" 1759 8677 12615 2095 19863 19777 2787 7174 17997 1610 21314 16328 2532 6190
"208624_s_at" 18567 20748 18027 3628 21140 7925 1404 18406 3331 5766 5706 13789 9745 19959
"208625_s_at" 4483 10578 14620 21204 20642 16969 18756 10178 18675 18599 18899 21065 6750 20769
"208626_s_at" 18879 8869 19442 3205 5919 8427 4134 18611 16070 8675 14749 13838 20127 5953
"208627_s_at" 14554 10418 12176 7773 3513 6468 13858 10224 16661 17808 13776 11613 5765 17040
"208628_s_at" 16274 17085 2106 20735 18640 8054 16095 12436 13136 19489 13791 5906 8766 6359
"208629_s_at" 4296 10260 15372 21832 3136 4797 21292 8220 4432 8793 4064 14997 9003 18323
"208630_at" 15344 4410 21049 790 794 710 22233 482 17848 22021 3069 3434 21479 21060
"208631_s_at" 2897 9843 12876 665 3536 3387 13756 7126 5401 3459 12130 13279 5629 16351
"208632_at" 18801 5527 18901 7597 3352 8959 14463 3324 12779 18038 18843 15725 21167 5796
"208633_s_at" 14597 10115 1488 5857 22179 16785 18935 20780 18565 9444 2111 3747 2936 5549
"208634_s_at" 15865 20631 12637 2376 6593 17535 14198 5147 16767 8418 4962 20223 7601 4992
"208635_x_at" 15583 7547 5682 7869 7735 7453 14732 12502 8050 9241 8018 5986 10867 6501
"208636_at" 13481 6681 17176 2035 19356 6187 14694 7533 5343 3160 13120 18709 7897 6755
"208637_x_at" 4058 18634 13619 3388 17479 6391 16222 10579 14556 9295 4797 12996 8093 18690
"208638_at" 18942 4466 15347 7479 5563 5644 13723 6202 13039 19970 13616 12508 8662 6050
"208639_x_at" 732 2003 15692 7058 2360 3498 16241 3334 13066 8331 3485 12059 4457 3359
"208640_at" 14899 8425 13040 20557 7133 7631 17612 8346 4987 17921 5542 12803 9238 15934
"208641_s_at" 15559 9088 13072 5183 7403 16764 16671 8576 12159 8918 20237 13477 8042 17495
"208642_s_at" 16590 17028 13644 8886 18145 8279 18377 9659 15010 9512 15470 12554 7245 6536
"208643_s_at" 4286 19443 14751 4179 4505 17630 3179 10386 14960 8659 13119 11066 9808 6287
"208644_at" 14417 7611 18738 4719 3696 6590 2002 5520 4427 4306 16259 16105 2210 4053
"208645_s_at" 3737 9620 5751 8477 17689 17598 14456 12441 7989 8604 7930 5916 10570 16808
"208646_at" 4866 9861 12049 261 5560 8480 459 7406 14471 2446 14527 3792 10749 18456
"208647_at" 13458 2437 13891 2890 3709 1270 15816 2851 1554 7990 6030 12313 2484 4679
"208648_at" 5537 4258 19027 4393 18103 3524 18744 6623 18020 18800 16559 15408 7059 16582
"208649_s_at" 4921 17294 2145 21200 18064 5043 15117 6158 16415 3409 17813 18114 5616 17179
"208650_s_at" 5794 2275 13585 20234 9396 5888 17641 15964 12607 6943 19296 5258 7008 17798
"208651_x_at" 16056 8505 12581 3042 17023 3246 17211 20598 16606 3676 14443 1701 9298 18746
"208652_at" 17490 6672 14454 7520 7715 7578 16820 8385 15238 5677 13927 18162 3964 6748
"208653_s_at" 3864 848 19603 8282 19753 3010 20566 2665 21192 5827 18749 20105 8581 20837
"208654_s_at" 3110 8759 13273 5130 3351 5494 15300 1894 17104 2461 16104 16498 3366 17207
"208655_at" 17199 5143 17371 6904 21195 19248 17878 18299 14786 6739 16777 17422 9049 17376
"208656_s_at" 3294 18445 14923 6548 19032 20076 3043 10045 17375 16998 3951 13229 7020 17723
"208657_s_at" 94 1261 1449 2874 20902 17083 20631 3545 13962 21752 19639 15703 5859 422
"208658_at" 15752 10341 14502 5391 5441 1573 1480 6626 5462 7763 5823 12571 4155 4686
"208659_at" 13484 10010 13343 4564 2572 6502 13714 7659 14447 18775 5854 12364 5521 16453
"208660_at" 18098 6346 13442 20789 4416 7495 2440 19282 14076 17480 15415 14258 7696 16450
"208661_s_at" 14249 20285 20498 5048 4943 6337 20423 9031 4928 18741 4315 16308 3540 16112
"208662_s_at" 18411 5807 17431 4281 7969 7985 16444 5051 13634 7893 5559 19004 10030 6368
"208663_s_at" 16489 8626 12545 5591 4297 18549 20613 18269 15756 5887 1621 20045 5383 7037
"208664_s_at" 3749 20690 13594 21094 1296 8457 1132 17734 11992 2167 12787 17005 20450 4798
"208666_s_at" 14214 6359 1585 20602 3075 5218 16123 1977 16773 1323 17044 19306 6566 4587
"208667_s_at" 19134 3059 16985 3187 4432 16851 20678 4099 6076 4907 4572 13573 7885 18560
"208668_x_at" 17612 8477 12856 21617 8111 17365 15365 7854 12586 17931 4917 10245 19537 16782
"208669_s_at" 4361 17946 1484 2489 17889 8461 14844 7258 16853 8229 16902 16227 8460 17601
"208670_s_at" 4933 21221 12962 2036 3335 17419 16387 3685 5882 7203 4577 11743 3165 4078
"208671_at" 4777 1465 13686 1293 7581 16714 18543 5196 17139 4254 14062 15478 5585 4468
"208672_s_at" 18632 1171 1002 21348 18961 7416 13878 8874 5634 18785 16082 10588 10265 7061
"208673_s_at" 14720 3022 18946 5895 6111 4394 15622 1821 6265 16880 19247 18790 7264 17972
"208674_x_at" 1885 4344 18700 6789 18504 7586 16256 3104 6009 7070 16265 20095 4265 5223
"208675_s_at" 5093 10586 13484 8665 7940 16817 15987 9894 16510 19094 4219 12655 6307 4689
"208676_s_at" 14277 18876 12544 847 18831 2461 2470 2087 1234 8215 4789 15867 10704 19859
"208677_s_at" 15698 8476 18090 21326 6948 4677 16827 7610 18962 9035 6067 13559 2442 19431
"208678_at" 19834 21418 16837 2903 1934 6206 17847 6389 13572 9304 5110 13671 10463 4815
"208679_s_at" 5573 8980 11958 8972 5273 17383 17495 9098 16272 18762 14484 16191 5391 19108
"208680_at" 14882 10226 12783 7350 6802 17322 14009 7442 6023 17822 4830 12428 9144 17035
"208682_s_at" 15844 18585 1600 1049 21569 17268 16506 17127 19699 3827 4952 19838 1938 18540
"208683_at" 16249 4897 13217 1832 7276 6994 18160 7694 4778 6662 3940 15129 8590 6624
"208684_at" 1397 5298 18994 3398 17486 8877 3955 17213 15103 9492 13343 15754 5754 4899
"208685_x_at" 14303 21194 15033 2643 3683 5771 21622 10311 3620 18073 3942 11591 11013 18387
"208686_s_at" 14321 17550 17073 5796 4728 6876 21028 9380 13602 2775 15181 16516 2188 16434
"208687_x_at" 14563 4802 1839 21035 18652 5045 18672 2659 4060 18117 12816 10902 9432 16183
"208688_x_at" 16014 5537 14695 6509 2699 6947 21421 7625 4952 9454 16307 13989 5811 17350
"208689_s_at" 14657 9027 13490 9051 17742 7815 15834 6720 16488 16905 4084 11757 5171 6593
"208690_s_at" 19986 5851 16287 4051 9813 19475 15716 2038 18959 9082 14772 20027 7313 16312
"208691_at" 3334 6865 14684 8349 8162 18693 4318 5863 3793 6695 5216 12557 7499 4886
"208692_at" 4078 17517 5436 8973 18795 5783 14331 12519 8061 17652 8033 6002 10037 16288
"208693_s_at" 18023 10525 13333 7134 17601 2846 16972 19005 5985 8776 13912 17246 8276 6298
"208694_at" 16476 1380 12913 3081 18525 17445 15623 2740 15703 2902 18035 18773 2436 2715
"208695_s_at" 14868 17530 5766 8001 18367 17741 3654 12390 7932 11843 7863 5862 20854 19178
"208696_at" 18483 4912 2651 8437 3855 3964 2595 5157 13506 19930 12605 12657 8100 6792
"208697_s_at" 15899 3116 12526 7492 6830 5369 14211 8740 4171 8311 13474 13236 10323 17116
"208698_s_at" 2899 19470 14281 2306 7621 17996 19267 5484 17506 8354 13911 17074 3601 16052
"208699_x_at" 1750 7096 12808 6503 17726 2508 14634 8927 6176 20333 12140 10325 6562 5184
"208700_s_at" 4272 6603 12605 5623 5554 4298 1526 10840 5216 7173 4151 15678 20164 17442
"208701_at" 5401 5441 1803 3774 18009 2743 20156 3437 19543 6675 1513 14497 12361 900
"208702_x_at" 2285 18724 2160 4952 2582 5479 21376 18725 20228 19896 5068 3831 2964 17605
"208703_s_at" 2920 8672 14446 6631 7566 17705 14563 8958 17034 7825 15086 15945 4832 3121
"208704_x_at" 4201 2221 13999 8592 3755 17936 1462 17217 15552 18049 13551 18816 10932 17832
"208705_s_at" 18182 6267 14082 20649 6797 6150 19726 10601 3406 19032 12571 13167 8089 6505
"208706_s_at" 13489 6404 16486 2911 18792 5944 17802 4207 2837 8540 12432 17752 6214 4840
"208707_at" 14985 19820 19324 20893 7925 3320 19282 4780 3476 21538 19759 11886 635 71
"208708_x_at" 3368 10031 12761 2261 4026 4605 14172 1085 5850 8871 13494 11393 8472 16446
"208709_s_at" 19573 21189 14581 4900 3117 18331 3381 9105 14760 3087 12307 17160 5707 5266
"208710_s_at" 7222 9426 12911 8691 6886 7291 3052 9948 2700 20552 5215 15144 19829 16555
"208711_s_at" 22004 1207 12555 3304 16413 6958 14122 8653 1845 5954 5018 21241 10571 5454
"208712_at" 10101 1793 2578 1338 9274 17367 3946 17094 3679 2996 19293 643 8396 16173
"208713_at" 14215 4495 12220 1900 20560 17542 20344 3162 6284 17219 5633 17740 2614 19749
"208714_at" 4742 18589 13933 8935 5228 8875 3678 17218 15151 5899 5322 14121 9434 17176
"208715_at" 19790 7943 17187 5926 17647 19504 18274 19538 19655 6377 13287 13624 9104 3463
"208716_s_at" 14620 9608 1841 5382 3198 20237 19700 3564 13670 6827 18858 12691 8373 5993
"208717_at" 13759 9928 13861 20899 6986 18351 21321 7328 15898 18614 13283 11056 3443 4507
"208718_at" 16176 2431 16869 5872 6018 8593 3427 8779 12491 9156 5111 10270 9296 16572
"208719_s_at" 4693 9700 21782 8921 1201 20115 18591 20912 3966 20792 4136 10496 2605 21376
"208720_s_at" 15069 3519 13163 4675 4884 1497 3396 17520 4392 8931 12462 15808 10810 5276
"208721_s_at" 2832 18666 18292 8401 2145 2859 3169 3768 17210 5043 20285 10846 10950 19351
"208722_s_at" 3692 5576 12168 1618 8150 8192 18948 2456 4794 8395 16224 18531 1651 5758
"208723_at" 409 19718 19463 6607 17716 20333 15133 9792 15160 7444 13069 15018 3880 5682
"208724_s_at" 1471 4041 13466 8104 1353 2918 17934 3551 15946 5664 12838 14646 7060 6926
"208725_at" 11483 11474 12312 21848 20819 2521 689 22062 11984 19994 954 16505 95 12087
"208726_s_at" 17105 8579 13697 8927 5514 1958 21604 9936 15621 9507 16125 17259 7636 5860
"208727_s_at" 5028 3995 15579 7030 5758 5229 19050 6274 12821 19476 15529 11544 3446 17219
"208728_s_at" 5700 4119 1093 627 2151 5775 691 4022 4504 8428 3359 18807 7343 4558
"208729_x_at" 4747 17054 19644 2926 4086 4824 14558 10706 20163 21446 12223 4152 694 18052
"208730_x_at" 18742 5811 1079 21696 22246 6399 14672 1656 21359 17582 12225 2229 2492 22116
"208731_at" 19731 396 16873 4657 2250 4455 17227 3731 14709 6709 15336 16382 5299 16700
"208732_at" 20610 4924 19829 20415 3825 8640 15976 6900 3498 3269 20234 20472 8745 2578
"208733_at" 12504 12553 11444 17788 17193 11557 11910 2391 1229 13439 2508 6812 18043 15415
"208734_x_at" 18646 5271 15865 1910 5979 8762 17133 6576 5140 18752 4321 10722 2017 19741
"208735_s_at" 20407 16908 17781 21141 1982 20866 584 8824 18538 17728 13863 15566 3331 16923
"208736_at" 18177 3981 17664 2414 19415 16838 14523 3954 14715 2513 15205 14531 7790 18923
"208737_at" 5011 17316 1816 5468 5974 6481 2872 7489 14954 7035 5929 14880 9101 6618
"208738_x_at" 15447 1993 13382 21589 7887 7465 19916 2395 13414 2326 19036 18072 2552 2749
"208739_x_at" 5534 10033 12881 7676 8009 8594 15374 7198 14515 9179 5979 15399 6685 17957
"208740_at" 21527 309 17797 4649 3244 7666 14730 7892 4661 3421 17085 13094 10720 4822
"208741_at" 17867 3183 21232 1391 3054 8319 20128 6399 6239 17913 20547 21941 1661 18614
"208742_s_at" 14479 10110 12136 6128 8204 6569 3360 4628 16196 17912 13045 13583 6971 16323
"208743_s_at" 15218 1381 12289 6058 19323 8162 1647 6021 14656 4606 17200 16861 7441 16489
"208744_x_at" 1937 3550 1536 5392 7698 3396 4051 3187 3712 19148 4748 3623 4783 4328
"208745_at" 14542 5170 18395 20246 20557 6796 15109 9945 17160 4239 19688 12088 5208 1342
"208746_x_at" 3860 3920 14009 7794 5732 17311 15406 8305 12804 18009 12412 11768 9751 16195
"208747_s_at" 11351 12797 8703 17813 16016 18596 11911 13537 19830 15724 8315 9506 10905 7588
"208748_s_at" 8146 22273 2036 1132 2964 6350 20476 36 20981 909 1616 20156 610 4820
"208749_x_at" 14661 20957 12269 6878 2397 17701 20594 17943 18735 7771 4438 3431 8216 16603
"208750_s_at" 14606 18507 13836 3353 4179 4772 3694 7128 17912 4303 3969 14449 2899 5166
"208751_at" 14625 18863 20333 4024 20111 7895 17325 6883 17845 19826 15654 15074 1601 1103
"208752_x_at" 5567 17787 14040 21337 5467 18893 4279 8949 13428 5473 15709 13720 5030 17078
"208753_s_at" 15513 2615 2477 7826 18744 18454 13988 8254 16225 7423 17742 19111 3087 18556
"208754_s_at" 19192 6972 2324 2930 20559 6373 18769 7078 4006 7547 19481 18176 4063 4547
"208755_x_at" 14544 17076 13016 7913 5964 16808 15453 12363 12830 20224 4170 5833 9105 4841
"208756_at" 14894 8499 16539 7786 1419 8092 16509 9411 13441 5635 13315 10812 9328 17537
"208757_at" 20122 19535 1853 401 19664 3332 18985 3058 15409 20153 15068 16609 4668 21582
"208758_at" 17880 17524 13010 20623 3700 7738 17057 6614 14636 8739 17736 12335 4993 16172
"208759_at" 21425 7080 19236 2772 20150 19047 21735 9053 19407 5420 4770 17856 1290 4269
"208760_at" 18981 9073 12230 2815 19638 19871 4112 4350 18806 4927 13183 15585 8560 16850
"208761_s_at" 14396 8645 17164 8869 7227 16703 2929 5145 15308 17713 4951 16172 1767 5366
"208762_at" 972 7479 2628 12526 5908 5832 19802 2928 15870 221 20555 21558 2857 680
"208763_s_at" 17064 20484 16501 4730 20770 5772 1351 19876 14641 6587 3743 14489 1039 17510
"208764_s_at" 3421 8692 2035 3048 7793 8205 14075 9145 14974 19415 14898 13513 20317 17825
"208765_s_at" 693 5426 17138 6104 6913 2626 20972 16995 16240 9288 15607 10431 6760 19839
