"inst_369" "inst_430" "inst_1013" "inst_1071" "inst_1174" "inst_1233" "inst_1658" "inst_2693" "inst_4457" "inst_5230" "inst_5593" "inst_6192" "inst_6950" "inst_6992"
"200622_x_at" 17424 19237 16080 5083 2121 3862 14917 17598 18763 4673 13799 2037 6485 20419
"200623_s_at" 13502 18117 14508 3364 3102 19518 19645 17825 19663 18942 19447 2441 10148 20091
"200624_s_at" 1476 17800 14131 600 5123 4250 15031 8758 20014 4025 15883 16675 3535 5581
"200625_s_at" 5684 3040 13941 8582 21106 16957 14640 4594 15399 8535 20248 17488 7992 3428
"200626_s_at" 20139 1205 17734 8116 1953 6435 1604 2951 13559 3893 4739 19356 2628 2422
"200627_at" 16288 6148 2538 21375 6731 17201 14654 8202 13797 17491 12438 10676 7085 6447
"200628_s_at" 4807 18735 14282 5363 4889 3167 14309 18742 21275 1135 18511 19362 4307 5561
"200629_at" 2772 18299 19876 7450 4402 7532 13850 19999 17949 20478 4766 19089 3468 16791
"200630_x_at" 3924 17160 2028 8554 5278 5646 1900 9118 2728 5256 4796 11068 8416 15983
"200631_s_at" 16424 9533 14844 4713 6859 3599 14466 9072 12302 5594 13334 13609 19782 19156
"200632_s_at" 4996 21551 18553 11790 20400 20986 17826 20564 21815 8723 20330 19914 20812 1250
"200633_at" 5206 18544 12604 20260 7985 18553 4100 12485 8036 19075 5581 10289 10938 6765
"200634_at" 4582 9209 1967 6961 6508 7409 15412 6532 14922 9005 5657 15935 10339 16468
"200635_s_at" 10505 3909 1969 427 16886 19360 15385 14352 13987 8225 2178 8752 8767 934
"200636_s_at" 866 8877 15641 1541 11898 20430 18218 12322 17378 4386 19287 5174 20022 19303
"200637_s_at" 7929 10495 2483 90 11969 19996 21123 12069 20893 19882 4844 5995 20936 19387
"200638_s_at" 1785 8879 12529 5679 3720 6758 3899 6461 15737 5848 14153 15020 6539 17559
"200639_s_at" 2848 9707 1503 1328 20430 6999 15279 7571 6289 18880 13554 19461 8809 17193
"200640_at" 13908 6298 13488 7287 7267 18513 15362 9147 5677 8378 12686 13645 8083 16307
"200641_s_at" 3626 8981 1511 21644 5932 8142 16114 10249 17373 17327 5292 10805 1966 17261
"200642_at" 13582 17260 14323 5763 17900 16822 15355 7193 16222 19188 14660 13581 7863 5799
"200643_at" 21207 20067 13124 2919 17661 19661 15796 19926 18557 6826 19429 10482 5589 2771
"200644_at" 14036 21434 15346 8281 1681 5107 18196 524 17470 8096 13571 21032 7114 16359
"200645_at" 4198 8364 16478 21068 4445 17848 1730 6096 15212 3351 5002 18491 5731 6326
"200646_s_at" 350 7569 21252 6477 3533 6848 1246 19928 13657 471 21478 2846 1597 1059
"200647_x_at" 5138 20135 2441 6792 4853 5384 1510 17821 18367 17292 17074 10523 10803 6269
"200648_s_at" 1060 8215 12447 6633 18870 2026 20981 4326 20661 8578 13382 13485 11010 21254
"200649_at" 2344 20207 21202 20317 21863 17164 1524 19841 14250 3849 12368 12525 3980 2010
"200650_s_at" 16702 8533 12044 20427 6832 18244 2067 12374 7919 18220 12146 5841 10044 16861
"200651_at" 14420 9328 1899 20724 7214 7774 14221 12587 6480 5627 14005 6056 10262 4231
"200652_at" 5018 9586 16559 21363 7270 8543 14210 5979 14034 2579 15806 16562 7602 16403
"200653_s_at" 13719 3699 14047 8952 21630 18542 2164 4652 12277 2443 2741 19758 6572 7009
"200654_at" 15897 18169 12997 2180 6568 3189 2026 8233 14259 9027 5396 13138 9734 16215
"200655_s_at" 17710 3375 1430 3986 6272 18787 16414 7846 12696 4994 17250 14567 9883 16182
"200656_s_at" 13617 5033 16708 4312 3049 5852 3007 6014 17335 4639 13528 16232 1947 18341
"200657_at" 4793 8768 12998 8987 5285 7171 2971 5705 4561 8736 12235 13127 20283 18392
"200658_s_at" 17052 4017 14037 4330 17454 4193 16830 4782 6285 7560 15556 19324 5305 15914
"200659_s_at" 14741 19843 13475 3647 20100 4959 3393 3658 12332 2369 17860 10998 20881 5151
"200660_at" 4252 8962 2104 6284 18557 16673 13785 7476 16329 18422 14577 13673 8371 18568
"200661_at" 2527 20565 12132 4335 7113 19253 3671 7849 19541 9211 16167 4108 19982 18887
"200662_s_at" 5070 8742 17521 6720 4128 3449 1067 7429 6387 5843 15063 18104 3987 5805
"200663_at" 3335 6451 13062 5652 6285 5161 14969 7189 13235 19986 16254 12707 19790 16465
"200664_s_at" 18743 21448 17072 1449 7556 19730 14249 1818 19525 18720 2130 1241 2740 5666
