"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"213250_at" 17734 13073 6339 9048 7451 8655 5654 21253 14917 3661 5056 11834 12483
"213251_at" 14919 18147 17360 3300 19969 18238 4245 17426 20361 21344 10597 3597 17751
"213252_at" 226 12205 9279 14007 9294 13992 20462 13602 10589 681 1369 10503 9987
"213253_at" 19908 22082 14354 17234 14416 15599 2161 2759 18285 15321 18478 18203 20580
"213254_at" 20259 1530 231 17363 13078 18948 7164 7180 21879 2200 10116 4932 1232
"213256_at" 16398 2970 947 19759 20746 3426 19363 1626 15007 21649 9615 20369 206
"213257_at" 4587 13420 12821 9479 7661 10433 1732 1748 14877 15794 7236 192 1949
"213258_at" 5974 14121 18180 14148 18136 4702 5926 7270 3449 20663 4385 1481 13623
"213259_s_at" 7645 7597 3337 13458 17099 10152 10979 17251 11620 5494 5349 13039 9038
"213260_at" 21246 18838 2919 8967 1519 18776 9761 3344 5369 10628 10012 3310 2457
"213261_at" 2720 8955 13109 1117 1596 6810 20115 1245 9774 13601 900 6358 11677
"213262_at" 19409 21039 16049 5866 17310 1426 5182 7660 1603 19245 18557 14014 17892
"213263_s_at" 16397 15596 15475 17370 451 22006 5117 21196 20705 19548 15829 16671 21369
"213264_at" 13492 19970 15896 16389 2721 20184 19302 21901 21480 19966 21260 22159 13671
"213265_at" 497 7256 13157 8376 5148 10821 13453 10696 12976 6208 3684 12118 11726
"213266_at" 11168 21608 11664 19649 14407 3153 19249 3813 7171 16375 15118 21323 21387
"213267_at" 9229 17878 5071 12232 4988 1092 5681 6321 15830 10185 12374 4120 9078
"213268_at" 21740 16828 40 7953 9957 21132 20430 10659 4587 18366 7780 18217 17837
"213269_at" 21738 22203 17367 19429 3743 21565 8885 14768 7140 21170 14279 2495 982
"213270_at" 3664 7767 6987 683 18615 1656 1316 2829 233 16976 901 17071 17559
"213271_s_at" 15918 1876 16570 21283 17357 5602 20149 14389 20368 19193 11874 16729 1839
"213272_s_at" 10667 3444 706 4585 17635 18603 17903 20479 17069 15889 17229 18235 14732
"213273_at" 6654 510 4784 13311 19164 7876 14272 7244 8797 4275 4817 2875 11616
"213274_s_at" 15586 1325 2489 17091 18207 363 7696 7297 19652 15954 13673 16006 20236
"213275_x_at" 20222 20376 18830 20629 12138 21481 4584 19363 18851 19038 16352 17784 17093
"213276_at" 7938 6848 11501 12171 7112 11961 13073 13521 12352 3961 6525 8756 4639
"213277_at" 6741 13210 5640 15239 5412 6012 10337 767 12004 4325 3870 4844 11369
"213278_at" 17867 18094 15141 1951 11848 15234 6567 19451 6256 18863 11884 16789 16272
"213279_at" 11558 15135 20120 4353 15264 2629 6818 5031 16922 10303 10576 20704 21558
"213280_at" 11984 16010 17665 2565 12720 5445 21746 19747 681 21469 693 3555 15379
"213281_at" 19775 22274 6203 2757 21258 1490 18736 2623 6871 768 19568 10466 18500
"213282_at" 17748 17650 15098 1906 17062 19864 2181 4852 6354 19598 18483 4544 17449
"213283_s_at" 4194 21127 19096 614 12713 14929 15812 6676 7169 2624 22099 14549 21281
"213284_at" 6553 13336 9151 8502 4526 12103 9787 13526 13200 5829 4785 5731 8584
"213285_at" 15309 4639 16690 15832 17432 15695 14651 19325 15257 18698 12219 15783 17041
"213286_at" 1800 2444 14680 18152 12863 1583 8935 22081 5219 17748 21932 2060 19206
"213287_s_at" 21028 17815 20345 2493 14428 18579 6532 8295 3973 12205 16044 18454 13239
"213288_at" 2276 20792 15888 1153 14786 21711 14857 7779 16107 2353 795 4896 14243
"213289_at" 12712 19522 1151 2697 13942 2028 3464 21307 5180 12930 21363 22250 21623
"213290_at" 3435 7418 13696 7364 1074 14218 12442 7687 13604 8731 2944 10464 11709
"213291_s_at" 13587 16389 20574 4991 16814 3568 6915 14967 7426 14356 15664 1864 1637
"213292_s_at" 16279 2264 19369 3167 20815 2542 6263 16364 6043 16085 11732 4826 17906
"213293_s_at" 7049 5647 4737 20850 11683 6512 19835 1333 13934 416 18273 10040 12520
"213294_at" 19259 16209 20887 19272 14893 4624 2434 5830 15597 16596 18007 1883 14555
"213295_at" 18929 14305 5429 1279 12222 8111 5233 8260 1697 2230 9408 11188 10146
"213296_at" 12542 15946 5973 2776 20900 22088 19769 8442 15022 17482 18005 2239 471
"213297_at" 10849 20864 2172 22212 3373 21908 19005 2557 20382 17554 17630 18487 18911
"213298_at" 22070 385 975 22258 15634 3411 4622 14003 17823 15529 2061 14456 15596
"213299_at" 3227 7042 9316 12314 5835 4201 21648 21254 179 881 20559 7352 17720
"213300_at" 5143 3431 21808 19483 15723 3997 5520 18584 18628 11050 9450 4216 16357
"213301_x_at" 10644 20137 20399 16515 12515 3611 4560 14561 3286 18640 14913 17891 16359
"213302_at" 4871 14852 20925 18300 20301 3805 4292 2513 5039 20548 19671 17412 1240
"213303_x_at" 11605 22104 12361 4717 3656 19577 21614 17294 18925 1297 14562 16189 21752
"213304_at" 20361 21150 2980 849 3483 3749 18510 5928 3307 18842 14493 3416 18592
"213305_s_at" 17716 4728 18905 17630 16014 16973 5567 20031 20779 19221 18811 20515 18699
"213306_at" 20526 15776 2549 15164 110 18055 14187 22067 1782 21824 3132 19559 3849
"213307_at" 16379 15339 12469 15030 3499 20952 9316 2025 3908 2758 10952 18936 202
"213308_at" 20169 3037 122 11495 20932 15219 9600 20163 6607 18846 509 912 2496
"213309_at" 9687 8443 3203 18769 2085 8872 17687 8569 10453 5939 13473 5411 6300
"213310_at" 16368 20327 1012 2263 20549 14954 1728 5590 2828 18424 12722 4933 3176
"213311_s_at" 12037 1475 18299 19366 3456 5196 19581 3021 15744 18405 12577 1153 16067
"213312_at" 18985 20749 1901 17291 17717 4798 2314 14859 19030 14508 18222 16657 21579
"213313_at" 13730 17836 18368 3229 3793 3101 8334 18148 1460 18015 10342 2486 2142
"213314_at" 19550 2055 10482 5444 20443 20514 5906 20138 15709 2035 10098 16031 15285
"213315_x_at" 13809 4358 16836 20419 17904 16006 4969 16285 20531 13694 18682 19200 20138
"213316_at" 2707 8193 12517 8925 21448 13634 5212 2685 13901 7594 4367 9570 10431
"213317_at" 6969 7158 11819 8010 10080 7225 12587 1127 10749 3960 512 7638 11198
"213318_s_at" 2734 4643 2955 19153 16047 16198 8238 3625 19362 16557 9836 14377 1712
"213319_s_at" 7388 7946 4224 10028 5121 10890 9045 10575 14256 5808 7089 6337 11269
"213320_at" 18737 14410 14895 16393 21171 2727 6667 3428 4998 19287 19899 14588 18582
"213321_at" 10175 19308 16575 3783 21654 229 1739 17849 1847 10156 21185 254 18920
"213322_at" 12793 1210 2953 19351 14328 16917 8108 14226 4573 13730 19394 14279 13789
"213323_s_at" 5127 187 881 21661 17486 16129 15509 1567 4468 9020 21681 22170 22040
"213324_at" 4991 1613 19437 15404 1799 20131 17427 17739 16812 22259 4422 19216 6045
"213325_at" 3195 19748 5061 11457 22136 10672 11469 17578 21956 10730 7404 10869 5255
"213326_at" 21580 968 19303 17352 14505 20592 7121 2822 16915 16565 16844 18644 21954
"213327_s_at" 13114 15324 21279 2892 12506 15429 2879 17025 18219 18503 11421 15049 20354
"213328_at" 3418 3335 17016 17909 14236 663 2464 14382 19984 11141 14267 15729 3278
"213329_at" 13644 17234 22019 1712 21213 20563 6644 14671 16074 20368 13977 19362 18414
"213330_s_at" 11441 5089 18381 3700 12085 4513 7097 8032 7131 12483 17886 21563 18322
"213331_s_at" 15692 20336 1000 19423 1650 2660 1156 20238 888 17632 9712 597 22147
"213332_at" 12702 8052 3293 12341 8110 7188 4589 107 8333 7894 7081 5560 6402
"213333_at" 4190 14093 2428 20882 19695 15291 15220 20514 16073 12644 15277 18372 4103
"213334_x_at" 14969 14306 1934 17550 14711 17014 7844 17930 17745 9360 16663 5277 15249
"213335_s_at" 8984 7718 5280 19623 7487 8682 19688 976 3361 468 13169 630 12431
"213336_at" 9034 19398 21164 20043 31 343 2941 7124 6885 1434 22209 16821 19438
"213337_s_at" 498 9386 7531 8555 7922 12320 9800 12322 9749 4265 8238 12381 4673
"213338_at" 9712 13232 13806 20293 14309 10876 19183 4826 3298 1803 9711 13057 9811
"213339_at" 6696 9663 3830 12910 5932 12152 12767 21704 9236 2351 4747 11041 8153
"213340_s_at" 10696 5676 4900 7905 18459 12188 8184 16108 14720 4585 372 9958 12760
"213341_at" 4441 21284 15250 2684 1339 4018 1075 19524 16806 20499 9667 2648 17273
"213342_at" 15712 20490 1487 11584 17134 21604 10916 5921 2964 21490 4953 20137 15999
"213343_s_at" 7248 13785 7120 19783 12307 2714 20100 19666 19428 10500 20844 12503 18094
"213344_s_at" 12906 19076 551 20520 19443 17433 3097 528 16315 13679 14303 18273 21555
"213345_at" 10097 2835 3706 11446 401 12461 12638 5040 424 5535 3963 1391 2987
"213346_at" 4360 19492 19789 2415 12043 18113 8796 14772 3296 17311 14886 14522 2607
"213347_x_at" 4400 14045 21649 16831 3241 16566 10582 9989 6862 9286 4154 3865 2625
"213348_at" 20199 20305 6547 11080 18903 18667 328 2806 21010 4118 9945 7008 1700
"213349_at" 2845 19529 18044 9923 1505 18607 275 8005 1827 20958 13905 20661 21985
"213350_at" 5354 19061 1524 2626 2395 19804 8656 8538 18194 17273 1833 16765 17483
"213351_s_at" 21943 19275 19726 19941 12939 18269 17693 5086 19248 16157 12465 16192 20858
"213352_at" 21903 22182 14325 12555 17741 15542 7344 15967 20776 20989 20678 21616 18889
"213353_at" 13482 21781 14520 17247 13822 3214 21742 20172 19016 15798 14679 18828 14603
"213354_s_at" 6795 8462 8018 12224 4022 9130 13147 11706 11046 4396 2583 6235 7087
"213355_at" 8806 11387 3700 18582 2040 13515 18348 6681 12784 6553 17916 12952 5851
"213356_x_at" 12846 5004 2720 6863 12482 4444 10688 7554 6707 2616 4275 3801 3309
"213357_at" 18124 18098 20509 4515 16852 16462 15183 7014 2774 20506 19565 17751 16686
"213358_at" 15152 21027 2807 9087 1902 16079 12771 14838 15875 16041 2854 4730 1071
"213359_at" 5050 15689 3182 6017 22125 16852 8106 7685 20074 21710 12299 18078 13366
"213360_s_at" 18377 14949 22116 18856 16114 17604 4987 14327 3423 20933 9020 16697 13098
"213361_at" 4094 19803 14356 17606 18931 4592 8311 17881 17044 15074 16555 21222 20125
"213362_at" 1177 5961 6958 15283 11062 5759 12199 13481 9120 4417 8448 9094 10154
"213363_at" 22079 13371 12923 1626 7765 16376 7310 4733 2236 22092 1496 13383 4802
"213364_s_at" 712 15276 16179 5004 11913 18388 17919 14519 7015 18361 19398 3238 1578
"213365_at" 14215 14340 18702 2957 20262 16725 3794 2728 3744 11088 19753 14524 18730
"213366_x_at" 5907 4785 14473 16938 15083 3391 8462 7952 15870 10307 12098 5158 14313
"213367_at" 16644 161 5343 19358 20934 18304 20566 3458 10809 968 10383 1215 12830
"213368_x_at" 21893 1518 286 9879 12117 17141 193 20765 682 10090 8599 1127 14981
"213369_at" 10287 7775 11673 9746 9102 6608 12931 11524 11632 2314 4733 7414 5190
"213370_s_at" 5444 668 16797 6554 12010 3910 20705 6924 2235 17914 21272 14030 17057
"213371_at" 1819 1663 5588 7489 6954 14523 15053 13218 8995 8736 1463 5557 12231
"213372_at" 5546 21363 828 1121 20427 18920 6048 4122 16737 20462 14576 22206 922
"213373_s_at" 17859 3491 16861 3298 17630 17001 2823 8082 16783 15604 13946 21187 16227
"213374_x_at" 20581 19359 14300 1348 18310 4850 3655 7250 2127 18282 18743 15739 14548
"213375_s_at" 8852 11063 13417 19179 1202 12653 3256 1088 14867 1412 14411 12733 12047
"213376_at" 20157 16208 21635 5958 14188 2849 1577 18946 6785 18655 20051 15683 13292
"213377_x_at" 4580 5286 2243 5361 3679 4599 10695 7680 15171 4878 4283 5240 2503
"213378_s_at" 17155 14194 17245 20097 1581 21969 18681 4747 6614 13273 10713 21006 17654
"213379_at" 11395 17005 20463 21535 16385 20360 4926 15923 15825 12819 17780 14182 14889
"213380_x_at" 12949 8804 12432 10365 18807 13833 21707 14073 8829 1551 226 12687 11772
"213381_at" 9725 10047 6169 15235 5865 10930 14147 9337 13324 7001 4352 8713 7590
"213382_at" 8639 6295 6697 7586 8658 7546 18663 14542 6271 2211 2954 7025 6095
"213383_at" 6248 15981 825 5600 3765 21822 17377 3578 1401 21849 12446 18830 1111
"213384_x_at" 4045 19489 1027 16491 19911 2229 885 15577 7334 22202 9296 20843 5359
"213385_at" 15174 11792 7791 12407 58 9014 7474 1010 10529 5014 20015 8807 5792
"213386_at" 2241 12723 4988 13090 6058 14817 15172 17814 10693 2495 1764 5804 12558
"213387_at" 4717 19805 2608 21797 2709 20676 21086 21473 2599 17830 16958 303 13921
"213388_at" 12128 16123 17538 8358 21007 20949 14351 3140 16561 22050 10092 15039 2118
"213389_at" 19847 21182 9297 19901 21254 3077 20567 2418 21762 17576 11637 3349 20238
"213390_at" 13766 4798 17631 5373 21323 17123 2421 16396 18352 11616 13032 20593 14503
"213391_at" 16556 19929 20170 2998 18517 3849 17047 7331 3271 19751 20084 17363 19502
"213392_at" 12971 3008 22112 3615 13674 17508 17170 15443 15970 16479 22247 15871 17540
"213393_at" 17522 14913 21819 6123 13134 17074 3421 21053 1371 2302 10348 4089 2872
"213394_at" 7515 15738 10664 6412 19595 4033 21030 7593 4961 21768 9256 4962 298
"213395_at" 6919 11970 14070 2155 5022 14674 16886 21982 12959 3638 2239 10663 10153
"213396_s_at" 1781 20904 1213 19349 17084 814 7931 14843 20700 9654 16141 5285 17840
"213397_x_at" 21366 11563 8080 8915 17772 12814 11432 19900 8196 8624 7531 10958 10199
"213398_s_at" 11685 18799 18259 5856 17832 2345 7509 7469 17805 16212 18766 18259 13395
"213399_x_at" 6239 14710 1909 5347 13364 4134 8216 3580 4647 10551 13869 4237 14115
"213400_s_at" 15192 14113 18452 16775 12271 17722 4748 17591 18010 14480 12023 17866 14617
"213401_s_at" 14993 4965 11022 273 853 20899 1247 4162 1264 19978 21988 19235 331
"213402_at" 19164 20417 19568 21609 22256 15912 2477 4013 4108 15201 9963 17711 22049
"213403_at" 1949 21603 6204 2065 21739 80 20223 14614 329 11060 9032 18761 120
"213404_s_at" 18488 17855 19996 18819 20124 3203 1587 4144 6211 16348 20371 3448 16534
"213405_at" 14667 16598 14695 20114 12128 5419 15282 3651 7458 16329 16226 2576 16000
"213406_at" 14847 14853 14154 432 20834 8219 1411 585 10734 15646 18422 12092 8530
"213407_at" 3632 5099 14493 6126 3612 16779 18480 21021 3417 16473 18343 16979 16432
"213408_s_at" 11760 2624 19819 6789 18744 20519 17839 19463 16551 20844 15327 18336 18008
"213409_s_at" 16746 21231 20260 4075 20380 20350 2932 5058 4065 10080 17309 544 14645
"213410_at" 2772 17102 18453 19247 16371 17593 16538 3251 3149 19644 21149 15671 16678
"213411_at" 1588 12480 9335 10644 5496 7890 11514 19318 12171 9787 5902 5965 1698
"213412_at" 728 16177 695 12857 10197 1029 12912 22045 18022 10873 7025 1525 15592
"213413_at" 15978 2363 2751 10828 2077 467 29 706 19234 10325 1715 3171 4910
"213414_s_at" 5130 8768 1042 18281 2513 2864 10522 9921 15473 4638 4089 14984 14447
"213415_at" 7981 6918 5572 15972 11555 13312 12357 13303 5406 548 4064 237 817
"213416_at" 17223 7714 4264 6029 9123 6926 4360 925 14940 1847 17892 12767 8169
"213417_at" 12753 16095 17268 12173 10010 17468 9032 21718 18671 16521 4323 19144 15698
"213418_at" 20284 4015 3764 22030 20300 6007 15156 21320 14922 7819 13340 10184 8372
"213419_at" 6190 4101 17486 8995 1217 17302 304 5623 16409 13928 9648 14624 4098
"213420_at" 16430 20038 19672 18835 21553 16250 17665 21553 20304 12855 11305 2663 15374
"213421_x_at" 1748 12521 9832 14356 2477 13873 13962 5468 9756 651 8699 5843 4517
"213422_s_at" 5510 6554 3947 9015 15932 10563 16673 17521 4936 917 1584 16476 6377
"213423_x_at" 17743 14300 18416 10384 18294 3613 9082 5267 4948 12623 6747 14950 18457
"213424_at" 15558 21975 604 13504 22046 16321 14604 13953 3714 21339 3406 22102 17924
"213425_at" 6650 11649 9028 15219 17698 6456 9354 1727 7984 6910 4366 8877 9971
"213426_s_at" 19600 13823 3843 8149 21722 5098 11200 2121 1731 381 229 6101 9356
"213427_at" 13962 3283 643 4227 20176 1424 18021 7533 1664 14034 17051 17698 14949
"213428_s_at" 1777 267 9904 8469 15350 18399 17393 5388 396 17377 862 19480 11848
"213429_at" 9858 12314 8057 14142 16189 7088 9571 7502 10823 6582 3023 12331 9980
"213430_at" 7731 9480 11029 15054 1685 14681 9900 401 17963 11234 8639 12400 4286
"213431_x_at" 11382 13670 13952 10829 5420 8436 21413 14805 3606 18417 15731 14299 2280
"213432_at" 8416 13888 10273 13153 415 11128 12724 18422 9308 16737 5612 13235 417
"213433_at" 20497 10655 6702 8839 1714 397 216 874 6806 13931 8756 929 6026
"213434_at" 21998 21976 709 3930 20532 1876 15963 3884 1662 18576 19081 16786 19343
"213435_at" 2483 18262 15256 3081 16496 21907 5100 17880 1123 13903 17172 1987 22257
"213436_at" 9495 12624 5101 14549 9407 12097 12544 13673 14727 6153 1824 7131 4623
"213437_at" 19756 17096 1541 9515 1624 3993 18266 4754 21412 21792 7475 21762 18280
"213438_at" 2820 5582 8458 9409 5290 9157 12240 8657 7667 4900 4839 11200 8509
"213439_x_at" 11176 6143 5867 12198 5308 5821 22005 13674 14835 7006 4484 11797 2060
"213440_at" 2967 20443 1856 499 20270 1794 3533 19638 20055 17913 20533 16608 20839
"213441_x_at" 12877 3402 788 12361 1857 4309 535 15883 19757 11844 13828 18202 17481
"213442_x_at" 1797 9804 9590 8160 8548 8054 11753 11101 12779 6809 6798 12271 9108
"213443_at" 8386 8760 7445 11993 10075 11628 11608 594 10352 3196 7409 10804 1347
"213444_at" 9617 1034 14066 4657 13061 13588 19828 13882 197 20595 16658 19002 124
"213445_at" 15434 2566 408 22191 21948 21752 20756 16411 7392 21795 2653 21326 1837
"213446_s_at" 15709 15342 18618 17583 17786 20666 19506 4307 18383 13852 21657 4763 16662
"213447_at" 1490 13638 3572 17546 14126 8018 8150 5319 21927 15507 12136 7594 5943
"213448_at" 1852 19462 18034 4061 12297 19703 18164 18427 18009 19762 9369 4341 19503
"213449_at" 21097 16949 14549 19267 17623 21122 7063 18244 4430 17229 16730 1950 2727
"213450_s_at" 20209 7711 10920 20311 11698 14795 20561 1167 14668 8057 171 10448 12441
"213451_x_at" 10392 11376 11358 14234 9080 11332 12565 9480 12074 3667 4649 12751 8600
"213452_at" 12280 18414 492 1919 20771 18412 2429 15738 934 14869 20164 5334 14653
"213453_x_at" 11269 8336 18159 16675 11879 4349 10603 10012 16075 2621 4182 5237 4090
"213454_at" 16071 16873 17988 18075 16078 3663 4007 2912 4267 11046 16922 19388 18015
"213455_at" 11953 1167 968 21249 3902 16987 20742 8478 2152 20584 14726 17280 1473
"213456_at" 7662 10160 7262 12941 6950 13444 14288 22093 7770 7196 7006 6966 8805
"213457_at" 5767 1979 21169 21838 1508 115 2821 20436 1305 18904 9860 5029 3073
"213458_at" 8664 9219 5490 7551 9187 8278 14191 14142 11154 5050 8366 7235 11120
"213459_at" 21484 20419 20784 1618 21827 2035 15098 6311 18075 19029 12886 18469 21150
"213460_x_at" 4605 19420 693 21786 1919 20263 15489 19565 19282 15127 16079 20906 19420
"213461_at" 10738 20250 14405 1894 17245 2583 5085 20347 15267 13612 21237 21450 21870
"213462_at" 563 9581 4230 13725 19500 10645 13047 16806 13078 7436 7120 10220 10961
"213463_s_at" 21838 18385 20838 4448 20128 18617 17228 20036 15537 2957 17288 21337 17532
"213464_at" 17614 12366 6509 9035 9541 14539 5080 16387 5253 4570 8521 6450 4716
"213465_s_at" 17253 14830 17070 4451 19333 4536 8107 7087 17210 15501 18493 17900 18967
"213466_at" 9707 6532 6244 13632 4879 6460 167 12651 9533 30 3246 11876 1798
"213467_at" 1911 280 17825 9445 8875 21828 11760 4070 17804 17760 7543 21897 17544
"213468_at" 68 15363 10124 20678 22032 2153 7393 18941 21016 11542 20634 15333 17836
"213469_at" 20440 5046 6880 10809 22102 19681 3179 21829 2296 12781 16275 4575 19441
"213470_s_at" 12024 18354 16428 21517 21865 18866 6128 19811 22088 17139 21940 21441 22142
"213471_at" 5844 17760 17443 16903 18811 20791 18165 20179 17722 19695 10876 22156 2127
"213472_at" 21972 9205 9987 14932 4973 7832 3240 623 18203 18919 13183 13865 12975
"213473_at" 18994 2968 17914 19867 17962 16811 7838 20645 16558 16217 14507 14251 21270
"213474_at" 4910 22231 13577 19691 21709 8644 158 19505 21402 22140 13856 13560 9930
"213475_s_at" 12360 7760 6811 2739 10306 9854 15713 1282 15284 9307 15203 10695 5862
"213476_x_at" 4968 14190 16475 18345 13531 4270 19734 15978 6981 12892 18553 15445 14935
"213477_x_at" 4495 8294 14689 5849 3364 15850 10713 10108 10301 4902 4300 14169 3494
"213478_at" 14925 4896 16825 18264 21492 1246 8212 8573 19597 16286 2375 17501 13725
"213479_at" 21628 6145 11162 13945 10169 5815 11533 11572 8284 6178 72 8638 8947
"213480_at" 3654 3646 20810 1769 18789 5595 4370 5825 5169 9031 16253 21073 2611
"213481_at" 15700 20544 1820 3350 2149 14859 21045 21985 73 9678 21987 13836 2458
"213482_at" 8615 670 4089 7823 10031 14563 14741 9466 13587 6495 7774 2093 4933
"213483_at" 18751 15695 14921 21525 14345 16640 20512 19851 5036 14247 19506 19093 19954
"213484_at" 21349 11229 8634 6939 5701 12912 11916 1345 13520 8454 5830 11678 8548
"213485_s_at" 14877 5318 15460 17051 20825 18434 5396 16031 15260 14499 13203 20633 1476
"213486_at" 11832 2060 14041 18357 7968 11058 20659 14030 1621 20893 11152 1197 12582
"213487_at" 8234 10327 7526 11874 8770 9591 9060 9923 10455 4647 4369 7807 6717
"213488_at" 207 8895 12844 14875 5013 9875 14424 9093 14884 8725 7202 13484 5613
"213489_at" 9951 6801 12803 17273 10158 12792 17335 22199 680 1557 21286 4145 12282
"213490_s_at" 12801 19913 20769 16286 3074 19327 841 19038 21763 20856 13026 21953 22082
"213491_x_at" 13841 3950 1379 5442 15528 3745 16700 5759 3792 10237 11740 3269 15074
"213492_at" 19604 7146 9748 9230 6054 8328 12017 16468 11844 8036 5198 8066 4537
"213493_at" 9135 434 4641 11187 373 13654 21609 12566 8566 9463 6793 278 12064
"213494_s_at" 15914 1956 2968 19912 3297 2072 2362 1970 4714 16486 17456 2139 2017
"213495_s_at" 10173 813 10150 9888 639 3038 1878 6699 11757 9411 5318 10228 5426
"213496_at" 945 12884 9886 2531 3289 13650 8527 2890 7734 3587 1028 8107 4687
"213497_at" 5514 19553 11 11688 21091 492 1558 16973 3692 21466 710 21279 16728
"213498_at" 19839 8518 3333 14808 9965 11126 13439 9046 9012 3118 8240 8921 9198
"213499_at" 677 19912 1184 13439 657 22048 22119 20959 21299 828 16187 1097 13343
"213500_at" 3888 3215 2775 5505 1353 4484 15328 18359 1038 13670 14565 19195 998
"213501_at" 15663 2300 2499 16 20276 3729 16657 15410 7024 21743 11487 2236 21459
"213502_x_at" 2857 234 4001 21098 16 323 20819 5437 17456 2701 9538 1796 18918
"213503_x_at" 11481 15663 18549 2095 3009 2160 15397 9987 5596 10326 15650 4450 13139
"213504_at" 5666 14539 2109 17785 2193 19877 7692 6112 6742 16648 9372 17659 3220
"213505_s_at" 17966 15972 496 19949 21197 17676 18616 21075 5243 11706 21420 1653 21900
"213506_at" 10735 3922 16054 13440 14133 3079 11067 15755 4915 10081 8258 3091 1295
"213507_s_at" 14999 4065 16253 3843 2099 16299 6614 3880 4631 14197 11849 2667 2941
"213508_at" 16828 19949 19249 16479 17394 15825 2978 3566 5925 21818 20761 17553 17245
"213509_x_at" 20110 1926 2110 17747 21787 3147 17112 6563 17237 11664 13879 1996 14200
"213510_x_at" 20655 20926 1714 18770 21488 17088 1402 19671 18222 20416 13217 14695 15885
"213511_s_at" 12376 19886 21908 3564 20749 17297 17912 6899 19411 20693 12200 20136 18324
"213512_at" 16706 20193 10884 8498 10387 14123 14864 997 17689 17046 5140 13584 11268
"213513_x_at" 19554 21022 1942 17878 13203 5137 6202 17791 5617 16150 9587 17106 14404
"213514_s_at" 18665 1773 19770 19577 1871 1980 1718 19920 4264 13084 16924 19329 13783
"213515_x_at" 20998 11752 8819 8392 6264 9998 9198 273 11996 3998 7400 7831 10928
"213516_at" 8983 8364 7918 10651 6764 9290 12791 11098 10220 5310 7446 8981 7848
"213517_at" 13785 19653 14328 20698 18366 17254 19264 3392 6992 14419 20287 15283 17410
"213518_at" 18653 15853 15637 20752 18376 2754 5699 20601 19347 20304 21775 19392 18422
"213519_s_at" 5480 9739 6604 15983 7298 11590 13567 234 8849 8318 9068 12012 11970
"213520_at" 22217 641 15178 21795 20364 16420 20337 5444 6066 21612 2660 21928 22237
"213521_at" 10789 19503 2692 22268 902 16088 17745 18727 16843 9247 2232 21313 4076
"213522_s_at" 17834 13128 7868 19063 745 6161 4399 4469 14653 8968 1109 8843 12674
"213523_at" 16432 20713 17983 6473 733 4697 8261 20956 3313 16897 17673 2997 15234
"213524_s_at" 425 12593 6074 18131 14134 8537 21374 16283 10533 408 633 7474 5814
"213525_at" 4058 13681 4788 9238 2432 7671 2266 140 18876 7271 292 276 9067
"213526_s_at" 11500 20191 21945 19040 17078 17619 18279 20324 18334 21199 15949 21703 13644
"213527_s_at" 19383 17996 1769 1770 3839 2084 19461 14870 18763 16955 16318 21218 13399
"213528_at" 19215 19652 15084 2939 17318 1423 5961 5810 3687 16652 13603 16753 21085
"213529_at" 17868 2210 1993 13611 4642 858 20081 1591 20226 15818 9929 21666 3127
"213530_at" 20829 3804 14554 18585 12866 15697 1555 6738 1434 21499 17134 19013 1413
"213531_s_at" 20901 17180 16631 16237 14088 1985 3118 3632 3282 14782 11004 3800 14838
"213532_at" 16578 21001 19532 17584 12632 5261 5559 14326 7419 9352 13240 19042 14691
"213533_at" 20907 9336 9955 13118 9820 11189 13897 13386 11979 8785 8397 9315 728
"213534_s_at" 11296 21932 2994 21924 16245 21216 18143 17586 19425 11744 16016 3869 13908
"213535_s_at" 13564 14619 16669 2977 13846 2138 8605 5728 17690 12629 13907 15322 13920
"213536_s_at" 9794 13940 13966 3316 3853 3925 538 12561 3073 1175 21428 12883 12222
"213537_at" 10567 6890 13220 8748 184 7802 1801 1017 6470 10365 8576 9607 31
"213538_at" 16795 4752 302 16343 14326 985 17015 7803 18269 17825 12596 14188 16392
"213539_at" 20306 8264 13967 2319 922 3184 15421 5112 366 2205 787 13414 2415
"213540_at" 17207 19343 20489 16024 22068 15607 14797 19116 3102 9815 606 2604 17619
"213541_s_at" 16949 9353 9069 14605 7277 8960 2230 11086 7877 6760 7482 8861 9948
"213542_at" 22207 1305 1562 21354 400 21942 425 20619 20649 20559 1939 16075 15507
"213543_at" 7078 10959 13878 7492 10630 13649 2649 483 7675 5748 7627 1636 12324
"213544_at" 5497 11932 13039 2945 3275 14488 238 738 1906 6936 19179 7124 10572
"213545_x_at" 18161 14124 2250 16835 15076 16628 8958 3893 3789 10614 16371 13969 15811
"213546_at" 19082 2843 656 18161 21396 2076 6005 6344 6964 21253 19374 15898 1351
"213547_at" 4316 13685 8097 9148 15066 14002 11978 5075 8617 3488 13625 9057 9255
"213548_s_at" 13756 17657 20304 4776 17848 19052 20885 21452 18313 9673 21892 20693 21624
"213549_at" 19248 20427 21850 19798 17662 19597 3907 16040 17465 15551 17966 16856 20959
"213550_s_at" 2494 2523 296 19439 14500 16692 755 6256 4357 14208 10240 407 1674
"213551_x_at" 8643 19936 181 15756 22244 1078 21344 17855 15386 17718 21020 20617 18755
"213552_at" 17494 21966 597 7911 21234 20072 19339 20606 2786 11821 17387 16643 21494
