"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"200042_at" 18682 16239 18257 3581 13473 18702 7047 14021 6001 13453 14168 15590 16460
"200043_at" 16474 20063 20862 17806 14535 17184 5976 4955 1895 14526 11059 3787 4201
"200044_at" 15793 3772 18461 1719 19214 16803 2898 7618 15525 13242 15491 14231 3944
"200045_at" 14881 4466 18186 20515 12598 15404 17681 17916 15151 15147 12244 4258 3388
"200046_at" 13143 20054 1663 2891 16292 1107 15396 6747 3106 13786 17601 19318 15200
"200047_s_at" 15044 20567 1207 3510 12589 2455 19309 3622 2577 12568 15156 4187 14606
"200048_s_at" 11137 16245 14950 3878 13700 3669 6312 6167 7402 11330 12524 14698 16201
"200049_at" 14279 4826 15877 19298 18513 16503 3704 5768 5650 11334 12488 5164 13236
"200050_at" 15750 20083 18574 16853 15453 3395 7625 15974 2800 16758 10810 19816 14519
"200051_at" 14795 3951 19864 17431 11912 16817 17331 19184 17135 20526 16901 16201 19765
"200052_s_at" 12568 16900 15406 3684 12193 5558 5867 17023 18341 13580 15093 18744 17950
"200053_at" 5706 20252 21551 20530 565 15855 18328 20925 19431 20097 12567 21413 13657
"200054_at" 17438 15244 1863 19584 16344 3083 3342 4079 5675 17661 11785 20936 13654
"200055_at" 4566 4331 16313 4477 2138 1933 15434 4744 17301 10586 10815 14098 13310
"200056_s_at" 18998 19188 16940 1228 16233 14945 5469 6145 1361 17374 20444 15920 18771
"200057_s_at" 10669 15249 15723 5520 15260 3535 5988 14892 4649 11627 10627 4463 2627
"200058_s_at" 16891 17125 19336 19036 15898 19981 4745 5632 7010 19873 13050 17729 3027
"200059_s_at" 17368 19635 16315 3135 13196 1905 4136 7545 15911 11249 12362 15214 14983
"200060_s_at" 12466 17256 18612 19983 20416 18701 15380 16848 17466 15122 12676 4572 17757
"200061_s_at" 5350 8624 2654 18188 6513 14964 10637 10050 18218 4802 4229 13901 3096
"200062_s_at" 4391 8451 2348 17116 11916 5312 10560 9964 9915 4692 4132 3862 3500
"200063_s_at" 14608 8687 15903 4637 13341 16957 10690 10085 10230 4871 4278 14962 4029
"200064_at" 4131 14673 16621 3302 3237 14891 4848 15445 5300 11247 13723 17843 15480
"200065_s_at" 4372 4395 16691 6926 13949 3608 7110 16954 4082 12799 17174 15632 16232
"200066_at" 14348 16616 19500 20567 12782 4151 7586 20426 6906 15844 14190 18847 19059
"200067_x_at" 18822 14701 1449 3195 13041 15160 4888 4790 5372 10350 12199 4288 13212
