"inst_2439" "inst_4662"
"200776_s_at" 1371 13502
"200777_s_at" 3962 15615
"200778_s_at" 5536 16015
"200779_at" 4805 2752
"200780_x_at" 13118 11212
"200781_s_at" 8356 3082
"200782_at" 2162 11623
"200783_s_at" 21537 19665
"200784_s_at" 8802 10168
"200785_s_at" 11287 18133
"200786_at" 5358 12975
"200787_s_at" 2232 2361
"200788_s_at" 5852 2722
"200789_at" 14858 19195
"200790_at" 2215 12211
"200791_s_at" 17735 20373
"200792_at" 18850 12970
"200793_s_at" 19316 3975
"200794_x_at" 13373 14351
"200795_at" 12794 11844
"200796_s_at" 45 1566
"200797_s_at" 2611 16284
"200798_x_at" 148 2524
"200799_at" 4 148
"200800_s_at" 2 16
"200801_x_at" 13179 6224
"200802_at" 18619 11655
"200803_s_at" 5787 10806
"200804_at" 16813 12138
"200805_at" 19914 11319
"200806_s_at" 412 2988
"200807_s_at" 1681 2863
"200808_s_at" 16688 13530
"200809_x_at" 8211 10137
"200810_s_at" 20081 15278
"200811_at" 20523 16644
"200812_at" 15175 3649
"200813_s_at" 18485 20686
"200814_at" 14500 11467
"200815_s_at" 3970 10362
"200816_s_at" 21182 22106
"200817_x_at" 8208 6234
"200818_at" 17359 10634
"200819_s_at" 8394 3900
"200820_at" 15506 10210
"200821_at" 16747 18679
"200822_x_at" 13352 3728
"200823_x_at" 5975 3658
"200824_at" 5936 11903
"200825_s_at" 19807 14680
"200826_at" 13687 3215
"200827_at" 13098 3744
"200828_s_at" 13456 14610
"200829_x_at" 17762 14678
"200830_at" 14844 12654
"200831_s_at" 2567 15836
"200832_s_at" 17229 18496
"200833_s_at" 15368 10983
"200834_s_at" 8284 6266
"200835_s_at" 21153 18921
"200836_s_at" 13047 18875
"200837_at" 4432 12807
"200838_at" 2806 14442
"200839_s_at" 3594 14035
"200840_at" 15531 10649
"200841_s_at" 14125 20256
"200842_s_at" 19114 12362
"200843_s_at" 19813 14986
"200844_s_at" 5630 3133
"200845_s_at" 15275 11341
"200846_s_at" 18030 12113
"200847_s_at" 3705 17863
"200848_at" 14969 16973
"200849_s_at" 17585 15611
"200850_s_at" 14775 12538
"200851_s_at" 5615 12027
"200852_x_at" 18641 11357
"200853_at" 13288 11835
"200854_at" 20267 17870
"200855_at" 15577 21011
"200856_x_at" 17268 21224
"200857_s_at" 17427 19547
"200858_s_at" 14084 12586
"200859_x_at" 3047 15723
"200860_s_at" 17553 18120
"200861_at" 20349 15398
"200862_at" 17882 12665
"200863_s_at" 14892 10411
"200864_s_at" 16634 17742
"200865_at" 2706 8175
"200866_s_at" 2914 10302
"200867_at" 16014 15846
"200868_s_at" 3846 3529
"200869_at" 8252 3628
"200870_at" 2612 12890
"200871_s_at" 3765 11033
"200872_at" 2392 4102
"200873_s_at" 15776 2653
"200874_s_at" 18561 3868
"200875_s_at" 17037 14388
"200876_s_at" 13405 11646
"200877_at" 5158 10954
"200878_at" 302 10135
"200879_s_at" 12031 14443
"200880_at" 191 3002
"200881_s_at" 96 2784
"200882_s_at" 14801 11059
"200883_at" 13921 13392
"200884_at" 899 3736
"200885_at" 4286 10698
"200886_s_at" 15599 12114
"200887_s_at" 17045 17749
"200888_s_at" 5812 10078
"200889_s_at" 14286 17081
"200890_s_at" 16106 19338
"200891_s_at" 16995 14977
"200892_s_at" 3537 17502
"200893_at" 5016 14708
"200894_s_at" 89 679
"200895_s_at" 115 697
"200896_x_at" 16429 11962
"200897_s_at" 880 16493
"200898_s_at" 170 3351
"200899_s_at" 3848 21438
"200900_s_at" 13859 16978
"200901_s_at" 14992 18469
"200902_at" 15631 11825
"200903_s_at" 18359 9901
"200904_at" 18638 14270
"200905_x_at" 15733 3549
"200906_s_at" 12479 14947
"200907_s_at" 9248 20019
"200908_s_at" 2409 10612
"200909_s_at" 8308 4198
"200910_at" 2312 10409
"200911_s_at" 15096 20983
"200912_s_at" 13660 11094
"200913_at" 20834 12236
"200914_x_at" 5604 14768
"200915_x_at" 15807 12708
"200916_at" 5529 10446
"200917_s_at" 1434 19455
"200918_s_at" 13515 11582
"200919_at" 19178 18105
"200920_s_at" 2001 10228
"200921_s_at" 4476 10215
"200922_at" 16061 12657
"200923_at" 11649 11794
"200924_s_at" 743 627
"200925_at" 15656 4035
"200926_at" 8502 6376
"200927_s_at" 15529 16935
"200928_s_at" 19627 6902
"200929_at" 21222 12079
"200930_s_at" 11194 21343
"200931_s_at" 13758 13758
"200932_s_at" 18223 15338
"200933_x_at" 8445 6353
"200934_at" 19848 16494
"200935_at" 5103 11096
"200936_at" 8459 6360
"200937_s_at" 13562 10453
"200938_s_at" 12688 3923
"200939_s_at" 13927 255
"200940_s_at" 20724 18561
"200941_at" 16845 16355
"200942_s_at" 5513 11282
"200943_at" 14890 18823
"200944_s_at" 15318 11862
"200945_s_at" 13084 14574
"200946_x_at" 17288 17654
"200947_s_at" 16354 15598
"200948_at" 13121 13346
"200949_x_at" 5349 3314
"200950_at" 13469 13732
"200951_s_at" 15078 4664
"200952_s_at" 17455 9428
"200953_s_at" 21910 2768
"200954_at" 3143 3286
"200955_at" 20988 13108
"200956_s_at" 17380 11576
"200957_s_at" 19414 10125
"200958_s_at" 2900 11050
"200959_at" 5518 18982
"200960_x_at" 5989 11329
"200961_at" 15602 17920
"200962_at" 1905 15080
"200963_x_at" 8505 3369
"200964_at" 15286 14041
"200965_s_at" 10846 17929
"200966_x_at" 5547 2832
"200967_at" 14521 13324
"200968_s_at" 13291 12478
"200969_at" 17567 17161
"200970_s_at" 5902 17464
"200971_s_at" 4567 11256
"200972_at" 18508 13156
"200973_s_at" 21771 13135
"200974_at" 20504 2428
"200975_at" 19041 12777
"200976_s_at" 14399 14475
"200977_s_at" 4833 13927
"200978_at" 15946 13221
"200979_at" 21815 16810
"200980_s_at" 19765 12101
"200981_x_at" 13878 11385
"200982_s_at" 5059 16358
"200983_x_at" 4520 12918
"200984_s_at" 608 13753
"200985_s_at" 1572 10107
"200986_at" 10741 4894
"200987_x_at" 15359 13421
"200988_s_at" 22190 14230
"200989_at" 1776 13233
"200990_at" 17715 15098
"200991_s_at" 20062 15238
"200992_at" 18083 17946
"200993_at" 19465 18382
"200994_at" 20891 19788
"200995_at" 22051 21910
"200996_at" 13303 14356
"200997_at" 1700 10762
"200998_s_at" 3539 14303
"200999_s_at" 3234 14562
"201000_at" 21091 17673
"201001_s_at" 3188 3613
"201002_s_at" 16921 15410
"201003_x_at" 18873 15437
"201004_at" 14873 10159
"201005_at" 869 14529
"201006_at" 17237 17628
"201007_at" 16347 17131
"201008_s_at" 969 19677
"201009_s_at" 2227 14542
"201010_s_at" 3393 14143
"201011_at" 17263 15034
"201012_at" 539 2881
"201013_s_at" 21498 12681
"201014_s_at" 20321 13583
"201015_s_at" 5953 10846
"201016_at" 14232 12965
"201017_at" 20830 18872
"201018_at" 22128 21077
"201019_s_at" 15626 13833
"201020_at" 15928 17176
"201021_s_at" 3674 13996
"201022_s_at" 4933 11667
"201023_at" 601 11161
"201024_x_at" 13823 17421
"201025_at" 19401 17181
"201026_at" 4062 19415
"201027_s_at" 18818 14274
"201028_s_at" 12940 14120
"201029_s_at" 17261 14926
"201030_x_at" 15015 4180
"201031_s_at" 13000 15794
"201032_at" 18803 16666
"201033_x_at" 8191 6222
"201034_at" 16919 19505
"201035_s_at" 18598 3938
"201036_s_at" 18881 16701
"201037_at" 17378 4195
"201038_s_at" 21734 20122
"201039_s_at" 16082 3942
"201040_at" 16707 13688
"201041_s_at" 24 28
"201042_at" 6576 11566
"201043_s_at" 3189 12778
"201044_x_at" 8788 172
"201045_s_at" 1100 15000
"201046_s_at" 18520 12737
"201047_x_at" 17616 16412
"201048_x_at" 1196 21510
"201049_s_at" 8295 3794
"201050_at" 4619 10890
"201051_at" 19963 18641
"201052_s_at" 13072 11425
"201053_s_at" 18188 16861
"201054_at" 21001 19652
"201055_s_at" 3099 13938
"201056_at" 4570 18167
"201057_s_at" 4060 15081
"201058_s_at" 8201 2963
"201059_at" 13341 15965
"201060_x_at" 2906 13511
"201061_s_at" 18950 16479
"201062_at" 21748 2157
"201063_at" 16432 16241
"201064_s_at" 18132 17164
"201065_s_at" 16396 18718
"201066_at" 18961 9927
"201067_at" 17654 20089
"201068_s_at" 5888 4189
"201069_at" 1569 939
"201070_x_at" 4249 14417
"201071_x_at" 5359 13442
"201072_s_at" 18802 16799
"201073_s_at" 19742 16954
"201074_at" 20532 15350
"201075_s_at" 20898 18392
"201076_at" 16267 11091
"201077_s_at" 14422 3706
"201078_at" 15215 17669
"201079_at" 15742 3491
"201080_at" 22078 21834
"201081_s_at" 15085 16640
"201082_s_at" 14843 14099
"201083_s_at" 18592 17874
"201084_s_at" 21216 19405
"201085_s_at" 5090 19579
"201086_x_at" 14543 19251
"201087_at" 8878 19837
"201088_at" 18733 14017
"201089_at" 2357 18807
"201090_x_at" 16513 10295
"201091_s_at" 16976 14523
"201092_at" 21028 14859
"201093_x_at" 19884 14233
"201094_at" 8580 4017
"201095_at" 14921 13429
"201096_s_at" 1812 14653
"201097_s_at" 3896 13073
"201098_at" 5261 14592
"201099_at" 17398 21397
"201100_s_at" 6069 19645
"201101_s_at" 17753 18050
"201102_s_at" 17403 3782
"201103_x_at" 5535 19541
"201104_x_at" 2397 16743
"201105_at" 4604 3768
"201106_at" 13044 12684
"201107_s_at" 11797 1204
"201108_s_at" 305 2015
"201109_s_at" 58 4025
"201110_s_at" 18 2199
"201111_at" 21520 14460
"201112_s_at" 20790 12395
"201113_at" 19897 3971
"201114_x_at" 14004 10872
"201115_at" 17913 11636
"201116_s_at" 11388 12495
"201117_s_at" 6494 11716
"201118_at" 783 14200
"201119_s_at" 15691 10879
"201120_s_at" 12872 14358
"201121_s_at" 13619 13899
"201122_x_at" 4726 15842
"201123_s_at" 13309 16328
"201124_at" 1285 21757
"201125_s_at" 4490 15209
"201126_s_at" 21674 15845
"201127_s_at" 17836 18586
"201128_s_at" 17026 14565
"201129_at" 20329 10886
"201130_s_at" 12041 11859
"201131_s_at" 6476 3852
"201132_at" 13355 16036
"201133_s_at" 17007 21105
"201134_x_at" 17464 4230
"201135_at" 18323 10823
"201136_at" 13702 10854
"201137_s_at" 9335 5004
"201138_s_at" 4653 17606
"201139_s_at" 5789 15992
"201140_s_at" 15462 4835
"201141_at" 473 18689
"201142_at" 21735 20431
"201143_s_at" 17227 21476
"201144_s_at" 15398 12344
"201145_at" 16560 4165
"201146_at" 2916 12771
"201147_s_at" 4326 7127
"201148_s_at" 10335 5071
"201149_s_at" 9061 4602
"201150_s_at" 9801 6757
"201151_s_at" 4504 21682
"201152_s_at" 17219 21336
"201153_s_at" 14583 20075
"201154_x_at" 8384 4255
"201155_s_at" 14324 10955
"201156_s_at" 3519 8319
"201157_s_at" 15170 11569
"201158_at" 20805 17403
"201159_s_at" 14322 14101
"201160_s_at" 15425 13510
"201161_s_at" 15442 3379
"201162_at" 18408 7649
"201163_s_at" 19194 10068
"201164_s_at" 4644 15993
"201165_s_at" 4494 19423
"201166_s_at" 13886 19960
"201167_x_at" 15418 18218
"201168_x_at" 21146 13347
"201169_s_at" 14428 15369
"201170_s_at" 16673 20724
"201171_at" 2948 14226
"201172_x_at" 3565 12064
"201173_x_at" 575 11570
"201174_s_at" 16716 15252
"201175_at" 16511 14380
"201176_s_at" 13809 14817
"201177_s_at" 17949 15914
"201178_at" 17049 11444
"201179_s_at" 4591 15438
"201180_s_at" 16263 15202
"201181_at" 16204 18881
"201182_s_at" 2377 21331
"201183_s_at" 5622 18647
"201184_s_at" 14765 13064
"201185_at" 2565 17057
"201186_at" 19841 15138
"201187_s_at" 3409 2710
"201188_s_at" 9311 17896
"201189_s_at" 10124 16628
"201190_s_at" 16489 18990
"201191_at" 16031 18097
"201192_s_at" 1221 12594
"201193_at" 14166 15624
"201194_at" 1703 3836
"201195_s_at" 17317 11722
"201196_s_at" 19900 20023
"201197_at" 22040 21379
"201198_s_at" 15549 14095
"201199_s_at" 5784 14437
"201200_at" 14346 10920
"201201_at" 2546 3196
"201202_at" 21623 15424
"201203_s_at" 7659 20382
"201204_s_at" 14189 18751
"201205_at" 5723 20310
"201206_s_at" 901 14546
"201207_at" 4352 17528
"201208_s_at" 1056 13485
"201209_at" 16435 11300
"201210_at" 13104 15653
"201211_s_at" 419 18033
"201212_at" 12052 4100
"201213_at" 22098 18086
"201214_s_at" 17588 10203
"201215_at" 2707 12231
"201216_at" 13782 14604
"201217_x_at" 8576 10240
"201218_at" 18266 20467
"201219_at" 18353 16299
"201220_x_at" 15823 15570
"201221_s_at" 17347 13339
"201222_s_at" 2572 19588
"201223_s_at" 18303 12692
"201224_s_at" 15914 21143
"201225_s_at" 18978 14214
"201226_at" 12851 17227
"201227_s_at" 15600 12730
"201228_s_at" 16366 13148
"201229_s_at" 17293 17240
"201230_s_at" 21642 20551
"201231_s_at" 4672 3830
"201232_s_at" 5144 3687
"201233_at" 3556 12855
"201234_at" 5842 17298
"201235_s_at" 465 7682
"201236_s_at" 134 40
"201237_at" 16981 18340
"201238_s_at" 13663 17948
"201239_s_at" 13365 14730
"201240_s_at" 17175 13674
"201241_at" 14730 14171
"201242_s_at" 95 12188
"201243_s_at" 102 14314
"201244_s_at" 16867 15010
"201245_s_at" 15249 13851
"201246_s_at" 3383 17692
"201247_at" 15909 3236
"201248_s_at" 5406 14268
"201249_at" 11034 4891
"201250_s_at" 16953 2882
"201251_at" 12865 10876
"201252_at" 5806 13097
"201253_s_at" 14963 11688
"201254_x_at" 8572 3799
"201255_x_at" 15354 11266
"201256_at" 17458 12955
"201257_x_at" 8239 3832
"201258_at" 5531 3722
"201259_s_at" 4253 16151
"201260_s_at" 16311 15848
"201261_x_at" 2483 6696
"201262_s_at" 11088 3012
"201263_at" 14735 13855
"201264_at" 5309 10293
"201265_at" 4765 2868
"201266_at" 136 10735
"201267_s_at" 2910 12798
"201268_at" 14448 3797
"201269_s_at" 5186 1924
"201270_x_at" 19352 13633
"201271_s_at" 19097 10341
"201272_at" 15340 10747
"201273_s_at" 15580 12712
"201274_at" 18922 4160
"201275_at" 15759 11694
"201276_at" 15854 15603
"201277_s_at" 18626 12179
"201278_at" 3785 20439
"201279_s_at" 14777 11977
"201280_s_at" 3157 22048
"201281_at" 1664 10219
"201282_at" 15645 3856
"201283_s_at" 19476 2678
"201284_s_at" 19923 11250
"201285_at" 14557 15508
"201286_at" 11309 20810
"201287_s_at" 16371 15851
"201288_at" 14451 15366
"201289_at" 898 1077
