"inst_1138" "inst_2323" "inst_2362" "inst_3779" "inst_3860" "inst_3971" "inst_4336"
"200643_at" 2072 19556 21110 5763 7130 17691 5427
"200644_at" 6213 16884 18525 4517 8726 4799 19080
"200645_at" 5640 8552 14953 6276 9975 14526 15498
"200646_s_at" 20272 17266 3099 14983 9256 4321 21821
"200647_x_at" 19908 8449 17560 17784 20174 16332 16843
"200648_s_at" 3179 5844 15870 19711 1976 5218 20555
"200649_at" 2304 4378 1620 2475 8468 5315 21500
"200650_s_at" 7604 17797 3161 7876 10681 11872 10881
"200651_at" 19931 16699 3787 14789 11561 7522 8437
"200652_at" 550 7697 14719 13184 11945 18192 8802
"200653_s_at" 1868 16350 15443 4800 9358 3634 7301
"200654_at" 7247 6932 13491 11867 9727 5439 17468
"200655_s_at" 7550 8397 12452 14021 19725 15766 5839
"200656_s_at" 5927 9234 17674 12426 3026 5297 17425
"200657_at" 8042 16270 3694 6489 11275 5562 6494
"200658_s_at" 3627 4265 14512 16478 9999 11580 8328
"200659_s_at" 5745 2916 2363 15708 7383 13029 19285
"200660_at" 20533 17736 13868 12005 11759 2932 16216
"200661_at" 7395 5407 3123 12813 7836 13365 17221
"200662_s_at" 7240 6539 15878 15507 9828 20940 16859
"200663_at" 6423 9113 16139 5154 5186 17070 5975
"200664_s_at" 996 2672 3464 20574 1780 18025 5414
"200665_s_at" 13668 15646 6804 7527 13906 11232 19630
"200666_s_at" 2935 9329 18851 12887 9875 14678 18016
"200667_at" 20154 4472 2786 16199 8683 13649 4276
"200668_s_at" 7852 5418 13070 13550 10549 13819 16481
"200669_s_at" 1047 6707 17606 14924 8089 12497 15853
"200670_at" 21768 18463 19392 1424 6690 4976 6868
"200671_s_at" 64 21589 11262 4615 9403 5412 3127
"200672_x_at" 3819 16543 14312 20650 11754 15107 4007
"200673_at" 7639 7490 17559 14498 5462 12191 5826
"200674_s_at" 19918 10265 2852 8035 20885 7488 16891
"200675_at" 5177 18187 21739 12052 18258 5709 9023
"200676_s_at" 510 8040 19844 14123 19112 3225 18084
"200677_at" 3504 6056 2964 12588 8219 15372 8120
"200678_x_at" 2280 2206 18066 11992 8406 3655 9171
"200679_x_at" 7006 17789 14181 12162 6731 5179 5994
"200680_x_at" 20413 17629 14119 8076 19035 7549 5593
"200681_at" 920 7859 12585 5667 19268 11838 8943
"200682_s_at" 6752 7860 15023 14032 6450 14278 8448
"200683_s_at" 2151 9925 14352 3468 19086 13953 9108
"200684_s_at" 6120 3918 19220 13250 10723 17805 18021
"200685_at" 1494 2625 13918 15878 7622 16763 3524
"200686_s_at" 4486 2655 19402 15435 18479 19494 9191
"200687_s_at" 5183 17245 18700 11685 5986 17886 19448
"200688_at" 3898 16707 1068 12165 10958 20065 2901
"200689_x_at" 7203 9529 3369 6318 18254 5132 8860
"200690_at" 1963 16701 17728 14363 9812 11696 8155
"200691_s_at" 3076 9185 14384 14148 11543 13794 7686
"200692_s_at" 5761 7988 17295 18519 3786 12175 15385
"200693_at" 19745 16993 14880 12994 8926 12933 7442
"200694_s_at" 4218 16462 14935 13151 11069 17851 8184
"200695_at" 2185 5330 1020 2224 19826 12185 6301
"200696_s_at" 3538 9165 21053 850 11103 5033 20648
"200697_at" 3747 3582 16629 12675 6765 14236 18979
"200698_at" 7574 7451 18039 15850 11714 2913 18702
"200699_at" 3432 18088 14810 5913 18086 12197 16947
"200700_s_at" 19819 6782 3868 12898 19082 13513 15418
"200701_at" 1578 4400 14946 12267 20899 3611 9279
