"inst_313" "inst_608"
"200777_s_at" 10770 3825
"200778_s_at" 15091 12922
"200779_at" 17711 18962
"200780_x_at" 4069 5314
"200781_s_at" 11382 6374
"200782_at" 4866 6447
"200783_s_at" 13645 858
"200784_s_at" 9422 11266
"200785_s_at" 20888 17597
"200786_at" 14813 3984
"200787_s_at" 1510 15963
"200788_s_at" 2225 12434
"200789_at" 4340 17133
"200790_at" 13509 13451
"200791_s_at" 13867 13917
"200792_at" 14678 14323
"200793_s_at" 1313 6001
"200794_x_at" 3445 4292
"200795_at" 20479 21363
"200796_s_at" 15729 6185
"200797_s_at" 2431 2570
"200798_x_at" 15236 16944
"200799_at" 16061 20729
"200800_s_at" 16067 17488
"200801_x_at" 11217 5559
"200802_at" 5348 3499
"200803_s_at" 5286 17206
"200804_at" 12527 4962
"200805_at" 14129 18597
"200806_s_at" 12703 6179
"200807_s_at" 4982 14596
"200808_s_at" 11037 3839
"200809_x_at" 11886 2948
"200810_s_at" 3733 14820
"200811_at" 11178 4454
"200812_at" 4714 4922
"200813_s_at" 10753 18707
"200814_at" 12734 18281
"200815_s_at" 2379 17620
"200816_s_at" 14014 18086
"200817_x_at" 4627 14678
"200818_at" 15977 12115
"200819_s_at" 3096 13367
"200820_at" 4976 15921
"200821_at" 21529 16880
"200822_x_at" 2974 14045
"200823_x_at" 2993 13858
"200824_at" 3605 20268
"200825_s_at" 5970 1580
"200826_at" 12348 16520
"200827_at" 14639 17677
"200828_s_at" 4973 6360
"200829_x_at" 15149 15444
"200830_at" 12224 15594
"200831_s_at" 18528 13880
"200832_s_at" 2371 15796
"200833_s_at" 4362 16727
"200834_s_at" 13317 3893
"200835_s_at" 6962 8536
"200836_s_at" 12434 5901
"200837_at" 12105 2603
"200838_at" 1844 18882
"200839_s_at" 3154 16355
"200840_at" 11697 14321
"200841_s_at" 1979 20269
"200842_s_at" 2877 14224
"200843_s_at" 17196 13230
"200844_s_at" 5650 4859
"200845_s_at" 3760 14523
"200846_s_at" 5303 15024
"200847_s_at" 18515 17221
"200848_at" 689 4609
"200849_s_at" 1734 16273
"200850_s_at" 4073 18798
"200851_s_at" 17916 18316
"200852_x_at" 2285 14261
"200853_at" 18507 12167
"200854_at" 12657 13168
"200855_at" 5207 13869
"200856_x_at" 11386 2868
"200857_s_at" 4295 20210
"200858_s_at" 12973 3790
"200859_x_at" 10927 4643
"200860_s_at" 4124 4296
"200861_at" 5415 14351
"200862_at" 2146 3890
"200863_s_at" 6167 14130
"200864_s_at" 18250 14622
"200865_at" 6646 10807
"200866_s_at" 11954 17800
"200867_at" 11084 14508
"200868_s_at" 3897 16041
"200869_at" 12870 15291
"200870_at" 6211 15736
"200871_s_at" 17094 18745
"200872_at" 12684 3464
"200873_s_at" 13261 5264
"200874_s_at" 13651 20380
"200875_s_at" 19133 5586
"200876_s_at" 10695 13815
"200877_at" 1644 5458
"200878_at" 4454 960
"200879_s_at" 16131 3395
"200880_at" 16449 13245
"200881_s_at" 17164 17517
"200882_s_at" 13601 13514
"200883_at" 10825 4524
"200884_at" 21735 4187
"200885_at" 4175 3806
"200886_s_at" 13153 16462
"200887_s_at" 19888 2749
"200888_s_at" 15352 13997
"200889_s_at" 12852 13777
"200890_s_at" 13815 17885
"200891_s_at" 20344 12454
"200892_s_at" 3850 19229
"200893_at" 11995 15821
"200894_s_at" 19369 13808
"200895_s_at" 5523 14639
"200896_x_at" 14296 2736
"200897_s_at" 16801 15341
"200898_s_at" 4381 17865
"200899_s_at" 20514 19392
"200900_s_at" 18943 3155
"200901_s_at" 19858 18041
"200902_at" 4409 14014
"200903_s_at" 14992 4965
"200904_at" 1476 21463
"200905_x_at" 12874 4606
"200906_s_at" 13117 988
"200907_s_at" 15098 18194
"200908_s_at" 606 13642
"200909_s_at" 15367 5730
"200910_at" 3903 14403
"200911_s_at" 14526 16538
"200912_s_at" 14497 18023
"200913_at" 2415 4702
"200914_x_at" 20440 12755
"200915_x_at" 3297 6297
"200916_at" 12253 15789
"200917_s_at" 2599 2513
"200918_s_at" 12812 1283
"200919_at" 13307 15453
"200920_s_at" 15744 2811
"200921_s_at" 19088 5088
"200922_at" 4878 12476
"200923_at" 19799 13756
"200924_s_at" 3569 5293
"200925_at" 11648 15106
"200926_at" 10845 12064
"200927_s_at" 4538 5643
"200928_s_at" 21439 17375
"200929_at" 5222 14245
"200930_s_at" 10191 6836
"200931_s_at" 13386 21189
"200932_s_at" 4604 4613
"200933_x_at" 12654 13256
"200934_at" 19606 14832
"200935_at" 13164 5158
"200936_at" 5332 13292
"200937_s_at" 3736 15337
"200938_s_at" 6949 9324
"200939_s_at" 10311 3064
"200940_s_at" 15545 20687
"200941_at" 3449 19283
"200942_s_at" 16731 4611
"200943_at" 5261 6356
"200944_s_at" 15344 14814
"200945_s_at" 13131 12720
"200946_x_at" 3744 15977
"200947_s_at" 18377 2957
"200948_at" 16656 2129
"200949_x_at" 12269 3987
"200950_at" 2650 14316
"200951_s_at" 7543 11224
"200952_s_at" 15955 16508
"200953_s_at" 21942 3003
"200954_at" 19525 1279
"200955_at" 11565 15149
"200956_s_at" 13449 5791
"200957_s_at" 17609 19597
"200958_s_at" 17744 5516
"200959_at" 14083 15865
"200960_x_at" 4084 6086
"200961_at" 15604 15981
"200962_at" 1085 16287
"200963_x_at" 15374 3781
"200964_at" 13016 4811
"200965_s_at" 11141 3132
"200966_x_at" 3626 4562
"200967_at" 4192 4074
"200968_s_at" 6097 13709
"200969_at" 12093 17245
"200970_s_at" 19216 6252
"200971_s_at" 1105 4221
"200972_at" 19281 2878
"200973_s_at" 12821 5418
"200974_at" 16922 1104
"200975_at" 11790 17211
"200976_s_at" 3883 12423
"200977_s_at" 16319 3314
"200978_at" 11077 12289
"200979_at" 13799 6166
"200980_s_at" 5388 6267
"200981_x_at" 5091 4983
"200982_s_at" 12127 5216
"200983_x_at" 6053 14300
"200984_s_at" 3485 15469
"200985_s_at" 11818 15152
"200986_at" 20427 5118
"200987_x_at" 14239 13383
"200988_s_at" 13238 5508
"200989_at" 16596 17126
"200990_at" 5270 17393
"200991_s_at" 5417 6119
"200992_at" 2550 5849
"200993_at" 1767 1537
"200994_at" 3284 14181
"200995_at" 4755 6032
"200996_at" 5889 5951
"200997_at" 2000 4232
"200998_s_at" 12343 2184
"200999_s_at" 18776 13200
"201000_at" 14957 15198
"201001_s_at" 12798 3753
"201002_s_at" 6124 12771
"201003_x_at" 18683 13096
"201004_at" 12956 14315
"201005_at" 11463 14987
"201006_at" 18408 4545
"201007_at" 12628 15724
"201008_s_at" 3461 5873
"201009_s_at" 4517 3989
"201010_s_at" 10675 14384
"201011_at" 19566 12985
"201012_at" 19996 18037
"201013_s_at" 5685 16449
"201014_s_at" 16344 14252
"201015_s_at" 5754 5878
"201016_at" 15852 1846
"201017_at" 3908 3419
"201018_at" 17423 17278
"201019_s_at" 14703 3802
"201020_at" 4705 14443
"201021_s_at" 19845 4264
"201022_s_at" 4992 12072
"201023_at" 13178 14391
"201024_x_at" 10745 20863
"201025_at" 16256 15632
"201026_at" 3455 14750
"201027_s_at" 2803 13500
"201028_s_at" 17522 15574
"201029_s_at" 14792 14730
"201030_x_at" 19549 16027
"201031_s_at" 11718 21322
"201032_at" 13710 16826
"201033_x_at" 2145 12841
"201034_at" 16999 20804
"201035_s_at" 6048 16107
"201036_s_at" 12026 14424
"201037_at" 5681 13474
"201038_s_at" 11817 3351
"201039_s_at" 16901 1609
"201040_at" 941 13679
"201041_s_at" 11812 18349
"201042_at" 16998 16130
"201043_s_at" 13542 509
"201044_x_at" 7048 11478
"201045_s_at" 6026 8017
"201046_s_at" 12494 1620
"201047_x_at" 2111 20730
"201048_x_at" 21327 2409
"201049_s_at" 3340 12834
"201050_at" 3887 2860
"201051_at" 13486 6430
"201052_s_at" 11151 3534
"201053_s_at" 16010 5266
"201054_at" 11780 15807
"201055_s_at" 3884 17673
