"inst_3630" "inst_3633" "inst_3733" "inst_3736" "inst_4289" "inst_4292" "inst_4755" "inst_4758"
"200771_at" 15118 17416 5390 7368 15176 14976 17106 3137
"200772_x_at" 4511 2606 10438 16593 11708 10022 11413 7226
"200773_x_at" 5122 2974 6833 13749 3725 2914 11168 6204
"200774_at" 4565 15950 7215 8738 12847 12978 11480 8633
"200775_s_at" 4976 9299 18285 10219 15286 18725 12246 10310
"200776_s_at" 4587 9353 5702 5382 14497 9920 12106 18205
"200777_s_at" 12476 12616 6532 8163 13184 15541 12041 7895
"200778_s_at" 11978 16420 3956 11723 15280 13879 13781 9929
"200779_at" 15331 13362 7281 9059 10561 16302 12112 18273
"200780_x_at" 4245 10040 6604 14665 10374 12503 3220 17751
"200781_s_at" 6874 4644 8786 14263 3168 3070 4874 10354
"200782_at" 4134 15029 8098 8447 10362 3804 11664 9740
"200783_s_at" 17398 17110 18311 10078 18414 20046 17898 17810
"200784_s_at" 5640 4257 12396 18384 14644 11990 6256 15297
"200785_s_at" 4929 7012 20474 2778 20657 1870 9276 16220
"200786_at" 10617 15039 7692 12869 10599 10404 11315 18063
"200787_s_at" 1918 10710 17361 21266 17533 21158 3555 19344
"200788_s_at" 3348 16478 14804 10063 15112 17910 12473 3291
"200789_at" 4953 10644 7219 8839 15867 12832 15551 19913
"200790_at" 11163 17106 7697 12745 4960 11707 13170 8593
"200791_s_at" 4148 16742 4209 4689 13995 20853 11367 19792
"200792_at" 3140 10935 6232 10902 12101 16185 4121 8274
"200793_s_at" 11259 12277 6888 6459 14298 20280 12682 8392
"200794_x_at" 11385 12712 6137 5250 14257 14490 11960 8759
"200795_at" 4160 9758 378 18214 221 53 2287 1027
"200796_s_at" 18149 1675 14411 21722 19422 2011 17213 21940
"200797_s_at" 4177 20659 8085 7407 12769 16467 964 5661
"200798_x_at" 20948 12858 21375 4717 21972 18924 16337 5940
"200799_at" 19343 13374 6082 12694 12324 15160 15325 8057
"200800_s_at" 20392 16089 3083 1947 10542 15608 17872 20087
"200801_x_at" 6784 4536 10315 16455 6686 13516 7026 12429
