"inst_578" "inst_624"
"200829_x_at" 19541 18301
"200830_at" 3361 16376
"200831_s_at" 18111 17019
"200832_s_at" 17270 17340
"200833_s_at" 2345 2480
"200834_s_at" 17678 1852
"200835_s_at" 14474 9434
"200836_s_at" 22276 170
"200837_at" 20491 2525
"200838_at" 17744 17535
"200839_s_at" 3571 19292
"200840_at" 20189 19391
"200841_s_at" 2420 15654
"200842_s_at" 1651 2288
"200843_s_at" 4124 16497
"200844_s_at" 18831 16817
"200845_s_at" 18552 17948
"200846_s_at" 4106 14231
"200847_s_at" 17352 20017
"200848_at" 22217 21558
"200849_s_at" 4083 20057
"200850_s_at" 19154 18191
"200851_s_at" 3671 19451
"200852_x_at" 18419 17368
"200853_at" 19539 17349
"200854_at" 4088 21411
"200855_at" 2405 15093
"200856_x_at" 18169 6847
"200857_s_at" 17873 15227
"200858_s_at" 16871 15528
"200859_x_at" 16510 18888
"200860_s_at" 17449 14274
"200861_at" 21681 2172
"200862_at" 1867 20906
"200863_s_at" 17596 16144
"200864_s_at" 8919 19267
"200865_at" 13629 6626
"200866_s_at" 18150 20773
"200867_at" 4359 17550
"200868_s_at" 18678 16031
"200869_at" 4003 2449
"200870_at" 19624 17803
"200871_s_at" 4383 2569
"200872_at" 3304 1606
"200873_s_at" 15776 15166
"200874_s_at" 18009 672
"200875_s_at" 19406 20621
"200876_s_at" 17408 17451
"200877_at" 18321 16771
"200878_at" 3015 714
"200879_s_at" 11133 11674
"200880_at" 17484 16016
"200881_s_at" 18230 15369
"200882_s_at" 2598 1193
"200883_at" 19872 20064
"200884_at" 20419 1933
"200885_at" 15529 19220
"200886_s_at" 15943 19114
"200887_s_at" 16209 17076
"200888_s_at" 18782 17647
"200889_s_at" 19096 16659
"200890_s_at" 16664 20623
"200891_s_at" 21357 17664
"200892_s_at" 15350 17255
"200893_at" 16231 16071
"200894_s_at" 18274 15364
"200895_s_at" 20208 2247
"200896_x_at" 19030 2304
"200897_s_at" 1943 21710
"200898_s_at" 18406 20417
"200899_s_at" 22224 21054
"200900_s_at" 21330 18424
"200901_s_at" 2415 16954
"200902_at" 21345 17532
"200903_s_at" 19057 18978
"200904_at" 705 11638
"200905_x_at" 20061 2521
"200906_s_at" 8092 21717
"200907_s_at" 21956 20592
"200908_s_at" 1263 20527
"200909_s_at" 3265 2388
"200910_at" 3341 14902
"200911_s_at" 3598 16958
"200912_s_at" 15691 20075
"200913_at" 2777 2673
"200914_x_at" 20241 22003
"200915_x_at" 21135 21058
"200916_at" 19796 17361
"200917_s_at" 19630 18637
"200918_s_at" 16853 2504
"200919_at" 1727 19931
"200920_s_at" 17723 19754
"200921_s_at" 17997 21334
"200922_at" 3574 19063
"200923_at" 3319 18317
"200924_s_at" 19729 17590
"200925_at" 3348 2755
"200926_at" 18209 14463
"200927_s_at" 2714 21673
"200928_s_at" 14378 12742
"200929_at" 17342 19131
"200930_s_at" 10629 3608
"200931_s_at" 2160 19992
"200932_s_at" 601 14765
"200933_x_at" 21336 17045
"200934_at" 21562 21164
"200935_at" 21095 21013
"200936_at" 15851 14150
"200937_s_at" 17615 771
"200938_s_at" 7167 12026
"200939_s_at" 10530 13563
"200940_s_at" 4591 20246
"200941_at" 17590 16955
"200942_s_at" 4187 18343
