"inst_490" "inst_494" "inst_1017" "inst_1075" "inst_1178" "inst_1237" "inst_1577" "inst_1662" "inst_2697" "inst_3194" "inst_4461" "inst_5234" "inst_5597" "inst_5880" "inst_6196" "inst_6954" "inst_6996" "inst_7234"
"200075_s_at" 20532 6571 5398 3882 5210 5684 4644 18943 6865 16921 12168 4384 6135 6283 16004 6339 7264 3135
"200076_s_at" 20867 17384 18407 2746 19673 2413 4566 13750 18945 7509 20623 11755 17214 16328 14082 16464 7963 17469
"200077_s_at" 6831 14083 5208 15207 17286 16721 17327 3702 10677 16308 11552 20049 13486 14781 16643 15635 9533 8447
"200078_s_at" 15231 17848 5542 16651 17715 3663 19357 21055 5867 7915 5468 7106 15899 5418 15072 3452 8446 4675
"200079_s_at" 15574 15623 15635 15392 18831 18395 3241 18565 17882 6305 19718 9185 16286 17829 18216 18162 9725 5752
"200080_s_at" 16836 19875 19239 637 17152 16423 19780 13726 18162 9290 3526 19250 6569 14704 16561 15642 10842 18491
"200081_s_at" 14162 15083 3625 16780 6931 7501 3212 3519 17458 15173 11621 10932 5450 4357 6778 15388 10438 8177
"200082_s_at" 6045 15651 15089 3189 6580 7658 2688 2774 12928 15104 11204 18935 13267 7231 9411 5029 10489 7981
"200083_at" 17690 18432 5392 16643 3035 8114 15594 16223 6706 17890 15441 10189 16557 16912 15838 17409 6918 21625
"200084_at" 17915 4793 5252 18304 17701 17553 16945 16256 9296 8548 13921 8321 17028 16504 16450 17095 20294 6838
"200085_s_at" 17711 14403 5794 18285 18090 4476 17068 15101 7312 14876 5639 6972 5281 6104 16259 6496 10551 8596
"200086_s_at" 3278 14163 5085 16151 17872 16960 17312 13386 7958 9042 4679 20027 5673 14656 16835 4598 8887 8129
"200087_s_at" 15808 10644 16966 16141 5684 7901 21609 15852 7487 16465 12641 8462 14397 16190 14341 3993 3652 18157
"200088_x_at" 14388 5644 9182 3106 5471 6848 2687 2208 12822 10957 7485 20160 8680 14612 9277 5959 19483 16521
"200089_s_at" 5863 7195 4353 17050 4967 8048 19688 3203 12958 7983 5915 9487 6198 15471 9453 5024 8314 8036
"200090_at" 15598 14060 1795 16716 3396 19497 18505 21407 20898 9154 11325 2878 14015 5154 6888 15331 4292 1926
"200091_s_at" 3502 4027 3406 4308 17476 16559 20951 13397 10249 8251 5900 10656 5395 6414 14516 6503 7203 17263
"200092_s_at" 14292 15778 9083 16682 7334 16085 19216 1527 12940 15972 5672 11806 8859 6654 9432 6863 10812 18275
"200093_s_at" 16547 15888 16525 3249 18756 16618 4084 13802 10870 4848 5160 11773 6293 7535 20332 6633 8714 18811
"200094_s_at" 16192 19659 4362 18059 3843 15716 16284 1979 10392 7438 12356 7220 6758 5208 14561 3106 5917 5846
"200095_x_at" 18287 5261 9365 3948 16717 16167 16634 3315 12983 11024 7652 20477 8921 7359 9480 16267 20170 16806
"200096_s_at" 15258 17023 17519 21134 20249 899 16866 3644 1683 9265 13084 20004 18448 15721 17950 16260 2517 19723
"200097_s_at" 15872 16211 18995 19820 16983 19550 21752 16140 10390 3992 14221 7143 14070 17436 19657 16849 10490 18429
"200098_s_at" 19790 14455 5571 17647 7602 7023 4220 18568 17455 15851 15250 8439 17061 16376 20031 17050 9209 18666
"200099_s_at" 5100 17102 9637 4001 5277 7526 18155 1899 12942 11009 7609 14735 8863 5248 9434 15881 20766 8329
"200593_s_at" 21093 7052 15394 16939 7606 20270 20166 14484 20370 5418 15570 11054 3761 21224 20908 19343 5502 7826
"200594_x_at" 5077 2997 17491 16535 5687 20613 19009 17179 17026 5055 16946 11482 18862 20060 17145 19486 20013 7444
"200595_s_at" 15902 15303 5691 18799 19799 6372 19622 18988 10484 15167 15772 7578 16936 17215 18426 2796 5997 7948
"200596_s_at" 14471 4470 4434 15589 17910 16055 19787 15443 9594 18997 16066 5374 4607 5224 18610 4949 4361 7210
"200597_at" 17082 1777 1632 20362 21017 22222 20954 18290 18484 3304 19987 10920 19489 17987 18076 20713 21942 6450
"200598_s_at" 15750 14170 4706 2056 5472 2276 18340 1224 5861 3059 2219 2033 4346 1728 14245 4536 2358 2652
"200599_s_at" 17527 14426 3591 21353 4573 3893 20606 14556 6417 3911 3980 1837 3719 1473 6454 4414 2503 4060
"200600_at" 21129 6026 14119 13981 18043 5548 19017 9973 10740 21642 14769 13905 10151 16544 17483 5142 12300 9570
"200601_at" 21489 16137 21365 4140 1673 19983 20125 15046 3564 4674 13011 11832 19113 17098 17361 19362 10696 18305
"200602_at" 19776 2638 17972 22134 19713 19941 19867 21494 20845 19053 5396 9014 19212 20924 19613 16216 1621 19766
"200603_at" 18391 5072 16490 15894 19677 16624 18587 3174 6062 17423 5731 8268 14988 16396 18387 15606 5054 18401
"200604_s_at" 17987 19189 17038 2834 18192 3591 20906 18932 21270 8100 17329 7028 4526 6142 4584 4770 6183 2783
"200605_s_at" 13840 3286 15996 3974 18784 17186 1485 14090 4670 17754 14967 4978 14108 17349 14447 6053 7532 17380
"200606_at" 6384 4587 2822 3978 11843 1231 7863 2882 3691 9125 14733 9888 15086 3230 18706 4666 6539 6286
"200607_s_at" 14998 18541 17156 19151 5795 18335 16892 13186 17864 5856 3937 8340 4503 20280 5034 18028 8324 4677
"200608_s_at" 3172 2603 16563 17442 7428 18807 19490 13278 10546 15298 11494 8518 12985 15288 15651 6471 7260 19904
"200609_s_at" 19264 18834 20456 21879 20363 2930 18753 21110 10764 17940 20844 20858 19198 7587 19050 20749 8598 16651
"200610_s_at" 5707 14955 19206 18130 16806 19634 16076 13057 17299 6929 16077 11195 19329 15041 16807 17544 7589 19163
"200611_s_at" 18001 14573 17826 18852 16888 5696 4098 18529 9353 15456 19159 9630 18616 18689 18330 18118 8312 17103
"200612_s_at" 6938 4058 15333 2398 4894 7689 1495 15796 8958 19352 19975 6490 19246 442 15870 2909 19378 7556
"200613_at" 18645 16531 18301 16072 4786 15815 2633 17193 7099 8339 13419 19458 13443 15220 6150 16127 7497 6658
"200614_at" 16021 5719 17363 4333 19057 17350 15870 15624 8872 17065 14534 19542 13383 6146 14751 16081 9481 16749
"200615_s_at" 7177 5128 1608 18150 18137 6598 17371 2181 3766 15302 12195 9738 13160 3439 4559 4884 1832 6399
"200616_s_at" 13797 2601 4704 4448 17661 6255 4515 18256 8156 6192 3042 7227 6159 3995 14474 16933 8642 8117
"200617_at" 14664 17144 16101 2621 19950 18104 3574 13558 7875 18152 19018 7498 19479 5973 3026 16527 6860 16985
"200618_at" 6928 14733 19610 21052 20322 16298 16350 15530 17821 18220 16316 6280 17953 18342 15002 21779 8556 20324
"200619_at" 20097 18117 15547 15709 18517 16293 3889 14420 17588 15673 17246 20694 20480 7117 13903 3883 4121 7086
"200620_at" 17518 16851 4740 4247 18893 7740 1859 3629 17468 7911 11407 6724 3302 3656 5728 4423 6636 3483
"200621_at" 6253 6029 5717 15504 17191 2259 17399 17990 8671 15592 15913 11484 14786 5749 16360 3846 4678 4306
"200622_x_at" 14483 2553 17146 16234 21000 1844 2106 15132 8202 8726 14676 5745 2965 16087 3219 15340 8088 5634
"200623_s_at" 15275 17743 21175 21578 22236 18122 1582 15878 17624 18947 17637 19374 16195 2555 17682 6028 10094 6982
"200624_s_at" 20051 4428 17274 18906 18708 17580 3060 19060 18460 17498 17820 19130 17916 18351 14687 16190 6018 8457
"200625_s_at" 16351 15347 5863 20890 19649 17408 16280 20116 18097 16941 13641 9894 16516 5755 16817 20382 7822 6654
"200626_s_at" 16193 14818 17616 16668 19086 19811 19311 21978 8373 15324 16904 9912 6291 16705 5513 21085 9664 7341
"200627_at" 17273 6585 5304 17356 19199 16209 17347 17250 8204 9268 13407 19426 14801 16951 15060 18203 10605 6710
"200628_s_at" 14275 6079 2105 3221 4844 3430 4217 1995 10758 7008 20225 2567 13902 4620 14027 2866 4120 8523
"200629_at" 16734 3223 3613 2604 4252 5005 1984 16543 10507 15723 16945 1893 3610 4960 18174 3098 2631 4698
"200630_x_at" 18435 19047 16977 18070 18543 7403 15974 3514 10156 8922 11236 10917 13996 15105 15379 18955 20754 17094
"200631_s_at" 19746 18177 16741 20571 19769 7605 18578 17240 10137 15504 13968 11800 18923 17019 17112 16791 20119 19877
"200632_s_at" 6940 2970 26 187 21870 504 2030 755 18485 7855 1396 199 1851 16 16459 3172 45 883
"200633_at" 5687 18121 15441 16356 16615 7842 2880 13488 12889 16590 7557 11295 5599 9877 16325 6306 19837 8074
"200634_at" 1341 20035 5010 4229 18725 4696 18627 15894 17969 8241 15987 11914 14654 17278 16550 17400 10247 6151
