"inst_460" "inst_485" "inst_573" "inst_3417" "inst_3760" "inst_3842" "inst_3936" "inst_4317"
"200662_s_at" 20277 15147 17319 2319 11680 5402 5156 5451
"200663_at" 13022 4815 15070 3915 11140 5153 13094 17657
"200664_s_at" 18114 16631 13416 13887 11402 21064 2804 2277
"200665_s_at" 5155 11636 7549 4508 9369 11872 5108 7737
"200666_s_at" 14997 17965 16506 3080 14525 18406 16522 19163
"200667_at" 12689 14526 21168 16523 12449 7531 2870 5423
"200668_s_at" 2470 5396 20338 3463 3461 5912 13237 4469
"200669_s_at" 15024 3752 18435 16610 12653 19622 5882 3634
"200670_at" 19579 14807 20967 12871 17811 19204 18992 6314
"200671_s_at" 20978 18506 5341 425 18856 20854 11847 15027
"200672_x_at" 12432 1445 14986 21606 10831 2448 3796 18613
"200673_at" 19582 15045 5310 16575 12631 17191 13844 15242
"200674_s_at" 1020 4480 5791 4048 6877 9988 8073 7318
"200675_at" 11514 4577 21357 17883 12076 6771 18846 14954
"200676_s_at" 20941 401 14749 2638 17419 14618 18985 7453
"200677_at" 1467 18079 5667 13569 5054 4345 6091 4411
"200678_x_at" 17303 3260 4333 19594 13613 5444 13799 14787
"200679_x_at" 11622 1598 13885 17989 3873 6959 5897 8209
"200680_x_at" 13377 14164 17178 16128 6915 16554 8132 6056
"200681_at" 13348 2261 5227 16247 5222 14197 4506 4215
"200682_s_at" 12486 15907 18204 14543 3681 16164 13882 7042
"200683_s_at" 17586 16668 4304 20199 15054 6351 14186 3578
"200684_s_at" 1150 6043 20671 19400 10702 20490 3627 16299
"200685_at" 8186 11451 11526 3650 18473 5524 4451 8545
"200686_s_at" 12066 2598 15992 14861 19935 19117 3084 20109
"200687_s_at" 17417 4118 20170 18943 11118 17068 14135 7878
"200688_at" 11655 3484 2762 22116 14654 18273 5055 4872
"200689_x_at" 860 4677 17268 3117 4465 15991 6235 15752
"200690_at" 6574 682 5321 19672 13133 3111 19206 8383
"200691_s_at" 14479 18579 17156 14945 13267 6211 15144 8225
"200692_s_at" 15984 17913 21274 15178 11778 17823 16021 16376
"200693_at" 14423 14996 3160 14536 5353 14868 6088 5714
"200694_s_at" 1061 1620 15962 16551 12099 4932 5670 18949
"200695_at" 13766 15358 5128 18530 2943 14707 16030 738
"200696_s_at" 14033 2804 3551 21630 2555 3896 12559 21502
"200697_at" 14478 14624 1218 17738 4005 14767 5129 1169
"200698_at" 12147 14324 14645 20003 13417 7892 13879 8059
"200699_at" 12328 3161 15335 19375 13553 18266 13926 18549
"200700_s_at" 1340 4890 15793 19129 16044 14481 16858 4428
"200701_at" 13318 3085 4757 12873 13945 18860 5856 8120
"200702_s_at" 11830 14231 1089 2644 4814 7267 3091 16233
"200703_at" 20110 19367 13535 4179 12036 6174 18495 16199
"200704_at" 13984 2099 16911 20443 2080 4155 17598 15459
"200705_s_at" 18254 14354 13197 4203 5152 7792 4062 15618
"200706_s_at" 2921 16124 13207 17636 16503 16165 13261 7273
"200707_at" 18617 4053 13109 20274 15349 15033 18532 7915
"200708_at" 2107 16761 16856 12865 11774 7300 11690 5692
"200709_at" 17062 13374 14110 14932 18537 7798 14356 15810
"200710_at" 2297 18305 2544 15647 4151 6200 15994 15821
"200711_s_at" 19014 20716 3483 15190 16835 17364 17085 6498
"200712_s_at" 2481 19115 5684 20792 13038 21080 16093 1378
"200713_s_at" 18269 14793 18727 12857 3972 7253 5227 15403
"200714_x_at" 17343 13309 6238 19013 16409 6662 19700 6388
"200715_x_at" 616 14131 5467 18148 11944 17781 6141 4828
"200716_x_at" 11421 5039 13414 2951 6909 10036 8115 7908
"200717_x_at" 18915 17930 12944 3228 6824 9902 7989 10277
"200718_s_at" 16186 13727 13447 16135 13797 4451 6078 6849
"200719_at" 12330 15814 17829 15419 12706 16393 18283 5207
"200720_s_at" 15262 13436 16698 13590 10643 7669 19212 1384
"200721_s_at" 17259 18473 21318 18041 16596 16578 4381 16946
"200722_s_at" 16900 17067 18751 4347 3759 7366 12923 1331
"200723_s_at" 14156 16900 14814 14669 11080 17337 11807 2163
"200724_at" 17474 9731 2310 3702 16267 2419 382 772
"200725_x_at" 1160 5049 5021 3888 10901 5542 16236 8387
"200726_at" 17816 19086 16293 18637 16001 7565 6031 3956
"200727_s_at" 14953 5254 17548 15856 11455 18468 3469 14934
"200728_at" 15647 3700 3827 16914 11091 17327 12940 3229
"200729_s_at" 21635 17708 14890 14823 13493 3867 13504 7152
"200730_s_at" 17431 5620 5905 21463 15021 20214 20528 3079
"200731_s_at" 21812 2603 2686 20824 12116 4333 17538 2602
"200732_s_at" 18312 949 3038 20400 11683 5322 16332 3749
"200733_s_at" 20672 4746 4559 16439 5196 19817 17807 20611
"200734_s_at" 16459 13956 5335 20332 14598 4754 11922 2533
"200735_x_at" 12401 16040 16355 14162 6872 9980 8064 8525
"200736_s_at" 2311 8566 10882 10346 4040 12332 9664 14523
"200737_at" 902 802 43 14675 4276 7713 16103 5404
"200738_s_at" 399 1060 217 14817 4258 15363 12140 3020
"200739_s_at" 20996 17506 15262 13807 10865 17003 13553 2267
"200740_s_at" 15605 13959 17476 4050 5034 14927 12964 6605
"200741_s_at" 1055 5941 5644 13217 6742 9792 7883 10192
"200742_s_at" 12840 1689 13724 17786 17991 4279 6216 2462
"200743_s_at" 17499 15715 19081 14770 15478 18757 13978 5401
"200744_s_at" 18177 17846 13250 15518 11811 15665 13667 4524
"200745_s_at" 12682 3703 14878 3119 13828 6838 14996 16235
"200746_s_at" 14607 13369 16046 13320 13532 3240 17195 15230
"200747_s_at" 20643 1418 15653 3223 12884 5578 12871 7700
"200748_s_at" 12593 4039 5062 13327 3560 7827 14966 14575
"200749_at" 18476 16709 21897 18017 13174 4742 16359 6839
"200750_s_at" 12230 16089 16116 15653 6803 15431 13206 7320
"200751_s_at" 13325 14578 13992 20221 11994 20835 5353 3723
"200752_s_at" 1065 14753 4942 19444 11200 7185 15278 5749
"200753_x_at" 14588 17565 20366 15369 11208 16668 2785 4396
"200754_x_at" 19591 18009 19218 16799 11738 4445 19714 6316
"200755_s_at" 2389 14711 19912 20944 3425 19613 4559 8098
"200756_x_at" 14817 19958 2157 18624 1666 14666 16027 382
"200757_s_at" 12490 15362 5084 14130 15153 3210 4155 15287
"200758_s_at" 11897 2411 2709 20630 2400 4537 16698 3016
"200759_x_at" 1914 2135 2091 14557 4042 16985 4689 7149
"200760_s_at" 16193 17089 14544 17150 19053 18830 11453 7659
"200761_s_at" 21101 21138 16738 3727 15192 7726 13043 6045
"200762_at" 17542 3387 594 3941 16880 6830 15900 18764
"200763_s_at" 1619 4534 6220 14286 6878 9993 8077 14458
"200764_s_at" 6907 5787 15559 2735 8346 18287 19907 9097
"200765_x_at" 8899 3557 16566 14401 7570 7903 12417 9171
"200766_at" 16426 15259 13030 19961 11814 19057 19449 18495
"200767_s_at" 14628 5730 5247 20524 12633 19026 16981 4664
"200768_s_at" 19440 17558 21555 20516 17862 15590 19097 20348
"200769_s_at" 14898 18374 21392 15415 12979 21549 17425 4580
"200770_s_at" 19801 20206 5503 13774 16890 15994 21500 7923
"200771_at" 20459 17246 16065 4301 15401 4822 5769 15338
"200772_x_at" 13582 6240 16022 13118 10686 9939 6292 16673
"200773_x_at" 939 4765 14406 13117 5410 7774 12990 8180
"200774_at" 20228 16365 4578 14233 12681 6765 6131 6139
"200775_s_at" 19356 15502 15641 3085 4440 6265 15892 14691
"200776_s_at" 12380 1827 20921 19574 10981 20159 15282 1375
"200777_s_at" 2454 3433 13805 15427 4891 14315 12957 8092
"200778_s_at" 13597 17110 13923 14488 12517 14334 13060 2011
"200779_at" 14141 14981 1831 14349 13565 6947 12834 14838
"200780_x_at" 2101 4201 4546 12749 4096 6057 8056 7047
"200781_s_at" 13986 13896 5425 2539 4888 9882 7968 7304
"200782_at" 13183 17043 3059 13232 13305 5753 14328 14265
"200783_s_at" 21154 16323 20169 18190 13357 19303 15800 17035
"200784_s_at" 5328 10938 8308 8616 3204 11546 9390 20278
"200785_s_at" 510 18121 4755 6547 21327 11866 9570 2635
"200786_at" 17294 5113 16577 15682 10667 15913 15920 7346
"200787_s_at" 15620 13876 12896 4314 3976 16386 14597 1085
"200788_s_at" 11632 14318 2376 15324 13819 2420 13139 7810
"200789_at" 16595 15190 6025 17651 19572 5091 15618 8652
"200790_at" 15599 14980 21973 19615 10651 5198 14845 5550
"200791_s_at" 15938 2077 18100 19868 14996 4385 18318 2147
"200792_at" 13504 3163 4696 12785 11123 2932 5614 14141
"200793_s_at" 11521 17744 18306 14249 12937 2158 16845 1988
"200794_x_at" 13144 17544 17289 14865 4215 6639 15519 5032
"200795_at" 1323 17257 16082 10645 2542 2682 3992 21152
"200796_s_at" 15752 21640 18793 19142 19974 22210 6114 73
"200797_s_at" 13618 19598 13635 19667 14465 17627 19165 6526
"200798_x_at" 19163 21832 15088 13777 11859 16907 16278 2058
"200799_at" 17257 20891 20528 3655 11800 19049 13041 14556
"200800_s_at" 21318 20500 20689 14368 11727 18752 18093 15502
"200801_x_at" 1282 5674 16758 3700 6713 9758 7848 10161
"200802_at" 15445 15001 2584 14357 4572 14443 6317 14769
"200803_s_at" 16398 16433 3830 15916 4161 15718 6048 4063
"200804_at" 15587 5627 4467 13656 11581 6128 12820 7540
"200805_at" 12399 6090 3614 18928 16102 7217 14125 8106
"200806_s_at" 16424 18674 17932 14049 5313 19255 13531 3110
"200807_s_at" 12749 5750 15183 13270 6723 14649 7862 8449
"200808_s_at" 18087 15324 22137 19120 13978 6395 16870 7200
"200809_x_at" 15917 16755 3438 13188 4060 9777 7867 7621
"200810_s_at" 16609 18418 16572 16633 15989 5454 15980 15900
"200811_at" 14864 2459 16567 13149 16273 21230 20400 6784
"200812_at" 15135 14626 13300 19136 13568 14592 5920 6661
"200813_s_at" 15707 17310 21454 4453 11201 20044 5221 4923
"200814_at" 13211 4474 5232 19216 5020 2564 13853 6443
"200815_s_at" 2051 19832 3723 18058 4181 5150 12159 16858
"200816_s_at" 2192 4334 21685 18795 17258 19322 19007 5673
"200817_x_at" 513 2478 15139 7229 6725 9774 7864 10171
"200818_at" 12968 18033 5558 14593 4425 5176 5546 7565
"200819_s_at" 11554 13347 6188 4487 5148 9908 7998 8407
"200820_at" 19704 4115 16660 14120 13974 7186 5315 7985
"200821_at" 19792 4648 22052 19154 18896 16761 16944 7400
"200822_x_at" 1131 1344 1194 3455 4317 3544 12146 8088
"200823_x_at" 916 4054 5519 1487 11614 6570 11872 18791
"200824_at" 12946 1022 13778 8673 2085 17696 21746 20339
"200825_s_at" 18506 19415 19929 14979 12553 7757 12919 17056
"200826_at" 12883 5788 5394 15971 11951 6666 15003 8218
"200827_at" 384 2393 4435 18248 12822 5803 4337 17553
"200828_s_at" 18963 19463 13764 3284 13195 6437 11840 1661
"200829_x_at" 16073 6170 12797 14377 13979 15161 13140 3965
"200830_at" 14871 14441 14446 18361 14522 4290 15669 16769
"200831_s_at" 20339 4245 261 19251 18911 17689 15062 7607
"200832_s_at" 15002 2587 1730 15557 17189 5502 16999 15923
"200833_s_at" 14855 6363 5655 19793 16398 7767 15250 7859
"200834_s_at" 11797 13941 3141 14024 6768 9824 7919 10213
"200835_s_at" 19896 8946 10922 16493 2562 17232 3004 21205
"200836_s_at" 21007 20735 1535 22281 16982 20407 15280 15771
"200837_at" 19291 13780 15783 1622 14801 17760 12396 16367
"200838_at" 2496 5298 18921 21497 15803 16664 20134 15950
"200839_s_at" 12440 17788 2665 19060 13335 6633 15225 17750
"200840_at" 20891 16863 14505 13050 12821 7331 14570 17923
"200841_s_at" 16032 2176 19615 15875 14578 20774 4085 14995
"200842_s_at" 14882 19279 1828 14949 12104 6075 6011 16109
"200843_s_at" 2254 3478 4586 15005 15903 3569 12739 17419
"200844_s_at" 12489 2718 13865 15380 3896 4735 13512 14372
"200845_s_at" 2115 5937 13157 17106 10874 14453 12214 5863
"200846_s_at" 13409 6019 16283 14465 4561 14140 13142 5162
"200847_s_at" 12296 19084 3348 15469 13720 7963 3875 19073
"200848_at" 20135 14893 14813 18355 11526 18153 4972 15248
"200849_s_at" 12921 19579 17717 12877 17739 4090 16765 18939
"200850_s_at" 16124 15342 13735 19227 15310 5510 15481 14385
"200851_s_at" 15798 3577 5932 18647 10721 15225 1937 6400
"200852_x_at" 14030 13902 14538 13658 12483 4949 18355 6989
"200853_at" 17311 19083 5533 14064 15580 18355 17745 5655
"200854_at" 21922 14764 3360 20296 19184 16808 15556 3978
"200855_at" 12694 18532 13783 1720 4998 4402 5470 20435
"200856_x_at" 19889 5008 13139 14956 19683 18115 18905 5649
"200857_s_at" 15524 19707 17767 20575 17749 15493 16281 6894
"200858_s_at" 1127 4726 14191 3852 3928 7833 11530 14713
"200859_x_at" 15894 5881 15727 13504 11178 15586 19348 7919
"200860_s_at" 16579 14493 6104 14958 10917 5611 4636 5675
"200861_at" 13863 19423 4143 20349 19488 2806 12349 1694
"200862_at" 13103 21593 15836 17107 15397 17133 20325 14726
"200863_s_at" 14987 17075 6034 13793 12268 6209 14258 3617
"200864_s_at" 20223 2260 20794 17523 19655 18695 19143 17687
"200865_at" 3719 6601 7509 414 6170 13303 9047 1133
"200866_s_at" 16933 4987 14647 13293 10857 19945 21321 17114
"200867_at" 20133 15965 5474 15752 14680 6910 14690 4095
"200868_s_at" 14913 15939 16646 15044 3585 17077 14968 5521
"200869_at" 13957 15029 5981 3669 11751 9803 7894 15911
"200870_at" 15175 18063 20247 15532 12815 17850 12562 4492
"200871_s_at" 19032 3459 2448 18993 15204 15373 14104 16364
"200872_at" 2698 17668 2551 2626 5318 15524 7852 5029
"200873_s_at" 21339 20645 16244 14350 14394 7182 13453 3537
"200874_s_at" 17674 17968 16303 3138 18457 21193 19371 16338
"200875_s_at" 18749 15761 17173 15096 5079 5622 5459 18697
"200876_s_at" 16356 6324 6033 15754 12700 15266 14663 15507
"200877_at" 14310 4007 13859 16643 11578 15525 12474 7847
"200878_at" 15454 2780 265 17623 17855 4186 14038 2943
"200879_s_at" 17974 4552 386 11896 16336 21196 10578 411
"200880_at" 17106 17777 18591 16814 15821 5885 17059 6860
"200881_s_at" 12680 19091 17840 16806 4910 7266 12333 4046
"200882_s_at" 13670 14118 17441 14859 11028 6829 15069 18074
"200883_at" 12204 17086 13653 15451 14979 17242 15237 6545
"200884_at" 2035 713 6154 19286 14446 15096 20815 16281
"200885_at" 2419 13350 15986 18356 18748 18238 17555 8460
"200886_s_at" 560 1286 858 13643 4066 7671 4960 5460
"200887_s_at" 17142 6151 15061 17767 19110 17673 13135 6620
"200888_s_at" 2113 5529 5479 3118 13253 15619 4856 16684
"200889_s_at" 17273 17470 5410 14347 16248 15262 16893 2753
"200890_s_at" 21645 15635 14342 14545 12578 19283 16077 2054
"200891_s_at" 16139 14008 16464 19995 20262 5065 12476 6812
"200892_s_at" 14816 14881 17940 13935 12173 16145 13536 6886
"200893_at" 18816 2794 19717 13578 13751 7013 15220 6207
"200894_s_at" 19961 16592 17963 15508 10753 20881 13638 2954
"200895_s_at" 1272 19295 20142 13833 10635 14889 18998 17309
"200896_x_at" 15923 13306 4523 16700 12891 7260 4753 4956
"200897_s_at" 18376 15382 12777 2147 2605 4616 11587 5005
"200898_s_at" 679 5935 2886 18020 15340 18842 3277 3891
"200899_s_at" 13544 1456 3412 19749 12888 7086 5272 4929
"200900_s_at" 11212 17137 5990 3061 15685 19988 17415 4172
"200901_s_at" 19053 6241 18857 18357 17979 7737 12985 16389
"200902_at" 21401 20054 2574 15938 14656 18392 11494 4438
