"inst_203" "inst_415" "inst_524" "inst_1003" "inst_1061" "inst_1164" "inst_1223" "inst_1648" "inst_2683" "inst_4447" "inst_5220" "inst_5583" "inst_6182" "inst_6942" "inst_6983"
"200085_s_at" 3440 16409 441 16073 3073 14878 8296 14270 5893 15450 16977 4656 8684 2794 5368
"200086_s_at" 3090 18232 1698 15862 18656 14041 4495 2638 15033 12724 15563 5169 6565 5799 15413
"200087_s_at" 4158 7111 13615 14228 17742 14502 1673 4271 5844 5226 11729 6163 3740 16573 17565
"200088_x_at" 3545 5792 1331 7867 5926 14419 20652 4765 8187 7653 11837 11295 13123 14875 5463
"200089_s_at" 5873 15675 13115 4839 4684 14766 7377 14536 13900 13862 15349 15916 13287 5449 5728
"200090_at" 16611 16721 18326 15962 5154 18866 20441 17884 16817 12452 3333 5067 4202 3663 18865
"200091_s_at" 5732 17231 3167 17554 20916 15697 6835 14910 5253 15216 13013 6997 13158 16256 17646
"200092_s_at" 2305 13953 969 14524 2804 4259 20479 3918 8304 5823 2704 17155 13266 16710 5304
"200093_s_at" 3696 15659 2264 17656 4255 18878 4037 17963 14601 17695 17907 6591 6558 5115 17898
"200094_s_at" 18222 15977 18748 4605 20876 17947 6230 4186 13354 5409 11444 932 9011 16248 17872
"200095_x_at" 4368 13979 2462 8078 5458 14520 20446 14616 8342 7810 11282 11537 13315 15000 4289
"200096_s_at" 2617 17486 11839 17955 1015 19389 6077 2245 12929 20640 17706 6703 10060 5839 15186
"200097_s_at" 14099 14650 16454 16147 21294 21724 6622 3961 17337 12885 11590 16872 9572 20280 20057
"200098_s_at" 13381 13990 14852 18496 17866 19090 6522 18839 15066 17081 16754 8968 9012 15896 14922
"200099_s_at" 14911 4584 12796 7975 17714 14886 9927 4190 8307 12352 6654 11474 13269 15784 3091
"200593_s_at" 14151 4839 14176 16130 17709 17005 3769 16726 16698 15582 17069 15728 7845 21426 20154
"200594_x_at" 18072 6574 12844 14231 17616 14404 20119 17098 18897 12609 12587 19653 7893 19075 5041
"200595_s_at" 4723 6731 18240 18473 19853 16586 1817 16645 15920 20920 19799 17229 8765 5709 19035
"200596_s_at" 14397 6513 10944 19435 20008 19353 5932 18887 14447 12915 15762 8127 18969 18877 5683
"200597_at" 1415 4722 19868 3823 19578 2558 21350 2594 13748 16583 20638 16637 20595 17391 17450
"200598_s_at" 5648 982 13100 15096 1282 14453 2516 1375 4829 2831 2386 1991 4219 1217 3300
"200599_s_at" 22049 4787 15069 3069 3961 4280 1127 3809 5332 3953 3845 8039 6828 2357 1059
"200600_at" 6790 13128 10586 9479 12619 16625 4563 5794 17127 4919 10336 11984 6920 13583 12597
"200601_at" 14804 21207 19435 15249 3327 14600 1346 20984 20227 21349 21394 7287 1138 15566 17638
"200602_at" 5139 17582 11575 2831 21516 20055 6768 20158 17026 16615 21059 19841 3086 15312 20826
"200603_at" 4614 18788 19101 18277 20912 20848 1971 18198 15612 16648 15249 9280 6213 19602 18605
"200604_s_at" 16585 812 14023 14324 18160 2544 2686 4081 15680 20787 2971 5685 19897 3086 5327
"200605_s_at" 5069 2374 16952 19050 4458 3344 6521 3082 5919 14945 13309 19244 5113 3975 5945
"200606_at" 18191 14838 18568 17964 17833 13634 8893 15465 17344 20514 13257 6434 1785 16682 5050
"200607_s_at" 1475 6220 3603 20428 21464 16173 8102 3427 16375 12435 12429 4464 10575 3944 18348
"200608_s_at" 19273 16343 20200 17009 20082 20082 2645 18698 18080 15925 13052 7929 7228 20344 20067
"200609_s_at" 13408 4419 1849 3672 5279 16781 6756 4863 3984 13697 17768 16464 5841 20276 4955
"200610_s_at" 1420 4921 17675 17251 20253 4731 9253 14840 17761 16317 18057 16998 17748 16444 3116
"200611_s_at" 15337 14710 16520 16591 4997 16593 7707 17320 14419 17442 13299 17368 17273 15092 18622
"200612_s_at" 2676 17757 15269 21047 21800 2780 9906 20118 16863 3494 21940 18649 18127 20173 2786
"200613_at" 16565 7008 3535 17723 5338 15968 5994 14386 13775 15219 15535 6857 17307 15513 5581
"200614_at" 14126 15139 16421 14364 6021 3791 8849 15308 4675 11785 3101 7704 7906 15847 15547
"200615_s_at" 5481 15343 11209 3777 6243 17740 8972 3387 4903 16132 20247 18451 11114 16458 3496
"200616_s_at" 18473 448 966 16132 5718 4585 8686 3282 4615 2179 17324 3836 17479 4272 17431
"200617_at" 16631 16159 16905 15204 3185 16441 8618 3658 14322 4221 14073 6697 2378 16704 1555
"200618_at" 15528 14555 15510 15667 18161 19659 5338 14394 18705 13656 15303 7524 3262 18006 18021
"200619_at" 16121 20119 11593 17735 3020 15357 19513 19863 17657 13522 15415 19075 5048 5205 1599
"200620_at" 13598 5301 2766 14631 2925 4354 5760 18866 5275 11843 14655 7814 9108 1930 16811
"200621_at" 4893 18236 3009 18631 4419 20507 8793 19766 16782 19454 18928 4836 6979 3356 3260
"200622_x_at" 18583 13886 2291 18353 3090 19395 2202 17573 15563 13091 13070 6525 10850 3457 16753
"200623_s_at" 14832 18018 2213 16738 21258 21506 22085 18577 12509 13073 17791 21408 22003 21518 19181
"200624_s_at" 18378 1802 18510 14756 5516 15096 3628 19121 17348 20988 12705 17323 8088 3003 5717
"200625_s_at" 19399 16554 11313 4834 19847 17352 8140 5007 13007 18327 16256 5350 9133 15064 19102
"200626_s_at" 2492 2490 17360 16628 20020 15675 9688 21352 12839 16883 17289 3341 7060 18282 17539
"200627_at" 14986 6044 12496 14925 18903 4097 8291 3195 13129 4751 2754 5108 18108 15647 15960
"200628_s_at" 17017 5104 523 16879 19250 1999 1615 674 6148 15022 3126 1370 10739 2679 4161
"200629_at" 5851 6350 12251 3249 1993 17069 4403 18645 6215 20866 13475 7161 9681 16878 16506
"200630_x_at" 15216 7173 17361 2909 17961 15039 6764 3570 16484 14122 3595 9093 7683 18962 15733
"200631_s_at" 5274 6399 13387 17247 4750 17161 20142 14777 17864 15265 16087 16076 17277 18220 17098
"200632_s_at" 3455 21268 1702 634 10289 15998 1594 16857 19369 2346 75 7378 17269 1214 16454
"200633_at" 5960 3421 3028 14325 5032 14145 20067 4780 8251 7730 12222 8382 8891 3262 5529
"200634_at" 1221 17390 2558 15794 18245 14974 8088 15758 15440 17164 15848 16964 9882 4764 16964
"200635_s_at" 1961 5106 12525 20393 2292 6502 8182 20266 8504 1827 19157 17392 8294 20328 15196
"200636_s_at" 5296 20182 15024 20408 21013 8381 9912 15042 11830 15635 21420 7201 12534 21045 20334
"200637_s_at" 15098 17179 2085 20174 5794 8618 7152 18884 7773 4384 14104 16348 13231 21881 20911
"200638_s_at" 3463 2179 12800 3868 4956 3748 6701 4853 5095 12576 3670 8431 8573 4108 17154
"200639_s_at" 5608 19984 17104 16452 1590 3607 4019 15908 17152 16925 15771 5300 4282 15581 20913
"200640_at" 17001 5245 15505 16326 17865 3741 10526 14782 13436 12662 14353 15865 9088 4115 16333
"200641_s_at" 18267 396 12257 14193 19282 3180 8422 2979 5093 11644 1575 4907 5801 1201 5389
"200642_at" 4592 13589 340 16095 4651 14212 8108 4874 12731 12872 13869 6139 7597 3686 15132
"200643_at" 16152 19664 17736 3922 2443 863 4079 16362 18652 2893 21525 18298 3736 20085 3657
"200644_at" 1895 1545 14540 17761 19860 2251 5559 15150 13237 16028 15172 17016 18155 20091 17607
"200645_at" 3431 14171 13647 15559 19290 16494 8708 5249 13296 16437 14785 16022 11251 4132 5986
"200646_s_at" 17267 21312 21140 3154 4449 19714 21885 2077 19267 20272 13736 16783 6042 748 17973
"200647_x_at" 13852 15656 12581 3843 2394 16807 19206 18725 13194 20575 14975 15696 9422 20472 2653
"200648_s_at" 14727 2155 19319 19179 21487 2497 7660 18348 3500 21441 16077 5452 2978 2051 5372
"200649_at" 13736 19198 12396 18713 19503 16001 7100 18696 19185 3558 12572 19865 3436 17783 14976
"200650_s_at" 16635 18486 10913 16487 18714 16455 20745 17390 8147 7615 11609 7574 13083 5883 15224
"200651_at" 4539 4437 11531 15768 18924 4656 9793 15334 8333 11539 2358 8267 13299 5054 17847
"200652_at" 4797 6962 11170 4651 3280 3725 5918 14414 2933 5205 12965 6557 3977 1946 5260
"200653_s_at" 4464 14240 11045 18737 1540 15054 7249 4079 12583 15680 12454 2584 19020 17230 18151
"200654_at" 5235 15365 16106 3639 2329 15293 6189 17257 6221 16580 15114 3442 10451 3969 3286
"200655_s_at" 13773 3505 3333 4485 2684 18011 8872 15199 16390 16288 15953 8841 6691 4646 5354
"200656_s_at" 15940 17121 13376 14004 3918 3766 711 2841 13505 4223 15277 3294 4781 2366 2776
"200657_at" 15574 4534 2967 14415 6078 16018 10914 15776 15249 5158 2850 17455 9875 15188 5423
"200658_s_at" 15878 3821 1867 18094 2698 18087 2536 5151 17144 12148 14542 6673 10778 3543 14943
"200659_s_at" 2228 16768 1950 2713 1155 19892 19773 19339 14518 11373 12123 19080 20903 1924 20249
"200660_at" 15497 19654 898 4158 17440 16433 7157 3708 15655 15665 12282 5997 18253 4640 15963
"200661_at" 5505 19811 13507 14719 17698 19315 10615 14872 4463 16975 14880 7191 6528 4265 2657
"200662_s_at" 13673 5794 13092 18138 6254 18384 8784 19697 16037 20100 14523 4364 18172 5600 16052
"200663_at" 13555 15145 1843 17058 4584 16325 6336 14979 5372 5590 16814 2997 7754 15720 15719
"200664_s_at" 5024 3046 11726 3256 1067 21649 1976 679 4170 5838 11893 5884 6777 3929 17608
"200665_s_at" 6365 13363 7994 7163 12432 11712 14770 13062 10778 21647 5021 12181 12414 6185 8551
"200666_s_at" 14090 15490 3088 4319 19139 15194 8208 14406 13172 14492 17964 7796 9236 15037 15135
"200667_at" 15333 5442 19953 3335 4821 16444 9443 5001 5974 15191 16355 4666 9157 17908 3264
"200668_s_at" 17284 5733 3450 14656 20058 15367 8814 4897 14091 14475 11627 2166 8304 5217 15947
"200669_s_at" 5871 2684 12217 3304 5805 3865 3962 2928 14327 12840 2427 7476 7830 15062 15716
"200670_at" 2483 1928 17075 16380 1763 18074 132 17985 3683 16970 13589 8298 7123 16107 17570
"200671_s_at" 14524 9472 4992 802 20402 9577 9367 5871 12999 18251 1822 3814 28 12579 575
"200672_x_at" 14369 7289 15960 16390 3893 19903 9211 22262 6203 18553 17231 19387 2219 5 862
"200673_at" 3446 6216 2939 16434 20180 15378 5187 16403 3368 14629 15712 8760 3566 16478 5077
"200674_s_at" 6130 4900 1591 8088 19124 3189 20468 3639 8309 7775 2352 17902 13272 5548 14904
"200675_at" 13876 18631 18082 17379 21360 20804 9457 17380 18249 16449 19718 6126 8783 15210 5611
"200676_s_at" 20355 6125 15339 19943 5100 19282 2918 2480 16693 5835 21064 7402 10413 20624 21117
"200677_at" 4922 4533 16416 14613 1518 15917 7490 3787 6377 11255 14088 4830 3044 5327 3953
"200678_x_at" 13412 20463 15732 16347 6367 14156 9179 16109 13942 12678 19911 16072 7984 4030 2323
"200679_x_at" 18905 1855 12019 16290 17820 16829 4777 2902 17424 17413 17701 7819 10097 3697 16933
"200680_x_at" 15270 6527 1899 17268 18325 3185 9704 14472 13722 14461 2712 11545 13321 16790 15069
"200681_at" 14976 5633 12021 3908 18855 3516 9090 15543 15792 5532 11650 6858 8222 16089 5161
"200682_s_at" 15549 13950 2963 14993 6246 3237 5788 4581 15330 14006 13261 3382 9441 4782 16410
"200683_s_at" 5148 4693 16516 15125 5504 17664 19498 4773 16757 17295 17157 6481 11112 17182 16697
"200684_s_at" 16951 16189 12534 15968 20249 20704 2388 19170 18679 17687 11551 6618 19775 20137 4236
"200685_at" 8380 8795 7385 18031 19248 3071 998 19466 21504 18799 1684 4313 6818 2924 15213
"200686_s_at" 4385 15610 11283 19286 18290 21092 3325 17359 19045 16419 17810 2831 9589 20897 16942
"200687_s_at" 15159 7227 20557 18436 19527 19376 19420 5124 16827 15371 17689 15928 10577 19797 5937
"200688_at" 17090 6893 17455 17347 2921 20916 19150 18437 18796 21514 18520 15657 19337 3955 16417
"200689_x_at" 19463 7068 12395 3697 19569 3800 11429 4595 8339 5279 3692 9026 13312 5430 4418
"200690_at" 22132 2029 14628 16996 3995 4615 3676 1851 3892 15405 15605 3934 5017 21273 22256
"200691_s_at" 5924 3409 19080 3385 17921 20582 7485 3864 18716 14244 12663 5672 9529 4562 5595
"200692_s_at" 16379 3838 17228 17252 19409 19302 1464 2958 14353 19426 14430 6746 19273 3623 18675
"200693_at" 14221 5889 16963 16125 5667 14807 4683 5247 16186 14801 12124 6683 9921 16504 16869
"200694_s_at" 5632 6913 17732 4914 20596 20390 5872 18421 18177 5887 14596 6090 11044 17717 16559
"200695_at" 13800 18153 18193 21232 19360 18541 7261 16990 21461 15050 772 3088 19382 2278 20531
"200696_s_at" 3095 18872 13609 16254 1626 15480 6891 16541 13520 5432 20789 4307 6256 4513 2199
"200697_at" 20339 19043 17519 14207 2503 14850 6100 18322 4497 2469 16412 18884 2870 15307 5867
"200698_at" 16796 14347 16574 4717 6126 19505 4498 17190 14147 12975 15694 7502 9428 5732 4523
"200699_at" 14487 14528 13716 3275 18076 15433 8933 2823 1744 4581 17077 18536 9487 16363 2242
"200700_s_at" 5888 6519 12358 4946 2227 14696 19609 17370 2690 18065 11285 8933 10782 3352 5160
"200701_at" 13590 15696 12478 16841 930 14070 8819 14462 5662 18070 17014 16413 5087 17140 5505
"200702_s_at" 5178 14990 20 20085 4004 14208 8720 20861 15778 2888 19131 2812 18496 18000 16252
"200703_at" 17592 15768 2327 18852 6253 19130 4921 4139 13147 16325 3832 6754 9904 5598 16057
"200704_at" 15461 7119 12720 19105 5703 1361 3540 2931 3185 14572 18738 15911 7649 14954 4528
"200705_s_at" 4307 13723 3666 15942 6182 16168 6963 4786 8193 11683 3438 7822 13129 5204 5956
"200706_s_at" 3944 6383 11631 14514 768 3255 4760 2140 4601 13543 2718 7034 5458 5172 19545
"200707_at" 18050 16870 14661 17034 1484 2512 9174 894 4057 16636 16036 7871 7227 4631 1813
"200708_at" 19335 237 18466 4116 4172 2928 19747 15915 21041 16358 14829 16997 18286 5453 15827
"200709_at" 1654 16038 10968 19557 4174 15316 10805 16143 21851 20645 19311 18474 9642 15545 16929
"200710_at" 14840 20375 14751 16708 988 18944 7939 19947 13796 14054 2672 18004 5960 2432 20889
"200711_s_at" 5384 5554 1786 20001 6179 16113 7231 16059 6440 18169 15510 8248 19450 15828 4893
"200712_s_at" 2642 1076 18009 19039 20978 3385 3893 19672 5666 17201 3684 2567 4764 2318 17597
"200713_s_at" 5862 2591 12188 14860 18303 15071 9664 16247 15248 13276 3598 6978 18302 5148 4915
"200714_x_at" 15073 14065 13357 4141 20535 19118 10793 16047 3412 14099 17671 18166 11038 20033 20888
"200715_x_at" 5675 3154 3463 4356 18653 3760 7333 18524 6054 14778 12742 21021 9559 4125 4894
"200716_x_at" 15382 14574 1352 3713 19364 1981 7210 2833 8335 7807 2689 9118 13307 4832 4481
"200717_x_at" 15088 17161 3116 7847 5765 14519 20641 16893 8249 7727 6513 11400 13210 16111 5931
"200718_s_at" 4969 15872 14624 14062 18821 18357 20138 17834 15234 15900 1475 18494 7085 17301 5667
"200719_at" 14926 6563 19331 16282 17474 21185 7900 19287 14587 12254 20129 15760 10224 2376 17117
"200720_s_at" 20408 5149 12488 15656 1388 16002 9135 14565 15247 20242 15742 3097 13162 904 18310
"200721_s_at" 13689 18783 14724 16443 5814 3859 8127 14663 16879 6052 15516 7989 2377 5504 3266
"200722_s_at" 18871 487 12095 13890 1990 19464 1159 427 5033 16108 2284 2900 6841 15148 17930
"200723_s_at" 4409 962 15875 15837 5126 14226 6211 3865 16067 4414 13295 8147 8616 4685 4092
"200724_at" 2227 20849 13989 13560 14444 13608 10194 222 416 5462 21967 9137 891 3118 10486
"200725_x_at" 13570 6394 1550 2942 5390 4355 20102 4769 6268 11970 11399 16484 19838 4413 4695
"200726_at" 14643 4981 17489 20107 5777 16390 7676 19063 12482 20495 2612 15577 7895 17146 18843
"200727_s_at" 14185 236 16438 13916 19351 3394 4044 4590 18091 15474 17789 7960 1725 16489 20146
"200728_at" 14156 1267 3379 15633 5264 14540 3922 17348 16068 4935 12751 6310 3893 2921 18547
"200729_s_at" 2067 2054 17341 15931 18159 18238 3275 15378 13263 17976 14839 6320 8654 5247 17568
"200730_s_at" 4970 1470 12003 16403 18017 1403 3346 1702 16974 15512 2069 4311 10768 3558 15438
"200731_s_at" 17056 2926 19874 18021 20322 669 1020 19159 4083 19684 18740 2619 7493 17799 16475
"200732_s_at" 15520 1917 15083 3694 6107 1407 10505 15319 16288 13275 3563 16235 10789 15190 15031
