"inst_2192" "inst_3770" "inst_3851" "inst_3945" "inst_4327" "inst_6047"
"200793_s_at" 2593 5776 6444 13814 3809 13553
"200794_x_at" 3792 1901 3722 3007 1608 2451
"200795_at" 13769 5557 18891 19417 19181 19872
"200796_s_at" 165 164 41 110 9 983
"200797_s_at" 646 575 128 203 501 162
"200798_x_at" 261 137 166 353 102 605
"200799_at" 9234 21050 19561 18822 21942 20446
"200800_s_at" 20683 20185 20282 18665 22102 21423
"200801_x_at" 6845 10375 8553 6997 11489 9426
"200802_at" 18324 15540 18867 18241 6742 16443
"200803_s_at" 2641 4099 4060 4120 1564 4105
"200804_at" 3323 3410 2590 3746 5520 3623
"200805_at" 5181 5555 4260 12248 8399 6265
"200806_s_at" 16791 8254 4502 13798 5427 14351
"200807_s_at" 16501 10387 6398 7009 9811 9439
"200808_s_at" 20454 1842 740 606 22042 1143
"200809_x_at" 9015 15602 13216 7013 8598 9445
"200810_s_at" 17675 7479 16255 13908 15769 14755
"200811_at" 19911 3554 18342 13412 5519 13793
"200812_at" 5273 6377 13052 13101 6595 6733
"200813_s_at" 20999 3557 21199 21783 7076 22133
"200814_at" 4391 14647 13774 5172 6070 7476
"200815_s_at" 405 3282 4835 4803 5216 3863
"200816_s_at" 21690 21958 21765 22170 21163 22121
"200817_x_at" 8893 10389 8573 7011 11498 9441
"200818_at" 6276 14575 12911 12036 8619 4775
"200819_s_at" 8836 8861 8702 7141 15312 9542
"200820_at" 3128 4614 3686 4891 3924 4825
"200821_at" 2407 7334 5856 15270 6426 2387
"200822_x_at" 3899 6369 13629 3755 18194 4696
"200823_x_at" 13397 8178 14202 13283 17127 14858
"200824_at" 3191 6469 14873 4592 16489 1591
"200825_s_at" 2148 14794 6628 12411 20674 4715
"200826_at" 5246 5948 6013 4159 8217 5423
"200827_at" 19602 14473 5907 14494 18592 16740
"200828_s_at" 1711 3351 1819 2069 922 2634
"200829_x_at" 4954 7600 4205 4508 4265 5548
"200830_at" 14351 8555 6646 14500 15508 5458
"200831_s_at" 5242 14480 6460 14135 18621 5066
"200832_s_at" 6136 15497 15695 16535 18549 7462
"200833_s_at" 5101 4119 4065 4130 3299 5378
"200834_s_at" 9022 10430 8617 7064 16105 9485
"200835_s_at" 15922 2536 2713 17552 2509 14245
"200836_s_at" 1146 15647 13207 19868 18718 2591
"200837_at" 1215 7535 14226 13718 8028 7103
"200838_at" 15490 7628 19574 16356 7482 19892
"200839_s_at" 5992 6054 20019 18736 16490 19342
"200840_at" 13802 14895 13078 13609 9650 13383
"200841_s_at" 18686 17203 16529 19121 5326 19781
"200842_s_at" 17459 18273 17910 18960 16177 16518
"200843_s_at" 18424 19560 18404 19265 20420 17744
"200844_s_at" 4939 14940 5018 5453 9928 5982
"200845_s_at" 13896 7882 13414 11806 8534 7094
"200846_s_at" 4975 6833 3938 5457 6982 5026
"200847_s_at" 16877 15960 4264 10681 16238 14836
"200848_at" 15208 4419 16192 17130 6206 15602
"200849_s_at" 15082 7825 18780 18148 19028 15338
"200850_s_at" 15288 15604 17506 17939 16677 15908
"200851_s_at" 1018 1456 739 413 753 1107
"200852_x_at" 1229 3529 2841 15005 16578 4233
"200853_at" 5723 7677 4540 3685 7898 14362
"200854_at" 17404 19918 18838 13886 15987 16946
"200855_at" 15046 16488 17226 19168 8824 5489
"200856_x_at" 14600 19587 18614 17488 9478 20362
"200857_s_at" 3406 17760 3982 4418 7116 4410
"200858_s_at" 6536 6429 15416 15470 8946 15325
"200859_x_at" 6083 7073 2297 16215 19101 4407
"200860_s_at" 3903 4795 3755 4590 2755 2980
"200861_at" 2023 5065 2764 5379 6264 4916
"200862_at" 14458 5877 3859 5451 18781 3563
"200863_s_at" 6214 15707 6124 12230 6853 5005
"200864_s_at" 19684 5089 14898 17933 5896 13736
"200865_at" 2873 1406 8505 2444 12255 12909
"200866_s_at" 4841 7128 2082 12196 7427 4497
"200867_at" 4349 2670 14752 14055 3850 16136
"200868_s_at" 658 4480 1601 1621 2812 4898
"200869_at" 8816 8422 8599 7041 9602 9468
"200870_at" 6809 8958 13963 11931 6861 7034
"200871_s_at" 6193 6696 2914 11554 15688 3703
"200872_at" 14605 7886 5067 7001 6830 4304
"200873_s_at" 15720 16089 14124 13095 15278 14239
"200874_s_at" 6712 1613 1309 4187 1607 2580
"200875_s_at" 14689 4909 14032 4454 18374 13724
"200876_s_at" 15136 6576 6106 11262 6653 7028
"200877_at" 18054 16429 17451 15586 18071 17093
"200878_at" 4512 2587 1480 4421 4998 2079
"200879_s_at" 7514 890 2083 7907 1051 437
"200880_at" 20848 17901 17578 18672 17878 20273
"200881_s_at" 5441 15247 6684 11837 9911 16214
"200882_s_at" 20745 19042 17184 16512 17868 15817
"200883_at" 14285 7420 12951 15621 5180 7554
"200884_at" 18127 4562 15260 16755 16374 4994
"200885_at" 16201 14868 4489 3052 6785 2687
"200886_s_at" 5864 15539 6400 3901 9267 14230
"200887_s_at" 13422 7482 16365 17271 7099 16271
"200888_s_at" 6315 16588 12950 10854 16849 14100
"200889_s_at" 2525 7902 13992 13359 3201 4625
"200890_s_at" 4461 4552 13827 13921 1841 6439
"200891_s_at" 17685 15192 4673 10887 16148 14935
"200892_s_at" 17862 7430 3844 4499 6475 14181
"200893_at" 18104 15083 5696 12960 8252 15261
"200894_s_at" 4002 5182 3010 10779 8397 6484
"200895_s_at" 3147 5306 15731 4320 17416 6392
"200896_x_at" 3400 9009 14137 4945 8038 6755
"200897_s_at" 17083 6241 17067 17719 5327 17656
"200898_s_at" 188 535 194 526 324 164
"200899_s_at" 15628 18559 20255 19656 16094 19765
"200900_s_at" 3369 3870 2388 2518 2124 2929
"200901_s_at" 3458 8550 5306 4504 18918 2043
"200902_at" 13505 6939 4836 11397 5215 6936
"200903_s_at" 2815 7359 5053 12596 16864 4384
"200904_at" 1121 2475 1497 1430 6774 3219
"200905_x_at" 3061 2362 3573 2528 4217 3646
"200906_s_at" 16986 1652 14623 13096 2977 17618
"200907_s_at" 12403 4132 14962 19202 5274 16575
"200908_s_at" 4048 20382 17909 16772 3054 17427
"200909_s_at" 9043 7417 5656 10757 17778 6949
"200910_at" 20335 17493 15478 16721 20290 15752
"200911_s_at" 19055 15483 16998 15510 9895 6033
"200912_s_at" 20715 7196 13418 13115 8082 7417
"200913_at" 19675 5829 15663 14743 5869 3273
"200914_x_at" 14219 14631 4490 11298 8472 7178
"200915_x_at" 16328 15968 5036 13223 8987 7390
"200916_at" 2788 7307 1761 4567 6936 3523
"200917_s_at" 1741 2722 2805 12182 1966 1671
"200918_s_at" 2117 5217 6163 4097 5897 3454
"200919_at" 16369 2435 18444 15516 3525 4340
"200920_s_at" 999 389 126 172 549 81
"200921_s_at" 1247 865 410 300 630 114
"200922_at" 16629 5531 4903 10973 16216 7421
"200923_at" 6999 19375 5027 14208 16838 13449
"200924_s_at" 1739 169 1484 2426 267 1920
"200925_at" 4258 10524 6044 3890 16396 4692
"200926_at" 8928 10551 8787 7211 11660 9590
"200927_s_at" 2341 4475 13674 3432 3231 2971
"200928_s_at" 2699 20729 5638 19749 17155 19673
"200929_at" 2245 8343 4909 5269 5012 3666
"200930_s_at" 3338 262 226 76 227 308
"200931_s_at" 4602 8880 2591 2146 9646 1357
"200932_s_at" 20119 6532 16190 14351 9535 17092
"200933_x_at" 8938 10521 8743 7174 11625 9565
"200934_at" 16976 7879 4998 11306 7475 6074
"200935_at" 14784 15108 15528 5259 21692 4669
"200936_at" 8808 10525 8755 7183 11631 9570
"200937_s_at" 15007 15362 13590 12696 17558 13468
"200938_s_at" 8022 13654 9434 10327 8866 10937
"200939_s_at" 451 1378 576 2345 20140 1348
"200940_s_at" 5360 18188 20312 19031 19968 15792
"200941_at" 2673 6956 5697 11116 6294 3311
"200942_s_at" 2440 6521 4494 4278 5247 5064
"200943_at" 6130 14599 13065 12007 16228 15175
"200944_s_at" 5614 15665 5980 12925 6862 7266
"200945_s_at" 15980 5775 14927 12203 16817 6785
"200946_x_at" 14257 3429 16003 15537 1992 4598
"200947_s_at" 5420 4052 16931 11712 6030 6708
"200948_at" 14218 15973 15864 14096 9560 15620
"200949_x_at" 8988 8741 13664 4998 8141 6772
"200950_at" 5876 7625 13670 13797 5454 6203
"200951_s_at" 3006 12709 7293 8961 11986 8462
"200952_s_at" 5895 10084 11735 8347 10768 13350
"200953_s_at" 3650 17815 1263 1229 18441 10656
"200954_at" 1805 1924 2114 2663 7480 4042
"200955_at" 15823 15725 14915 15623 18513 6972
"200956_s_at" 4950 6267 5704 13459 8073 7836
"200957_s_at" 4131 7088 17963 13159 17123 15157
"200958_s_at" 1936 3152 3334 3082 1466 3475
"200959_at" 18031 8919 2154 13208 16927 6565
"200960_x_at" 16899 6826 5123 4127 5453 5125
"200961_at" 19179 22174 20063 20459 22030 20975
"200962_at" 3672 9094 14289 15430 7865 17281
"200963_x_at" 8845 10553 8792 7213 8911 9592
"200964_at" 15099 7400 4949 4372 20259 5288
"200965_s_at" 12398 15917 20310 17807 7183 18503
"200966_x_at" 4184 8794 6602 3958 8928 7285
"200967_at" 13867 15203 5781 12551 6436 4891
"200968_s_at" 4743 8020 13769 4025 5398 6145
"200969_at" 16911 16232 18847 18234 6554 18064
"200970_s_at" 14011 6606 16331 14187 4452 15562
"200971_s_at" 3226 5051 6059 12132 4074 4037
"200972_at" 14407 8145 13652 14380 6743 6919
"200973_s_at" 13914 3329 13109 4495 2625 16870
"200974_at" 20326 4787 18369 18975 19600 18663
"200975_at" 4182 6619 5262 4721 4374 4044
"200976_s_at" 15237 6345 4177 12197 6013 1424
"200977_s_at" 14162 6695 4779 11015 6238 5831
"200978_at" 6611 15676 14530 12828 7212 7122
"200979_at" 19841 17775 19231 19874 9202 17345
"200980_s_at" 16506 17356 17322 17299 17448 16086
