"inst_267" "inst_268" "inst_382" "inst_638" "inst_703" "inst_1015" "inst_1073" "inst_1176" "inst_1235" "inst_1660" "inst_2695" "inst_4459" "inst_5232" "inst_5595" "inst_6194" "inst_6952" "inst_6994"
"200646_s_at" 20579 7334 17121 18696 774 2378 21933 1410 625 8522 20783 20896 6009 21923 1434 21246 8417
"200647_x_at" 2337 3295 1897 17021 18743 12731 21305 9976 4398 4723 19535 6360 5777 11648 18879 10340 7709
"200648_s_at" 5190 3163 4052 16045 5750 17752 4290 20346 18932 9917 10225 19694 16855 7130 12062 10862 6195
"200649_at" 16294 10525 14064 16926 638 13838 19955 6078 20897 9396 10851 9655 2555 14025 3315 19642 19875
"200650_s_at" 15259 17476 5447 6413 5781 15592 18678 20495 6632 8278 14220 13030 15321 14361 6028 7985 8513
"200651_at" 6785 8833 2177 17237 17051 12930 5869 8671 14707 20251 14399 10085 7132 20336 6250 8432 18229
"200652_at" 810 3936 2444 3901 2605 15633 69 2740 16538 4402 4074 4586 1217 2807 12966 5767 5689
"200653_s_at" 6105 5185 14582 2087 4566 2584 3787 19551 15050 3329 3990 6494 2534 4969 14964 1141 1988
"200654_at" 6298 5611 14262 6674 5089 13119 4159 7317 3293 5262 7950 8900 2727 6909 13442 4288 8300
"200655_s_at" 7425 7119 11496 4182 5885 2164 20133 4176 3791 4168 3425 4657 4707 7804 11986 8484 4770
"200656_s_at" 6059 7144 16576 15987 2478 16194 4115 4814 15433 3225 6718 17733 17689 5685 14867 5356 3850
"200657_at" 15336 17332 4360 16378 6239 3634 18944 8230 15528 9803 9673 11025 16206 14455 12109 10624 18197
"200658_s_at" 1079 4449 891 20447 5650 12987 5199 9403 14645 7569 12333 10980 7863 9325 19371 7496 6927
"200659_s_at" 902 5583 1428 16654 17823 2010 2400 22223 18507 3158 11761 18524 16976 7164 22231 6875 7268
"200660_at" 16361 18702 3254 19383 2068 3070 19324 6664 4863 9930 8444 9659 7121 20152 12632 7854 18770
"200661_at" 5035 4416 4510 18500 512 3313 19263 19493 2962 8711 11013 18294 5208 13928 13063 7066 6430
"200662_s_at" 1296 927 2411 5153 2509 20296 3612 20288 16362 6331 20216 6617 19099 4586 19777 1362 8303
"200663_at" 16008 17389 5231 8869 5120 14113 6636 4521 15960 6809 8566 17552 17326 20012 15083 10246 19156
"200664_s_at" 6188 4822 14602 17364 18341 21287 2136 19910 20062 4028 7878 20268 20530 12736 4012 19845 4519
"200665_s_at" 12615 15244 10335 9120 8465 7055 13150 15992 8986 16712 13424 3990 13919 19609 4967 13441 12287
"200666_s_at" 6899 7039 2941 17105 17619 17848 3300 7894 20669 19489 18432 7175 6913 12312 14084 20606 7383
"200667_at" 1010 1095 1558 19007 5605 14048 1917 7451 18820 9716 18674 18700 5598 7240 11221 5225 8922
"200668_s_at" 16573 16620 2667 15952 4135 14543 4933 7835 15221 19145 9054 11182 17950 9866 14527 4554 7675
"200669_s_at" 17711 10596 12039 17704 18989 18852 5468 6039 6863 4742 11065 19041 21581 9104 14035 5496 5965
"200670_at" 2529 1762 3907 3838 5155 15855 1957 3828 19355 1049 7060 2243 8052 1159 21077 3778 3181
"200671_s_at" 1393 108 5781 14690 20492 17404 20744 13239 1139 17995 9662 22136 3655 2405 8565 18908 8452
"200672_x_at" 14070 5947 19742 2528 621 15922 22262 6132 19489 21155 19945 10342 18338 3650 16200 213 19960
"200673_at" 14238 9223 13674 3216 3736 13669 2906 627 4873 4512 2090 6712 7320 4757 11290 3594 5628
"200674_s_at" 6376 10179 5368 16012 3724 6803 19641 10259 6853 20468 14373 18023 17337 20411 6223 20033 19040
"200675_at" 12708 5982 16713 7437 2635 17804 18961 8941 20552 18938 11760 9780 2688 5653 20047 1840 21248
"200676_s_at" 2570 4217 17838 3754 10916 13277 2717 3227 6339 19893 11090 17866 16668 4137 4397 10010 21547
"200677_at" 3699 2967 4830 6448 16423 15270 5764 9592 16402 4400 10834 9003 16863 8221 19749 4215 5841
"200678_x_at" 2541 2661 18837 8792 4329 2057 4248 6632 4608 18937 11728 10946 4156 12317 12620 2492 5724
"200679_x_at" 3811 9598 2301 21614 3163 15289 21511 9427 6630 9021 18668 18191 5657 10876 15384 10416 18794
"200680_x_at" 13620 17853 13165 19028 4335 16413 3392 7867 19161 8060 11709 13215 15193 16709 11430 20427 9459
"200681_at" 13356 9085 1149 3392 2784 18328 4100 19134 4938 7977 18671 8905 16313 10408 15458 6090 4187
"200682_s_at" 12668 16698 2711 18689 3593 16348 7329 19381 5455 7306 18508 9213 18731 10344 18459 7965 7807
"200683_s_at" 6372 5437 15644 6519 2300 19282 5770 9444 16806 8427 19921 19001 20279 8647 16611 8647 18271
"200684_s_at" 14438 7129 11943 16557 21660 17976 3721 4872 6678 20961 19787 16729 7616 10307 15724 746 4594
"200685_at" 11190 5148 15832 19467 8805 2460 7245 7996 19522 5853 6871 4407 1848 3546 20120 20745 1095
"200686_s_at" 7978 5744 1479 8083 17958 20010 1730 5016 21317 746 6034 5199 15706 1602 20686 4044 1017
"200687_s_at" 4277 5394 11851 18667 6495 20365 6287 21286 14967 19051 21074 17662 7229 12029 19303 7806 19186
"200688_at" 6581 8319 16954 19014 18957 1546 6474 8814 1961 20485 9009 7956 7578 13117 10534 6921 4763
"200689_x_at" 15729 17907 1509 19775 6180 2912 6186 9732 15831 9233 14409 16935 7449 13252 6257 19607 8823
"200690_at" 6015 15526 14273 17132 2099 13171 20359 20824 18145 3335 20198 5010 6551 8102 13107 3387 3730
"200691_s_at" 13028 5531 3942 7351 17700 15241 4177 9816 20719 6669 20019 5288 17910 10692 20065 7398 5627
"200692_s_at" 2039 6911 4543 16205 20866 17654 19801 20530 3473 9121 19916 4849 3591 10472 19975 8935 9023
"200693_at" 5811 6626 17040 17234 3159 16746 3093 4037 16765 7831 9524 8499 18680 6240 16508 5820 6780
"200694_s_at" 6008 5123 2074 17791 1940 14477 3468 9468 17869 5968 18744 7420 2720 5443 17558 4663 5639
"200695_at" 13424 5342 15789 1145 18374 19405 1141 5191 2705 21645 20990 20086 17972 747 18680 20380 3346
"200696_s_at" 18373 17133 17509 4731 20331 15441 21286 9724 6861 9306 7967 18215 1345 2285 16997 8787 3320
"200697_at" 13156 5056 13318 17688 17330 13425 5496 3539 18197 7456 7979 20562 18727 14033 14987 7175 6580
"200698_at" 19005 10370 11855 3207 6055 15111 4525 2075 14661 2030 3238 16967 18422 6295 12230 7931 6064
"200699_at" 6858 8844 11962 4511 6194 2892 3736 8751 16303 5549 3339 10781 3698 6495 2145 1250 6782
"200700_s_at" 18205 8487 11464 7777 6105 12879 3167 6953 5608 6468 4788 6882 17093 6826 3703 6709 6383
"200701_at" 6244 16924 12481 4239 3456 3208 6106 3243 16282 3237 10936 11040 16845 9780 4241 7300 4266
"200702_s_at" 1513 1389 1314 19424 20789 3110 3984 20364 15104 2651 12262 3166 3729 8978 20078 10137 8499
"200703_at" 17215 10375 17238 3053 20470 15680 4556 10024 6575 9160 4834 4302 5045 6870 15298 4494 7503
"200704_at" 2192 8873 18761 18678 835 18315 6425 850 3719 5290 2147 5471 4642 6460 3977 4275 18254
"200705_s_at" 5451 8722 5420 4322 4047 13386 5908 20372 3370 19960 14261 17418 8142 20146 6080 9814 18701
