"inst_2199" "inst_3634" "inst_3737" "inst_4293" "inst_4759" "inst_6055"
"200670_at" 6961 20279 2079 9354 17323 2298
"200671_s_at" 4713 7107 6740 594 21812 642
"200672_x_at" 19092 20392 5198 7691 20659 9745
"200673_at" 6528 10664 19161 8062 6096 7248
"200674_s_at" 10740 12142 20385 16427 18785 17417
"200675_at" 15301 10132 9178 15832 10831 5467
"200676_s_at" 20178 8600 9434 1887 19686 19964
"200677_at" 16721 9688 13045 15202 7419 7792
"200678_x_at" 15576 2632 12625 17065 18886 20606
"200679_x_at" 16538 10612 12896 4838 18069 17529
"200680_x_at" 16488 14284 19049 4657 18984 13500
"200681_at" 6344 18499 13137 17694 19720 10032
"200682_s_at" 17156 10761 7956 14895 6457 10419
"200683_s_at" 17719 6494 7922 18865 5857 11605
"200684_s_at" 20093 9652 2534 4801 5524 10097
"200685_at" 18260 9545 7509 3423 1730 21093
"200686_s_at" 19712 19506 8082 18222 7752 10129
"200687_s_at" 5052 10390 1933 17613 6781 18300
"200688_at" 4028 2757 4431 4754 6013 4503
"200689_x_at" 7804 18640 12768 8941 9668 18139
"200690_at" 2822 6107 7497 6175 18671 10840
"200691_s_at" 4722 11134 10535 5987 9465 8122
"200692_s_at" 21252 11329 8105 4825 17159 7753
"200693_at" 8390 17842 11577 17364 6728 5256
"200694_s_at" 7408 10302 6925 9321 4193 8460
"200695_at" 21302 3501 7560 21314 1505 3244
"200696_s_at" 15525 6841 11507 6838 4367 5592
"200697_at" 990 3346 10272 19873 2280 7586
"200698_at" 18833 7981 6632 16483 18376 7794
"200699_at" 8524 6023 11040 6892 6874 7612
"200700_s_at" 7396 12281 12770 16489 8805 8549
"200701_at" 17713 5862 10898 7603 7696 11299
"200702_s_at" 7516 11960 4652 7504 6709 8664
"200703_at" 16520 19974 13160 4746 9663 7036
"200704_at" 2675 5503 7725 16344 6309 4458
"200705_s_at" 10761 12101 20737 16646 9670 18989
"200706_s_at" 5907 9844 11384 6004 7351 10405
"200707_at" 7689 12395 6707 20487 18124 18768
"200708_at" 7103 10719 10305 15782 8167 6138
"200709_at" 6052 8914 8789 20589 8951 1889
"200710_at" 15978 1972 19534 5676 2928 3286
"200711_s_at" 6068 8289 9524 18242 7063 6242
"200712_s_at" 21594 7327 2112 19810 10749 4454
"200713_s_at" 5342 18926 11078 9249 6315 10599
"200714_x_at" 16689 11974 18770 17492 9831 8667
"200715_x_at" 18334 11340 12897 7936 18625 7678
"200716_x_at" 10712 14272 15138 17396 10863 13489
"200717_x_at" 10889 14175 15040 11382 13031 13399
"200718_s_at" 7599 19911 20171 9177 18536 11290
"200719_at" 2084 3737 6851 15416 18839 9035
"200720_s_at" 20264 9911 7814 6388 18117 7760
"200721_s_at" 7236 8709 6110 3512 17246 11114
"200722_s_at" 21725 2574 3948 21174 7921 4822
"200723_s_at" 18698 6131 9970 20168 7691 11176
"200724_at" 198 18250 5842 9191 22008 22106
"200725_x_at" 8457 12023 19282 8725 9344 19173
"200726_at" 18822 11953 6366 7761 10237 6883
"200727_s_at" 19880 4112 891 15179 8465 2769
"200728_at" 17917 20172 3122 5935 8457 8976
"200729_s_at" 19995 12054 3581 6709 6041 4049
"200730_s_at" 17395 6385 18867 21701 2397 7666
"200731_s_at" 7485 2908 2916 18574 8151 17374
"200732_s_at" 8720 8589 10357 17562 18068 6087
"200733_s_at" 17008 19796 5856 3370 10256 8266
"200734_s_at" 2162 2894 10409 8253 18282 19790
"200735_x_at" 10746 14232 15095 8094 13127 13448
"200736_s_at" 8624 10942 11909 4824 12218 14726
"200737_at" 20228 11148 5903 7298 2734 1759
"200738_s_at" 16523 11414 12154 15902 9605 8287
"200739_s_at" 4416 3571 3614 19691 19393 17681
"200740_s_at" 7205 11743 19108 16419 6665 9664
"200741_s_at" 10837 14092 14961 11301 12901 13317
"200742_s_at" 7196 1618 20088 17469 19824 7894
"200743_s_at" 5081 5280 10880 6563 5975 11256
"200744_s_at" 19261 7089 3387 19338 6693 19006
"200745_s_at" 6340 6467 7736 17836 5073 18424
"200746_s_at" 6755 9783 5391 14820 7058 8518
"200747_s_at" 5641 6265 11125 15297 3624 19603
"200748_s_at" 18358 11692 15151 8232 17554 19742
"200749_at" 6869 17847 11053 6280 8509 7826
"200750_s_at" 17683 18784 15019 9327 8963 11743
"200751_s_at" 21284 11325 2309 9126 9871 9178
"200752_s_at" 20917 3760 11699 17949 7553 8014
"200753_x_at" 21127 5746 5351 16853 10164 10448
"200754_x_at" 7374 11380 10294 17414 9698 11202
"200755_s_at" 20135 8053 6398 19861 8147 5279
"200756_x_at" 21738 2088 2461 21735 5845 3583
"200757_s_at" 5629 7960 10013 16041 4654 10659
"200758_s_at" 18808 10581 6732 14874 5638 8295
"200759_x_at" 2813 4914 7161 8362 6722 9966
"200760_s_at" 18487 7476 3601 4131 7570 2887
"200761_s_at" 15289 3599 5452 17035 1701 7748
"200762_at" 3932 8218 10018 14805 8423 17739
"200763_s_at" 10696 14240 15105 11451 19037 13456
"200764_s_at" 21504 11393 13824 11836 6866 9903
"200765_x_at" 19108 9239 13583 13816 6780 9475
"200766_at" 17856 4626 9902 1961 19192 9046
"200767_s_at" 15332 6455 3686 4873 1804 6189
"200768_s_at" 2213 9922 5804 6081 10872 18220
"200769_s_at" 20721 3308 20938 15452 17206 10682
"200770_s_at" 16333 4565 7203 20208 19115 4136
"200771_at" 17795 7334 19565 16990 3273 6047
"200772_x_at" 15615 11159 15072 15486 9402 17397
"200773_x_at" 15832 19115 18921 6146 17616 10421
"200774_at" 4893 9776 10156 19557 17987 8713
"200775_s_at" 7566 12296 21238 8522 20917 8421
"200776_s_at" 21344 9021 5835 20231 19685 10400
"200777_s_at" 19567 9610 8201 15849 17509 10042
"200778_s_at" 20564 5043 3828 19496 3527 9158
"200779_at" 17259 12242 5808 15529 10015 18658
"200780_x_at" 5501 9474 12712 18270 18038 11751
"200781_s_at" 10829 14155 19846 8958 17420 13381
"200782_at" 8175 6875 9228 7098 7754 4779
"200783_s_at" 17472 7602 12925 18364 2782 2186
"200784_s_at" 10051 14453 14685 20999 15782 14649
"200785_s_at" 15007 14873 2553 21623 11843 14339
"200786_at" 8642 11352 12856 15051 17965 18489
"200787_s_at" 16889 4332 11907 20691 19712 20804
"200788_s_at" 16688 8200 11073 9284 9200 3411
"200789_at" 4340 8336 18952 17451 10438 3852
"200790_at" 7605 10979 10828 16775 5196 8415
"200791_s_at" 6477 11362 8788 17915 5711 6750
"200792_at" 7254 6897 7682 14790 7293 11388
"200793_s_at" 19017 7448 7546 17788 2596 21137
"200794_x_at" 18939 8527 11150 18803 7048 10616
"200795_at" 578 11872 18170 552 21041 11712
"200796_s_at" 22283 1423 20564 21997 18982 19581
"200797_s_at" 18054 10883 12538 7681 3026 7120
"200798_x_at" 21276 5218 7341 20197 8511 2822
"200799_at" 9222 19673 12772 6861 6236 7422
"200800_s_at" 21353 18219 7740 18720 10444 19155
"200801_x_at" 8729 14062 14938 16244 12853 13288
"200802_at" 16248 10310 19100 14870 9388 17944
"200803_s_at" 20403 10071 6674 16695 7593 9333
"200804_at" 17271 6909 9121 17058 10550 17283
"200805_at" 5410 4170 10856 6343 9966 18288
"200806_s_at" 20740 19683 7457 16598 9834 10424
"200807_s_at" 15738 14077 14946 15186 17916 13301
"200808_s_at" 1707 5744 12546 21079 17833 7674
"200809_x_at" 10698 14081 13146 14781 18634 19098
"200810_s_at" 5857 8726 11036 5967 7759 8355
"200811_at" 19207 1815 3856 20000 2263 2629
"200812_at" 15852 10402 8582 8379 18408 18116
"200813_s_at" 20941 3463 12621 16704 7687 19191
"200814_at" 15969 6533 11364 8229 17860 11401
"200815_s_at" 18638 20307 12101 9033 6481 8991
"200816_s_at" 18567 18755 7450 8421 9776 9357
"200817_x_at" 10856 14079 14948 11281 12871 13303
"200818_at" 7918 10513 12525 8473 10378 11007
"200819_s_at" 10786 14183 19239 7509 18417 13406
"200820_at" 4767 9709 11948 6578 18840 18900
"200821_at" 5514 18091 10749 3224 7026 1965
"200822_x_at" 5975 17712 13171 8490 10760 10092
"200823_x_at" 16890 5823 19487 9271 8210 17145
"200824_at" 16211 21372 19536 5558 127 1601
"200825_s_at" 4788 7007 19061 6668 10157 18392
"200826_at" 8262 11154 13253 7268 17498 17303
"200827_at" 20556 9645 19593 7706 9055 19761
"200828_s_at" 20803 10422 6486 21045 9358 17186
"200829_x_at" 15147 10931 8360 7413 5915 7413
