"inst_993" "inst_1051" "inst_1154" "inst_1213" "inst_1638" "inst_2673" "inst_4437" "inst_5210" "inst_5573" "inst_6172" "inst_6933" "inst_6973"
"200028_s_at" 14454 14184 17990 13171 16408 16975 6461 6414 7373 16362 16425 17377
"200029_at" 3841 2288 17137 2443 3643 11890 16204 16521 18474 4446 5819 3667
"200030_s_at" 14189 14168 5701 13386 5040 8831 15222 14180 8621 12787 4514 13212
"200031_s_at" 7867 2149 6646 2679 15172 11918 10925 6356 11800 4488 15079 14578
"200032_s_at" 8038 2290 17983 2293 5117 11940 10940 14372 11817 4512 15287 13491
"200033_at" 20464 20629 6380 19494 20283 8494 18015 21493 19012 15080 21334 21131
"200034_s_at" 13250 1536 4447 2337 4447 8657 8889 14156 16828 9349 15909 14525
"200035_at" 3578 939 441 2235 21221 21061 8682 4700 7002 15398 18495 17507
"200036_s_at" 14114 2264 18269 11524 3848 9665 15371 14788 17025 9768 16036 12873
"200037_s_at" 17301 17159 4547 13068 2088 5111 7392 4415 4898 12754 4831 13913
"200038_s_at" 13209 15837 17424 2270 4846 12012 8610 14199 15950 4581 16030 13604
"200039_s_at" 14564 14647 17731 3509 4632 8401 8709 6670 7086 12354 4740 13716
"200040_at" 4528 1586 5127 3243 3569 3907 7407 2776 3371 10434 3869 3517
"200041_s_at" 19148 16698 19427 18041 18348 10148 9158 16779 19083 17160 16611 17817
"200042_at" 17811 2476 19108 15373 17180 9553 15983 14651 9721 12824 18147 19277
"200043_at" 17869 852 3093 14832 15128 6288 6459 5953 7673 19610 15333 15057
"200044_at" 17403 15645 4188 18744 16116 5879 14672 15970 5310 16447 5943 14783
"200045_at" 17936 15215 20267 17212 18889 17993 8092 15512 9715 14243 15738 13732
"200046_at" 17862 21287 5671 21433 1888 8567 8047 14168 5771 19560 4104 14612
"200047_s_at" 16070 16604 17042 15596 4172 4996 7799 4993 3264 15183 2683 13121
"200048_s_at" 18134 1982 18820 17229 16030 10066 16284 16537 6540 17881 17795 18076
"200049_at" 3458 240 5541 3066 3447 2001 1728 3036 2754 2775 5114 3642
"200050_at" 3086 15388 4171 16575 19025 19817 3401 4360 7144 16758 16296 12892
"200051_at" 16309 19318 21315 17209 17248 9993 14972 17232 16377 18766 16327 20280
"200052_s_at" 16917 17964 18174 17077 16158 9466 14520 15818 17031 17007 16865 14802
"200053_at" 13035 16317 18038 136 1687 4502 18857 16586 7786 13636 16705 18983
"200054_at" 15674 15100 19423 17737 16213 17390 5839 15398 6195 20428 16630 16318
"200055_at" 16232 18986 18736 1372 15059 16419 7479 18744 9696 16317 16684 16904
"200056_s_at" 17249 792 2098 19258 3063 4113 5861 4153 4088 17136 4406 14550
"200057_s_at" 14426 14764 5038 14236 16189 7707 15481 14430 8018 13132 5961 14429
"200058_s_at" 14696 13738 17422 16081 4731 6180 5130 3762 9306 16183 15002 15673
"200059_s_at" 18398 18100 4549 13727 4912 3236 6315 14566 8170 13362 5764 16918
"200060_s_at" 14174 19422 18737 20002 15067 16273 6627 6836 8206 16271 4120 14347
"200061_s_at" 7705 16081 16804 6447 4792 11916 10924 15825 11798 4486 16110 3387
"200062_s_at" 7814 1509 6875 2510 14493 11831 10844 9244 11688 4379 15773 13087
"200063_s_at" 7974 19491 5689 11483 4598 11967 10961 14222 11859 4535 14885 13017
"200064_at" 1116 70 247 274 671 277 1872 489 1512 343 485 437
"200065_s_at" 4196 18329 18497 18015 5245 7599 8813 15309 9469 18223 3641 14340
"200066_at" 19827 19876 20466 18551 17949 9732 20190 18863 17349 12084 16464 18178
"200067_x_at" 1750 14925 725 928 333 1371 1248 550 747 2388 267 364
"200068_s_at" 3703 14446 6342 15091 4754 5180 8536 3702 3830 11969 1436 3594
"200069_at" 3257 1076 17877 11915 2854 7717 3763 2083 1640 15640 1378 3635
"200070_at" 19904 22115 6603 13257 20390 7675 15618 18389 6387 10446 18794 21518
"200071_at" 14326 14407 2760 16775 2273 3112 3785 4342 2640 15744 3475 2728
"200072_s_at" 14948 1732 17247 17465 15367 7984 16709 14484 8848 15311 15856 16060
"200073_s_at" 16770 890 6390 17394 15898 8325 6615 15677 16715 15379 17619 17561
"200074_s_at" 13772 16401 6330 13339 14240 7243 16398 6538 8676 9987 18251 14115
"200075_s_at" 18238 14514 20907 14783 17628 9854 6215 16261 15995 19876 18699 16845
"200076_s_at" 17774 14720 3571 15716 19678 17760 15987 18950 18586 18749 19684 17355
"200077_s_at" 12947 2106 6910 12325 3271 7618 7483 4379 6642 9394 4212 12879
"200078_s_at" 19975 20541 6121 15515 20773 19043 19494 20173 19365 16784 19730 20609
"200079_s_at" 15314 1820 18756 15875 18615 18518 17826 17032 16208 19192 16047 15755
"200080_s_at" 17328 765 3698 14388 14046 6191 8585 4045 9045 9368 5543 2841
"200081_s_at" 3161 1640 6089 3701 4109 6292 14994 5401 9665 9904 16695 13566
"200082_s_at" 4607 1448 17447 11735 4945 11960 10952 15622 17660 4524 14731 13020
"200083_at" 15560 1177 3371 13111 4624 8642 16410 4367 5588 22096 15074 15759
"200084_at" 16754 14391 3270 16770 16387 9528 8925 14653 5341 17011 4754 15875
"200085_s_at" 14896 1563 6647 11699 4789 8091 15863 16314 8881 13631 16156 15671
"200086_s_at" 13627 13890 4210 15333 3783 5147 8534 4548 9037 16926 5879 13261
"200087_s_at" 16714 14875 5594 19493 4745 3296 15049 5643 6225 18476 4551 16144
"200088_x_at" 7635 13725 18764 3284 5127 11840 10855 14951 11698 4387 5610 4035
"200089_s_at" 13010 20889 5569 3566 4098 11996 7927 14390 7209 4563 16443 4046
"200090_at" 21960 1125 6567 17395 21376 4666 17726 21021 20186 17176 17819 18899
"200091_s_at" 15857 617 6101 12774 14537 4829 16212 6099 8683 4429 15937 15773
"200092_s_at" 7665 1979 18306 3276 14533 17330 16741 5912 18681 4541 5805 4051
"200093_s_at" 15526 14021 4077 13102 1966 4834 3868 14945 8554 16808 15880 15289
"200094_s_at" 16793 2049 18242 13229 4289 8450 7130 17730 17195 10918 16710 15557
"200095_x_at" 7662 1742 18340 2429 14363 12022 11005 6051 11936 4589 15566 4132
"200096_s_at" 3916 19805 4290 12068 3877 3885 14892 4703 7178 20351 15737 15064
"200097_s_at" 4590 2195 6844 18426 5232 7206 6874 2993 4552 14579 4039 14653
"200098_s_at" 18664 18855 18427 17418 20087 8726 17813 17881 17610 19981 18848 18246
"200099_s_at" 7862 18710 6816 2853 3972 11973 10967 9584 11876 4544 16412 3549
"200593_s_at" 13845 16221 5407 19098 19146 9331 15751 19450 18375 16148 20459 19880
"200594_x_at" 14161 17775 4200 18266 17224 10122 16795 17521 7829 13910 5754 15868
"200595_s_at" 19501 1217 17775 19324 4765 16205 7862 14552 5893 21492 4378 17690
"200596_s_at" 14175 19116 17413 14359 15674 16952 8232 17750 16575 17906 18902 18061
"200597_at" 15545 2026 17818 12255 19893 17880 5789 958 1712 16272 1845 3759
"200598_s_at" 1612 141 4435 12157 666 2177 5266 1806 977 13835 98 1871
"200599_s_at" 3886 902 3538 13437 2404 3005 7075 1614 2120 13694 463 13104
"200600_at" 6565 8122 7264 14450 11144 6041 4174 7653 11089 13213 6877 8400
"200601_at" 21004 19891 17160 20792 1031 9556 2526 14948 8622 13914 3595 13520
"200602_at" 1399 58 17072 19165 786 1933 2962 1431 6299 11706 3363 1944
"200603_at" 14372 670 1390 17565 1822 1902 3997 2630 3442 15567 3112 13188
"200604_s_at" 4583 2360 4803 13731 2084 1687 18095 15661 6230 11114 4285 13535
"200605_s_at" 4703 22251 3970 3331 1253 1488 8290 14409 4386 13315 2048 3505
"200606_at" 16386 16940 13533 16814 2062 18625 17923 5524 4314 334 14985 3442
"200607_s_at" 3585 15342 4042 12533 2958 9004 14934 3050 7121 11336 4061 2295
"200608_s_at" 14677 623 7039 18609 1648 3722 4556 4612 3078 15427 3927 3471
"200609_s_at" 15320 17061 6219 20637 5196 18499 4562 3069 5204 15167 16291 15960
"200610_s_at" 19530 18742 5286 16976 5241 8843 5908 5965 5464 17031 15381 15108
"200611_s_at" 15786 1602 5352 13139 14155 6980 7849 15742 16335 16997 16146 16869
"200612_s_at" 2641 14930 2269 3733 1932 7342 3535 1600 3100 10977 15581 13638
"200613_at" 16916 19310 7568 16592 16405 7244 14773 14783 17419 18132 17326 15712
"200614_at" 4534 1152 1763 3320 4270 2975 8159 3847 7012 10287 4545 13200
"200615_s_at" 13053 18930 19422 2317 14506 8490 6467 15430 16525 13468 5736 12917
"200616_s_at" 14269 2121 7558 14887 16498 16290 16575 15372 8068 20014 5897 15128
"200617_at" 15653 17762 20975 19505 18719 16788 7338 14960 9175 16566 15645 15698
"200618_at" 17281 17493 5494 15460 18182 1419 8342 18444 7097 12652 17288 20616
"200619_at" 13879 1016 18105 12833 18624 5865 9330 5523 5892 20135 4185 1814
"200620_at" 15558 15882 17903 16659 16571 5652 17921 17568 17078 11952 17418 18250
"200621_at" 14723 17543 19048 13344 18494 8081 7305 6235 17203 18527 17979 16512
"200622_x_at" 16031 13992 3367 12973 3742 7922 7675 5289 7606 11369 18515 17626
"200623_s_at" 16004 16014 21519 14211 21246 17838 16276 19681 15850 10744 14813 21454
"200624_s_at" 17636 16353 3795 15995 4269 4637 15149 18369 6990 15477 19020 15058
"200625_s_at" 16391 16076 5553 12576 17198 5422 17096 16870 6637 12964 15346 19719
"200626_s_at" 18133 577 17108 16470 17595 8707 17389 15410 3955 13023 5029 16935
"200627_at" 3613 806 4363 2685 3688 1868 7040 4276 5747 1811 2791 2362
"200628_s_at" 13597 13947 4459 14833 1027 6627 8411 4326 7583 13743 3861 3828
"200629_at" 14905 1376 5625 16590 4286 6971 19675 3171 4312 16891 739 1749
"200630_x_at" 14012 18154 5135 16441 14139 9811 17263 6097 7376 10920 3839 3815
"200631_s_at" 17963 20825 16795 14686 4335 7703 8879 15285 7391 17266 3735 17417
"200632_s_at" 73 866 7279 21917 344 6623 21317 270 2628 18620 2067 355
"200633_at" 3987 176 1584 2052 2956 11915 10923 4357 8509 2304 2610 2381
"200634_at" 16235 1055 5839 15991 16565 8598 16992 15221 17037 16155 16802 16367
"200635_s_at" 18072 17948 14422 17389 20218 14016 3110 5300 3554 8311 3439 15350
"200636_s_at" 15991 21387 11527 15486 16624 10957 4704 4408 20044 3809 14701 21033
"200637_s_at" 19071 1608 11327 3703 21065 11258 19185 16814 18480 3212 21437 21492
"200638_s_at" 14546 16517 2346 16208 3910 4308 8702 16163 7005 13009 14736 13470
"200639_s_at" 14434 18825 2140 13163 3908 4263 5569 18239 5270 19638 16111 13495
"200640_at" 14033 1807 7062 14995 16052 7429 16149 15437 9196 14387 15463 16985
"200641_s_at" 14136 2291 3435 15979 4444 6678 17467 3908 17001 10670 3369 4236
"200642_at" 3140 769 2653 2389 1941 2791 4375 4721 6132 2733 4138 2306
"200643_at" 13396 14462 2178 13129 15503 20133 4772 3896 20471 11200 5863 16653
"200644_at" 19848 21893 4726 16444 15341 8819 17013 20602 9660 17431 16752 15328
"200645_at" 17937 16722 16964 14942 17803 16339 18683 16300 17447 19232 16815 16647
"200646_s_at" 2619 1864 707 19133 21655 8680 1427 937 8745 894 4161 1136
"200647_x_at" 13031 21770 6105 3668 2387 16871 4658 4924 6276 16428 3044 13517
"200648_s_at" 13438 20743 19660 18696 19131 9522 19017 20871 18838 11769 21388 20182
"200649_at" 16356 474 20245 2237 2688 5118 3440 2343 1714 1415 1569 14735
"200650_s_at" 16162 14097 6251 11927 16790 11803 10815 16562 15830 4346 17060 15450
"200651_at" 13274 1658 17971 3658 14550 12010 7497 6336 16913 4575 17006 14718
"200652_at" 18376 13995 7475 15350 3772 4557 5090 1381 3479 16101 3133 13845
"200653_s_at" 16572 21574 19259 14502 15188 10215 15432 5104 2933 16648 15037 13841
"200654_at" 14307 22273 7474 3340 5083 9230 6195 6678 4402 16453 2432 14549
"200655_s_at" 4369 19030 5463 2736 4942 5710 14913 15074 8558 16070 5711 13842
"200656_s_at" 14882 14982 5993 13715 16361 7906 3948 6243 5975 18489 2704 13177
"200657_at" 13063 2308 5730 12807 14358 10315 8099 15339 16493 12508 15841 13045
"200658_s_at" 13309 1919 17712 14152 3732 16370 16192 15039 9065 18645 17369 3775
"200659_s_at" 4630 19510 18648 14477 2926 17123 14796 17227 5824 13133 4379 14634
"200660_at" 14122 19501 17005 11474 15800 9692 9130 16442 18518 16013 18250 17087
"200661_at" 16615 16588 19665 14880 16655 17527 15478 17778 16607 16639 18735 17841
"200662_s_at" 16896 609 17609 12560 4746 8297 4794 3736 4188 17254 3867 12966
"200663_at" 15625 16919 2617 12821 4628 9036 9174 15073 19246 14427 17136 13010
"200664_s_at" 8 4 5 12 5 4 12 6 11 6 9 5
"200665_s_at" 5253 5797 7916 8183 12661 14507 21755 11790 10543 2882 8330 4553
"200666_s_at" 21 8 4 41 13 6 71 14 18 7 11 11
"200667_at" 2501 21050 2185 3527 1600 5763 16342 3917 2979 10479 5139 12941
"200668_s_at" 12950 2233 5209 13187 15348 3959 8362 5718 6217 11460 3203 14297
"200669_s_at" 13147 17346 3417 3506 3686 5066 6330 5245 3697 11281 4180 3092
"200670_at" 21577 16748 4153 20595 19683 2631 3526 21122 18862 21609 20570 19757
"200671_s_at" 14342 1832 13120 21389 967 16615 18664 5692 1694 8694 14309 11660
"200672_x_at" 19205 20507 6851 19339 3899 5766 20174 3071 3794 21988 524 20264
"200673_at" 17204 16486 3370 13836 3750 1948 5426 5606 5003 16580 15789 4138
"200674_s_at" 7994 14313 19199 2122 14313 11979 15920 16712 17366 4548 15570 13350
"200675_at" 18290 1451 17557 18918 18085 16409 7942 14039 4591 20778 5053 19462
"200676_s_at" 20810 14525 19119 1075 2382 8527 3203 6371 805 21635 1233 1674
"200677_at" 14687 15121 20454 12401 3547 5093 7643 15804 15837 18838 5435 14451
"200678_x_at" 2046 772 18614 13128 14230 9829 7239 17691 9646 15877 17371 18719
"200679_x_at" 15785 17586 18108 13861 4800 7940 18682 15718 16382 14082 16363 14331
"200680_x_at" 13308 2220 17056 12525 4199 9508 11007 14532 11944 9918 5623 13011
"200681_at" 13814 21548 4943 14897 15360 8474 9336 16494 16354 13164 5022 4056
"200682_s_at" 15650 18951 6846 12382 14067 8565 9227 14862 7863 15577 17156 14466
"200683_s_at" 4527 2196 18253 3409 3682 10243 9072 16266 7544 14812 3711 14037
"200684_s_at" 3470 1730 16947 15194 2491 5431 5838 2683 2721 17403 5493 1279
"200685_at" 16245 571 4642 3039 19957 17651 8851 6687 9526 21627 21673 19546
"200686_s_at" 15571 21393 6383 20639 2234 1618 3434 1426 1535 21906 1782 711
"200687_s_at" 13351 17227 19208 2687 14133 10297 5009 5417 7766 15995 15288 13561
"200688_at" 18303 19482 19806 12196 21491 19473 6545 20733 20227 21981 21585 20172
"200689_x_at" 3546 17739 6717 11631 4557 12019 14538 14362 7804 4586 4938 2987
"200690_at" 4462 13773 1380 12907 2149 2564 4813 2572 4017 14963 5762 2217
"200691_s_at" 2930 19394 1958 3663 1569 3091 6198 2860 3570 12113 1887 2579
"200692_s_at" 3457 1333 1929 2559 1884 2034 6005 2805 3712 10786 3354 3260
"200693_at" 14804 13850 3001 14776 14126 8966 7152 6754 4688 18337 16175 13390
"200694_s_at" 15891 1714 17119 18028 17387 18078 15995 15528 6297 17694 17420 17730
"200695_at" 1487 13981 19631 16011 18363 20762 17613 19617 1000 20293 16350 20916
"200696_s_at" 15930 19572 2470 1664 17901 4213 16847 3887 4634 20638 3633 15138
"200697_at" 18382 14148 4597 16776 18550 16994 7730 17102 17402 19657 17160 17326
"200698_at" 16950 17618 6004 12538 16178 4086 7247 15471 6471 14060 4294 19117
"200699_at" 18700 15111 21713 11921 18938 8801 17026 5931 4629 11708 1552 20394
"200700_s_at" 16209 19196 19525 12413 17029 16589 18112 16932 7832 14189 4232 16683
"200701_at" 15041 1606 17737 13325 14634 3704 7293 6019 15889 15116 17945 13022
"200702_s_at" 2271 13865 17133 14701 4986 17642 17053 15710 16711 21222 19160 17366
"200703_at" 14761 1798 7166 11901 3914 4709 6917 3567 5567 13274 16603 13686
"200704_at" 3868 1142 17207 1418 3002 2839 5552 1860 2010 11355 1494 2883
"200705_s_at" 4699 16576 17579 13300 15699 11847 16295 16265 18076 4396 15605 13833
"200706_s_at" 4217 17982 1485 13602 1680 3836 4531 1322 913 10405 2646 2067
"200707_at" 14960 20618 7180 1795 18099 6231 5324 2699 21262 13480 18423 15070
"200708_at" 15076 2034 971 11812 4509 18279 15273 15479 7494 16427 2491 14517
"200709_at" 15444 19313 21034 16936 16469 3866 18696 17818 7708 18965 17234 16671
"200710_at" 16795 1241 3811 15712 18235 18780 6891 18272 5502 20766 17916 19022
"200711_s_at" 16180 2234 3703 17659 3485 17193 8228 16046 7312 14308 16389 14743
"200712_s_at" 19133 16770 948 20172 4975 3203 6188 16760 4410 15344 18884 13722
"200713_s_at" 14669 204 3382 15926 14136 8714 7816 6738 5160 12408 3470 2792
"200714_x_at" 18302 2159 5919 17739 19264 7880 6903 5260 17320 13043 16833 15970
"200715_x_at" 4466 1053 17797 14343 1999 9252 5876 5539 5884 10256 5585 3583
"200716_x_at" 4561 14265 7328 3050 14060 12013 11002 6230 9705 4582 16626 3830
"200717_x_at" 7629 1219 19231 2371 4947 11913 10922 9437 11796 4484 15339 13059
"200718_s_at" 13519 2135 1772 12532 4101 9283 8209 5837 8207 13081 3591 13335
"200719_at" 15680 15531 3857 17412 4396 18047 17521 15517 4510 14114 15302 16518
"200720_s_at" 13979 1795 3728 20562 16365 8140 8880 14255 18279 16812 17233 17540
"200721_s_at" 17364 16877 21737 16132 19490 9188 7147 6783 16168 14941 18159 13093
"200722_s_at" 21025 19558 1300 13771 4468 16572 18819 21668 20039 16121 21324 17409
"200723_s_at" 17778 20342 5656 16700 17105 10204 16228 19059 17638 13188 17202 17411
"200724_at" 8328 12736 9873 21094 1174 1129 1009 18838 21633 12812 8191 9047
"200725_x_at" 4415 14378 7536 12274 5031 9908 16485 14624 8252 9858 14972 14069
"200726_at" 18863 14613 2289 12507 15840 6066 9219 14936 8660 13830 17645 16675
"200727_s_at" 16890 16502 5052 13709 14382 5426 18803 3995 5775 11131 19640 2076
"200728_at" 13589 16577 5460 17199 15154 6961 7894 16225 9793 12459 18244 18627
"200729_s_at" 16120 14914 3866 17816 2556 4215 6452 5341 3632 13161 16393 14419
"200730_s_at" 14099 20192 3838 19425 16473 7526 20166 17739 4134 17201 16420 3766
"200731_s_at" 20215 17541 18376 20507 19867 18662 21342 14247 3784 13993 18983 14555
"200732_s_at" 15467 20256 19534 16406 17825 18176 19523 15723 16928 18370 19513 13917
"200733_s_at" 20561 1822 1261 15792 2831 498 4661 2814 3119 19729 16444 4049
"200734_s_at" 3162 1405 21673 12497 3307 17303 15193 15583 17958 20683 14749 16300
"200735_x_at" 7914 2278 5223 3091 4430 11970 10966 14727 11865 4539 14966 13116
"200736_s_at" 8026 5821 4481 11490 6140 16289 8571 13210 14475 15818 13148 5781
"200737_at" 16369 1137 901 18540 2422 3896 7751 2637 2592 15061 17963 18422
"200738_s_at" 3400 1527 2799 3576 2756 4351 7644 5220 6076 10050 3613 4018
"200739_s_at" 16533 20941 2642 11673 15113 7184 6877 17646 9791 12329 18124 15552
"200740_s_at" 14505 955 5171 13722 4972 8034 7888 5845 9503 14234 5329 14172
"200741_s_at" 7960 1402 19879 2286 14881 11832 10845 15022 11690 4381 17178 14838
"200742_s_at" 3701 731 5005 14714 2274 4178 4553 16018 5279 17602 18607 3222
"200743_s_at" 2625 14798 5001 16102 3716 4740 3806 1536 3047 15595 2473 2316
"200744_s_at" 15203 17247 3930 20156 14985 7057 8135 16157 8752 17928 16354 15562
"200745_s_at" 14238 16313 4074 12747 15987 9606 16368 4101 5559 15964 15583 18033
"200746_s_at" 13543 14151 4109 11801 14964 8373 3973 5112 8574 15759 17683 17834
"200747_s_at" 20245 21915 3631 1834 19225 7956 4184 15863 7779 13092 2848 21630
"200748_s_at" 3634 18350 20078 2360 4281 2595 11015 6665 16658 10080 16900 13669
"200749_at" 14349 1479 3221 15698 4231 7010 6045 4191 3381 19600 4175 3687
"200750_s_at" 13524 1949 4282 2899 5049 8144 10903 16855 16856 13243 17117 15590
"200751_s_at" 17459 20683 3524 19867 3185 5967 14788 16213 7809 14669 18508 14277
"200752_s_at" 15936 16020 7393 3289 18876 6995 18776 18933 16481 9589 15782 3768
"200753_x_at" 15283 19207 2929 19674 17369 7994 8271 16509 16035 17364 18784 18026
"200754_x_at" 13750 17532 6271 14761 15728 9798 8626 17234 8795 13310 15650 3364
"200755_s_at" 3816 15324 6690 12152 3923 9986 16025 3688 3731 15724 2274 3116
"200756_x_at" 14002 15232 5129 15060 5016 6991 19281 3701 6854 14709 2751 14127
"200757_s_at" 14874 1477 19056 15801 14698 7275 15172 4547 3951 13923 3079 13319
"200758_s_at" 4394 1034 6071 14739 3098 16301 9243 17780 9132 17099 18248 18661
"200759_x_at" 4655 17239 5505 19010 17077 18031 6551 3693 1086 13245 18971 16728
"200760_s_at" 14695 16696 4163 2214 2232 1048 6287 3091 3108 9994 5269 3226
"200761_s_at" 14313 2443 1750 13110 1612 1128 3771 4078 5999 10877 3515 2185
"200762_at" 13633 20824 17709 2162 2412 2083 3865 3017 1234 12258 1351 17371
"200763_s_at" 8040 14466 5471 11501 3548 11984 10973 14633 9704 4551 5914 12972
"200764_s_at" 13719 17205 14604 7766 15465 4334 4221 15051 18023 18161 19756 19224
"200765_x_at" 14481 18998 8832 8045 15447 17079 13023 14508 5521 9124 4636 14676
"200766_at" 18159 2401 4655 19707 4647 9262 4048 16365 8109 22238 5482 15248
"200767_s_at" 15458 21870 20056 16872 14560 19635 2474 15298 6507 21967 15994 15936
"200768_s_at" 21358 20463 19413 21071 20545 21165 21554 21664 18773 18594 21398 21816
"200769_s_at" 21586 21818 21027 22189 16547 16302 22006 21149 19846 21710 20855 20610
"200770_s_at" 3133 14333 5904 14087 17866 17628 15151 15717 19063 9319 18081 21853
"200771_at" 2808 18805 18326 17627 15293 6812 8818 6552 2905 10192 2598 13149
"200772_x_at" 14013 827 17384 12995 17736 19414 17005 16367 17408 4515 18102 16944
"200773_x_at" 13131 14274 18028 12918 16674 17566 16019 15767 16439 10271 15060 14624
"200774_at" 17261 1762 19169 13858 3975 8284 6978 5694 7614 17613 5238 13184
"200775_s_at" 13799 2270 2231 13253 14244 7444 7760 4913 8716 13911 5268 14866
"200776_s_at" 13995 17730 2006 14661 4843 2838 14777 17417 7973 13718 16618 14692
"200777_s_at" 15432 14139 6800 13895 14718 3701 14906 14385 8445 12188 16547 17767
"200778_s_at" 12975 21087 18419 17954 3359 5751 15631 18481 15869 14912 5532 13934
"200779_at" 17348 14913 18985 18832 20536 20048 14940 20870 20219 14891 21089 20278
"200780_x_at" 7970 14177 16812 3287 16431 10194 16618 6478 16297 13567 5589 13828
"200781_s_at" 7907 1934 7290 1847 14200 11899 15063 14656 11776 4460 16408 13964
"200782_at" 14533 18209 1908 14663 15456 2972 6787 4735 3734 11653 3743 15518
"200783_s_at" 17024 19085 5465 16469 15134 19096 18342 17222 9797 13961 18344 17061
"200784_s_at" 9186 2753 15127 10865 7822 7298 14655 11904 10958 6823 7237 8511
"200785_s_at" 11321 11687 14247 5519 13011 14891 5535 10808 12881 129 9985 10509
"200786_at" 3639 17354 6142 14231 2462 7006 5493 5496 6774 12191 3329 2977
"200787_s_at" 14749 22078 3776 1234 18908 3564 2186 18173 16725 18303 18905 16690
