"inst_201" "inst_446" "inst_564" "inst_1011" "inst_1069" "inst_1172" "inst_1231" "inst_1656" "inst_2691" "inst_4455" "inst_5228" "inst_5591" "inst_6190" "inst_6948" "inst_6990"
"200601_at" 16923 20376 4884 21867 20065 6197 15719 21184 18621 14088 17558 19535 2389 18829 20808
"200602_at" 5858 19900 22053 18181 21781 19399 18197 18807 5563 18876 7085 3631 6726 3120 2254
"200603_at" 3893 15795 19329 16386 16848 18085 16645 16151 6329 5901 5042 14882 4565 4877 5343
"200604_s_at" 17641 16233 18474 16555 16927 2496 17557 14980 17223 20512 18314 10385 4265 4648 5473
"200605_s_at" 6281 5695 2895 18914 16597 4812 16777 4997 15432 15023 18480 13054 3785 5905 3353
"200606_at" 19147 15934 12577 17642 17589 14465 20363 17725 1026 17869 18085 13875 1664 5644 19763
"200607_s_at" 1102 21474 3063 19066 18855 2095 17217 18251 14846 15082 17630 4110 6391 17959 5986
"200608_s_at" 17869 15876 6067 17970 17477 18238 17274 16869 5256 6746 8480 13130 8235 17030 18128
"200609_s_at" 17650 14623 21442 4435 3875 15915 15802 4883 8613 19249 19598 17376 8174 18850 17552
"200610_s_at" 2786 17995 21103 19429 18630 20991 17255 17426 18553 14547 19432 17844 20903 19016 20055
"200611_s_at" 17078 18263 18443 3649 3594 6434 15407 2870 4934 18060 5991 11941 6465 4011 4668
"200612_s_at" 20629 2627 21498 16364 21596 21849 14760 193 16357 19395 5580 16482 4139 6453 16638
"200613_at" 21064 7059 7128 16844 16956 6070 6093 17346 15591 18309 18743 14174 5793 6682 16953
"200614_at" 7962 4995 6342 6546 17847 1640 3345 4009 2235 7202 6026 3434 1641 5950 6375
"200615_s_at" 6545 4391 7444 4434 3010 6374 3188 4112 8682 16015 4622 17256 3871 3943 2980
"200616_s_at" 20724 1982 6797 18995 18985 15615 17829 17620 8310 2883 18768 15045 19004 19921 18579
"200617_at" 20169 4002 6695 20545 20281 22064 17268 20039 21336 15696 18675 20561 16772 16878 19769
"200618_at" 16239 17899 1657 18535 17102 18138 5554 18323 5620 7516 19311 18890 2874 19717 16697
"200619_at" 21359 5608 745 18250 17014 18027 4626 15533 6465 4820 21381 14366 5368 19579 6692
"200620_at" 18079 15715 19386 5094 3934 4911 5952 15516 5648 17927 9166 10908 4523 3748 4072
"200621_at" 16584 6542 6821 17481 17645 19221 16911 20158 15205 13906 17032 15298 17101 8137 18360
"200622_x_at" 7725 21372 5465 7056 2999 2110 4644 15586 14933 14123 4538 10508 2744 5566 17609
"200623_s_at" 16350 16651 2057 21292 20174 20809 21222 19904 14856 20781 20715 19435 17360 18744 20742
"200624_s_at" 2647 3842 5426 17323 17849 16601 5631 14512 8688 15457 8537 13690 8410 7979 17459
"200625_s_at" 20001 3297 18737 16178 16017 18057 3698 18659 6816 14387 8241 14864 15728 17382 17182
"200626_s_at" 8713 14772 20811 20760 20864 4888 16882 20754 6436 14157 8478 12374 15889 17371 18721
"200627_at" 8495 4484 5307 5464 2807 3815 2562 4210 3564 6686 17343 3781 5694 5543 5492
"200628_s_at" 18017 7535 18630 1487 1690 2211 3166 914 8389 14808 1300 10704 17353 1725 1033
"200629_at" 17103 15253 18540 1310 2112 2583 18909 494 6574 18507 6033 2914 16129 732 2435
"200630_x_at" 17447 4235 18677 16416 17249 16741 18850 5420 15732 14772 8549 11310 18962 18739 17600
"200631_s_at" 6864 15401 19883 18395 19321 20973 14711 18045 17797 7752 18894 18848 20653 19015 19647
"200632_s_at" 1097 20931 695 49 103 20693 20233 25 22004 18713 47 64 14987 105 35
"200633_at" 7680 6460 6004 6386 1161 1458 3222 1461 10464 10092 6447 3459 7418 2908 4017
"200634_at" 18863 16441 7304 16311 17119 19848 14964 16343 18250 16555 8609 12575 18264 6594 17215
"200635_s_at" 749 19184 10600 19230 21085 13944 14653 21089 9506 5398 9563 16397 13113 18922 19319
"200636_s_at" 8112 16013 3824 18190 20773 8277 15494 20887 3932 15612 3410 22061 11283 18432 6618
"200637_s_at" 4293 16845 12326 20049 4879 10005 14123 4822 10953 14660 18702 17621 9530 22014 19983
"200638_s_at" 4041 6551 18668 17254 17740 2734 16352 4661 6340 14640 18192 11547 2277 6799 16978
"200639_s_at" 6209 4911 20299 16764 17405 18179 6121 4116 7030 15693 16934 15214 4006 7659 18016
"200640_at" 17581 4773 18993 19318 18970 16137 6380 16125 16762 14112 9273 13274 4146 8146 6907
"200641_s_at" 20114 14299 6024 18539 19823 3844 14063 17050 17654 18001 8852 3487 2074 5269 18586
"200642_at" 3953 4071 19457 3472 2219 1655 2017 2301 2252 5369 4161 2316 2756 3622 2930
"200643_at" 18627 2831 4870 2491 1482 650 802 415 3273 16043 1952 19508 2129 1669 1926
"200644_at" 4075 17832 22208 21110 21098 6447 17263 20314 1575 16843 20965 20077 18410 20113 20420
"200645_at" 7157 6476 20324 18061 18793 4424 15742 17372 6711 16529 7967 13646 6000 17042 16933
"200646_s_at" 8588 21312 3280 17999 2744 2924 2094 1233 3280 6017 6929 3862 938 3449 17126
"200647_x_at" 7176 16966 18550 5180 17096 17460 15185 2931 15633 19141 9654 17333 17518 6118 3960
"200648_s_at" 19271 15426 719 18196 20153 1512 2503 21750 5764 19516 19180 18998 1537 21854 21653
"200649_at" 17941 16543 3813 4401 1502 1376 2636 2362 1008 6657 5271 14131 804 3320 16505
"200650_s_at" 17769 4920 19622 19763 18269 16552 16797 19315 17781 9965 16871 12550 10453 18975 19904
"200651_at" 15768 15318 7695 7296 16107 15591 14658 14453 10560 15006 6930 3454 10677 7139 5461
"200652_at" 16809 17705 20386 18168 18362 4250 16238 17192 2354 18534 2623 16159 4331 7528 7546
"200653_s_at" 5147 20364 20687 18498 4681 18784 17267 19944 5148 7425 4724 14167 15793 5541 6617
"200654_at" 8849 15719 7112 4399 15970 20678 3484 4640 16624 15242 8172 11996 17444 5942 5959
"200655_s_at" 16072 15880 18304 7209 19519 6541 17622 17601 7123 5825 8411 13396 16501 7219 17768
"200656_s_at" 5200 3372 4894 4991 17790 17278 14361 14808 16113 13934 7866 12339 15005 6523 3922
"200657_at" 17865 17739 18925 17473 18522 15760 15752 15367 15522 6333 17825 11158 16340 17173 17742
"200658_s_at" 7604 14998 20626 7179 4307 16588 3618 5082 17452 6921 4090 12300 17859 4053 4961
"200659_s_at" 15987 18847 22107 19547 20811 22095 17356 19723 21854 7097 5609 17670 21396 4903 6810
"200660_at" 19345 5238 6717 7302 2963 19721 16915 15871 21129 16297 9175 11619 17357 17148 5464
"200661_at" 6224 17097 6021 3800 2703 5113 5674 4293 3964 8199 4409 11620 1958 4038 2143
"200662_s_at" 16182 16228 7305 17568 15921 18340 16604 18594 8707 17130 6184 12056 19251 4487 17625
"200663_at" 8019 6160 19671 18512 4414 6506 5872 15778 16006 7397 4423 12681 7536 7869 17002
"200664_s_at" 2808 183 2998 27 18 4 6 24 5 196 293 383 69 39 55
"200665_s_at" 11923 13798 19995 10681 8755 13302 9910 13175 13059 21839 14705 4920 9008 10778 10222
"200666_s_at" 16038 288 103 40 28 6 18 44 7 161 671 697 80 56 81
"200667_at" 19866 4358 21267 3988 4722 5239 3281 3741 5679 15526 7120 13872 8101 3423 5191
"200668_s_at" 18176 2858 5626 4491 4482 3097 3478 4559 2920 7411 5407 12405 5326 2883 5792
"200669_s_at" 8818 19383 5714 4068 1745 1638 3443 2467 3845 6096 4788 11469 5442 4257 4591
"200670_at" 3666 14698 21627 21537 21761 17019 507 21441 711 4072 19192 18840 21121 21307 19664
"200671_s_at" 19245 3659 3701 21255 18128 14758 952 11985 15046 21496 17627 1335 13682 741 3832
"200672_x_at" 5026 20199 1150 18908 20921 21540 17562 21157 17179 20742 5425 14780 20560 5068 3260
"200673_at" 5596 15254 20464 16801 17664 982 15865 15683 1514 7996 6274 11889 749 6195 4975
"200674_s_at" 17400 17894 19716 10753 3909 16343 5215 4106 10528 16118 19474 4169 10649 17268 16660
"200675_at" 18350 6308 6645 19693 18998 21464 17064 20338 8388 8223 7673 17326 19893 17216 17752
"200676_s_at" 8717 20433 2599 19205 4510 2406 19602 4602 6588 4249 18636 3595 2162 5569 3224
"200677_at" 17097 14166 5605 2617 2068 3491 15283 2351 4985 15591 7074 11095 8805 3250 5153
"200678_x_at" 2640 16959 7107 2737 1634 17816 5701 4050 16405 16422 8526 2456 4607 1488 1270
"200679_x_at" 21894 16902 7650 19542 16778 20098 6298 15891 19968 7931 9614 11859 17684 19330 6558
"200680_x_at" 18720 4983 19874 18128 18388 18736 16458 17611 16632 14587 20613 6312 16334 19811 17852
"200681_at" 17214 16143 19731 6491 18406 4339 16026 5460 6317 14468 7275 12990 15011 7538 7233
"200682_s_at" 18543 14415 19137 16821 4098 4536 4316 15201 5877 6843 4966 13404 5926 8139 6163
"200683_s_at" 17293 16065 18804 19253 18201 1328 14946 19361 5588 15140 9596 12609 4275 19575 16727
"200684_s_at" 16065 5630 4625 3554 16822 4383 14229 3512 8247 17645 5493 11210 7151 3890 17023
"200685_at" 10421 20464 15890 21735 22167 19044 14646 15996 20313 6676 2829 17255 18820 3422 22221
"200686_s_at" 20889 5834 2537 17729 18909 16000 19221 18265 6061 18569 4198 19510 8317 19137 16515
"200687_s_at" 4327 7173 605 17770 3116 20501 4861 18788 17702 16870 17958 16955 18435 8253 19579
"200688_at" 19939 19158 6799 4340 21227 20585 22205 16376 5816 3590 21284 18787 5029 5552 20579
"200689_x_at" 19540 5721 3436 7071 4240 4316 5213 4476 10565 8119 9318 4228 10687 6719 5617
"200690_at" 21648 18583 18952 2156 1137 1570 1177 3353 1009 5276 5022 13253 7544 7797 5180
"200691_s_at" 7427 6474 6300 3652 2840 2227 3503 2771 2390 3503 4919 10988 7416 2700 4184
"200692_s_at" 8797 4152 855 2905 2210 2400 1109 2389 1863 13893 2293 4154 4713 3761 3763
"200693_at" 6756 5155 6502 17358 17893 15887 14657 15887 8797 7929 8657 12564 14986 6603 7280
"200694_s_at" 8273 5758 3075 17350 17553 18523 2140 18483 15670 3060 6017 16667 19180 17912 18539
"200695_at" 8411 18481 19617 3732 20386 5016 16625 19861 15821 20136 2998 10694 18613 5991 17169
"200696_s_at" 5630 17254 4607 16694 19466 5042 15532 14476 4453 14130 19362 4285 21226 8086 4746
"200697_at" 5302 15574 1292 18667 21499 4572 17715 4925 15753 16063 20055 14558 6015 7690 16788
"200698_at" 6396 7076 7318 16210 19041 3298 5651 15289 1152 15098 8989 15316 8012 5797 7097
"200699_at" 19400 5220 1264 18718 20013 2859 5799 19114 3197 14246 18599 19144 15672 6976 7452
"200700_s_at" 15761 3123 5895 6013 17089 2929 5496 16414 5638 15665 8645 13118 5502 6582 16253
"200701_at" 19892 15827 19503 4886 4196 4472 5530 15799 6614 19495 17263 10709 5779 7927 16826
"200702_s_at" 4441 18802 1199 19712 3896 18510 2934 19461 6680 2290 18288 13972 19919 7444 17447
"200703_at" 1441 17550 22124 16822 3515 17641 4270 17830 3661 8485 5685 13694 16313 6633 5690
"200704_at" 20727 21804 20491 3955 2980 1977 3427 15232 3780 5878 9666 11912 2101 5606 17776
"200705_s_at" 3908 15246 20776 6891 3867 6083 5202 5121 10403 4040 17413 10776 10507 6836 7257
"200706_s_at" 5011 16623 21628 3905 2758 902 801 4176 5242 4878 2469 2542 2548 5927 4192
"200707_at" 20389 3193 4004 5627 1399 16523 2012 2659 3493 6309 5491 17278 4164 6688 3290
"200708_at" 18857 5568 20466 4618 2487 16065 14969 14612 16073 15708 8216 13086 17393 3784 4597
"200709_at" 3994 17459 19298 17728 18519 4263 20145 14638 8813 6322 6310 12106 8652 7943 7202
"200710_at" 6553 2968 3074 4496 4155 3794 3185 15541 15494 16103 5814 14578 4951 17015 3464
"200711_s_at" 4979 19934 6494 6519 4267 2944 5497 16479 4387 2966 6624 12748 4361 3787 5194
"200712_s_at" 4558 6697 7599 18437 17998 2619 15526 17382 2784 17471 6283 11725 6167 17922 5608
"200713_s_at" 7039 15109 3351 16760 17085 5484 14177 3937 2426 7865 8712 13242 8551 7063 7600
"200714_x_at" 7548 17218 6675 5345 4689 5798 3357 16897 6194 19784 4513 15277 7476 6098 19536
"200715_x_at" 16901 7107 4562 6415 17539 4568 14268 4143 8748 6432 8442 2625 7031 6130 5484
"200716_x_at" 19916 5576 6940 6278 3497 4557 4465 5006 10563 10188 17166 4163 10684 17147 16259
"200717_x_at" 6412 6630 21535 10942 4782 6554 14358 14875 10462 10089 12332 6162 10589 17312 18409
"200718_s_at" 8458 15371 21951 17765 17942 6316 15376 4240 5128 7321 9207 4027 6104 16914 16644
"200719_at" 7129 7541 2566 4219 3681 1373 1727 14443 2884 5541 5449 10600 3772 5212 4398
"200720_s_at" 19469 15942 5016 17635 17219 5554 16220 19796 17276 18074 9104 13088 3870 16985 18895
"200721_s_at" 16303 18531 1068 20617 18272 17249 17093 17063 7068 16013 8793 17372 2173 16922 7238
"200722_s_at" 16711 5271 1613 21095 17312 1945 5774 20198 15302 17583 18034 12631 5906 19393 6580
"200723_s_at" 16689 6383 6434 17683 17763 3346 15855 14773 7905 15405 17340 15851 7453 20054 18542
"200724_at" 1286 18608 16393 4720 10926 14861 16149 5388 1415 1340 2696 20136 679 10597 14329
"200725_x_at" 17701 16299 18590 6030 4059 16688 14508 3943 7895 7590 7054 3468 14726 7615 6685
"200726_at" 17011 18477 21988 6750 18593 17494 17059 17796 6752 18213 17290 17913 17117 6724 18022
"200727_s_at" 8835 15379 3886 17750 18005 6419 16653 688 8290 4360 8231 13475 16967 17939 4685
"200728_at" 7419 16908 5621 6001 16126 15986 15659 4787 7289 6688 8212 12965 5530 6025 17430
"200729_s_at" 2957 19571 6991 5211 18559 6249 15714 4670 5959 5388 5974 11614 6418 6217 6776
"200730_s_at" 3415 14226 20542 2495 1362 1260 3733 1656 5646 5564 4099 4077 5394 1655 2889
"200731_s_at" 17378 20080 1130 1129 2619 5883 983 2045 8256 3243 3737 13091 15900 2186 2837
"200732_s_at" 4101 7041 4080 2245 1488 6139 3547 14957 7122 5348 5910 12767 17415 2889 4080
"200733_s_at" 1176 15427 18557 1477 2090 3007 2801 1010 1719 6778 2682 3619 16546 1855 2193
