"inst_640" "inst_1542" "inst_1959" "inst_2043" "inst_5320" "inst_6720"
"200674_s_at" 4651 7386 2969 18892 19127 14699
"200675_at" 4687 9640 4232 19373 3023 20935
"200676_s_at" 4485 4592 16316 6278 21855 22087
"200677_at" 13896 8110 2612 21021 4628 7167
"200678_x_at" 16774 17964 1869 18510 193 20397
"200679_x_at" 1339 6549 4316 4593 19488 15632
"200680_x_at" 16057 19062 16359 8113 17314 7743
"200681_at" 2984 18825 3993 7374 17827 8843
"200682_s_at" 15681 16800 3229 5336 6156 20696
"200683_s_at" 2867 17407 3290 8011 4645 20617
"200684_s_at" 18421 3832 1910 5196 21787 19228
"200685_at" 17589 3541 21591 20672 19190 2388
"200686_s_at" 21435 18118 21239 96 21699 1346
"200687_s_at" 18422 8943 16797 6921 17668 16450
"200688_at" 14295 18155 20819 3185 7111 3375
"200689_x_at" 14719 16965 856 8026 6446 15942
"200690_at" 17303 21623 16639 6169 20222 2996
"200691_s_at" 2401 8018 2609 3028 6559 14613
"200692_s_at" 17800 8654 20103 3774 3819 15901
"200693_at" 13510 7562 2732 18693 17185 17167
"200694_s_at" 14489 17916 3419 18862 6968 6719
"200695_at" 973 9268 21495 8125 21104 22196
"200696_s_at" 14314 19239 4061 19881 3406 18949
"200697_at" 18083 6774 1398 7577 5516 19173
"200698_at" 4104 17618 20529 3696 4646 6858
"200699_at" 15728 9296 16750 6610 4531 8738
"200700_s_at" 2360 19058 2523 18759 3418 6990
"200701_at" 2379 7916 2409 6473 17322 21255
"200702_s_at" 4675 8832 2627 7571 21410 15971
"200703_at" 5671 5967 19280 18644 877 7357
"200704_at" 5825 4985 3141 4913 1645 7006
"200705_s_at" 3664 17862 1225 20611 19002 7885
"200706_s_at" 4488 18879 159 21144 5005 14894
"200707_at" 16075 20321 2953 3331 1170 21712
"200708_at" 4836 3129 1837 4222 21331 15994
"200709_at" 5011 17839 3737 22231 2821 19068
"200710_at" 16976 5300 19245 3305 17204 21168
"200711_s_at" 6117 5901 15709 4871 6394 5848
"200712_s_at" 15118 2527 1445 18788 16627 6105
"200713_s_at" 15092 5002 2820 18274 17354 3541
"200714_x_at" 20269 18860 2492 18115 4049 21259
"200715_x_at" 18763 17506 2474 4816 16531 15832
"200716_x_at" 16357 17875 2554 18924 18629 18570
"200717_x_at" 15717 11953 18381 19161 19175 10622
"200718_s_at" 6153 17490 20797 920 18652 4769
"200719_at" 3963 3908 18863 18121 16935 7286
"200720_s_at" 17548 17567 16345 979 4053 22099
"200721_s_at" 18997 4892 15640 18240 6669 18957
"200722_s_at" 4102 19329 4466 1092 5439 16362
"200723_s_at" 16348 18990 15862 6938 20254 17241
"200724_at" 2758 271 9269 11036 163 81
"200725_x_at" 15508 18003 2525 7217 16735 8703
"200726_at" 16285 4946 16767 4059 17430 3561
"200727_s_at" 20655 1975 18231 5530 20215 6275
"200728_at" 15977 20809 3553 20833 20379 8371
"200729_s_at" 16952 5585 21351 3115 18051 5236
"200730_s_at" 14864 3678 17756 4544 20424 21000
"200731_s_at" 4712 18908 20079 4258 20299 6935
"200732_s_at" 2799 5706 3176 21467 18219 5909
"200733_s_at" 18794 17670 22242 22243 5449 2543
"200734_s_at" 16447 8860 16937 19898 5385 5312
"200735_x_at" 16746 17896 18647 3849 17986 17357
"200736_s_at" 9499 10522 1513 6554 12410 21344
"200737_at" 18593 2402 16725 3054 713 17064
"200738_s_at" 16637 9671 20705 2627 6263 14570
"200739_s_at" 16726 20943 17233 2274 19343 21486
"200740_s_at" 16487 18640 19621 5421 18429 4195
"200741_s_at" 5107 12169 18539 5917 17164 10579
"200742_s_at" 15659 6164 16697 2632 2708 8446
"200743_s_at" 16341 5855 18663 20879 1282 14534
"200744_s_at" 17181 8277 1636 8156 18879 19814
"200745_s_at" 4394 2927 2145 20723 5311 5971
"200746_s_at" 16614 18032 17359 7179 1991 8897
"200747_s_at" 4538 7007 1446 118 17001 8549
"200748_s_at" 5871 6688 2082 6630 17866 20034
"200749_at" 17841 17717 21342 6270 16461 5474
"200750_s_at" 13580 7498 18475 8269 17673 15836
"200751_s_at" 17798 18325 17473 215 21694 21833
"200752_s_at" 19465 6306 949 20836 19844 18845
"200753_x_at" 16739 4712 15918 4656 18194 18161
"200754_x_at" 21800 6176 1706 19173 17728 18895
"200755_s_at" 21849 20073 2215 6195 17738 20457
"200756_x_at" 20598 18766 1337 2089 2161 22075
"200757_s_at" 14207 17590 2967 21958 18002 19369
"200758_s_at" 17274 9036 15438 6595 17719 19700
"200759_x_at" 19740 4253 2023 977 6213 8997
"200760_s_at" 4812 8335 2140 6294 3696 15979
"200761_s_at" 14743 5791 19593 20762 19269 2166
"200762_at" 21527 1927 17226 21206 20554 5665
"200763_s_at" 3811 18581 16510 6645 6422 14411
"200764_s_at" 20479 6678 14166 17570 19144 13931
"200765_x_at" 20160 8607 8935 14309 2799 13448
"200766_at" 13606 9132 2594 19735 18312 21277
"200767_s_at" 1230 20009 2266 18916 17221 18880
"200768_s_at" 18377 7941 2149 8261 2177 4804
"200769_s_at" 19861 1573 16157 6962 21848 22021
"200770_s_at" 20819 17570 4451 5784 2686 21268
"200771_at" 14384 7722 20506 3172 6343 16186
"200772_x_at" 21458 8894 4454 6931 2825 18192
"200773_x_at" 5691 18808 21195 1438 6062 14377
"200774_at" 3605 16728 18673 21494 17630 5086
"200775_s_at" 15476 18971 16916 7261 6974 17027
"200776_s_at" 6151 19835 19693 556 21700 18034
"200777_s_at" 15637 7974 19577 2714 16395 8423
"200778_s_at" 18370 6412 19425 1615 18860 7443
"200779_at" 6038 3244 1511 1364 766 6473
"200780_x_at" 16246 9437 2549 19403 5196 15611
"200781_s_at" 5290 17193 17710 6177 6566 15346
"200782_at" 1558 4448 2287 8235 4689 14580
"200783_s_at" 17922 8314 2032 2788 4608 6544
"200784_s_at" 11446 15632 4613 15865 13147 6465
"200785_s_at" 2169 9933 6103 10546 7908 6022
"200786_at" 5530 7466 1628 7024 20409 18004
"200787_s_at" 18186 3739 3403 20889 4365 18665
"200788_s_at" 16002 18663 4267 1762 20355 18864
"200789_at" 13983 2477 1872 8005 18108 21256
"200790_at" 17631 17786 3324 18506 6975 15154
"200791_s_at" 16524 3471 2235 7811 4916 6230
"200792_at" 14175 17809 1810 5307 5979 16666
"200793_s_at" 20949 5210 286 4246 293 21422
"200794_x_at" 14338 17874 1580 20668 6709 18985
"200795_at" 16895 14106 6960 10660 8499 1409
"200796_s_at" 18800 17621 9100 2572 22259 18421
"200797_s_at" 2026 18024 15222 820 7124 8528
"200798_x_at" 5765 19460 846 19743 17090 7389
"200799_at" 14555 7330 18228 8619 6568 4418
"200800_s_at" 17575 8814 3264 3662 5127 20694
"200801_x_at" 14470 12111 1984 4761 5666 16399
"200802_at" 14812 5336 1198 4318 16490 14780
"200803_s_at" 17056 8242 17643 6053 18152 19672
"200804_at" 13604 5061 16172 4628 16448 20168
"200805_at" 17513 17053 419 6611 3030 20585
"200806_s_at" 19054 18308 3506 7285 20508 6749
"200807_s_at" 6177 9485 19645 3293 16502 6560
"200808_s_at" 5430 3524 4457 1630 2273 21670
"200809_x_at" 3825 8960 4496 19202 18130 17332
"200810_s_at" 18209 4417 1248 6828 4259 5131
"200811_at" 14202 16770 785 3400 869 20352
"200812_at" 17091 7337 1805 19875 6577 16945
"200813_s_at" 16041 3317 297 19532 21637 19571
"200814_at" 15901 4934 18728 4099 5892 17952
"200815_s_at" 3583 4502 2480 21926 16455 20435
"200816_s_at" 17125 3881 15667 4530 20333 6794
"200817_x_at" 17574 11949 16632 19855 16562 10566
"200818_at" 13683 9651 3871 7688 4675 16551
"200819_s_at" 5245 17326 608 20712 5865 20129
"200820_at" 15608 7806 535 6478 18895 20891
"200821_at" 6072 5541 20403 540 3565 3057
"200822_x_at" 4787 17702 1464 2735 6465 19708
"200823_x_at" 13644 18105 877 7292 18035 20029
"200824_at" 1081 12597 675 19313 6183 21497
"200825_s_at" 5890 5958 18257 7142 6293 8836
"200826_at" 14473 18905 2199 7965 17865 17664
"200827_at" 2845 19288 4568 1789 1564 15313
"200828_s_at" 15597 8093 16245 19037 17560 18356
"200829_x_at" 13810 18111 3104 21584 18893 3569
"200830_at" 16103 19143 1962 6622 7040 4455
"200831_s_at" 17270 2116 592 553 4257 21443
"200832_s_at" 18642 2835 17862 7739 367 2654
"200833_s_at" 5070 5005 17969 6421 2920 4909
"200834_s_at" 5063 19484 15849 18521 6001 15529
"200835_s_at" 11596 17400 15791 7069 5654 18022
"200836_s_at" 14975 21785 268 19720 22246 7814
"200837_at" 5889 8986 308 20853 16883 19738
"200838_at" 19556 3617 3073 978 7109 17679
"200839_s_at" 5592 7177 4247 6498 4003 8176
"200840_at" 13916 8457 16766 5404 17496 3759
"200841_s_at" 4897 2362 2340 5648 21173 17099
"200842_s_at" 5031 3782 765 3189 20148 7962
"200843_s_at" 18839 7480 3609 6015 2566 4115
"200844_s_at" 18469 6840 2034 5950 17365 16879
"200845_s_at" 20399 5942 20594 3260 18305 6207
"200846_s_at" 18634 6609 741 2702 16697 21540
"200847_s_at" 19145 3257 19330 3995 20382 532
