"inst_2547" "inst_3406" "inst_3606" "inst_3708" "inst_4269" "inst_4730"
"200669_s_at" 19236 17043 20350 19950 16972 19254
"200670_at" 14170 970 1168 2267 15985 1594
"200671_s_at" 9389 144 3058 20882 12325 1167
"200672_x_at" 21445 20596 21895 16692 20193 20561
"200673_at" 19156 15057 3250 13457 14803 3364
"200674_s_at" 5382 2816 2917 12984 2002 15710
"200675_at" 18963 17423 9919 15681 16227 2274
"200676_s_at" 17169 465 18685 17941 20546 15957
"200677_at" 11985 1857 11868 16345 12672 14104
"200678_x_at" 14433 19387 12945 16532 13743 20067
"200679_x_at" 16131 18710 13681 4071 18813 17356
"200680_x_at" 12718 14968 4930 3845 10402 9610
"200681_at" 17382 3478 12907 14675 11751 6801
"200682_s_at" 18013 17688 12899 11567 16743 14883
"200683_s_at" 21209 20996 14734 20219 15569 15030
"200684_s_at" 17945 19659 19395 19359 13731 4669
"200685_at" 16428 3748 14917 14955 20773 6180
"200686_s_at" 19782 1736 17252 19123 21978 3730
"200687_s_at" 20890 15076 14205 14067 14487 6657
"200688_at" 17678 15683 16217 4496 13438 20954
"200689_x_at" 9785 14541 10597 12872 9211 14233
"200690_at" 15700 18190 13282 17678 18635 18257
"200691_s_at" 17810 4183 14635 15599 17720 5305
"200692_s_at" 16149 16021 12708 3775 20522 15105
"200693_at" 19560 15199 10952 12695 11755 5567
"200694_s_at" 16361 16810 2789 14900 15497 5454
"200695_at" 19361 17842 16616 17888 13389 18178
"200696_s_at" 13787 19367 12080 17722 10510 17596
"200697_at" 15386 14859 18034 11592 10723 15918
"200698_at" 13820 3210 14481 12883 10409 7243
"200699_at" 10697 19912 17580 14114 10140 18681
"200700_s_at" 12066 13125 11686 11766 12425 15217
"200701_at" 14679 15428 17590 14664 16141 17077
"200702_s_at" 17656 16782 16176 4723 20427 18751
"200703_at" 16124 3936 2421 4226 11605 3707
"200704_at" 10239 16920 13534 18224 10842 5776
"200705_s_at" 9817 4120 2504 14448 11664 7312
"200706_s_at" 19673 3823 2864 16624 11140 6678
"200707_at" 13551 19764 14364 12033 9529 20550
"200708_at" 19101 13899 12716 12505 2845 6794
"200709_at" 16213 3095 15864 2536 1948 16101
"200710_at" 20391 18219 19134 17028 15662 14850
"200711_s_at" 17041 13671 13221 18364 16514 17967
