"inst_417" "inst_422" "inst_1010" "inst_1068" "inst_1171" "inst_1230" "inst_1486" "inst_1655" "inst_1905" "inst_1986" "inst_2690" "inst_4085" "inst_4164" "inst_4454" "inst_5227" "inst_5590" "inst_5916" "inst_5921" "inst_6189" "inst_6989"
"200060_s_at" 14828 7799 15074 4886 20864 3133 5827 17937 2501 16606 17031 15676 7362 14434 18976 18445 9025 13147 15202 18187
"200061_s_at" 3670 8001 9000 4940 6101 8616 9737 3833 3782 18831 12306 6225 9360 10235 14272 7647 11737 9703 9963 18385
"200062_s_at" 3380 7639 8918 4926 5950 13433 13145 4028 5160 2972 12239 6170 9248 10146 9248 7526 11553 9486 9863 7284
"200063_s_at" 17574 17088 8734 16734 7184 13700 10204 3333 18883 5447 12341 6250 9425 10278 9499 7705 11870 9855 10015 16377
"200064_at" 2571 16382 5402 17078 19493 14856 19294 17096 18276 16587 15859 14767 13803 15637 16559 13528 14506 17147 15319 16553
"200065_s_at" 4787 7645 5091 16979 4520 4244 19617 15789 1154 5222 6128 11673 13146 7289 13876 5164 6287 13704 6197 17442
"200066_at" 16354 5004 17377 18904 17025 20681 20239 15736 20458 17697 19179 14105 14522 7309 6205 5266 3916 5507 5157 3942
"200067_x_at" 11703 16362 15327 5072 16439 15616 4497 3391 21210 2731 7864 11337 13918 16636 5168 5629 14705 14804 7699 5342
"200068_s_at" 4271 16956 5511 16683 17050 3395 5440 15296 16899 2671 10143 9901 14691 5756 15120 11882 14689 3282 14559 4894
"200069_at" 19873 5651 17004 19887 19055 16340 10294 18970 21460 18741 20424 20448 21017 18435 19582 19728 19376 15761 16524 20871
"200070_at" 20963 20826 2826 2016 21957 2855 3540 21825 20313 1877 4152 4231 18539 4937 14617 3156 2559 3954 4429 18094
"200071_at" 19810 16774 5703 16663 16745 16161 7827 4820 18572 3050 7365 11032 15540 4539 15732 19625 16293 2645 7826 17378
"200072_s_at" 13307 5648 18176 18663 18671 16909 18705 18244 21432 20897 18684 16895 16753 20119 17539 14309 5253 14282 18118 18390
"200073_s_at" 20228 17183 17012 17640 19297 19121 7772 18733 19159 18823 17955 17384 17970 15234 13951 19046 18767 6023 17595 6528
"200074_s_at" 15624 5918 18232 19443 5511 14777 6018 15158 5138 16746 8108 10666 13383 7936 5419 11920 8411 6497 7244 7583
"200075_s_at" 3228 18172 15294 17302 17014 14554 6872 17188 5027 5557 5507 11707 12705 6825 14580 12773 8439 6752 7764 16388
"200076_s_at" 14560 18482 17707 4669 17559 4939 18389 3567 16240 16994 7205 11112 16693 18840 16295 13881 16952 19672 17735 17771
"200077_s_at" 11792 16548 15959 3663 17561 15519 6557 4099 15928 3351 9611 10456 12919 14161 15272 12291 14536 5578 7599 6594
"200078_s_at" 1885 7343 4665 2916 17048 3476 2199 15052 5150 17882 7747 4921 4278 3899 4819 4018 7310 3764 17019 5315
"200079_s_at" 19742 5459 15832 17447 17901 13713 20089 18127 4345 19192 17751 15206 14818 8266 16838 13780 7577 16459 18550 18996
"200080_s_at" 19304 4032 15430 4924 17219 16692 7221 16818 17373 5234 8968 4604 9420 16297 6623 13010 17653 13917 14815 5832
"200081_s_at" 2359 7903 5453 17896 7058 4114 18073 4259 4642 16962 16481 11317 13029 8495 5220 11998 7864 16650 6779 16574
"200082_s_at" 3290 18801 16027 16372 6625 13839 19806 5441 4652 4608 12334 12166 9411 10269 4803 5600 8909 13983 10003 6560
"200083_at" 18421 3628 16139 5224 4076 17514 5393 21629 20135 5161 4575 14454 18989 16989 17023 14823 17386 14626 4451 17341
"200084_at" 16401 6774 17286 3965 6027 19079 4610 5815 18887 16588 16190 14786 17074 8259 15238 16739 18171 5994 17333 16482
"200085_s_at" 1219 18059 4751 5704 18758 13611 5261 4933 16460 20955 16414 11705 7070 7927 6291 11671 7293 6841 16788 17556
"200086_s_at" 3449 17074 5175 4281 18109 16402 4647 5102 17724 3957 6193 10624 5761 14341 14576 5285 8666 6299 15425 6111
"200087_s_at" 16370 8248 5126 18732 4819 14611 9450 16030 3743 3078 4687 16009 14906 8647 14253 12481 14529 3571 15734 3380
"200088_x_at" 1798 4752 9336 4558 5888 3172 9278 3876 5574 4957 12246 4227 9258 10156 6161 7541 11569 9505 9874 16770
"200089_s_at" 13666 6035 5141 4692 6212 5684 7085 5551 2715 18074 12360 9902 6029 7448 4952 5428 14642 4234 10044 6569
"200090_at" 3105 18052 2074 2060 5610 13578 3163 3241 19223 740 8388 11845 4254 3503 2563 5597 7396 13172 4907 4416
"200091_s_at" 16546 16823 15210 5614 6530 14101 3680 4562 3646 2846 7240 3656 9306 6824 4591 4858 9160 2994 9918 3979
"200092_s_at" 3073 4710 8972 3469 16687 13629 10050 2786 5488 17949 12345 3967 9436 14050 5811 7714 11884 2754 10022 5989
"200093_s_at" 13703 19410 4529 3755 18922 15869 7090 5786 19233 17043 16144 11500 6777 8025 15145 15311 14797 4722 16062 6308
"200094_s_at" 14619 4402 4841 3566 7284 4490 4006 14990 3757 3499 9501 11438 4195 7206 6086 12104 5173 13038 15275 6617
"200095_x_at" 2829 8117 9007 4928 16903 4711 9853 5124 5496 17195 12381 6283 9498 10323 14168 7782 12018 10013 10073 17165
"200096_s_at" 17210 16298 20956 17639 20067 17897 5410 17355 18146 18891 6642 15721 13162 18191 18073 18757 14829 20712 15501 4837
"200097_s_at" 19224 3515 17589 18751 18013 18369 5975 17850 3968 17040 16001 15601 15917 15477 16358 13505 16411 5319 16631 5125
"200098_s_at" 14461 18277 15343 17231 20651 16971 4727 18251 21354 17133 19038 14887 17552 15683 18158 16337 15509 13380 17224 20385
"200099_s_at" 3750 4886 9192 16672 6350 13669 9571 5198 4926 3993 12346 4481 9439 10285 9524 7719 11894 13209 10025 18095
"200593_s_at" 18089 19001 16290 20556 17773 20229 6997 17642 16943 18712 19288 15947 16329 19240 14727 4132 5350 5730 16932 5762
"200594_x_at" 15434 20484 15436 18719 19445 19537 18475 19132 21616 5533 19668 15998 16564 18276 19199 17790 16617 15040 18837 19237
"200595_s_at" 3545 16728 3429 16443 20733 16323 1895 4104 21671 3721 17139 16578 6647 5163 6299 14153 14744 5760 14554 3038
"200596_s_at" 19837 19599 3526 18365 19717 3385 7579 5191 18004 20107 18794 15338 13054 6550 5123 11865 4741 3575 16875 4323
"200597_at" 18752 375 5558 22276 21767 21910 20643 15467 20118 1449 21923 18106 20566 21551 19743 12537 21080 4726 20184 4572
"200598_s_at" 3524 2100 3341 2387 5486 676 8194 2883 38 4809 8785 1140 4462 684 1895 2022 8602 1315 14943 1629
"200599_s_at" 17009 4226 2191 2197 2953 559 2991 15491 73 3459 9455 2208 4829 1362 2511 4687 7647 1261 14584 2743
"200600_at" 10699 8353 10472 8654 20171 13744 14428 6429 5562 17555 9895 13311 8605 16903 2813 9384 19387 14653 16176 15218
"200601_at" 15674 19539 21937 3198 5936 16068 1175 18608 18729 21154 16854 18348 20446 19732 19647 21619 20910 19559 2845 20869
"200602_at" 12334 21022 2320 20979 18863 17261 7488 20617 17345 5423 10002 13172 6217 6617 13704 20252 20420 1937 21467 2647
"200603_at" 15741 7327 15200 4979 5754 18837 2461 3290 4337 16821 4874 13551 6437 7162 4665 13947 14202 5666 6734 3978
"200604_s_at" 3339 3067 17817 16826 1009 2793 5680 3899 1317 2854 18847 17315 13517 17183 2908 3237 16221 14430 4297 5388
"200605_s_at" 14262 1654 18407 5349 1886 4515 3702 2233 19679 772 4092 13719 13771 16435 13910 13104 16873 21123 5898 7012
"200606_at" 15113 16652 1818 3643 9979 3827 2558 16203 16698 15294 7332 10688 4218 2419 4569 11817 16881 17335 7502 7229
"200607_s_at" 14832 7919 19425 18548 1702 16023 19720 17516 1595 19372 18467 12934 19392 6613 3069 3939 5318 21074 15759 6964
"200608_s_at" 18289 17047 17235 1675 3036 17891 5872 15731 19300 5008 8556 13805 13069 16152 14245 14187 14953 13615 14847 7090
"200609_s_at" 17346 18298 18520 21987 19250 14942 21390 19880 20201 4262 20439 19098 18796 6978 20502 21052 19299 4854 20502 21620
"200610_s_at" 18908 16683 5758 18781 19219 17204 9949 17346 18338 5530 19505 19048 19158 17744 17075 17084 17794 13404 20344 19362
"200611_s_at" 3660 8287 17222 17765 18702 14281 7240 16115 19717 18781 18887 13443 18265 16023 18291 18800 17434 5626 17642 19391
"200612_s_at" 4574 21558 1851 18217 21831 15532 453 15316 18772 19947 7941 16181 18546 20195 846 15083 9078 14678 18805 4481
"200613_at" 12708 18490 16738 5159 16796 15977 9306 17641 15644 20220 9557 13563 13551 16329 14885 13014 5405 17851 7121 16862
"200614_at" 3685 18642 16143 5454 5162 5607 6999 16783 3811 17684 6076 11942 9269 7057 13994 12041 11582 13780 4879 16387
"200615_s_at" 1757 8239 4720 2462 17163 14044 9090 5623 17799 17242 18776 12261 6033 14025 3857 14137 7220 15274 5861 4285
"200616_s_at" 18985 2197 15921 19147 19261 4858 21198 18921 4807 18795 18077 10706 15546 2989 17824 5785 6816 12519 18992 16593
"200617_at" 16497 18364 18735 5350 18874 14815 18584 18853 2905 21619 17381 14472 19938 15842 18888 18987 15687 13282 18183 17120
"200618_at" 17409 5166 16773 21212 20578 15164 9085 19189 4223 19015 2964 15407 12854 16739 16431 18008 14313 4942 3787 19033
"200619_at" 2680 18631 5760 5625 3743 16821 6722 21383 19573 19299 17266 20701 19508 7402 19224 14556 7752 15392 19039 19034
"200620_at" 1282 6798 2960 4556 5058 16222 5946 4189 17180 5120 5811 11754 5561 7424 4852 3709 6026 4068 6556 3659
"200621_at" 4739 16716 5088 3452 16763 2524 5274 15504 3186 17815 18091 12892 14684 1768 17738 13602 17683 3176 17904 7221
"200622_x_at" 17317 5858 16643 19841 17908 3442 20424 4791 15985 2414 16615 12223 5506 6387 15465 16539 6476 12667 18484 5671
"200623_s_at" 15961 3541 19850 20908 22264 15395 18814 22089 19168 21754 21733 19692 20866 20656 17895 19653 5478 14491 5282 19915
"200624_s_at" 13461 19508 18014 17835 6273 17138 7905 20837 21332 19508 17595 20106 15501 18111 14383 16368 15686 19070 14503 17405
"200625_s_at" 14666 18308 16941 18220 17124 5407 8554 19836 18299 17156 9711 13756 16335 8510 16452 20638 7967 3716 17522 7037
"200626_s_at" 19450 2823 18829 20090 6726 17753 19839 20037 16479 5258 18384 16593 18278 16570 17066 13140 17460 13329 15311 7758
"200627_at" 16908 7938 15937 17519 18523 16344 18639 18094 16609 17906 10025 13024 13364 7270 14010 12423 17210 15869 15452 7228
"200628_s_at" 14671 20100 1796 17970 190 211 20480 2114 2771 1039 9394 14226 4009 3127 743 11982 8625 15703 2809 1564
"200629_at" 2432 20714 1742 1351 319 411 5554 15390 15955 1190 5572 12235 4692 2895 4315 2436 19225 1396 5987 1778
"200630_x_at" 4545 16264 15793 17509 18759 16716 8305 14994 2909 1918 17673 4630 13537 14637 15381 12909 15855 4172 17570 6371
"200631_s_at" 13953 16952 17524 19533 19823 16735 8398 17177 19677 5096 19025 12109 19219 17146 19384 18520 7135 12618 16361 18147
"200632_s_at" 3451 5352 32 75 20973 288 139 185 49 19787 6865 355 61 402 126 451 3444 421 17225 555
"200633_at" 3122 16622 15137 4968 6587 13753 6507 3172 2586 3592 12305 6224 9359 10234 4777 4704 11735 9701 14280 16525
"200634_at" 12022 17263 16791 16671 19775 14676 8373 15025 19776 19727 16492 14052 5992 16296 16477 4447 15837 12902 16189 6457
"200635_s_at" 15301 17919 19347 22022 16066 19914 3749 20457 1855 12477 12986 14182 13639 15337 15556 18838 8567 5146 13106 18627
"200636_s_at" 13108 19604 15792 20209 10669 14119 9105 17038 4032 12428 13522 16171 17611 15470 20685 19896 8012 6072 11064 17891
"200637_s_at" 13035 16371 17945 22243 10909 14050 20211 21703 18053 6334 10268 21375 3118 7566 20065 15196 14390 14989 9986 20716
"200638_s_at" 20266 19818 5609 4988 4081 14186 6796 15557 17719 2706 5208 9835 13472 7782 5177 13596 16574 5643 14217 17099
"200639_s_at" 20515 19253 16724 5115 18876 13893 6680 5093 16862 19043 5164 17005 13010 15631 5356 13628 14644 12842 8150 17566
"200640_at" 18561 17549 5775 18809 16776 15922 9380 16993 16029 17541 7547 13091 6500 14951 16041 14788 14978 13546 14533 7415
"200641_s_at" 11884 3946 19979 19476 3425 15059 20128 5100 15948 16671 9107 11404 13741 7793 3421 5429 15079 21250 4425 19889
"200642_at" 12643 19216 15062 5731 18782 14540 9501 15998 15879 19084 16024 10334 6772 14371 6082 5517 7040 13820 16587 6970
"200643_at" 2995 21169 2231 2208 3122 3627 4724 735 4782 1024 3758 13866 14018 8101 3124 15691 8614 13672 2060 3433
"200644_at" 2955 21478 19231 19738 7244 19642 10463 18902 5668 22077 5307 14144 20197 18277 19150 17648 18359 12922 4042 20942
"200645_at" 13495 7120 4354 3331 2471 14624 7615 5161 4386 1418 6522 11172 5514 7692 3999 11760 6889 14944 6449 3988
"200646_s_at" 352 3372 19639 19976 1370 19454 4903 16873 8294 8206 3529 2912 13950 6253 13765 18615 8172 21039 7196 17599
"200647_x_at" 3430 19757 5392 4643 7418 4974 19177 3474 3885 5107 18012 11815 12893 16404 14013 18130 7206 4057 17961 17402
"200648_s_at" 3017 21524 3161 17494 17744 19277 4314 5070 7363 21330 21437 10851 3813 7182 1572 4226 15503 18602 6828 17483
"200649_at" 14085 18764 16223 18740 5091 15669 21608 21950 3266 21402 15901 10921 6081 6519 6222 20229 3609 6536 1528 19448
"200650_s_at" 4173 17873 5793 18400 17339 4618 5864 18227 2775 20383 12215 6143 6803 10114 15638 13562 8638 9400 9834 16932
"200651_at" 2548 18023 5677 4750 6445 4830 8280 4840 15548 17374 12371 11047 9479 8229 5412 4302 11983 12582 10059 6193
"200652_at" 3555 5822 15613 2601 4911 14402 3615 2551 4794 4964 5215 12832 17677 5727 2401 11723 16240 6248 6555 3586
"200653_s_at" 19126 2131 19227 20015 2572 14257 21498 17705 17697 3634 6034 10113 18696 15474 16821 15719 8072 13595 7552 4027
"200654_at" 2047 6023 3311 3723 19299 1626 3143 15973 3592 18362 17799 4473 7573 5585 15347 3872 14589 4386 17772 5415
"200655_s_at" 14505 7668 19239 19328 6137 4477 9069 17104 16373 18780 5732 9680 18044 6446 16149 17269 17946 5870 7978 18133
"200656_s_at" 14784 7304 3205 17930 19967 16601 5352 15444 297 17157 16000 13323 4657 7032 6043 4973 4746 20183 19023 3100
"200657_at" 4705 18475 5077 4476 18003 15809 6266 15548 16039 16930 16873 4458 13498 7579 14597 4806 9084 6051 16223 17206
"200658_s_at" 11850 3210 16238 16363 20892 15282 9115 18142 17018 21268 18781 17596 14688 15370 6207 12618 5641 17718 19001 6366
"200659_s_at" 15718 19074 19660 21278 21713 20817 18423 19860 21961 20701 19655 21508 20979 20643 18262 19462 5971 17013 21392 21390
"200660_at" 16242 5306 2570 4074 3105 4210 3931 4247 3562 3312 7151 4153 4789 6669 4380 4037 16824 14465 6680 3779
"200661_at" 13578 6429 3541 4107 19655 14916 18070 5595 19075 21408 7923 11089 3616 6812 5365 3917 5368 14345 16743 5470
"200662_s_at" 15402 5216 19780 19233 17815 16524 5463 18145 20828 4943 19795 17033 14008 14672 18849 18155 9111 15924 17987 7124
"200663_at" 13110 3783 19410 16731 6337 4604 7097 15211 4955 2789 4814 10325 13787 8377 16898 12392 7776 12793 6305 17287
"200664_s_at" 12857 20123 395 349 18883 19325 249 792 17890 20217 1315 1836 7330 749 981 1252 6904 17675 4189 1018
"200665_s_at" 9822 8509 8928 11912 13507 9877 15371 13453 10048 9343 11712 9505 4202 17050 12486 9971 18574 22229 8897 10316
"200666_s_at" 13680 4124 969 826 21177 21160 680 1732 21498 19569 3650 3407 15112 3218 5675 11895 15261 20420 4099 1535
"200667_at" 16852 3980 4478 16624 5593 13711 6844 5179 17916 18804 8940 9727 18073 14767 18734 16816 15016 6867 14840 18575
"200668_s_at" 18113 3098 5212 4641 5079 13641 7343 5455 18797 3025 4792 11296 12884 4678 5278 13054 9008 5141 6655 4287
"200669_s_at" 19820 2074 5140 3809 3593 3043 7803 2631 17645 2596 5234 12346 13361 5476 3010 11668 7078 18876 5908 6003
"200670_at" 1627 21758 3360 997 1753 286 1404 2110 1786 2378 4537 350 3887 420 3078 3366 19783 1170 7148 3826
"200671_s_at" 18238 9980 18398 18702 15619 3706 17975 11298 8281 9329 6154 14278 1748 19343 573 270 21560 20697 11343 15614
"200672_x_at" 16361 6510 20634 22018 929 16251 1782 21017 21696 9089 20025 11210 3690 14342 17970 14356 14322 20228 21522 822
