"inst_417" "inst_422" "inst_1010" "inst_1068" "inst_1171" "inst_1230" "inst_1486" "inst_1655" "inst_1905" "inst_1986" "inst_2690" "inst_4085" "inst_4164" "inst_4454" "inst_5227" "inst_5590" "inst_5916" "inst_5921" "inst_6189" "inst_6989"
"209098_s_at" 5563 8757 11040 8777 1652 16863 14503 14581 9896 15849 21618 11150 6799 8114 9816 1100 847 20855 17741 9250
"209099_x_at" 4012 11841 910 1625 192 19009 2428 21940 4637 177 16191 10362 2971 7868 6301 3817 3008 14426 4574 1132
"209100_at" 12619 3279 3009 5785 22178 14664 8719 19417 20830 20308 20865 17812 18942 15724 18479 19493 17573 14758 20996 18505
"209101_at" 11094 14243 9828 11803 15321 326 12475 6317 21768 14563 15541 1879 1811 3288 809 407 6198 16653 10716 12072
"209102_s_at" 7 4487 136 82 1181 1225 202 159 1742 57 1078 626 288 551 199 693 2792 2043 930 75
"209103_s_at" 15010 6242 15941 16366 19100 5811 7743 18776 15951 20173 16017 11370 13247 15484 13816 16176 15049 6357 18712 17586
"209104_s_at" 12607 7126 16814 17201 20945 14063 9680 16234 16817 19112 18618 13827 14608 15788 14462 11810 15248 16259 19678 18316
"209105_at" 1133 2605 19722 5583 4022 1448 1201 16541 10814 10815 1481 21409 3033 15807 20349 19529 1482 21035 15212 6903
"209106_at" 20339 18223 20073 2188 4937 19301 6133 19828 21997 16528 2755 14401 12976 6985 16582 2479 19255 16188 420 4812
"209107_x_at" 21282 17636 16651 21970 1926 5278 18511 21726 5275 721 19889 10741 20044 5446 19932 21056 17507 14124 3517 6070
"209108_at" 13356 5091 19362 18856 7808 17972 18328 19929 20279 14809 5639 16825 15396 18769 14128 15405 16758 13153 12717 18653
"209109_s_at" 12124 19918 16954 20049 14240 15557 2673 5090 22076 10150 13889 17618 16703 15613 6508 17153 5164 16409 11649 7217
"209110_s_at" 2531 7846 2645 18622 4894 17039 6731 3498 15504 17772 7642 4832 13324 18679 3797 18524 7818 15865 4298 21284
"209111_at" 4358 21963 3014 3655 5305 15250 2753 5660 3419 3309 15930 15955 4440 14624 4618 4345 14250 2750 16168 3482
"209112_at" 3343 19546 2514 1399 1187 2444 1537 2770 4651 1103 5426 3735 5565 2227 2828 11673 17975 2449 6523 1306
"209113_s_at" 4235 4698 20251 16598 6967 4326 7530 17325 502 19462 8736 17416 3844 6490 21415 12469 1463 17536 14327 2588
"209114_at" 17445 247 20135 4485 14839 18090 21165 20953 2601 15387 14833 14897 6938 2632 3973 1401 642 21428 8726 19998
"209115_at" 16483 20708 19533 19444 4440 21024 3537 17091 16794 1171 4681 19376 18602 18523 17534 20860 17202 5614 14180 20568
"209116_x_at" 10850 15241 9988 7340 11669 5909 12308 8813 11331 12078 10195 9055 11586 10727 6995 5799 11170 12189 9327 10337
"209117_at" 1810 19749 1637 2509 21446 16652 687 3546 2511 1270 2416 4277 5163 3234 15338 13314 4248 1271 6649 21637
"209118_s_at" 795 20372 1479 1837 4559 5674 1738 1202 15728 662 6424 1687 4245 3139 1247 2775 7762 5279 4890 1604
"209119_x_at" 17500 17472 3835 1398 20322 14584 4725 18184 20415 20465 1881 15577 19411 5675 22118 5435 17543 15509 22152 20290
"209120_at" 19192 19128 19695 17300 20997 15376 7907 18084 18574 17890 19867 14569 18693 15931 16602 15532 17443 5693 21501 6535
"209121_x_at" 16218 1142 17048 16910 21359 14456 6299 21604 20846 4717 19809 10582 21112 19729 20969 14488 5585 16436 21547 20806
"209122_at" 1558 1571 17603 17780 21494 4251 20935 3693 1818 2407 1059 3933 19623 4571 16873 19655 5968 5516 7759 21652
"209123_at" 20652 3825 18994 20938 21083 19825 9348 15076 15944 20534 17246 21613 19512 17886 20136 20682 19905 4857 21050 18287
"209124_at" 20927 5856 19844 20435 19359 18701 18601 19174 19629 4356 6764 15803 16555 14577 20038 20578 14799 5820 5045 19681
"209125_at" 1181 21655 9206 11119 10489 14722 15434 9841 21029 16555 10461 19212 3035 896 9317 8211 13463 20158 12294 12438
"209126_x_at" 19167 20155 7294 10301 16108 21874 9817 482 484 15546 1324 18061 5962 1612 2231 22081 21486 18110 10560 4792
"209127_s_at" 16251 17770 20659 17110 20093 17719 18706 19120 2487 20728 19822 18624 17292 6623 19564 16264 5788 15034 16656 20772
"209128_s_at" 19515 3621 20077 5148 22099 21131 18982 19538 17772 18034 16802 20829 20322 20140 20348 21167 19842 17971 20643 22266
"209129_at" 18862 5283 16312 20530 18816 2608 9507 15217 17948 4552 16614 14931 18062 5061 20019 15854 5034 4240 18847 18553
"209130_at" 19022 17090 14874 17732 5181 4827 3920 2387 21635 4812 6578 15157 12758 4431 6153 16653 16250 3360 5567 6850
"209131_s_at" 9976 16203 21318 2121 2947 20626 18088 16627 10328 11970 6592 11905 4547 2594 612 12475 384 3149 2542 2750
"209132_s_at" 13456 6202 17709 19912 19692 18191 8184 16610 17530 16786 20651 16407 7196 16738 6171 13912 16652 14981 21368 16655
"209133_s_at" 12546 18513 215 16141 6453 9157 20746 19221 11503 12342 20955 12637 3185 1897 19885 20518 19288 19535 15626 12169
"209134_s_at" 12096 6069 15498 5308 7346 5777 10295 3901 2013 5437 9091 10642 6815 7229 3960 4462 7199 6351 6381 4427
"209135_at" 3167 21663 3753 1899 18621 17662 1265 3813 19317 10755 17531 11323 20908 14617 6749 13178 21982 3713 7927 2003
"209136_s_at" 14798 17092 18596 20813 16803 17217 18580 16686 17918 19111 19417 15294 19501 19938 5696 14029 8853 19984 4934 21496
"209137_s_at" 4095 16387 16767 19161 19328 18364 9342 17529 21319 17765 18466 14408 16615 15928 20412 19099 17157 3996 19716 6227
"209138_x_at" 570 9683 12709 12955 3640 9617 11022 6102 12992 8845 823 9627 13251 13817 12807 6819 16840 8939 547 13671
"209139_s_at" 16000 2760 5491 3920 17574 16564 3935 3370 15438 3386 5450 15572 17591 14143 5822 15389 19127 16853 6110 5674
"209140_x_at" 11855 20575 15127 2859 6112 4332 3122 16191 17527 4352 8413 10689 3676 8369 16852 14941 3807 2155 6622 19116
"209141_at" 18935 17107 15593 17854 18834 16366 20224 17798 20050 4695 17342 14717 16349 6345 16684 14792 15812 14636 19098 19613
"209142_s_at" 12316 20328 4571 4489 20207 5737 5404 16875 5661 17259 18007 9896 16282 4364 5568 5701 17358 16591 16390 5308
"209143_s_at" 16534 5807 15205 5300 18965 20131 7208 17823 20408 5178 19962 16659 20234 14727 13929 16869 6838 14514 18120 17857
"209144_s_at" 7404 14618 21054 12139 14910 1866 21469 19402 7955 8409 2517 10542 2347 22254 18844 17774 1361 3766 530 598
"209145_s_at" 596 20759 11480 12122 12753 9629 2086 8936 7645 8582 3610 3980 2084 21839 14872 2906 18680 17341 6052 2664
"209146_at" 521 410 562 195 5828 2438 199 188 5002 457 4452 4699 1176 1516 673 624 1457 972 3765 260
"209147_s_at" 11903 21035 3477 3549 623 1040 20491 16729 2940 19419 387 3033 18738 1734 19739 15460 17738 16563 3715 20593
"209148_at" 1349 21237 1661 1034 21420 15134 2464 17446 2306 938 6560 15754 14665 1817 5166 1962 17049 6740 15433 1258
"209149_s_at" 13531 5480 5796 4454 2628 15725 7466 15656 17486 4736 8632 11365 14587 7405 14114 13359 17604 14721 3164 17335
"209150_s_at" 12832 3180 2572 17959 3073 17822 5575 17581 3437 5549 3587 14336 3400 15908 16578 14568 3969 14902 7095 17047
"209151_x_at" 19749 18474 17950 20666 15997 12851 22101 1168 14379 14950 13564 9192 3187 19174 21665 22176 8360 14819 1091 20906
"209152_s_at" 19750 19979 18759 22202 22078 22179 4215 21463 21906 4677 20114 18981 16915 8583 17218 17461 7878 1939 16648 2976
"209153_s_at" 20312 5041 3518 19288 18805 1527 2787 21036 19044 19358 19639 19831 21500 20604 21604 20425 4010 5735 14541 18238
"209154_at" 16306 1428 15334 5776 5279 4467 6379 5449 16984 17904 16412 11394 14605 6001 16493 14483 14816 3457 7216 16923
"209155_s_at" 19600 5805 18125 5800 4714 16081 6182 5368 16510 5169 8380 15059 14916 14939 17795 15725 15644 18106 2170 3605
"209156_s_at" 10992 8413 10942 10602 10780 4756 12373 7689 5604 12894 11552 10965 11215 14276 6973 8269 12843 13456 10904 10390
"209157_at" 19335 1524 20438 4922 2829 16617 9794 18162 20684 2581 9323 14620 13401 14661 18049 14990 19266 15124 15571 6278
"209158_s_at" 1067 4793 1509 3112 536 1404 4034 1643 955 1565 4014 2967 1619 745 1210 2657 4898 2945 7371 1402
"209159_s_at" 16482 2575 22051 19128 11304 21707 9014 21366 14718 7457 12070 21754 17800 21890 3353 22282 16938 15243 11029 16871
"209160_at" 1268 21416 1104 284 14226 17097 377 261 21289 9894 14414 11479 3178 5463 1946 1357 1873 16711 4531 1404
"209161_at" 21550 17114 20282 20421 18272 20663 19234 18940 21895 21127 9628 21293 18934 8219 19992 20339 19009 17525 7805 20339
"209162_s_at" 18476 17923 20746 20130 17785 20321 21633 17119 18988 19312 18423 21387 18430 20185 21416 17088 16526 21779 18494 21188
"209163_at" 12517 18335 4900 16356 18792 2146 6675 5199 2169 21595 17353 10219 14323 3636 16390 14432 6811 5553 2935 6258
"209164_s_at" 4573 5524 5500 3478 6848 14464 4512 16008 2057 13244 20535 13863 7089 1928 14588 11953 7053 4844 21746 2954
"209165_at" 14701 20584 19539 18731 18664 17857 6814 19894 20285 19708 16731 16230 18191 18869 19516 18729 20768 18030 15634 20416
"209166_s_at" 1870 4146 3547 4133 19143 1810 5940 5492 3671 4307 16126 13939 16055 3841 16637 4283 5310 3757 8131 6820
"209167_at" 5686 14405 11501 7211 16081 9466 12423 10070 5805 15741 15538 13579 12203 21060 11403 6712 13863 12754 9089 8058
"209168_at" 5704 1266 14376 7301 13312 9753 14015 12892 11270 12802 5683 3982 2426 22029 16984 21389 16130 470 20272 16088
"209169_at" 5131 15493 7781 15115 11441 2706 1316 13574 7035 14386 8644 4293 10701 13231 5379 4941 12379 594 12125 8443
"209170_s_at" 8420 12509 9985 6550 12380 17654 11505 12600 13186 7182 7516 3366 19295 6522 1778 20479 19505 18610 2932 9539
"209171_at" 12935 3216 4925 5025 21678 17301 10528 19161 18758 4334 9766 13838 6178 8538 14678 12753 16491 13538 14456 17948
"209172_s_at" 12061 5339 20920 20006 6178 22199 6122 20593 20286 2610 21552 21646 7216 18871 20998 20950 6993 18184 16283 17953
"209173_at" 884 16793 3099 2433 11363 1588 7776 1749 76 10338 9912 555 3083 1053 1198 2856 5717 1611 10481 1038
"209174_s_at" 19994 6406 3386 4404 4931 17602 5473 20629 5499 3915 8452 13624 17413 7700 17224 18253 15355 15198 16275 18491
"209175_at" 17045 4338 19275 19916 6930 14553 18799 18763 17760 799 7520 21054 13852 17926 19600 17622 17586 13773 7309 3295
"209176_at" 21649 862 20247 21528 5603 18848 18316 5067 14503 13997 16257 17520 5319 7528 15166 16640 16861 21549 16925 5800
"209177_at" 4120 3446 5049 3219 17272 5390 3531 3269 18229 21225 17786 13725 5364 6511 15412 3355 1963 14510 19624 18679
"209178_at" 21320 19376 16351 18415 5306 2877 19514 19598 7402 21889 7820 16220 13632 16439 19133 14236 4528 20355 20414 18760
"209179_s_at" 14791 5454 17774 18161 5057 20794 5866 21894 20185 20937 3108 17322 17154 17859 17148 15614 15197 17677 3806 6188
"209180_at" 15513 2683 2339 1735 3424 14408 3699 15498 3569 3209 6921 18915 6172 2093 3354 2826 9081 6629 3746 17612
"209181_s_at" 14179 2298 2731 2965 5321 14081 1962 3093 17631 1036 3988 11805 5011 4470 2900 12162 14600 13215 14318 2568
"209182_s_at" 11408 8518 11934 14606 8293 7008 14983 6208 14731 8793 14975 2396 12664 12371 7479 2863 13541 6080 6287 11147
"209183_s_at" 8671 13887 9008 6704 11051 249 14796 9944 12683 12662 12679 18127 8191 68 10151 6715 12564 5 8993 11332
"209184_s_at" 2046 1315 31 168 18229 383 91 57 2382 4225 15916 199 46 1206 164 142 516 1667 4267 228
"209185_s_at" 733 17897 17 8 6599 250 18 93 850 1821 17659 551 29 413 10 17 45 973 7850 9
"209186_at" 18512 19388 3749 21817 19406 2049 7669 20170 621 17561 9101 3659 18665 4123 16656 17509 7591 2542 17509 17319
"209187_at" 16691 21911 19127 19775 16785 14912 8068 19217 21501 2512 7623 13609 19669 14163 6385 19597 8286 3834 15765 16537
"209188_x_at" 13336 7965 17202 19610 4042 5343 18193 3210 22049 2797 5492 3352 19439 4563 15774 4277 15721 1726 16941 19435
"209189_at" 5742 12359 5 41 4089 212 2 6 10385 16674 5674 4 9 29 11 2 21178 7109 7776 149
"209190_s_at" 12976 503 2832 4360 18773 763 2253 18526 19787 705 16910 13852 14060 7357 16611 19764 14893 5426 15504 5676
"209191_at" 18306 16930 15027 18630 4549 19996 19239 15403 20192 16967 2968 17532 13979 20330 15591 13972 14501 15684 5554 17642
"209192_x_at" 12266 18394 2420 4434 5125 5682 21579 2458 19657 1210 5020 9678 13182 8390 14286 3016 598 3702 15345 2019
"209193_at" 2100 2942 2646 8907 1632 1567 2181 2239 69 1830 5298 436 18420 172 16404 4195 6623 80 17922 3852
"209194_at" 14722 17196 16666 4146 20024 19969 2898 4181 18927 18321 17883 14602 6731 16918 5878 5395 14657 14463 14281 5776
"209195_s_at" 2142 16695 1928 20423 11769 1533 19835 18209 21596 12380 12893 1944 20909 17171 18561 5159 962 14405 10939 1403
"209196_at" 288 20391 20172 19046 21382 5341 9405 19289 631 21796 20251 18291 20813 18989 19548 13382 16719 488 21701 6475
"209197_at" 21711 19271 8027 11592 1893 4329 11698 10222 11178 3471 6843 5846 1493 18865 8081 10662 20058 741 6375 8689
"209198_s_at" 10255 11214 11568 7566 1836 1757 14572 13620 11038 16633 1266 21150 1599 854 15726 12787 5591 15265 1445 8553
"209199_s_at" 8242 9722 13468 13605 1874 3276 16515 7519 16202 13602 21769 22197 12408 3789 11769 7039 13157 18795 16997 15179
"209200_at" 8044 12411 12100 7197 3071 14718 14688 13579 1886 10706 6740 13393 922 16561 2528 19252 5904 16862 19246 15420
"209201_x_at" 8478 10396 397 10410 19430 8167 4195 2542 6069 3384 7338 6492 13 9142 50 188 12356 9834 17294 9875
"209202_s_at" 15433 3389 7610 10284 2451 14619 2114 11775 3037 10883 20336 2968 4111 5407 20460 19134 2818 17564 2255 12427
"209203_s_at" 20491 1052 22032 21388 21885 20913 18888 18871 15716 20649 9592 18152 14990 3529 16924 4587 4032 20773 15887 3899
"209204_at" 5474 15545 2540 13416 4874 2029 1663 2121 15616 17442 1604 4439 2318 2998 5317 537 20340 4275 20023 14041
"209205_s_at" 2974 4704 512 2892 3523 3570 1139 2713 2931 5264 18945 9766 7096 5037 1333 12014 18837 13052 17572 2220
"209206_at" 1509 6173 16962 18379 1845 16736 3276 5128 5198 819 3437 17221 3184 3351 5509 13333 14664 5280 2243 1699
"209207_s_at" 11885 19057 18970 19289 2360 15106 4726 2132 4126 68 1450 15570 4141 5165 3817 5268 17699 4250 7319 3077
"209208_at" 20047 3610 21527 4322 18625 15833 18719 17672 3117 796 17186 20605 15712 19664 18831 19404 8307 22270 6624 6731
"209209_s_at" 12790 2831 22030 21806 7859 285 7235 16827 833 6748 11710 1138 4291 393 13999 19800 7497 2690 12447 7126
"209210_s_at" 14147 19548 20161 20819 10842 966 20357 19253 577 6143 13024 1683 15413 578 6640 21097 18048 782 9276 17462
"209211_at" 6756 7415 20114 298 16260 303 1415 1826 58 11540 15856 2606 4367 348 293 3195 1630 3016 14046 4974
"209212_s_at" 1579 4059 3713 1265 6610 149 4241 5442 177 18215 7213 661 6230 182 3505 2387 5168 1523 6022 1312
"209213_at" 12355 17179 21379 20669 21672 19668 9551 16780 20036 17437 19674 14712 6778 20717 5891 20814 5928 19964 21755 4808
"209214_s_at" 18979 16949 18071 19568 16497 17106 8820 20100 19105 4654 18834 16392 17075 17329 18124 14407 14461 5673 16852 7138
"209215_at" 2482 20916 1975 19677 21674 18564 3566 4301 17821 20629 20314 13952 4293 6012 19285 16168 3403 14173 20373 3742
"209216_at" 354 20881 699 599 1371 866 352 4767 18094 17128 2810 1242 2251 1598 367 4129 6381 3202 5399 1459
"209217_s_at" 19925 3039 3043 2684 188 1085 4595 4497 4755 2949 1403 2893 2283 1900 3062 1067 2129 20704 14250 2452
"209218_at" 405 4847 727 496 17898 1762 237 323 1951 555 7914 11881 2119 992 896 1728 2138 1836 3189 483
"209219_at" 1839 21477 16390 20358 16472 16550 5973 5654 17806 21421 16442 15974 18295 8162 16879 17033 7873 15203 17069 21536
"209220_at" 11948 12807 6751 7604 117 9451 655 8477 12482 16215 20527 1796 1807 3844 13153 20258 183 2340 21360 12375
"209221_s_at" 3165 21818 4567 674 19933 2620 9772 5028 16209 10984 1721 11615 21751 2196 5492 15247 19025 16089 1151 4402
"209222_s_at" 14877 20670 3693 1673 3354 900 2424 1225 629 508 1436 3391 4184 1152 4395 3600 6643 1848 642 7157
"209223_at" 5644 21662 11809 16279 16893 10748 17054 8168 6545 15800 18375 8445 11046 10957 11688 9590 13876 11457 18201 12523
"209224_s_at" 3617 17080 17504 18204 17080 18384 5870 18580 17314 17518 8161 14846 13762 7556 16170 14785 8636 13860 18760 18704
"209225_x_at" 13761 16581 15399 18959 5864 5162 9094 2960 19591 16859 5879 14402 7494 7691 6659 4896 8519 13026 6321 4345
"209226_s_at" 1446 16529 4124 5664 18247 17557 4102 3208 20044 3604 16618 16157 4022 14112 15324 12188 6216 16252 8029 16501
"209227_at" 2282 6254 17127 20277 15241 17888 21806 16706 12135 14033 2421 14838 4310 22046 3314 19149 8794 21605 13288 19650
"209228_x_at" 3453 20737 3662 5706 10713 17513 7693 14728 15803 15114 13406 15336 7564 16965 4390 15599 15477 6415 11002 4206
"209229_s_at" 17979 17812 15164 2345 22153 4471 10510 2437 18445 21575 21322 12965 4738 7135 2694 4682 4982 19210 20454 3627
"209230_s_at" 374 6166 1400 7260 13960 16 10080 2306 20 13575 225 23 1918 24 51 1753 131 12 98 2756
"209231_s_at" 15148 3988 21430 20371 1937 17615 20817 19961 2799 19354 9183 13612 18824 15979 18283 16852 20740 15609 15957 21481
"209232_s_at" 13203 16713 21750 20040 5217 5505 8161 15463 21523 18593 7670 15221 18766 16471 16850 13135 8490 18154 3151 17831
"209233_at" 15282 7465 18225 18752 20610 15790 20172 19267 16603 21728 20430 19329 20449 6719 17739 16732 16947 16393 21096 19276
"209234_at" 504 18260 15384 2267 1186 3685 2384 4532 2107 1379 18369 10703 5211 18739 3938 3666 5541 2510 14290 4836
"209235_at" 1013 569 2953 14837 20934 12732 1970 21752 18785 19153 22248 1088 2168 440 5021 19198 15757 19989 4322 15881
"209236_at" 20146 21722 20048 16319 7063 1219 4431 18423 16986 1080 9010 20830 21650 20026 20097 22128 16446 20302 3656 5555
"209237_s_at" 21468 21179 6554 13451 20077 16257 14670 9011 14650 12296 1951 4808 18551 16164 13496 3499 1957 177 16894 9411
"209238_at" 11944 21120 783 1164 851 694 1003 1044 201 258 807 306 2412 1714 989 1695 4782 1008 546 1028
"209239_at" 2859 21647 15652 1914 5213 418 3572 5782 16799 19409 4328 19934 18012 3019 18240 15800 19366 17222 7078 20616
"209240_at" 3309 1635 17625 16901 3434 1044 9364 20002 17793 3695 4859 3511 13281 5041 5713 17677 14801 2736 16687 6726
"209241_x_at" 20976 7571 20408 13090 13132 2888 21881 672 19272 4306 3894 22050 20223 7320 21418 22102 21172 18552 18675 20581
"209242_at" 1526 13073 5541 12748 20466 20574 9171 7225 17207 9062 18460 15174 180 7815 8754 1405 5102 16933 3764 14965
"209243_s_at" 7861 11975 6449 3572 9659 15949 14430 8978 6640 15256 1013 20885 16090 20802 8341 5240 16533 19738 19942 14531
"209244_s_at" 2562 6818 1633 3684 10331 1402 5772 3188 7090 12109 749 2043 13466 6751 16654 20730 5398 14251 1458 19744
"209245_s_at" 4109 15947 14508 13130 8910 4084 16259 4732 13246 15491 16531 242 5389 11491 10158 12451 1130 3097 16440 15526
"209246_at" 98 2932 19159 19989 21917 21845 21873 15065 2780 20456 22215 21077 6579 16542 21127 12798 16794 19263 5033 747
"209247_s_at" 14563 4850 20786 21286 19658 19342 7515 20463 17493 19547 20857 21474 15537 19031 18245 20670 17316 19180 20386 20777
"209248_at" 12147 4703 15037 17294 3009 14062 3828 19379 16222 5368 20245 11380 15559 7688 14684 5687 18355 2248 16016 4051
"209249_s_at" 11871 16933 16598 5274 5436 14775 8899 4582 16694 4665 9259 12456 17309 14107 3629 12091 8031 13278 8130 5589
"209250_at" 20724 1420 4138 19542 18115 17762 20518 2145 22008 5167 9242 15198 2896 14986 730 954 8883 13582 15213 166
"209251_x_at" 4334 17656 15740 5829 18341 15094 18011 15332 15538 18202 16424 6266 9468 10301 14301 12434 11949 9937 15061 18014
"209252_at" 15612 19132 5752 20044 6115 5143 22021 18975 16086 17951 16736 14514 21088 7524 19698 19474 17602 6937 7935 20620
"209253_at" 17354 21831 2819 1407 2445 16552 5109 17203 18466 12665 547 20269 665 3727 20784 1381 7916 1902 2473 22225
"209254_at" 11883 21060 5690 1510 2969 2430 6823 5239 16234 17060 4166 4123 19867 7084 20407 16723 3654 3768 4137 20213
"209255_at" 16360 6466 4801 22100 2693 18347 3913 1920 2195 16710 17940 21650 20996 21774 16795 15450 6265 20669 18247 19228
"209256_s_at" 33 16655 2874 16951 2707 16254 4958 3083 3254 19637 5186 15526 17553 17303 16285 2615 8035 16085 5494 6107
"209257_s_at" 1879 17060 16982 3938 5651 14303 19971 3379 16344 4384 19464 14154 14375 5655 4788 4180 7373 19059 18954 5736
"209258_s_at" 15831 6203 15076 4938 6450 18074 7334 1737 21587 19497 17774 3973 16035 4496 3378 5189 4113 3347 19825 3389
"209259_s_at" 13250 7782 4443 2843 18067 18931 3778 15506 21790 17937 18823 17969 16603 15610 15488 16744 17577 13937 17297 17810
"209260_at" 402 5810 15635 3485 8688 15428 2611 2316 16154 6925 4281 11720 13603 1950 3190 11689 4628 2957 10331 1999
"209261_s_at" 22161 6398 21142 2297 12596 9156 22150 3278 10410 9487 14759 22001 5685 22263 22041 22221 17011 12238 11799 20510
"209262_s_at" 16130 3930 16032 4969 3606 19568 8629 18938 19644 5436 18470 11954 21398 1926 20855 19518 972 13426 7794 6220
"209263_x_at" 13231 19940 20031 18722 1875 17750 4015 20643 20520 20980 6970 14191 17915 5263 16075 19476 4012 4741 2982 19919
"209264_s_at" 4384 17772 16753 21113 15249 16551 21067 21246 4785 6763 13127 20382 14263 17824 17427 16648 16793 20015 5570 21730
"209265_s_at" 17674 19651 15355 18883 17765 18508 9549 16844 21098 20679 7616 18122 15607 18749 16952 15734 9094 16575 16287 18877
"209266_s_at" 5080 16071 8801 11877 9718 7911 10948 10341 9937 14038 12404 6480 10889 13200 10461 8527 11618 9575 10789 10814
"209267_s_at" 20346 16876 20458 21579 5166 17808 8103 21498 19678 16910 3665 14749 14874 8487 19656 21449 20045 5927 16869 20366
"209268_at" 17151 7168 15620 19035 6789 17539 9236 15787 21755 17220 19519 20906 13983 20425 15569 16215 8911 15997 7788 17426
"209269_s_at" 11127 14320 19619 13139 21895 7677 8130 12297 4703 19631 19802 12117 14033 22088 15227 1126 358 12764 21114 4925
"209270_at" 13806 21947 869 4700 13363 960 8378 566 2023 13853 2521 4069 4756 848 888 12097 17352 2300 3664 352
"209271_at" 17897 17743 18208 16559 6003 17907 2012 16921 1005 1925 6743 17436 18068 6946 15044 19567 19887 18775 3234 19398
"209272_at" 5516 8390 2218 8039 4832 14449 342 8464 19516 19424 2406 18016 824 7261 497 649 4321 6272 4468 1157
"209273_s_at" 17824 19303 1931 16408 17777 20754 731 1802 3003 3512 4338 11618 14141 17621 14399 14529 20812 2622 14244 1828
"209274_s_at" 16215 2528 19094 4302 19763 18263 7930 4389 16519 21602 7072 17727 12836 17897 5331 15429 19109 16789 17571 18346
"209275_s_at" 20725 7948 3816 1386 22032 17439 3482 18207 17324 20088 9052 15830 21610 20680 4106 5705 14319 14946 16796 17373
"209276_s_at" 15896 21672 3143 1381 4405 1824 778 2346 1385 2085 17142 2462 1815 3190 2179 471 19153 16197 4573 1390
"209277_at" 10776 11365 1267 9162 7991 661 1280 215 19976 7676 13133 4118 1202 2017 857 12331 15256 4824 11924 60
"209278_s_at" 4982 14801 160 499 15245 4929 3821 657 5553 10029 7483 3439 3640 2383 377 699 7370 2277 8456 623
"209279_s_at" 4374 8118 1962 2834 19004 13556 5804 2025 557 18525 6153 15430 6031 5634 4119 3922 2916 13669 18124 4876
"209280_at" 21533 14972 7615 7477 9273 10068 14119 12799 7456 20828 938 20166 18218 15561 3147 13788 10448 8336 18785 12550
"209281_s_at" 1309 6702 560 231 326 2506 227 364 4061 4178 366 1915 842 675 225 927 15317 3570 3247 373
"209282_at" 21473 3160 19003 16905 6332 17527 21457 19953 19859 11024 7701 13589 5950 18081 5686 19827 8260 3988 16979 3904
"209283_at" 6 17404 2219 5968 10508 8938 15181 13604 16455 13272 4490 26 8344 527 8174 10740 22042 11398 12589 14155
"209284_s_at" 4723 1752 19422 4501 5123 20570 19176 5214 19731 21105 8599 19332 19273 18817 17692 17733 19818 19548 15770 18809
"209285_s_at" 3836 10757 17671 1401 4778 18779 2197 16566 17509 4293 16093 20819 7279 18811 4056 2783 15365 13061 7939 3400
"209286_at" 18244 15869 13198 15465 1696 1471 10537 13442 21265 19571 3581 15598 764 17487 11201 9002 12100 18856 6859 14792
"209287_s_at" 2323 1596 8335 12191 637 4923 6202 8674 1110 4249 4141 17453 1628 3451 13328 9159 5485 20057 1447 2030
"209288_s_at" 10621 14283 6382 6117 1326 2656 11236 3138 15831 1498 4983 18282 2034 14308 16500 21442 476 3474 4228 14911
"209289_at" 4364 3972 4243 16468 8278 3473 18892 4517 3436 5885 13318 14545 4445 6286 3237 4207 3077 3847 12257 4335
"209290_s_at" 12285 3270 3073 3238 7950 14225 2189 4783 5658 12649 1185 15696 4721 3189 4847 3710 3797 2274 1749 19223
"209291_at" 10877 10636 21580 14730 13194 17887 7332 16840 8926 6392 230 20916 22135 13889 21321 20941 16869 5135 11638 6420
"209292_at" 6418 15166 10632 15842 12478 12495 16980 12173 11625 6928 374 2474 20901 14874 20938 20919 8480 8573 16319 119
"209293_x_at" 21212 20818 19110 9118 7609 6750 2865 13561 7431 13161 4476 187 21363 11040 3863 16022 21803 3159 13185 10087
"209294_x_at" 1152 1847 439 198 18985 932 297 2222 408 3724 16046 2158 2256 7567 585 4549 805 3997 4278 6112
"209295_at" 17067 7165 440 1282 1857 372 1205 493 2573 502 4930 3318 1951 1644 1791 2663 6535 2516 5851 634
"209296_at" 19141 1850 17250 19454 4625 4383 7420 17743 2432 1577 4447 11889 20382 5421 15959 19132 17163 5170 6153 18782
"209297_at" 8828 728 4930 17918 3410 268 19144 15624 20818 7933 6371 19462 19666 21033 2369 21809 8856 21728 4594 21473
"209298_s_at" 12288 14242 21025 3104 1682 20122 1147 21433 11935 11570 4672 12935 4161 21125 4898 19811 2405 22126 14581 4867
"209299_x_at" 6152 13342 17374 12882 4470 13323 20161 21258 14214 18521 21236 4195 1542 16756 22146 22264 21633 16399 469 5231
"209300_s_at" 18526 3097 4199 5259 3871 17802 3513 20460 20478 3630 3128 21371 20267 18796 18338 20745 19892 18372 3316 5744
"209301_at" 21497 6102 21903 21009 22091 6816 21500 21784 14155 19223 19602 8479 21206 11511 21114 21775 20929 21082 18933 21209
"209302_at" 13502 4993 16584 17225 21478 15426 8668 19216 17395 21259 19485 14499 17919 8366 16794 17543 17785 5123 21149 17954
"209303_at" 4193 19790 18322 3894 6486 3149 7084 3445 21575 2106 8725 11736 13941 6838 14214 5293 7863 7035 7912 17337
"209304_x_at" 19 21954 125 194 822 108 176 2724 1166 227 169 159 1341 79 1056 4737 1033 59 1502 546
