"inst_161" "inst_1509" "inst_1927" "inst_2009" "inst_5387" "inst_6287"
"200668_s_at" 2716 7981 4097 17762 17771 16120
"200669_s_at" 17719 7350 20390 4432 15366 4254
"200670_at" 20080 10429 841 18479 7970 1856
"200671_s_at" 8979 418 12677 12190 21079 15779
"200672_x_at" 3209 3250 22164 2533 19439 18936
"200673_at" 15000 12493 2626 3848 6348 15108
"200674_s_at" 14567 20328 20324 18158 18194 14397
"200675_at" 21522 10991 2912 17952 8802 15824
"200676_s_at" 17438 10672 22038 21545 20334 22217
"200677_at" 20469 9754 5519 19253 16012 16020
"200678_x_at" 19265 11430 6508 16892 5434 15804
"200679_x_at" 20056 10523 20131 17266 7354 15518
"200680_x_at" 1812 20866 7651 6204 7671 12952
"200681_at" 2993 10177 7843 5468 16266 14029
"200682_s_at" 17057 11773 20007 18279 17031 17726
"200683_s_at" 17738 20876 20774 20121 7721 17586
"200684_s_at" 22139 19934 4529 6725 7691 19074
"200685_at" 7717 3841 977 6572 21365 16704
"200686_s_at" 20554 2103 1342 22149 18253 15139
"200687_s_at" 20323 3004 2533 17965 6966 17565
"200688_at" 1132 19905 5074 21997 2089 16452
"200689_x_at" 1973 12191 6248 5222 6005 3033
"200690_at" 21873 3014 515 22178 19118 17148
"200691_s_at" 19021 7042 20442 17650 16573 16424
"200692_s_at" 16780 10726 21592 16964 19346 19412
"200693_at" 20126 8818 6349 18477 8665 4615
"200694_s_at" 16144 10158 2937 6692 16103 17062
"200695_at" 2245 993 20606 18902 5236 18540
"200696_s_at" 18781 11364 6411 1251 3833 12825
"200697_at" 14519 7996 6404 20624 15644 12734
"200698_at" 3834 6638 1731 21121 16298 4530
"200699_at" 17069 3869 7507 21425 1604 13047
"200700_s_at" 3407 12792 8580 3399 6577 14043
"200701_at" 2882 8447 6164 18589 5828 13172
"200702_s_at" 20655 4432 21525 3358 18945 18005
"200703_at" 21312 19990 6193 4639 18099 15088
"200704_at" 15920 5540 8986 2888 4017 17290
"200705_s_at" 17007 11613 20611 17696 16773 3274
"200706_s_at" 18436 9497 4906 4120 3609 22135
"200707_at" 16262 3539 574 17112 2910 4997
"200708_at" 20851 9556 7459 17797 8687 2649
"200709_at" 19449 11288 7989 20061 5282 3602
"200710_at" 16136 9983 6143 5693 5286 13941
"200711_s_at" 16199 11292 7796 5244 17286 19188
"200712_s_at" 20523 8049 8233 18413 16525 18671
"200713_s_at" 15121 5600 7999 19173 19445 13965
"200714_x_at" 17144 2592 9099 17381 4349 13152
"200715_x_at" 15402 20428 20076 18501 5971 4348
"200716_x_at" 3946 19611 19403 17061 10816 12657
"200717_x_at" 14699 15168 20458 6361 10714 7585
"200718_s_at" 20274 11175 3403 4719 4868 4292
"200719_at" 1577 4620 7655 19144 4271 5014
"200720_s_at" 19609 21722 7054 20113 7138 3757
"200721_s_at" 16417 7376 1961 17222 6646 2297
"200722_s_at" 18722 3805 21214 3717 19035 17308
"200723_s_at" 19054 7108 20753 17345 15912 19082
"200724_at" 1880 21104 11651 10359 5629 21705
"200725_x_at" 15024 19522 20719 17527 16210 3612
"200726_at" 15011 10994 2642 6837 18727 13850
"200727_s_at" 16043 20185 3023 17482 20931 18102
"200728_at" 16565 5185 19597 16915 7240 17052
"200729_s_at" 19003 7651 6242 19757 5551 14017
"200730_s_at" 16511 10388 4613 5758 16074 20796
"200731_s_at" 3322 4644 8240 17274 7735 13951
"200732_s_at" 462 6243 2171 18722 15439 3841
"200733_s_at" 2450 21399 116 20803 7987 19904
"200734_s_at" 14727 9382 3347 2608 16994 13448
"200735_x_at" 16895 19382 19993 5242 10775 13257
"200736_s_at" 8896 18722 7577 6325 13389 2618
"200737_at" 14846 19487 19666 3938 5694 17898
"200738_s_at" 17122 11393 2575 3089 17611 3737
"200739_s_at" 16958 20357 20579 2648 20430 15574
"200740_s_at" 19498 12314 20234 18689 17586 3153
"200741_s_at" 2179 15179 5120 6813 10643 7461
"200742_s_at" 14483 7118 2589 20637 20575 21143
"200743_s_at" 2879 4040 5431 4381 5315 16939
"200744_s_at" 18071 9747 9184 6062 15738 4403
"200745_s_at" 19479 7298 20078 21658 16842 13717
"200746_s_at" 15901 9066 7401 20972 4691 13746
"200747_s_at" 331 9356 3467 20266 3564 16448
"200748_s_at" 18681 9848 8458 3310 6780 13320
"200749_at" 19871 10191 1501 17126 18779 18775
"200750_s_at" 16067 12533 5134 16891 15651 13490
"200751_s_at" 21114 9434 22011 1539 7624 18597
"200752_s_at" 3492 3594 1604 1872 3162 4991
"200753_x_at" 16862 9911 724 1719 18385 17630
"200754_x_at" 18304 19824 8731 16802 8220 12747
"200755_s_at" 18526 3705 7730 4187 8089 13686
"200756_x_at" 14189 2324 22160 4849 3267 20818
"200757_s_at" 19909 5520 4456 17539 6377 16888
"200758_s_at" 18974 20789 5182 20090 6347 15474
"200759_x_at" 19842 7540 20062 5529 1945 13790
"200760_s_at" 19350 8995 20530 3710 17062 20728
"200761_s_at" 18008 3557 8760 1764 17648 15305
"200762_at" 21734 5012 3695 17484 7447 1462
"200763_s_at" 14327 11442 5446 4981 10787 3367
"200764_s_at" 14792 3275 18835 4395 7502 11708
"200765_x_at" 16261 8161 10003 7306 6502 10044
"200766_at" 20268 10656 2796 16951 3435 489
"200767_s_at" 17252 4564 21054 4580 2963 1627
"200768_s_at" 15692 20115 3181 19784 5726 19524
"200769_s_at" 3035 10102 21257 2871 15941 4732
"200770_s_at" 14283 22012 5870 5226 1422 5167
"200771_at" 17593 9348 7289 5624 4768 17077
"200772_x_at" 3394 11012 8101 18145 8702 15485
"200773_x_at" 2440 19831 1954 20288 16189 12828
"200774_at" 20644 4018 5439 4086 15742 16290
"200775_s_at" 16589 12734 20177 18970 17656 15209
"200776_s_at" 21093 4382 168 3956 8557 16369
"200777_s_at" 15429 7934 3278 4994 16488 16414
"200778_s_at" 16702 9540 3380 2042 19856 15193
"200779_at" 3988 8439 20640 19301 8391 17316
"200780_x_at" 15167 12318 19613 18281 16014 15180
"200781_s_at" 2903 20729 8983 18809 15525 3968
"200782_at" 17907 6737 2761 5763 6010 16738
"200783_s_at" 17229 10044 2476 5736 7583 18769
"200784_s_at" 6504 16549 9770 13529 9633 12073
"200785_s_at" 7338 13057 11106 15832 12381 5880
"200786_at" 17376 9879 20862 6783 7501 15980
"200787_s_at" 16333 4509 4161 6592 21074 22139
"200788_s_at" 1625 10284 2596 18299 3938 17382
"200789_at" 21619 10383 22195 3722 18392 15343
"200790_at" 21586 12670 21468 18611 18745 4279
"200791_s_at" 20605 5332 6363 20617 2639 15282
"200792_at" 20679 10738 22079 5896 7126 13355
"200793_s_at" 2788 8578 21702 4316 15511 17678
"200794_x_at" 16585 9369 5699 18914 17834 3202
"200795_at" 10962 4095 15473 5982 11174 17783
"200796_s_at" 1940 7445 16308 655 20535 14993
"200797_s_at" 17685 5358 4923 17114 16362 21187
"200798_x_at" 20905 10318 8374 18783 8056 20404
"200799_at" 21654 10314 1488 8745 5436 12922
"200800_s_at" 21625 20670 7825 21145 19242 5126
"200801_x_at" 2973 15169 4892 4887 6896 2891
"200802_at" 17018 10780 19640 6441 8124 15166
"200803_s_at" 2514 19508 19851 4644 15378 4808
"200804_at" 18421 7739 19243 20582 8036 12763
"200805_at" 2295 10526 20111 2229 17476 2619
"200806_s_at" 16806 11152 22220 3966 18498 15477
"200807_s_at" 15386 19342 20429 5905 15281 13130
"200808_s_at" 21092 4369 4352 19848 2238 12782
"200809_x_at" 16803 12258 21562 16959 16261 3687
"200810_s_at" 21482 11576 5799 21088 19651 3770
"200811_at" 3095 10636 9201 4351 17850 15840
"200812_at" 19905 9357 19233 4761 15954 14406
"200813_s_at" 18825 11109 21712 16885 21107 21439
"200814_at" 2865 7664 21434 2056 19811 3661
"200815_s_at" 15334 19975 7509 20390 16058 12777
"200816_s_at" 18918 11880 5568 21789 5307 16304
"200817_x_at" 2122 15147 6244 4521 10629 7439
"200818_at" 17437 12402 19354 18317 8640 14610
"200819_s_at" 3647 12180 19856 17179 16886 4552
"200820_at" 19140 7301 21227 4179 18387 15160
"200821_at" 14559 9422 359 5033 17349 18387
"200822_x_at" 15967 5610 19578 16926 4134 13845
"200823_x_at" 15953 10565 8187 21354 8197 3649
"200824_at" 262 18552 8275 1681 10244 14541
"200825_s_at" 21026 8836 1432 20210 4147 1410
"200826_at" 14521 19731 21857 16807 17129 14156
"200827_at" 17028 6913 8641 5862 6952 3780
"200828_s_at" 17357 8499 20892 17190 15552 17140
"200829_x_at" 16120 11654 3340 17498 16439 13779
